# 3r1b
id,timestamp,device_id,temperature,humidity,a1_raw,vcap_raw,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time
1,2025-08-27 11:27:46.921,L_6vSQ==,23.05,49.35,0.804,2.918,29.00,232.00,119.00,23.00,703.00,47.00,28.00,31.00,511.00,747.00,1,5
2,2025-08-27 11:27:48.197,T6ncwg==,22.88,52.95,0.871,2.880,29.00,232.00,113.00,24.00,739.00,50.00,29.00,32.00,541.00,702.00,1,5
3,2025-08-27 11:27:52.739,L_6vSQ==,23.12,49.46,0.804,2.918,28.00,224.00,115.00,22.00,672.00,45.00,27.00,29.00,486.00,710.00,1,5
4,2025-08-27 11:27:57.165,T6ncwg==,22.87,52.86,0.872,2.880,27.00,224.00,109.00,23.00,706.00,48.00,28.00,30.00,517.00,671.00,1,5
5,2025-08-27 11:28:02.540,L_6vSQ==,23.06,49.61,0.802,2.918,29.00,229.00,117.00,22.00,690.00,46.00,28.00,31.00,511.00,747.00,1,5
6,2025-08-27 11:28:05.607,T6ncwg==,22.96,52.85,0.871,2.882,28.00,232.00,113.00,24.00,738.00,50.00,29.00,32.00,541.00,702.00,1,5
7,2025-08-27 11:28:10.784,L_6vSQ==,23.05,49.53,0.796,2.918,29.00,232.00,119.00,23.00,703.00,47.00,28.00,31.00,511.00,748.00,1,5
8,2025-08-27 11:28:13.593,T6ncwg==,22.85,52.72,0.869,2.878,28.00,226.00,110.00,23.00,715.00,49.00,28.00,31.00,520.00,674.00,1,5
9,2025-08-27 11:28:19.975,L_6vSQ==,23.12,49.30,0.789,2.918,28.00,224.00,115.00,22.00,672.00,45.00,27.00,29.00,487.00,711.00,1,5
10,2025-08-27 11:28:22.784,T6ncwg==,22.86,52.85,0.869,2.878,27.00,225.00,109.00,23.00,707.00,48.00,28.00,30.00,518.00,671.00,1,5
11,2025-08-27 11:28:29.269,L_6vSQ==,23.25,49.46,0.789,2.918,28.00,227.00,116.00,22.00,684.00,46.00,28.00,30.00,496.00,724.00,1,5
12,2025-08-27 11:28:31.325,T6ncwg==,22.86,52.85,0.869,2.880,28.00,232.00,113.00,24.00,738.00,50.00,29.00,32.00,541.00,702.00,1,5
13,2025-08-27 11:28:37.594,L_6vSQ==,23.19,49.63,0.790,2.920,29.00,232.00,119.00,23.00,703.00,47.00,28.00,31.00,511.00,748.00,1,5
14,2025-08-27 11:28:39.542,T6ncwg==,22.95,52.76,0.871,2.882,29.00,232.00,113.00,24.00,739.00,50.00,29.00,32.00,541.00,702.00,1,5
15,2025-08-27 11:28:46.565,L_6vSQ==,23.12,49.43,0.796,2.918,28.00,228.00,117.00,22.00,687.00,46.00,28.00,30.00,497.00,727.00,1,5
16,2025-08-27 11:28:48.079,T6ncwg==,22.91,52.68,0.871,2.881,28.00,227.00,111.00,23.00,720.00,49.00,28.00,31.00,526.00,682.00,1,5
17,2025-08-27 11:28:55.868,L_6vSQ==,23.25,49.59,0.796,2.917,28.00,227.00,116.00,22.00,681.00,46.00,27.00,30.00,493.00,721.00,1,5
18,2025-08-27 11:28:56.739,T6ncwg==,22.97,52.56,0.869,2.881,28.00,226.00,110.00,23.00,714.00,48.00,28.00,31.00,522.00,677.00,1,5
19,2025-08-27 11:29:04.905,L_6vSQ==,23.05,49.87,0.796,2.917,29.00,232.00,119.00,23.00,703.00,47.00,28.00,31.00,511.00,748.00,1,5
20,2025-08-27 11:29:05.226,T6ncwg==,22.97,52.63,0.864,2.881,29.00,232.00,113.00,24.00,738.00,50.00,29.00,32.00,541.00,702.00,1,5
21,2025-08-27 11:29:13.610,T6ncwg==,22.96,52.58,0.864,2.881,27.00,222.00,108.00,22.00,696.00,47.00,27.00,30.00,507.00,658.00,1,5
22,2025-08-27 11:29:13.944,L_6vSQ==,23.05,49.68,0.796,2.918,27.00,222.00,114.00,22.00,663.00,44.00,27.00,29.00,480.00,701.00,1,5
23,2025-08-27 11:29:23.334,T6ncwg==,22.97,52.61,0.864,2.881,26.00,216.00,105.00,21.00,670.00,45.00,26.00,29.00,486.00,630.00,1,5
24,2025-08-27 11:29:24.317,L_6vSQ==,23.22,49.55,0.796,2.918,26.00,216.00,111.00,21.00,639.00,43.00,26.00,28.00,460.00,671.00,1,5
25,2025-08-27 11:29:32.853,T6ncwg==,23.09,52.58,0.864,2.882,26.00,218.00,106.00,22.00,679.00,46.00,27.00,29.00,497.00,644.00,1,5
26,2025-08-27 11:29:34.374,L_6vSQ==,23.12,49.64,0.789,2.918,27.00,220.00,113.00,21.00,656.00,44.00,27.00,29.00,478.00,698.00,1,5
27,2025-08-27 11:29:41.183,T6ncwg==,22.88,52.54,0.864,2.882,29.00,232.00,113.00,24.00,738.00,50.00,29.00,32.00,541.00,702.00,1,5
28,2025-08-27 11:29:43.350,L_6vSQ==,23.38,49.53,0.789,2.915,29.00,232.00,119.00,23.00,703.00,47.00,28.00,31.00,511.00,748.00,1,5
29,2025-08-27 11:29:49.180,T6ncwg==,23.07,52.41,0.863,2.880,28.00,232.00,113.00,24.00,739.00,50.00,29.00,32.00,541.00,702.00,1,5
30,2025-08-27 11:29:52.323,L_6vSQ==,23.25,49.21,0.789,2.915,28.00,229.00,117.00,22.00,689.00,46.00,28.00,30.00,499.00,729.00,1,5
31,2025-08-27 11:29:57.615,T6ncwg==,22.97,52.46,0.864,2.882,28.00,227.00,110.00,23.00,717.00,49.00,28.00,31.00,524.00,680.00,1,5
32,2025-08-27 11:30:01.407,L_6vSQ==,23.25,49.20,0.797,2.918,28.00,229.00,117.00,22.00,688.00,46.00,28.00,30.00,494.00,722.00,1,5
33,2025-08-27 11:30:06.164,T6ncwg==,22.85,52.48,0.864,2.882,29.00,232.00,113.00,24.00,739.00,50.00,29.00,32.00,541.00,702.00,1,5
34,2025-08-27 11:30:10.170,L_6vSQ==,23.26,49.37,0.797,2.919,29.00,232.00,119.00,23.00,703.00,47.00,28.00,31.00,511.00,747.00,1,5
