# r:1-300-52:0_20250827_090818
id,timestamp,device_id,temperature,humidity,a1_raw,vcap_raw,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time
1,2025-08-27 09:08:18.040,T6ncwg==,24.73,53.33,1.429,4.588,153.00,132.00,137.00,130.00,4130.00,342.00,179.00,204.00,3786.00,5524.00,1,5
2,2025-08-27 09:08:18.045,T6ncwg==,24.59,53.53,1.431,4.588,153.00,132.00,137.00,130.00,4131.00,342.00,179.00,204.00,3787.00,5524.00,1,5
3,2025-08-27 09:08:18.068,L_6vSQ==,25.38,48.66,1.383,4.685,161.00,128.00,131.00,127.00,3973.00,322.00,178.00,199.00,3615.00,5881.00,1,5
4,2025-08-27 09:08:18.073,L_6vSQ==,25.31,48.70,1.383,4.683,161.00,128.00,131.00,127.00,3973.00,323.00,178.00,199.00,3616.00,5881.00,1,5
5,2025-08-27 09:08:18.074,L_6vSQ==,25.25,48.77,1.383,4.683,161.00,128.00,131.00,127.00,3973.00,323.00,178.00,199.00,3616.00,5880.00,1,5
6,2025-08-27 09:08:20.022,T6ncwg==,24.45,53.59,1.429,4.583,153.00,132.00,137.00,130.00,4130.00,342.00,179.00,204.00,3787.00,5524.00,1,5
7,2025-08-27 09:08:23.054,L_6vSQ==,25.25,48.91,1.386,4.685,161.00,128.00,131.00,127.00,3973.00,323.00,178.00,199.00,3617.00,5880.00,1,5
8,2025-08-27 09:08:25.647,T6ncwg==,24.71,53.64,1.429,4.583,153.00,132.00,137.00,130.00,4131.00,342.00,179.00,204.00,3788.00,5523.00,1,5
9,2025-08-27 09:08:28.679,L_6vSQ==,25.44,48.82,1.406,4.689,161.00,128.00,131.00,127.00,3973.00,323.00,178.00,199.00,3617.00,5880.00,1,5
10,2025-08-27 09:08:31.277,T6ncwg==,24.71,53.68,1.431,4.588,153.00,132.00,137.00,130.00,4128.00,342.00,179.00,204.00,3788.00,5523.00,1,5
11,2025-08-27 09:08:34.310,L_6vSQ==,25.19,48.99,1.416,4.685,161.00,128.00,131.00,127.00,3973.00,323.00,178.00,199.00,3618.00,5878.00,1,5
12,2025-08-27 09:08:36.800,T6ncwg==,24.59,53.64,1.431,4.588,153.00,132.00,137.00,130.00,4131.00,342.00,179.00,204.00,3788.00,5523.00,1,5
13,2025-08-27 09:08:39.943,L_6vSQ==,25.27,48.96,1.405,4.685,161.00,128.00,131.00,127.00,3973.00,323.00,178.00,199.00,3618.00,5879.00,1,5
14,2025-08-27 09:08:42.431,T6ncwg==,24.83,53.61,1.431,4.588,153.00,132.00,137.00,130.00,4131.00,342.00,179.00,204.00,3789.00,5520.00,1,5
15,2025-08-27 09:08:45.463,L_6vSQ==,25.38,49.20,1.405,4.685,161.00,128.00,131.00,127.00,3973.00,323.00,178.00,199.00,3618.00,5878.00,1,5
16,2025-08-27 09:08:48.060,T6ncwg==,24.59,53.51,1.431,4.588,152.00,131.00,136.00,130.00,4110.00,340.00,178.00,203.00,3769.00,5491.00,1,5
17,2025-08-27 09:08:51.097,L_6vSQ==,25.47,48.86,1.408,4.685,160.00,127.00,130.00,126.00,3943.00,320.00,177.00,198.00,3592.00,5833.00,1,5
18,2025-08-27 09:08:53.695,T6ncwg==,24.56,53.41,1.431,4.588,152.00,131.00,136.00,129.00,4101.00,340.00,178.00,203.00,3764.00,5482.00,1,5
19,2025-08-27 09:08:56.727,L_6vSQ==,25.25,49.02,1.410,4.686,160.00,127.00,130.00,127.00,3954.00,321.00,177.00,198.00,3604.00,5853.00,1,5
20,2025-08-27 09:08:59.327,T6ncwg==,24.59,53.55,1.431,4.588,152.00,131.00,136.00,130.00,4107.00,340.00,178.00,203.00,3771.00,5487.00,1,5
21,2025-08-27 09:09:02.341,L_6vSQ==,25.25,48.92,1.411,4.685,160.00,128.00,130.00,127.00,3956.00,321.00,178.00,199.00,3616.00,5871.00,1,5
22,2025-08-27 09:09:04.883,T6ncwg==,24.60,53.64,1.431,4.592,153.00,132.00,137.00,130.00,4130.00,342.00,179.00,204.00,3790.00,5519.00,1,5
23,2025-08-27 09:09:07.994,L_6vSQ==,25.25,48.93,1.408,4.685,161.00,128.00,131.00,127.00,3972.00,323.00,178.00,199.00,3619.00,5876.00,1,5
24,2025-08-27 09:09:10.589,T6ncwg==,24.60,53.52,1.431,4.592,153.00,132.00,137.00,130.00,4131.00,342.00,179.00,204.00,3791.00,5520.00,1,5
25,2025-08-27 09:09:13.516,L_6vSQ==,25.25,48.88,1.407,4.685,161.00,128.00,131.00,127.00,3974.00,323.00,178.00,199.00,3620.00,5876.00,1,5
26,2025-08-27 09:09:16.112,T6ncwg==,24.61,53.47,1.431,4.592,153.00,132.00,137.00,130.00,4132.00,342.00,179.00,204.00,3792.00,5521.00,1,5
27,2025-08-27 09:09:19.147,L_6vSQ==,25.27,49.08,1.408,4.685,160.00,128.00,130.00,127.00,3960.00,322.00,177.00,198.00,3608.00,5855.00,1,5
28,2025-08-27 09:09:21.744,T6ncwg==,24.64,53.58,1.431,4.588,152.00,131.00,137.00,130.00,4116.00,341.00,178.00,203.00,3778.00,5499.00,1,5
29,2025-08-27 09:09:24.778,L_6vSQ==,25.38,48.92,1.408,4.688,160.00,128.00,130.00,127.00,3957.00,321.00,177.00,198.00,3605.00,5850.00,1,5
30,2025-08-27 09:09:27.373,T6ncwg==,24.71,53.52,1.431,4.588,152.00,132.00,137.00,130.00,4117.00,341.00,178.00,204.00,3779.00,5499.00,1,5
31,2025-08-27 09:09:30.405,L_6vSQ==,25.25,48.72,1.394,4.690,160.00,128.00,130.00,127.00,3960.00,322.00,177.00,198.00,3609.00,5856.00,1,5
32,2025-08-27 09:09:33.000,T6ncwg==,24.76,53.52,1.431,4.588,153.00,132.00,137.00,130.00,4129.00,342.00,179.00,204.00,3791.00,5517.00,1,5
33,2025-08-27 09:09:36.034,L_6vSQ==,25.25,48.76,1.386,4.685,161.00,128.00,131.00,127.00,3973.00,322.00,178.00,199.00,3621.00,5873.00,1,5
34,2025-08-27 09:09:38.629,T6ncwg==,24.59,53.44,1.429,4.583,153.00,132.00,137.00,130.00,4129.00,342.00,179.00,204.00,3792.00,5516.00,1,5
35,2025-08-27 09:09:41.553,L_6vSQ==,25.23,48.84,1.386,4.685,161.00,128.00,131.00,127.00,3973.00,323.00,178.00,199.00,3621.00,5873.00,1,5
36,2025-08-27 09:09:44.255,T6ncwg==,24.59,53.52,1.429,4.583,152.00,131.00,136.00,129.00,4099.00,339.00,177.00,202.00,3755.00,5462.00,1,5
37,2025-08-27 09:09:47.180,L_6vSQ==,25.25,48.91,1.386,4.685,160.00,128.00,130.00,127.00,3959.00,322.00,177.00,198.00,3607.00,5850.00,1,5
38,2025-08-27 09:09:49.886,T6ncwg==,24.58,53.64,1.429,4.583,152.00,131.00,137.00,130.00,4113.00,341.00,178.00,203.00,3777.00,5488.00,1,5
39,2025-08-27 09:09:52.813,L_6vSQ==,25.12,48.95,1.394,4.690,160.00,128.00,130.00,127.00,3959.00,322.00,177.00,198.00,3599.00,5834.00,1,5
40,2025-08-27 09:09:55.411,T6ncwg==,24.59,53.63,1.430,4.583,152.00,132.00,137.00,130.00,4116.00,341.00,178.00,204.00,3777.00,5492.00,1,5
41,2025-08-27 09:09:58.446,L_6vSQ==,25.44,49.22,1.403,4.690,161.00,128.00,131.00,127.00,3974.00,323.00,178.00,199.00,3622.00,5874.00,1,5
42,2025-08-27 09:10:01.045,T6ncwg==,24.71,53.61,1.431,4.585,153.00,132.00,137.00,130.00,4131.00,342.00,179.00,204.00,3794.00,5516.00,1,5
43,2025-08-27 09:10:04.039,L_6vSQ==,25.25,49.18,1.386,4.685,161.00,128.00,131.00,127.00,3974.00,323.00,178.00,199.00,3623.00,5873.00,1,5
44,2025-08-27 09:10:06.685,T6ncwg==,24.64,53.80,1.430,4.586,153.00,132.00,137.00,130.00,4131.00,342.00,179.00,204.00,3794.00,5513.00,1,5
45,2025-08-27 09:10:09.608,L_6vSQ==,25.06,49.23,1.384,4.685,161.00,128.00,131.00,127.00,3974.00,323.00,178.00,199.00,3623.00,5873.00,1,5
46,2025-08-27 09:10:12.314,T6ncwg==,24.59,53.92,1.430,4.586,153.00,132.00,137.00,130.00,4131.00,342.00,179.00,204.00,3794.00,5516.00,1,5
47,2025-08-27 09:10:15.242,L_6vSQ==,25.10,49.13,1.386,4.688,161.00,128.00,131.00,127.00,3973.00,323.00,178.00,199.00,3623.00,5871.00,1,5
48,2025-08-27 09:10:17.947,T6ncwg==,24.61,53.59,1.428,4.583,153.00,132.00,137.00,130.00,4131.00,342.00,179.00,204.00,3792.00,5511.00,1,5
49,2025-08-27 09:10:20.875,L_6vSQ==,25.25,48.87,1.386,4.688,160.00,127.00,130.00,126.00,3946.00,320.00,177.00,198.00,3598.00,5827.00,1,5
50,2025-08-27 09:10:23.580,T6ncwg==,24.45,53.51,1.428,4.583,152.00,131.00,136.00,129.00,4101.00,340.00,178.00,203.00,3767.00,5473.00,1,5
51,2025-08-27 09:10:26.507,L_6vSQ==,25.18,48.91,1.403,4.690,160.00,127.00,130.00,126.00,3946.00,320.00,177.00,198.00,3599.00,5829.00,1,5
52,2025-08-27 09:10:29.105,T6ncwg==,24.59,53.35,1.430,4.586,152.00,131.00,137.00,130.00,4113.00,341.00,178.00,203.00,3776.00,5486.00,1,5
53,2025-08-27 09:10:32.034,L_6vSQ==,25.23,48.88,1.403,4.690,160.00,127.00,130.00,126.00,3952.00,321.00,177.00,198.00,3603.00,5836.00,1,5
54,2025-08-27 09:10:34.738,T6ncwg==,24.59,53.29,1.430,4.586,153.00,132.00,137.00,130.00,4131.00,342.00,179.00,204.00,3795.00,5512.00,1,5
55,2025-08-27 09:10:37.664,L_6vSQ==,25.23,48.80,1.403,4.690,161.00,128.00,131.00,127.00,3974.00,323.00,178.00,199.00,3625.00,5870.00,1,5
56,2025-08-27 09:10:40.372,T6ncwg==,24.59,53.22,1.428,4.584,153.00,132.00,137.00,130.00,4129.00,342.00,179.00,204.00,3794.00,5513.00,1,5
57,2025-08-27 09:10:43.300,L_6vSQ==,25.02,48.76,1.403,4.690,161.00,128.00,131.00,127.00,3973.00,323.00,178.00,199.00,3625.00,5871.00,1,5
58,2025-08-27 09:10:46.011,T6ncwg==,24.59,53.44,1.428,4.584,153.00,132.00,137.00,130.00,4131.00,342.00,179.00,204.00,3795.00,5513.00,1,5
59,2025-08-27 09:10:48.833,L_6vSQ==,25.19,48.90,1.403,4.690,160.00,128.00,130.00,127.00,3959.00,322.00,177.00,198.00,3611.00,5848.00,1,5
60,2025-08-27 09:10:51.649,T6ncwg==,24.39,53.46,1.430,4.586,152.00,132.00,137.00,130.00,4117.00,341.00,178.00,204.00,3782.00,5491.00,1,5
61,2025-08-27 09:10:57.171,T6ncwg==,24.61,53.75,1.430,4.586,152.00,131.00,137.00,130.00,4114.00,341.00,178.00,203.00,3778.00,5486.00,1,5
62,2025-08-27 09:11:00.101,L_6vSQ==,25.12,49.03,1.388,4.679,160.00,128.00,130.00,127.00,3959.00,321.00,177.00,198.00,3601.00,5829.00,1,5
63,2025-08-27 09:11:02.881,T6ncwg==,24.32,53.53,1.431,4.591,153.00,132.00,137.00,130.00,4131.00,342.00,179.00,204.00,3796.00,5513.00,1,5
64,2025-08-27 09:11:05.747,L_6vSQ==,25.21,49.12,1.388,4.679,161.00,128.00,131.00,127.00,3972.00,323.00,178.00,199.00,3626.00,5869.00,1,5
65,2025-08-27 09:11:08.446,T6ncwg==,24.39,53.36,1.429,4.586,153.00,132.00,137.00,130.00,4131.00,342.00,179.00,204.00,3796.00,5511.00,1,5
66,2025-08-27 09:11:11.267,L_6vSQ==,25.01,48.90,1.388,4.681,161.00,128.00,131.00,127.00,3974.00,323.00,178.00,199.00,3626.00,5868.00,1,5
67,2025-08-27 09:11:14.080,T6ncwg==,24.59,53.50,1.429,4.586,153.00,132.00,137.00,130.00,4130.00,342.00,179.00,204.00,3796.00,5510.00,1,5
68,2025-08-27 09:11:16.902,L_6vSQ==,25.12,48.99,1.388,4.682,160.00,128.00,131.00,127.00,3961.00,322.00,177.00,198.00,3612.00,5844.00,1,5
69,2025-08-27 09:11:19.717,T6ncwg==,24.59,53.45,1.429,4.586,152.00,131.00,137.00,130.00,4113.00,341.00,178.00,203.00,3781.00,5485.00,1,5
70,2025-08-27 09:11:22.536,L_6vSQ==,25.25,49.02,1.403,4.682,160.00,127.00,130.00,127.00,3955.00,321.00,177.00,198.00,3609.00,5839.00,1,5
71,2025-08-27 09:11:25.243,T6ncwg==,24.45,53.53,1.430,4.588,152.00,131.00,137.00,130.00,4115.00,341.00,178.00,203.00,3779.00,5484.00,1,5
