Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/03/02 22:26
PAR(mW/cm²),0.38909202814102173
PPFD(umol/㎡/s),15.17088794708252
PPFD-UV(umol/㎡/s),0.0019597632344812155
PPFD-B(umol/㎡/s),14.884188652038574
PPFD-G(umol/㎡/s),0.2683495581150055
PPFD-R(umol/㎡/s),0.018348578363656998
PPFD-FR(umol/㎡/s),0.01671748422086239
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),60.796390533447266
Erb Ratio,0.0008949592593125999
YPFD(umol/m²/s),10.794678688049316
Ech-A(mW/cm²),0.007440393324941397
Ech-B(mW/cm²),0.011685743927955627
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),249.53599548339844
Candle E(fc),23.191076278686523
CCT(K),100000.0
Duv,-0.018061358481645584
x,0.13354305922985077
y,0.05642854422330856
u,0.15664616227149963
v,0.09928611665964127
u’,0.15664616227149963
v’,0.1489291787147522
SDCM,100.0
Ra,-51.1125373840332
R1,-19.60661506652832
R2,-54.43954849243164
R3,-100.0
R4,-82.69319915771484
R5,-4.472675323486328
R6,-64.40023040771484
R7,-48.93683624267578
R8,-34.351158142089844
R9,-100.0
R10,-100.0
R11,-100.0
R12,-100.0
R13,-41.98775863647461
R14,-33.833961486816406
R15,-2.569218873977661
Ee(mW/cm²),0.38909202814102173
S/P,16.841480255126953
Dominant(nm),468.1000061035156
Purity(%),97.68621826171875
Half width(nm),20.8275146484375
Peak(nm),464.524169921875
Center(nm),465.0290832519531
Centroid(nm),467.0
R ratio(%),0.15710954368114471
G ratio(%),5.113020420074463
B ratio(%),94.72986602783203
Integrat.Time(ms),28.0
Peak Signal,57161.0
Dark Signal,2856.0
Compensate level,2510.0
StartTestWave,380
EndTestWave,780
380,0.05660161003470421
381,0.0677921399474144
382,0.05633615702390671
383,0.01558994222432375
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0030708445701748133
390,0.036139946430921555
391,0.05113951116800308
392,0.020077701658010483
393,0.0027166162617504597
394,0.0
395,0.0
396,0.009448685683310032
397,0.03956501930952072
398,0.07936619222164154
399,0.09956283122301102
400,0.06156420335173607
401,0.04150543361902237
402,0.05635201185941696
403,0.017220107838511467
404,0.0
405,0.009903292171657085
406,0.02914823777973652
407,0.0048017678782343864
408,0.029795091599225998
409,0.07443886995315552
410,0.06852567195892334
411,0.04310435801744461
412,0.05483792722225189
413,0.06979544460773468
414,0.10168749839067459
415,0.16881845891475677
416,0.22847968339920044
417,0.2478034794330597
418,0.2543737292289734
419,0.2629754841327667
420,0.2613385319709778
421,0.260403573513031
422,0.3045198917388916
423,0.3936028778553009
424,0.4960692524909973
425,0.6456774473190308
426,0.8232386708259583
427,1.0218513011932373
428,1.2636759281158447
429,1.547694206237793
430,1.8847482204437256
431,2.293966293334961
432,2.7911627292633057
433,3.3565244674682617
434,4.051902770996094
435,4.886474609375
436,5.997320652008057
437,7.265219688415527
438,8.562108039855957
439,10.057389259338379
440,11.733519554138184
441,13.646965980529785
442,15.827073097229004
443,18.290735244750977
444,20.96007537841797
445,23.96650505065918
446,27.314807891845703
447,30.972171783447266
448,34.97196960449219
449,39.370574951171875
450,44.14149475097656
451,49.46796798706055
452,55.526126861572266
453,61.95166015625
454,69.2285385131836
455,77.72840118408203
456,86.97976684570312
457,96.92884826660156
458,107.45886993408203
459,118.16641998291016
460,128.69454956054688
461,138.12803649902344
462,145.67184448242188
463,150.4058074951172
464,152.5329132080078
465,151.76756286621094
466,148.63998413085938
467,143.42208862304688
468,135.8309783935547
469,126.67495727539062
470,117.80934143066406
471,108.73127746582031
472,99.93930053710938
473,91.63472747802734
474,84.1193618774414
475,77.44807434082031
476,71.60198974609375
477,66.50942993164062
478,61.95753860473633
479,57.69186782836914
480,53.520103454589844
481,49.42262268066406
482,45.261192321777344
483,41.17832946777344
484,37.16105270385742
485,33.39202880859375
486,29.865478515625
487,26.669036865234375
488,23.764677047729492
489,21.25737762451172
490,19.04291534423828
491,17.111255645751953
492,15.466512680053711
493,14.098587989807129
494,12.873069763183594
495,11.81476879119873
496,10.860180854797363
497,9.975744247436523
498,9.133612632751465
499,8.321598052978516
500,7.530913352966309
501,6.753199577331543
502,6.001242637634277
503,5.2917680740356445
504,4.670589447021484
505,4.105532169342041
506,3.614794969558716
507,3.1679019927978516
508,2.7781569957733154
509,2.4293339252471924
510,2.1262173652648926
511,1.8831241130828857
512,1.6952959299087524
513,1.527937650680542
514,1.3987706899642944
515,1.2651082277297974
516,1.1493926048278809
517,1.0386253595352173
518,0.9470952153205872
519,0.8401179313659668
520,0.7689201235771179
521,0.6827727556228638
522,0.5937912464141846
523,0.5249607563018799
524,0.4687769114971161
525,0.41149693727493286
526,0.37141290307044983
527,0.34553465247154236
528,0.30776742100715637
529,0.2893238365650177
530,0.2783960700035095
531,0.26590609550476074
532,0.2534474730491638
533,0.2446654736995697
534,0.20907635986804962
535,0.18808071315288544
536,0.1613563895225525
537,0.14724557101726532
538,0.13330350816249847
539,0.13986672461032867
540,0.13678188621997833
541,0.1480872929096222
542,0.1439836472272873
543,0.14851263165473938
544,0.15946796536445618
545,0.16014184057712555
546,0.14765331149101257
547,0.1444738507270813
548,0.14061079919338226
549,0.12807920575141907
550,0.10828105360269547
551,0.09437689185142517
552,0.09318194538354874
553,0.08179470151662827
554,0.05911925435066223
555,0.05004209280014038
556,0.032304879277944565
557,0.008090616203844547
558,0.0
559,0.0
560,0.0
561,0.004593526013195515
562,0.018102111294865608
563,0.0341305285692215
564,0.02684486284852028
565,0.028628025203943253
566,0.029968610033392906
567,0.021522508934140205
568,0.020573386922478676
569,0.04054315760731697
570,0.05115040764212608
571,0.049246661365032196
572,0.05336378514766693
573,0.037301186472177505
574,0.022275930270552635
575,0.008948665112257004
576,0.007015191949903965
577,0.020163822919130325
578,0.047337718307971954
579,0.05346916615962982
580,0.05252596363425255
581,0.05679002404212952
582,0.03829285502433777
583,0.01698126643896103
584,0.005988942924886942
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0014036319917067885
590,0.020382722839713097
591,0.04432504624128342
592,0.06329958885908127
593,0.0824773982167244
594,0.07705996185541153
595,0.07121508568525314
596,0.051692623645067215
597,0.03998921439051628
598,0.030003715306520462
599,0.03148728236556053
600,0.028165007010102272
601,0.04099371284246445
602,0.049142852425575256
603,0.052060771733522415
604,0.05883171781897545
605,0.07148440927267075
606,0.06302157044410706
607,0.06651028245687485
608,0.07791151106357574
609,0.08907601982355118
610,0.09321927279233932
611,0.10209261626005173
612,0.09382151067256927
613,0.08474049717187881
614,0.0682007297873497
615,0.059708453714847565
616,0.04638274759054184
617,0.03905166685581207
618,0.03421376645565033
619,0.04053021967411041
620,0.046793319284915924
621,0.04139344021677971
622,0.04195506125688553
623,0.050693657249212265
624,0.03906041011214256
625,0.021772710606455803
626,0.02451924793422222
627,0.018595082685351372
628,0.009231948293745518
629,0.006289639975875616
630,0.004314702935516834
631,0.00010394354467280209
632,0.0019444945501163602
633,0.01184405293315649
634,0.020046910271048546
635,0.03413141518831253
636,0.04183496907353401
637,0.024552853778004646
638,0.006290212739259005
639,0.01656877063214779
640,0.021680129691958427
641,0.028576703742146492
642,0.03584054484963417
643,0.0400390625
644,0.024643873795866966
645,0.008831615559756756
646,0.001440668012946844
647,0.012998011894524097
648,0.026813434436917305
649,0.02532140165567398
650,0.02787049114704132
651,0.030304070562124252
652,0.016954097896814346
653,0.01068016979843378
654,0.017792493104934692
655,0.019090402871370316
656,0.026329422369599342
657,0.03209606930613518
658,0.03653160110116005
659,0.03180845454335213
660,0.05419938638806343
661,0.059129003435373306
662,0.0580093190073967
663,0.048805274069309235
664,0.039981815963983536
665,0.022114630788564682
666,0.012024922296404839
667,0.01606573350727558
668,0.026243798434734344
669,0.03239860385656357
670,0.05270111933350563
671,0.0670115128159523
672,0.07366937398910522
673,0.08359827101230621
674,0.0998656302690506
675,0.09031787514686584
676,0.0618276372551918
677,0.04509129002690315
678,0.026206854730844498
679,0.001034292858093977
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.007312314584851265
688,0.01956314407289028
689,0.008427353575825691
690,0.0
691,0.0
692,0.0002623456239234656
693,0.013420992530882359
694,0.03264674171805382
695,0.04541533440351486
696,0.06318661570549011
697,0.04870523512363434
698,0.031807757914066315
699,0.008735734969377518
700,0.0017816603649407625
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0038974802009761333
706,0.024594781920313835
707,0.030877722427248955
708,0.0268209557980299
709,0.0437411330640316
710,0.0582292266190052
711,0.0652407556772232
712,0.06496720761060715
713,0.04513164237141609
714,0.007465824950486422
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.006703782361000776
725,0.010872828774154186
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.008732140995562077
732,0.017097467556595802
733,0.0313006229698658
734,0.04149683937430382
735,0.03740480914711952
736,0.04077070578932762
737,0.05644599348306656
738,0.0693415030837059
739,0.10030663013458252
740,0.12781007587909698
741,0.12029395252466202
742,0.10703964531421661
743,0.1030329018831253
744,0.07922043651342392
745,0.02477893978357315
746,0.004164592828601599
747,0.0
748,0.0
749,0.0
750,0.0
751,0.003984592389315367
752,0.008264395408332348
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0003227698034606874
760,0.01905481331050396
761,0.02969888225197792
762,0.04955765977501869
763,0.05250720679759979
764,0.04955112189054489
765,0.06473137438297272
766,0.07569368183612823
767,0.09949634969234467
768,0.08649609237909317
769,0.09546487778425217
770,0.09959285706281662
771,0.12537173926830292
772,0.09158215671777725
773,0.0389678068459034
774,0.0
775,0.0
776,0.0
777,0.009130686521530151
778,0.03309888765215874
779,0.1151595264673233
780,0.15919849276542664
