segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,0,20,0,20,inf,2026-04-26T18:45:23.177,2026-04-26T18:45:23.179,2026-04-26T18:45:24.501,1322.0,2026-04-26T18:45:44.504,2026-04-26T18:45:47.617,3113.0,2026-04-26T18:46:07.619,2026-04-26T18:46:07.620,2026-04-26T18:46:10.971,3351.0,2026-04-26T18:46:30.973,2026-04-26T18:48:10.973,2026-04-26T18:48:10.973,10.0,20.0,20.0,20.0,100.0,3,3.272618055343628,2026-04-26T18:46:55.973,archive/2026-04-26/standard_csv/raw_bytes_20260426_184658.csv,3.2777085304260254,2026-04-26T18:47:20.973,archive/2026-04-26/standard_csv/raw_bytes_20260426_184723.csv,3.3037421703338623,2026-04-26T18:47:45.973,archive/2026-04-26/standard_csv/raw_bytes_20260426_184748.csv,3,3.2846895853678384
2,normal,2,1,0,40,0,40,inf,2026-04-26T18:48:10.977,2026-04-26T18:48:10.978,2026-04-26T18:48:12.398,1420.0,2026-04-26T18:48:32.401,2026-04-26T18:48:35.056,2655.0,2026-04-26T18:48:55.058,2026-04-26T18:48:55.059,2026-04-26T18:48:57.401,2342.0,2026-04-26T18:49:17.403,2026-04-26T18:50:57.404,2026-04-26T18:50:57.404,10.0,20.0,20.0,20.0,100.0,3,7.686638355255127,2026-04-26T18:49:42.404,archive/2026-04-26/standard_csv/raw_bytes_20260426_184944.csv,7.658982753753662,2026-04-26T18:50:07.404,archive/2026-04-26/standard_csv/raw_bytes_20260426_185009.csv,7.655291557312012,2026-04-26T18:50:32.404,archive/2026-04-26/standard_csv/raw_bytes_20260426_185034.csv,3,7.666970888773601
3,normal,3,1,0,60,0,60,inf,2026-04-26T18:50:57.405,2026-04-26T18:50:57.408,2026-04-26T18:50:59.874,2466.0,2026-04-26T18:51:19.876,2026-04-26T18:51:21.745,1869.0,2026-04-26T18:51:41.747,2026-04-26T18:51:41.748,2026-04-26T18:51:43.387,1639.0,2026-04-26T18:52:03.390,2026-04-26T18:53:43.390,2026-04-26T18:53:43.390,10.0,20.0,20.0,20.0,100.0,3,11.940112113952637,2026-04-26T18:52:28.390,archive/2026-04-26/standard_csv/raw_bytes_20260426_185230.csv,11.911271095275879,2026-04-26T18:52:53.390,archive/2026-04-26/standard_csv/raw_bytes_20260426_185255.csv,11.885464668273926,2026-04-26T18:53:18.390,archive/2026-04-26/standard_csv/raw_bytes_20260426_185320.csv,3,11.912282625834147
4,normal,4,1,0,80,0,80,inf,2026-04-26T18:53:43.392,2026-04-26T18:53:43.395,2026-04-26T18:53:44.719,1324.0,2026-04-26T18:54:04.722,2026-04-26T18:54:07.402,2680.0,2026-04-26T18:54:27.404,2026-04-26T18:54:27.405,2026-04-26T18:54:29.112,1707.0,2026-04-26T18:54:49.113,2026-04-26T18:56:29.113,2026-04-26T18:56:29.113,10.0,20.0,20.0,20.0,100.0,3,16.077842712402344,2026-04-26T18:55:14.113,archive/2026-04-26/standard_csv/raw_bytes_20260426_185516.csv,16.026905059814453,2026-04-26T18:55:39.113,archive/2026-04-26/standard_csv/raw_bytes_20260426_185541.csv,15.988483428955078,2026-04-26T18:56:04.113,archive/2026-04-26/standard_csv/raw_bytes_20260426_185606.csv,3,16.031077067057293
5,normal,5,4,1,16,4,20,4.000000,2026-04-26T18:56:29.115,2026-04-26T18:56:29.118,2026-04-26T18:56:30.850,1732.0,2026-04-26T18:56:50.853,2026-04-26T18:56:53.645,2792.0,2026-04-26T18:57:13.647,2026-04-26T18:57:13.648,2026-04-26T18:57:15.298,1650.0,2026-04-26T18:57:35.300,2026-04-26T18:59:15.300,2026-04-26T18:59:15.300,10.0,20.0,20.0,20.0,100.0,3,2.585848808288574,2026-04-26T18:58:00.300,archive/2026-04-26/standard_csv/raw_bytes_20260426_185802.csv,2.5779080390930176,2026-04-26T18:58:25.300,archive/2026-04-26/standard_csv/raw_bytes_20260426_185827.csv,2.6016063690185547,2026-04-26T18:58:50.300,archive/2026-04-26/standard_csv/raw_bytes_20260426_185852.csv,3,2.5884544054667153
6,normal,6,4,1,32,8,40,4.000000,2026-04-26T18:59:15.303,2026-04-26T18:59:15.306,2026-04-26T18:59:16.649,1343.0,2026-04-26T18:59:36.652,2026-04-26T18:59:41.653,5001.0,2026-04-26T19:00:01.655,2026-04-26T19:00:01.656,2026-04-26T19:00:04.185,2529.0,2026-04-26T19:00:24.187,2026-04-26T19:02:04.187,2026-04-26T19:02:04.187,10.0,20.0,20.0,20.0,100.0,3,6.464142322540283,2026-04-26T19:00:49.187,archive/2026-04-26/standard_csv/raw_bytes_20260426_190051.csv,6.411872386932373,2026-04-26T19:01:14.187,archive/2026-04-26/standard_csv/raw_bytes_20260426_190116.csv,6.399845600128174,2026-04-26T19:01:39.187,archive/2026-04-26/standard_csv/raw_bytes_20260426_190141.csv,3,6.425286769866943
7,normal,7,4,1,48,12,60,4.000000,2026-04-26T19:02:04.189,2026-04-26T19:02:04.192,2026-04-26T19:02:05.488,1296.0,2026-04-26T19:02:25.490,2026-04-26T19:02:28.666,3176.0,2026-04-26T19:02:48.670,2026-04-26T19:02:48.671,2026-04-26T19:02:50.417,1746.0,2026-04-26T19:03:10.419,2026-04-26T19:04:50.419,2026-04-26T19:04:50.419,10.0,20.0,20.0,20.0,100.0,3,10.16250228881836,2026-04-26T19:03:35.419,archive/2026-04-26/standard_csv/raw_bytes_20260426_190337.csv,10.150003433227539,2026-04-26T19:04:00.419,archive/2026-04-26/standard_csv/raw_bytes_20260426_190402.csv,10.14999771118164,2026-04-26T19:04:25.419,archive/2026-04-26/standard_csv/raw_bytes_20260426_190427.csv,3,10.154167811075846
8,normal,8,4,1,64,16,80,4.000000,2026-04-26T19:04:50.422,2026-04-26T19:04:50.425,2026-04-26T19:04:52.222,1797.0,2026-04-26T19:05:12.226,2026-04-26T19:05:14.291,2065.0,2026-04-26T19:05:34.293,2026-04-26T19:05:34.294,2026-04-26T19:05:35.894,1600.0,2026-04-26T19:05:55.896,2026-04-26T19:07:35.897,2026-04-26T19:07:35.897,10.0,20.0,20.0,20.0,100.0,3,14.19118595123291,2026-04-26T19:06:20.896,archive/2026-04-26/standard_csv/raw_bytes_20260426_190623.csv,14.165040969848633,2026-04-26T19:06:45.896,archive/2026-04-26/standard_csv/raw_bytes_20260426_190648.csv,14.117637634277344,2026-04-26T19:07:10.896,archive/2026-04-26/standard_csv/raw_bytes_20260426_190713.csv,3,14.157954851786295
9,normal,9,2,1,13,7,20,1.857143,2026-04-26T19:07:35.900,2026-04-26T19:07:35.903,2026-04-26T19:07:37.246,1343.0,2026-04-26T19:07:57.249,2026-04-26T19:08:02.342,5093.0,2026-04-26T19:08:22.344,2026-04-26T19:08:22.345,2026-04-26T19:08:25.780,3435.0,2026-04-26T19:08:45.783,2026-04-26T19:10:25.783,2026-04-26T19:10:25.783,10.0,20.0,20.0,20.0,100.0,3,2.1077864170074463,2026-04-26T19:09:10.783,archive/2026-04-26/standard_csv/raw_bytes_20260426_190912.csv,2.1208837032318115,2026-04-26T19:09:35.783,archive/2026-04-26/standard_csv/raw_bytes_20260426_190937.csv,2.1225481033325195,2026-04-26T19:10:00.783,archive/2026-04-26/standard_csv/raw_bytes_20260426_191002.csv,3,2.1170727411905923
10,normal,10,2,1,27,13,40,2.076923,2026-04-26T19:10:25.785,2026-04-26T19:10:25.789,2026-04-26T19:10:27.724,1935.0,2026-04-26T19:10:47.727,2026-04-26T19:10:50.336,2609.0,2026-04-26T19:11:10.338,2026-04-26T19:11:10.339,2026-04-26T19:11:11.944,1605.0,2026-04-26T19:11:31.946,2026-04-26T19:13:11.946,2026-04-26T19:13:11.946,10.0,20.0,20.0,20.0,100.0,3,5.868464946746826,2026-04-26T19:11:56.946,archive/2026-04-26/standard_csv/raw_bytes_20260426_191159.csv,5.835372447967529,2026-04-26T19:12:21.946,archive/2026-04-26/standard_csv/raw_bytes_20260426_191224.csv,5.838389873504639,2026-04-26T19:12:46.946,archive/2026-04-26/standard_csv/raw_bytes_20260426_191249.csv,3,5.847409089406331
