Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/03/02 23:52
PAR(mW/cm²),0.2704355716705322
PPFD(umol/㎡/s),14.226805686950684
PPFD-UV(umol/㎡/s),0.0005771695869043469
PPFD-B(umol/㎡/s),0.0008960257982835174
PPFD-G(umol/㎡/s),0.044051893055438995
PPFD-R(umol/㎡/s),14.181857109069824
PPFD-FR(umol/㎡/s),0.004902011714875698
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),27.523916244506836
Erb Ratio,12080.82421875
YPFD(umol/m²/s),13.998858451843262
Ech-A(mW/cm²),0.004358422942459583
Ech-B(mW/cm²),0.0018771629547700286
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),516.8888549804688
Candle E(fc),48.03799819946289
CCT(K),1001.0
Duv,0.3461637496948242
x,0.6997113823890686
y,0.30013617873191833
u,0.5380107164382935
v,0.3461637496948242
u’,0.5380107164382935
v’,0.5192456245422363
SDCM,100.0
Ra,4.772337913513184
R1,-4.037736415863037
R2,74.6326904296875
R3,24.965518951416016
R4,-36.749488830566406
R5,-6.5306715965271
R6,90.92391967773438
R7,-9.148364067077637
R8,-95.87715911865234
R9,-100.0
R10,66.9170913696289
R11,-21.746671676635742
R12,79.35186767578125
R13,22.12358283996582
R14,55.68177032470703
R15,-53.02962875366211
Ee(mW/cm²),0.2704355716705322
S/P,0.043060172349214554
Dominant(nm),624.5
Purity(%),99.98253631591797
Half width(nm),18.3773193359375
Peak(nm),631.8684692382812
Center(nm),630.5147094726562
Centroid(nm),629.5
R ratio(%),99.73062133789062
G ratio(%),0.25657138228416443
B ratio(%),0.012806862592697144
Integrat.Time(ms),26.0
Peak Signal,55375.0
Dark Signal,2713.0
Compensate level,2500.0
StartTestWave,380
EndTestWave,780
380,0.09310302883386612
381,0.0577445812523365
382,0.0262007899582386
383,0.0043243346735835075
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.025432460010051727
422,0.0024530712980777025
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.001017434406094253
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0021539388690143824
486,0.028411058709025383
487,0.050505947321653366
488,0.0384276807308197
489,0.016568787395954132
490,0.0005108233890496194
491,0.00408300943672657
492,0.010570360347628593
493,0.013965222053229809
494,0.012158087454736233
495,0.005154174752533436
496,0.0
497,0.0
498,0.0
499,0.0025991422589868307
500,0.009009907022118568
501,0.006776366848498583
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.002392442198470235
513,0.004427323583513498
514,0.0006144429207779467
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.00010866177035495639
524,0.010386327281594276
525,0.01215595006942749
526,0.019564712420105934
527,0.0359724760055542
528,0.04559337720274925
529,0.016954487189650536
530,0.0057890042662620544
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0008656388963572681
539,0.01683768630027771
540,0.032734110951423645
541,0.03732990846037865
542,0.021786903962492943
543,0.011016448959708214
544,0.009585294872522354
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.00010042577923741192
556,0.0034740795381367207
557,0.014078626409173012
558,0.019841216504573822
559,0.015774773433804512
560,0.01639420911669731
561,0.004376047290861607
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.012964563444256783
575,0.03270396962761879
576,0.03196641802787781
577,0.022126633673906326
578,0.011420176364481449
579,0.00010270877100992948
580,0.0
581,0.001374957850202918
582,0.0198857169598341
583,0.03662508353590965
584,0.06644739955663681
585,0.09069498628377914
586,0.09873683750629425
587,0.11277304589748383
588,0.13730384409427643
589,0.16062141954898834
590,0.1766742467880249
591,0.19823819398880005
592,0.2295033484697342
593,0.2719958424568176
594,0.3332306146621704
595,0.44297245144844055
596,0.5982641577720642
597,0.8240661025047302
598,1.114721655845642
599,1.4902063608169556
600,1.9944124221801758
601,2.6544363498687744
602,3.4544730186462402
603,4.448101997375488
604,5.625539779663086
605,6.97883939743042
606,8.510692596435547
607,10.242136001586914
608,12.181192398071289
609,14.334009170532227
610,16.708961486816406
611,19.355148315429688
612,22.317272186279297
613,25.00176239013672
614,27.876300811767578
615,31.62960433959961
616,35.7241096496582
617,40.137176513671875
618,44.907936096191406
619,50.076805114746094
620,55.69346237182617
621,61.66628646850586
622,68.04145812988281
623,74.86988830566406
624,82.11984252929688
625,89.90199279785156
626,98.01959228515625
627,106.16695404052734
628,113.89544677734375
629,120.82579040527344
630,125.68170928955078
631,128.75558471679688
632,129.62457275390625
633,127.48871612548828
634,122.1153793334961
635,113.99942779541016
636,104.0328140258789
637,92.87567138671875
638,81.35808563232422
639,70.00520324707031
640,59.370426177978516
641,49.7691650390625
642,41.36821746826172
643,34.126121520996094
644,28.07465934753418
645,23.77497100830078
646,20.117876052856445
647,16.43131446838379
648,13.33334732055664
649,10.7398099899292
650,8.655969619750977
651,6.954575538635254
652,5.627501487731934
653,4.570762634277344
654,3.6959621906280518
655,2.9617741107940674
656,2.391824245452881
657,1.9198434352874756
658,1.550013542175293
659,1.3053339719772339
660,1.1099885702133179
661,0.9241083264350891
662,0.7671390771865845
663,0.6386463046073914
664,0.5113059282302856
665,0.40462327003479004
666,0.31262582540512085
667,0.24902112782001495
668,0.19596068561077118
669,0.17938418686389923
670,0.17032834887504578
671,0.1699748933315277
672,0.1752607524394989
673,0.16023574769496918
674,0.12114184349775314
675,0.0842876210808754
676,0.08655175566673279
677,0.08613010495901108
678,0.07069561630487442
679,0.07804037630558014
680,0.10928692668676376
681,0.09126541763544083
682,0.05319133400917053
683,0.035446878522634506
684,0.04074447602033615
685,0.07474318891763687
686,0.09428457915782928
687,0.12436266243457794
688,0.158401757478714
689,0.1685394048690796
690,0.14133796095848083
691,0.11541597545146942
692,0.09537608921527863
693,0.07543930411338806
694,0.0561683289706707
695,0.034713853150606155
696,0.027387605980038643
697,0.04373308643698692
698,0.05004291608929634
699,0.06889750808477402
700,0.08228936046361923
701,0.07300445437431335
702,0.038968462496995926
703,0.014333680272102356
704,0.00021891370124649256
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0313393697142601
715,0.04324975982308388
716,0.03229055181145668
717,0.05160217359662056
718,0.04944898188114166
719,0.022960513830184937
720,0.02152389846742153
721,0.037947140634059906
722,0.01974957436323166
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0007417048327624798
730,0.0054039545357227325
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0009501815075054765
740,0.01559543702751398
741,0.037876877933740616
742,0.04051448404788971
743,0.0027205811347812414
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.018856413662433624
768,0.055476848036050797
769,0.05505707114934921
770,0.03658454120159149
771,0.015134473331272602
772,0.015812542289495468
773,0.002436588052660227
774,0.03254443034529686
775,0.025133347138762474
776,0.0002786018012557179
777,0.0
778,0.0
779,0.0
780,0.0
