segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,0,10,0,10,inf,2026-04-26T21:17:20.883,2026-04-26T21:17:20.884,2026-04-26T21:17:22.203,1319.0,2026-04-26T21:17:42.206,2026-04-26T21:17:44.530,2324.0,2026-04-26T21:18:04.532,2026-04-26T21:18:04.535,2026-04-26T21:18:06.178,1643.0,2026-04-26T21:18:26.180,2026-04-26T21:20:06.180,2026-04-26T21:20:06.180,10.0,20.0,20.0,20.0,100.0,3,1.179854393005371,2026-04-26T21:18:51.180,archive/2026-04-26/standard_csv/raw_bytes_20260426_211853.csv,1.1886100769042969,2026-04-26T21:19:16.180,archive/2026-04-26/standard_csv/raw_bytes_20260426_211918.csv,1.1915549039840698,2026-04-26T21:19:41.181,archive/2026-04-26/standard_csv/raw_bytes_20260426_211943.csv,3,1.1866731246312459
2,normal,2,1,0,30,0,30,inf,2026-04-26T21:20:06.183,2026-04-26T21:20:06.183,2026-04-26T21:20:07.510,1327.0,2026-04-26T21:20:27.513,2026-04-26T21:20:32.519,5006.0,2026-04-26T21:20:52.521,2026-04-26T21:20:52.522,2026-04-26T21:20:55.011,2489.0,2026-04-26T21:21:15.014,2026-04-26T21:22:55.014,2026-04-26T21:22:55.014,10.0,20.0,20.0,20.0,100.0,3,5.6225152015686035,2026-04-26T21:21:40.014,archive/2026-04-26/standard_csv/raw_bytes_20260426_212142.csv,5.593589782714844,2026-04-26T21:22:05.014,archive/2026-04-26/standard_csv/raw_bytes_20260426_212207.csv,5.583748817443848,2026-04-26T21:22:30.014,archive/2026-04-26/standard_csv/raw_bytes_20260426_212232.csv,3,5.599951267242432
3,normal,3,1,0,50,0,50,inf,2026-04-26T21:22:55.016,2026-04-26T21:22:55.019,2026-04-26T21:22:56.343,1324.0,2026-04-26T21:23:16.346,2026-04-26T21:23:18.352,2005.9999999999998,2026-04-26T21:23:38.354,2026-04-26T21:23:38.355,2026-04-26T21:23:40.010,1655.0,2026-04-26T21:24:00.012,2026-04-26T21:25:40.012,2026-04-26T21:25:40.012,10.0,20.0,20.0,20.0,100.0,3,10.070488929748535,2026-04-26T21:24:25.012,archive/2026-04-26/standard_csv/raw_bytes_20260426_212427.csv,10.047297477722168,2026-04-26T21:24:50.012,archive/2026-04-26/standard_csv/raw_bytes_20260426_212452.csv,10.032003402709961,2026-04-26T21:25:15.012,archive/2026-04-26/standard_csv/raw_bytes_20260426_212517.csv,3,10.049929936726889
4,normal,4,1,0,70,0,70,inf,2026-04-26T21:25:40.015,2026-04-26T21:25:40.031,2026-04-26T21:25:41.358,1327.0,2026-04-26T21:26:01.361,2026-04-26T21:26:04.180,2819.0,2026-04-26T21:26:24.184,2026-04-26T21:26:24.185,2026-04-26T21:26:27.849,3664.0,2026-04-26T21:26:47.850,2026-04-26T21:28:27.850,2026-04-26T21:28:27.850,10.0,20.0,20.0,20.0,100.0,3,14.289825439453125,2026-04-26T21:27:12.850,archive/2026-04-26/standard_csv/raw_bytes_20260426_212715.csv,14.226805686950684,2026-04-26T21:27:37.850,archive/2026-04-26/standard_csv/raw_bytes_20260426_212740.csv,14.156682968139648,2026-04-26T21:28:02.850,archive/2026-04-26/standard_csv/raw_bytes_20260426_212805.csv,3,14.224438031514486
5,normal,5,1,0,90,0,90,inf,2026-04-26T21:28:27.852,2026-04-26T21:28:27.855,2026-04-26T21:28:29.184,1329.0,2026-04-26T21:28:49.187,2026-04-26T21:28:52.063,2876.0,2026-04-26T21:29:12.065,2026-04-26T21:29:12.066,2026-04-26T21:29:13.669,1603.0,2026-04-26T21:29:33.671,2026-04-26T21:31:13.671,2026-04-26T21:31:13.671,10.0,20.0,20.0,20.0,100.0,3,18.314231872558594,2026-04-26T21:29:58.671,archive/2026-04-26/standard_csv/raw_bytes_20260426_213000.csv,18.330467224121094,2026-04-26T21:30:23.671,archive/2026-04-26/standard_csv/raw_bytes_20260426_213025.csv,18.26903533935547,2026-04-26T21:30:48.671,archive/2026-04-26/standard_csv/raw_bytes_20260426_213050.csv,3,18.30457814534505
6,normal,6,4,1,8,2,10,4.000000,2026-04-26T21:31:13.674,2026-04-26T21:31:13.676,2026-04-26T21:31:15.572,1896.0,2026-04-26T21:31:35.576,2026-04-26T21:31:41.322,5746.0,2026-04-26T21:32:01.324,2026-04-26T21:32:01.325,2026-04-26T21:32:03.483,2158.0,2026-04-26T21:32:23.485,2026-04-26T21:34:03.485,2026-04-26T21:34:03.485,10.0,20.0,20.0,20.0,100.0,3,0.7358527779579163,2026-04-26T21:32:48.485,archive/2026-04-26/standard_csv/raw_bytes_20260426_213250.csv,0.7466918230056763,2026-04-26T21:33:13.485,archive/2026-04-26/standard_csv/raw_bytes_20260426_213315.csv,0.7478564381599426,2026-04-26T21:33:38.485,archive/2026-04-26/standard_csv/raw_bytes_20260426_213340.csv,3,0.7434670130411783
7,normal,7,4,1,24,6,30,4.000000,2026-04-26T21:34:03.488,2026-04-26T21:34:03.490,2026-04-26T21:34:04.800,1310.0,2026-04-26T21:34:24.806,2026-04-26T21:34:27.350,2544.0,2026-04-26T21:34:47.352,2026-04-26T21:34:47.353,2026-04-26T21:34:50.178,2825.0,2026-04-26T21:35:10.181,2026-04-26T21:36:50.181,2026-04-26T21:36:50.181,10.0,20.0,20.0,20.0,100.0,3,4.499967575073242,2026-04-26T21:35:35.181,archive/2026-04-26/standard_csv/raw_bytes_20260426_213538.csv,4.523969650268555,2026-04-26T21:36:00.181,archive/2026-04-26/standard_csv/raw_bytes_20260426_213602.csv,4.50568151473999,2026-04-26T21:36:25.181,archive/2026-04-26/standard_csv/raw_bytes_20260426_213627.csv,3,4.509872913360596
8,normal,8,4,1,40,10,50,4.000000,2026-04-26T21:36:50.183,2026-04-26T21:36:50.186,2026-04-26T21:36:51.508,1322.0,2026-04-26T21:37:11.511,2026-04-26T21:37:13.645,2134.0,2026-04-26T21:37:33.647,2026-04-26T21:37:33.648,2026-04-26T21:37:35.245,1597.0,2026-04-26T21:37:55.247,2026-04-26T21:39:35.247,2026-04-26T21:39:35.247,10.0,20.0,20.0,20.0,100.0,3,8.412967681884766,2026-04-26T21:38:20.247,archive/2026-04-26/standard_csv/raw_bytes_20260426_213822.csv,8.451135635375977,2026-04-26T21:38:45.247,archive/2026-04-26/standard_csv/raw_bytes_20260426_213847.csv,8.4159517288208,2026-04-26T21:39:10.247,archive/2026-04-26/standard_csv/raw_bytes_20260426_213912.csv,3,8.426685015360514
9,normal,9,4,1,56,14,70,4.000000,2026-04-26T21:39:35.250,2026-04-26T21:39:35.259,2026-04-26T21:39:37.236,1977.0,2026-04-26T21:39:57.239,2026-04-26T21:40:02.163,4924.0,2026-04-26T21:40:22.166,2026-04-26T21:40:22.167,2026-04-26T21:40:24.449,2282.0,2026-04-26T21:40:44.451,2026-04-26T21:42:24.452,2026-04-26T21:42:24.452,10.0,20.0,20.0,20.0,100.0,3,12.291869163513184,2026-04-26T21:41:09.452,archive/2026-04-26/standard_csv/raw_bytes_20260426_214111.csv,12.279790878295898,2026-04-26T21:41:34.452,archive/2026-04-26/standard_csv/raw_bytes_20260426_214136.csv,12.27113151550293,2026-04-26T21:41:59.452,archive/2026-04-26/standard_csv/raw_bytes_20260426_214201.csv,3,12.280930519104004
10,normal,10,4,1,72,18,90,4.000000,2026-04-26T21:42:24.454,2026-04-26T21:42:24.457,2026-04-26T21:42:25.771,1314.0,2026-04-26T21:42:45.774,2026-04-26T21:42:48.058,2284.0,2026-04-26T21:43:08.060,2026-04-26T21:43:08.061,2026-04-26T21:43:09.703,1642.0,2026-04-26T21:43:29.705,2026-04-26T21:45:09.706,2026-04-26T21:45:09.706,10.0,20.0,20.0,20.0,100.0,3,16.407316207885742,2026-04-26T21:43:54.706,archive/2026-04-26/standard_csv/raw_bytes_20260426_214356.csv,16.342872619628906,2026-04-26T21:44:19.706,archive/2026-04-26/standard_csv/raw_bytes_20260426_214421.csv,16.34197998046875,2026-04-26T21:44:44.706,archive/2026-04-26/standard_csv/raw_bytes_20260426_214446.csv,3,16.3640562693278
