Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/03/03 15:44
PAR(mW/cm²),0.20955166220664978
PPFD(umol/㎡/s),10.99950885772705
PPFD-UV(umol/㎡/s),0.0030120874289423227
PPFD-B(umol/㎡/s),0.008075934834778309
PPFD-G(umol/㎡/s),0.03013080544769764
PPFD-R(umol/㎡/s),10.961301803588867
PPFD-FR(umol/㎡/s),0.01587042398750782
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),27.18923568725586
Erb Ratio,962.2842407226562
YPFD(umol/m²/s),10.833174705505371
Ech-A(mW/cm²),0.0033578616566956043
Ech-B(mW/cm²),0.0014307384844869375
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),404.5538024902344
Candle E(fc),37.59793472290039
CCT(K),1001.0
Duv,0.3459862768650055
x,0.6984737515449524
y,0.3000999987125397
u,0.5368484258651733
v,0.3459862768650055
u’,0.5368484258651733
v’,0.5189794301986694
SDCM,100.0
Ra,5.871148109436035
R1,-2.2644691467285156
R2,75.92131042480469
R3,24.770540237426758
R4,-34.55234909057617
R5,-4.016384601593018
R6,92.6962661743164
R7,-9.796158790588379
R8,-95.7895736694336
R9,-100.0
R10,69.06847381591797
R11,-18.151165008544922
R12,78.64142608642578
R13,24.094675064086914
R14,55.830448150634766
R15,-51.9220085144043
Ee(mW/cm²),0.20955166220664978
S/P,0.04874969273805618
Dominant(nm),624.5999755859375
Purity(%),99.59961700439453
Half width(nm),18.035400390625
Peak(nm),630.8472900390625
Center(nm),630.0039672851562
Centroid(nm),629.0
R ratio(%),99.63090515136719
G ratio(%),0.2243158370256424
B ratio(%),0.14477092027664185
Integrat.Time(ms),33.0
Peak Signal,54911.0
Dark Signal,2228.0
Compensate level,2510.0
StartTestWave,380
EndTestWave,780
380,0.02953692525625229
381,0.006313174497336149
382,0.02154545485973358
383,0.037578485906124115
384,0.039983682334423065
385,0.060025978833436966
386,0.08888646215200424
387,0.05922412872314453
388,0.017536921426653862
389,0.013528387993574142
390,0.023950282484292984
391,0.05762078985571861
392,0.1289706975221634
393,0.13217774033546448
394,0.1185484379529953
395,0.08628090471029282
396,0.002906122710555792
397,0.0
398,0.0
399,0.0
400,0.0
401,0.009304393082857132
402,0.06192917749285698
403,0.037557244300842285
404,0.0050824908539652824
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0017441652016714215
411,0.032135434448719025
412,0.05532523989677429
413,0.06822340935468674
414,0.03951351344585419
415,0.03954338654875755
416,0.039438068866729736
417,0.025003081187605858
418,0.03132238984107971
419,0.03597593307495117
420,0.0053244405426084995
421,0.0
422,0.0
423,0.0004355018027126789
424,0.005312508437782526
425,0.021254893392324448
426,0.018976932391524315
427,0.005438382271677256
428,0.005449587479233742
429,0.012787865474820137
430,0.028895437717437744
431,0.03675972297787666
432,0.05676376819610596
433,0.05582336708903313
434,0.04367801547050476
435,0.02344570681452751
436,0.008737677708268166
437,0.013000003062188625
438,0.011279329657554626
439,0.024324065074324608
440,0.037268076092004776
441,0.05597879737615585
442,0.051725901663303375
443,0.0437808483839035
444,0.02401529811322689
445,0.016666429117321968
446,0.012788872234523296
447,0.010315637104213238
448,0.02304658479988575
449,0.02810661680996418
450,0.03236789256334305
451,0.03164513409137726
452,0.030451200902462006
453,0.026019003242254257
454,0.010276387445628643
455,0.0058699375949800014
456,0.026251867413520813
457,0.043092843145132065
458,0.04362189397215843
459,0.04431538283824921
460,0.04055385664105415
461,0.017574239522218704
462,0.003544919891282916
463,0.0026923862751573324
464,0.0167373176664114
465,0.02948983572423458
466,0.03688637539744377
467,0.03774546831846237
468,0.04500151425600052
469,0.04989108815789223
470,0.04102398827672005
471,0.02687130682170391
472,0.035799067467451096
473,0.03953687474131584
474,0.022402571514248848
475,0.023412303999066353
476,0.021886901929974556
477,0.0006172375869937241
478,0.0
479,0.0
480,0.0
481,0.003390170866623521
482,0.022826462984085083
483,0.022805480286478996
484,0.021882779896259308
485,0.024777675047516823
486,0.031328801065683365
487,0.024788230657577515
488,0.008227779529988766
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0006127545493654907
498,0.009969419799745083
499,0.015447663143277168
500,0.030282242223620415
501,0.0453355573117733
502,0.03503332659602165
503,0.021595127880573273
504,0.015285692177712917
505,0.018776696175336838
506,0.011783686466515064
507,0.014807093888521194
508,0.012983160093426704
509,0.014482446014881134
510,0.0075011481530964375
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0005647363141179085
517,0.010787642560899258
518,0.022975148633122444
519,0.020865941420197487
520,0.018748972564935684
521,0.028316080570220947
522,0.024897968396544456
523,0.021665243431925774
524,0.02696176804602146
525,0.032183874398469925
526,0.027212347835302353
527,0.032494861632585526
528,0.02883107028901577
529,0.033227141946554184
530,0.02927273139357567
531,0.027885213494300842
532,0.02168605476617813
533,0.018196897581219673
534,0.011672494001686573
535,0.014205068349838257
536,0.014411406591534615
537,0.023510999977588654
538,0.024023286998271942
539,0.010991867631673813
540,0.013161394745111465
541,0.011373994871973991
542,0.015116211026906967
543,0.01935315690934658
544,0.03380677476525307
545,0.03100871853530407
546,0.024223145097494125
547,0.005831417627632618
548,0.0018045714823529124
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0008085203007794917
559,0.010636779479682446
560,0.01960163190960884
561,0.03743867576122284
562,0.049284372478723526
563,0.04855037108063698
564,0.034853495657444
565,0.030474968254566193
566,0.02565288171172142
567,0.01126697938889265
568,0.007394096348434687
569,0.013621668331325054
570,0.013533386401832104
571,0.010171462781727314
572,0.01338933315128088
573,0.003716531442478299
574,0.001246641157194972
575,0.0009289677836932242
576,0.007005103398114443
577,0.0012162596685811877
578,0.007538542151451111
579,0.0038851480931043625
580,0.0011696567526087165
581,0.0
582,0.0
583,0.0
584,0.0
585,0.001959814690053463
586,0.012420338578522205
587,0.011735803447663784
588,0.017541395500302315
589,0.01840241625905037
590,0.025117047131061554
591,0.03553897887468338
592,0.05401579290628433
593,0.09249826520681381
594,0.15641745924949646
595,0.2400951087474823
596,0.36127427220344543
597,0.5348595380783081
598,0.7658651471138
599,1.0842853784561157
600,1.5102925300598145
601,2.0530924797058105
602,2.724104404449463
603,3.5111358165740967
604,4.42354679107666
605,5.493510723114014
606,6.726507663726807
607,8.123675346374512
608,9.720754623413086
609,11.459593772888184
610,13.353344917297363
611,15.451847076416016
612,17.802106857299805
613,19.901844024658203
614,22.18992805480957
615,25.195466995239258
616,28.45479393005371
617,31.914289474487305
618,35.697776794433594
619,39.84751510620117
620,44.381736755371094
621,49.28671646118164
622,54.541690826416016
623,60.21477508544922
624,66.2436294555664
625,72.64002227783203
626,79.2154312133789
627,85.70476531982422
628,91.70877838134766
629,96.6804428100586
630,99.98483276367188
631,101.69274139404297
632,101.36590576171875
633,98.50768280029297
634,93.2168197631836
635,86.02951049804688
636,77.60453796386719
637,68.59124755859375
638,59.52470397949219
639,50.833404541015625
640,42.82902908325195
641,35.691062927246094
642,29.51869010925293
643,24.25945472717285
644,19.85835838317871
645,16.74148941040039
646,14.104992866516113
647,11.465522766113281
648,9.285606384277344
649,7.484732151031494
650,5.972524642944336
651,4.749161720275879
652,3.77156138420105
653,2.999328136444092
654,2.3851370811462402
655,1.9229713678359985
656,1.5452345609664917
657,1.2185341119766235
658,0.9423913955688477
659,0.7577368021011353
660,0.6089786887168884
661,0.4817332625389099
662,0.3903864324092865
663,0.3297455906867981
664,0.28755274415016174
665,0.25902608036994934
666,0.21979369223117828
667,0.17482584714889526
668,0.1280369907617569
669,0.10233933478593826
670,0.07568473368883133
671,0.058312442153692245
672,0.06276557594537735
673,0.08310216665267944
674,0.09407324343919754
675,0.09793505072593689
676,0.1022886261343956
677,0.09637865424156189
678,0.07177706062793732
679,0.04152132570743561
680,0.00915655680000782
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.00726570887491107
689,0.017820559442043304
690,0.03793848678469658
691,0.06287255883216858
692,0.07297366857528687
693,0.05027132108807564
694,0.04425413906574249
695,0.04484616219997406
696,0.028881246224045753
697,0.016951169818639755
698,0.013383366167545319
699,0.01777835562825203
700,0.019203845411539078
701,0.02650824934244156
702,0.025320859625935555
703,0.018194613978266716
704,0.0031914650462567806
705,0.0
706,0.008851403370499611
707,0.014285051263868809
708,0.010180921293795109
709,0.005448987707495689
710,0.004173352383077145
711,0.00087077816715464
712,0.0
713,0.018668200820684433
714,0.02701873704791069
715,0.02262970060110092
716,0.019163239747285843
717,0.03591606765985489
718,0.022214459255337715
719,0.01249255333095789
720,0.03357184678316116
721,0.024404730647802353
722,0.015630343928933144
723,0.010382980108261108
724,0.0283697247505188
725,0.042836993932724
726,0.03213975206017494
727,0.018426870927214622
728,0.021435566246509552
729,0.021554123610258102
730,0.018718868494033813
731,0.04445574805140495
732,0.057362593710422516
733,0.060460589826107025
734,0.04033495485782623
735,0.0326291099190712
736,0.016589954495429993
737,0.006480205804109573
738,0.026804329827427864
739,0.028070118278265
740,0.02096777781844139
741,0.021682780236005783
742,0.012692163698375225
743,0.0
744,0.0
745,0.021336238831281662
746,0.030310461297631264
747,0.02740432135760784
748,0.0282700564712286
749,0.0074104079976677895
750,0.0
751,0.0
752,0.0
753,0.006591497920453548
754,0.07343560457229614
755,0.15625694394111633
756,0.2122124582529068
757,0.2417370229959488
758,0.22555115818977356
759,0.1878257840871811
760,0.1066160798072815
761,0.0442381277680397
762,0.04016309604048729
763,0.04969191178679466
764,0.03934980556368828
765,0.032680779695510864
766,0.03631794452667236
767,0.0037139584310352802
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0005277657764963806
773,0.02293098159134388
774,0.03350580111145973
775,0.005439999978989363
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
