segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,0,10,0,10,inf,2026-04-27T13:12:38.057,2026-04-27T13:12:38.058,2026-04-27T13:12:39.361,1303.0,2026-04-27T13:12:59.363,2026-04-27T13:13:01.315,1952.0,2026-04-27T13:13:21.316,2026-04-27T13:13:21.318,2026-04-27T13:13:23.385,2067.0,2026-04-27T13:13:43.387,2026-04-27T13:15:23.387,2026-04-27T13:15:23.387,10.0,20.0,20.0,20.0,100.0,3,1.3073053359985352,2026-04-27T13:14:08.387,archive/2026-04-27/standard_csv/raw_bytes_20260427_131410.csv,1.2998062372207642,2026-04-27T13:14:33.387,archive/2026-04-27/standard_csv/raw_bytes_20260427_131435.csv,1.3047459125518799,2026-04-27T13:14:58.387,archive/2026-04-27/standard_csv/raw_bytes_20260427_131500.csv,3,1.3039524952570598
2,normal,2,1,0,30,0,30,inf,2026-04-27T13:15:23.390,2026-04-27T13:15:23.390,2026-04-27T13:15:24.722,1332.0,2026-04-27T13:15:44.724,2026-04-27T13:15:49.079,4355.0,2026-04-27T13:16:09.081,2026-04-27T13:16:09.082,2026-04-27T13:16:12.715,3633.0,2026-04-27T13:16:32.718,2026-04-27T13:18:12.718,2026-04-27T13:18:12.718,10.0,20.0,20.0,20.0,100.0,3,6.075834274291992,2026-04-27T13:16:57.718,archive/2026-04-27/standard_csv/raw_bytes_20260427_131659.csv,6.0847907066345215,2026-04-27T13:17:22.718,archive/2026-04-27/standard_csv/raw_bytes_20260427_131724.csv,6.105810642242432,2026-04-27T13:17:47.718,archive/2026-04-27/standard_csv/raw_bytes_20260427_131749.csv,3,6.088811874389648
3,normal,3,1,0,50,0,50,inf,2026-04-27T13:18:12.720,2026-04-27T13:18:12.723,2026-04-27T13:18:14.056,1333.0,2026-04-27T13:18:34.059,2026-04-27T13:18:35.949,1890.0,2026-04-27T13:18:55.950,2026-04-27T13:18:55.952,2026-04-27T13:19:00.113,4161.0,2026-04-27T13:19:20.116,2026-04-27T13:21:00.116,2026-04-27T13:21:00.116,10.0,20.0,20.0,20.0,100.0,3,10.99950885772705,2026-04-27T13:19:45.116,archive/2026-04-27/standard_csv/raw_bytes_20260427_131947.csv,10.98879623413086,2026-04-27T13:20:10.116,archive/2026-04-27/standard_csv/raw_bytes_20260427_132012.csv,10.959986686706543,2026-04-27T13:20:35.116,archive/2026-04-27/standard_csv/raw_bytes_20260427_132037.csv,3,10.98276392618815
4,normal,4,1,0,70,0,70,inf,2026-04-27T13:21:00.119,2026-04-27T13:21:00.121,2026-04-27T13:21:01.465,1344.0,2026-04-27T13:21:21.468,2026-04-27T13:21:24.096,2628.0,2026-04-27T13:21:44.098,2026-04-27T13:21:44.099,2026-04-27T13:21:45.714,1615.0,2026-04-27T13:22:05.716,2026-04-27T13:23:45.716,2026-04-27T13:23:45.716,10.0,20.0,20.0,20.0,100.0,3,15.562527656555176,2026-04-27T13:22:30.716,archive/2026-04-27/standard_csv/raw_bytes_20260427_132232.csv,15.560306549072266,2026-04-27T13:22:55.716,archive/2026-04-27/standard_csv/raw_bytes_20260427_132257.csv,15.5321626663208,2026-04-27T13:23:20.716,archive/2026-04-27/standard_csv/raw_bytes_20260427_132322.csv,3,15.551665623982748
5,normal,5,1,0,90,0,90,inf,2026-04-27T13:23:45.718,2026-04-27T13:23:45.721,2026-04-27T13:23:48.651,2930.0,2026-04-27T13:24:08.654,2026-04-27T13:24:12.566,3912.0,2026-04-27T13:24:32.567,2026-04-27T13:24:32.568,2026-04-27T13:24:34.834,2266.0,2026-04-27T13:24:54.836,2026-04-27T13:26:34.836,2026-04-27T13:26:34.836,10.0,20.0,20.0,20.0,100.0,3,20.097522735595703,2026-04-27T13:25:19.836,archive/2026-04-27/standard_csv/raw_bytes_20260427_132521.csv,20.11379623413086,2026-04-27T13:25:44.836,archive/2026-04-27/standard_csv/raw_bytes_20260427_132546.csv,20.070823669433594,2026-04-27T13:26:09.836,archive/2026-04-27/standard_csv/raw_bytes_20260427_132611.csv,3,20.09404754638672
6,normal,6,4,1,8,2,10,4.000000,2026-04-27T13:26:34.839,2026-04-27T13:26:34.847,2026-04-27T13:26:36.161,1314.0,2026-04-27T13:26:56.164,2026-04-27T13:26:58.395,2231.0,2026-04-27T13:27:18.397,2026-04-27T13:27:18.398,2026-04-27T13:27:19.986,1588.0,2026-04-27T13:27:39.988,2026-04-27T13:29:19.988,2026-04-27T13:29:19.988,10.0,20.0,20.0,20.0,100.0,3,0.7979763150215149,2026-04-27T13:28:04.988,archive/2026-04-27/standard_csv/raw_bytes_20260427_132807.csv,0.8158561587333679,2026-04-27T13:28:29.988,archive/2026-04-27/standard_csv/raw_bytes_20260427_132832.csv,0.8152798414230347,2026-04-27T13:28:54.988,archive/2026-04-27/standard_csv/raw_bytes_20260427_132857.csv,3,0.8097041050593058
7,normal,7,4,1,24,6,30,4.000000,2026-04-27T13:29:19.990,2026-04-27T13:29:19.994,2026-04-27T13:29:21.324,1330.0,2026-04-27T13:29:41.327,2026-04-27T13:29:43.444,2117.0,2026-04-27T13:30:03.446,2026-04-27T13:30:03.447,2026-04-27T13:30:07.374,3927.0,2026-04-27T13:30:27.377,2026-04-27T13:32:07.377,2026-04-27T13:32:07.377,10.0,20.0,20.0,20.0,100.0,3,4.850373268127441,2026-04-27T13:30:52.377,archive/2026-04-27/standard_csv/raw_bytes_20260427_133054.csv,4.879380702972412,2026-04-27T13:31:17.377,archive/2026-04-27/standard_csv/raw_bytes_20260427_133119.csv,4.868685722351074,2026-04-27T13:31:42.377,archive/2026-04-27/standard_csv/raw_bytes_20260427_133144.csv,3,4.866146564483643
8,normal,8,4,1,40,10,50,4.000000,2026-04-27T13:32:07.380,2026-04-27T13:32:07.382,2026-04-27T13:32:08.869,1487.0,2026-04-27T13:32:28.872,2026-04-27T13:32:30.773,1901.0,2026-04-27T13:32:50.776,2026-04-27T13:32:50.777,2026-04-27T13:32:53.739,2962.0,2026-04-27T13:33:13.741,2026-04-27T13:34:53.741,2026-04-27T13:34:53.741,10.0,20.0,20.0,20.0,100.0,3,9.053068161010742,2026-04-27T13:33:38.741,archive/2026-04-27/standard_csv/raw_bytes_20260427_133340.csv,9.078813552856445,2026-04-27T13:34:03.741,archive/2026-04-27/standard_csv/raw_bytes_20260427_133405.csv,9.060967445373535,2026-04-27T13:34:28.741,archive/2026-04-27/standard_csv/raw_bytes_20260427_133430.csv,3,9.06428305308024
9,normal,9,4,1,56,14,70,4.000000,2026-04-27T13:34:53.743,2026-04-27T13:34:53.746,2026-04-27T13:34:55.463,1717.0,2026-04-27T13:35:15.466,2026-04-27T13:35:18.597,3131.0,2026-04-27T13:35:38.599,2026-04-27T13:35:38.600,2026-04-27T13:35:40.248,1648.0,2026-04-27T13:36:00.250,2026-04-27T13:37:40.250,2026-04-27T13:37:40.250,10.0,20.0,20.0,20.0,100.0,3,13.299407958984375,2026-04-27T13:36:25.250,archive/2026-04-27/standard_csv/raw_bytes_20260427_133627.csv,13.238338470458984,2026-04-27T13:36:50.250,archive/2026-04-27/standard_csv/raw_bytes_20260427_133652.csv,13.245372772216797,2026-04-27T13:37:15.250,archive/2026-04-27/standard_csv/raw_bytes_20260427_133717.csv,3,13.261039733886719
10,normal,10,4,1,72,18,90,4.000000,2026-04-27T13:37:40.253,2026-04-27T13:37:40.261,2026-04-27T13:37:41.604,1343.0,2026-04-27T13:38:01.607,2026-04-27T13:38:07.312,5705.0,2026-04-27T13:38:27.319,2026-04-27T13:38:27.320,2026-04-27T13:38:28.960,1640.0,2026-04-27T13:38:48.962,2026-04-27T13:40:28.962,2026-04-27T13:40:28.962,10.0,20.0,20.0,20.0,100.0,3,17.797401428222656,2026-04-27T13:39:13.962,archive/2026-04-27/standard_csv/raw_bytes_20260427_133916.csv,17.712818145751953,2026-04-27T13:39:38.962,archive/2026-04-27/standard_csv/raw_bytes_20260427_133941.csv,17.702272415161133,2026-04-27T13:40:03.962,archive/2026-04-27/standard_csv/raw_bytes_20260427_134006.csv,3,17.737497329711914
