Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/03/03 19:14
PAR(mW/cm²),0.03831835836172104
PPFD(umol/㎡/s),2.015608310699463
PPFD-UV(umol/㎡/s),0.00011260526662226766
PPFD-B(umol/㎡/s),0.0010100050130859017
PPFD-G(umol/㎡/s),0.007415622007101774
PPFD-R(umol/㎡/s),2.0071828365325928
PPFD-FR(umol/㎡/s),0.004897614009678364
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),28.766218185424805
Erb Ratio,1449.6341552734375
YPFD(umol/m²/s),1.9783391952514648
Ech-A(mW/cm²),0.0006282833637669683
Ech-B(mW/cm²),0.00028229280724190176
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),70.06858825683594
Candle E(fc),6.511950492858887
CCT(K),1001.0
Duv,0.34581729769706726
x,0.6997710466384888
y,0.29913970828056335
u,0.5393086671829224
v,0.34581729769706726
u’,0.5393086671829224
v’,0.5187259316444397
SDCM,100.0
Ra,10.941134452819824
R1,2.476189374923706
R2,77.05510711669922
R3,31.472990036010742
R4,-26.23964500427246
R5,2.1002185344696045
R6,93.35330963134766
R7,-5.054916858673096
R8,-87.6341781616211
R9,-100.0
R10,69.60206604003906
R11,-10.05129623413086
R12,78.93688201904297
R13,27.894351959228516
R14,59.988101959228516
R15,-45.3206672668457
Ee(mW/cm²),0.03831835836172104
S/P,0.049925800412893295
Dominant(nm),625.2000122070312
Purity(%),99.68536376953125
Half width(nm),19.402587890625
Peak(nm),632.8897705078125
Center(nm),631.7068481445312
Centroid(nm),630.7999877929688
R ratio(%),99.57647705078125
G ratio(%),0.3640047609806061
B ratio(%),0.0595126748085022
Integrat.Time(ms),190.0
Peak Signal,54871.0
Dark Signal,3695.0
Compensate level,2500.0
StartTestWave,380
EndTestWave,780
380,0.001044328324496746
381,0.0005569496424868703
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0017404516693204641
392,0.005639226641505957
393,0.011382857337594032
394,0.00824996829032898
395,0.0008615254773758352
396,0.0009050272055901587
397,0.0038987111765891314
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.004276329185813665
433,0.012583650648593903
434,0.013367791660130024
435,0.010267427191138268
436,0.005977758206427097
437,0.0005562750739045441
438,0.003050917061045766
439,0.00994925107806921
440,0.01147945411503315
441,0.010611274279654026
442,0.012617310509085655
443,0.009763098321855068
444,0.0009233779273927212
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0019400595920160413
450,0.0070711830630898476
451,0.010607831180095673
452,0.013345773331820965
453,0.012722459621727467
454,0.0034201452508568764
455,0.00011022607941413298
456,0.0
457,0.0
458,0.0010720498394221067
459,0.0020826717372983694
460,0.0023326128721237183
461,0.0039032830391079187
462,0.0005410832818597555
463,0.0
464,0.0
465,0.0
466,0.0
467,0.002306806854903698
468,0.0033941820729523897
469,0.0009687268175184727
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0014786719111725688
476,0.0014614814426749945
477,0.000593731296248734
478,9.140917245531455e-05
479,0.0014765321975573897
480,0.0043285503052175045
481,0.0014506415463984013
482,0.0016783132450655103
483,0.0013516673352569342
484,0.0
485,0.0
486,0.0
487,0.0
488,0.001894678920507431
489,0.006715043913573027
490,0.010728713124990463
491,0.01254449225962162
492,0.011958153918385506
493,0.011255648918449879
494,0.01056709885597229
495,0.007743468973785639
496,0.003095561172813177
497,0.0008514063083566725
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0014657677384093404
527,0.002639746991917491
528,0.00347356079146266
529,0.006595477927476168
530,0.005422702990472317
531,0.005461058113723993
532,0.006475880276411772
533,0.007080066483467817
534,0.004707743413746357
535,0.0038721903692930937
536,0.004886222537606955
537,0.0055371676571667194
538,0.007555145770311356
539,0.00828822422772646
540,0.01223577931523323
541,0.01670178584754467
542,0.021064216271042824
543,0.023515786975622177
544,0.028829721733927727
545,0.031827837228775024
546,0.030314333736896515
547,0.0283099003136158
548,0.024261828511953354
549,0.017781781032681465
550,0.012380233965814114
551,0.006224881857633591
552,0.0024324620608240366
553,0.003919804468750954
554,0.0031194870825856924
555,0.002556729596108198
556,0.00543304393067956
557,0.006648709997534752
558,0.009088289923965931
559,0.013607396744191647
560,0.016343524679541588
561,0.018433578312397003
562,0.019353702664375305
563,0.016419369727373123
564,0.01625026948750019
565,0.014351977966725826
566,0.010669805109500885
567,0.007788171526044607
568,0.005666524637490511
569,0.0044243112206459045
570,0.003958092536777258
571,0.002244066447019577
572,0.0036671923007816076
573,0.006322959437966347
574,0.006817024666815996
575,0.010914674028754234
576,0.01670977845788002
577,0.018617726862430573
578,0.024166405200958252
579,0.029606793075799942
580,0.029302526265382767
581,0.02785274013876915
582,0.0249891709536314
583,0.015262403525412083
584,0.007067588623613119
585,0.004534080624580383
586,0.0035841178614646196
587,0.004870455712080002
588,0.008001682348549366
589,0.00886798370629549
590,0.010856098495423794
591,0.015501315705478191
592,0.021890658885240555
593,0.02863527089357376
594,0.038509976118803024
595,0.04844353348016739
596,0.05947402864694595
597,0.07877394556999207
598,0.11087575554847717
599,0.15232764184474945
600,0.20690995454788208
601,0.27568843960762024
602,0.3601102828979492
603,0.46785083413124084
604,0.600165605545044
605,0.7653473019599915
606,0.9693769812583923
607,1.2043317556381226
608,1.4696667194366455
609,1.7682641744613647
610,2.096482753753662
611,2.4505627155303955
612,2.831981658935547
613,3.171940326690674
614,3.5373051166534424
615,4.012090682983398
616,4.524369716644287
617,5.074379920959473
618,5.680417060852051
619,6.329743385314941
620,7.030614376068115
621,7.779786586761475
622,8.576807975769043
623,9.42506217956543
624,10.303596496582031
625,11.232706069946289
626,12.216188430786133
627,13.23434066772461
628,14.264893531799316
629,15.29389762878418
630,16.1276912689209
631,16.81026840209961
632,17.36880874633789
633,17.59563446044922
634,17.407878875732422
635,16.82720184326172
636,15.91883659362793
637,14.733367919921875
638,13.35612678527832
639,11.879253387451172
640,10.391554832458496
641,8.964762687683105
642,7.64942741394043
643,6.45304536819458
644,5.400518894195557
645,4.636903762817383
646,3.9707143306732178
647,3.274209976196289
648,2.689805507659912
649,2.2044832706451416
650,1.7920892238616943
651,1.4468687772750854
652,1.1637955904006958
653,0.9396241307258606
654,0.7564584016799927
655,0.6129612922668457
656,0.49939194321632385
657,0.4041635990142822
658,0.3261491656303406
659,0.27525898814201355
660,0.2331857681274414
661,0.1902673840522766
662,0.1565985083580017
663,0.12938962876796722
664,0.1030864492058754
665,0.08245042711496353
666,0.0652739480137825
667,0.05349940061569214
668,0.04247383400797844
669,0.03896596282720566
670,0.038298770785331726
671,0.03189902380108833
672,0.02724897488951683
673,0.022761616855859756
674,0.018648285418748856
675,0.013134271837770939
676,0.009120765142142773
677,0.006964586675167084
678,0.01125489640980959
679,0.01848144829273224
680,0.02534981071949005
681,0.0336633063852787
682,0.04405955225229263
683,0.04570348933339119
684,0.043217983096838
685,0.03386688232421875
686,0.026755576953291893
687,0.02041582018136978
688,0.015618800185620785
689,0.012710552662611008
690,0.01499338448047638
691,0.015590266324579716
692,0.014308244921267033
693,0.01100824773311615
694,0.010893609374761581
695,0.012462441809475422
696,0.013424636796116829
697,0.011795875616371632
698,0.009577447548508644
699,0.006756457965821028
700,0.0005056416848674417
701,0.0
702,0.0
703,0.00017830712022259831
704,0.002576927188783884
705,0.006509389262646437
706,0.008419794030487537
707,0.007206498645246029
708,0.008778818883001804
709,0.017518969252705574
710,0.06264763325452805
711,0.10897759348154068
712,0.11352135241031647
713,0.11441417783498764
714,0.10859500616788864
715,0.08044958859682083
716,0.010214626789093018
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0018747845897451043
723,0.0034042196348309517
724,0.0049891043454408646
725,0.0041982331313192844
726,0.0012488303473219275
727,0.0012675800826400518
728,0.0
729,3.8061167288105935e-05
730,0.0020654131658375263
731,0.003438072744756937
732,0.003252446185797453
733,0.0019327027257531881
734,0.004180053249001503
735,0.0004647151508834213
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0006819049594923854
747,0.00473224138841033
748,0.0088007478043437
749,0.016801906749606133
750,0.02013593353331089
751,0.014608067460358143
752,0.005828483030200005
753,0.0006898383144289255
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.000586764479521662
760,0.0
761,0.0009077711729332805
762,0.0038316973950713873
763,0.0006696429336443543
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0009168662945739925
775,0.0056502982042729855
776,0.00594888161867857
777,0.005324854981154203
778,0.013936434872448444
779,0.015293411910533905
780,0.0051720282062888145
