segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,0,10,0,10,inf,2026-04-27T16:54:27.271,2026-04-27T16:54:27.272,2026-04-27T16:54:28.598,1326.0,2026-04-27T16:54:48.606,2026-04-27T16:54:51.594,2988.0,2026-04-27T16:55:11.595,2026-04-27T16:55:11.597,2026-04-27T16:55:13.847,2250.0,2026-04-27T16:55:33.848,2026-04-27T16:57:13.849,2026-04-27T16:57:13.849,10.0,20.0,20.0,20.0,100.0,3,2.1250574588775635,2026-04-27T16:55:58.849,archive/2026-04-27/standard_csv/raw_bytes_20260427_165601.csv,2.1365795135498047,2026-04-27T16:56:23.849,archive/2026-04-27/standard_csv/raw_bytes_20260427_165626.csv,2.155838966369629,2026-04-27T16:56:48.849,archive/2026-04-27/standard_csv/raw_bytes_20260427_165651.csv,3,2.1391586462656655
2,normal,2,1,0,30,0,30,inf,2026-04-27T16:57:13.851,2026-04-27T16:57:13.852,2026-04-27T16:57:15.231,1379.0,2026-04-27T16:57:35.234,2026-04-27T16:57:37.170,1936.0,2026-04-27T16:57:57.173,2026-04-27T16:57:57.174,2026-04-27T16:57:58.780,1606.0,2026-04-27T16:58:18.782,2026-04-27T16:59:58.782,2026-04-27T16:59:58.782,10.0,20.0,20.0,20.0,100.0,3,10.098590850830078,2026-04-27T16:58:43.782,archive/2026-04-27/standard_csv/raw_bytes_20260427_165845.csv,10.139305114746094,2026-04-27T16:59:08.782,archive/2026-04-27/standard_csv/raw_bytes_20260427_165910.csv,10.148319244384766,2026-04-27T16:59:33.782,archive/2026-04-27/standard_csv/raw_bytes_20260427_165935.csv,3,10.128738403320312
3,normal,3,1,0,50,0,50,inf,2026-04-27T16:59:58.813,2026-04-27T16:59:58.819,2026-04-27T17:00:00.549,1730.0,2026-04-27T17:00:20.551,2026-04-27T17:00:22.622,2071.0,2026-04-27T17:00:42.624,2026-04-27T17:00:42.625,2026-04-27T17:00:46.424,3799.0,2026-04-27T17:01:06.426,2026-04-27T17:02:46.426,2026-04-27T17:02:46.426,10.0,20.0,20.0,20.0,100.0,3,18.517257690429688,2026-04-27T17:01:31.426,archive/2026-04-27/standard_csv/raw_bytes_20260427_170133.csv,18.50692367553711,2026-04-27T17:01:56.426,archive/2026-04-27/standard_csv/raw_bytes_20260427_170158.csv,18.548633575439453,2026-04-27T17:02:21.426,archive/2026-04-27/standard_csv/raw_bytes_20260427_170223.csv,3,18.524271647135418
4,normal,4,1,0,70,0,70,inf,2026-04-27T17:02:46.429,2026-04-27T17:02:46.432,2026-04-27T17:02:49.038,2606.0,2026-04-27T17:03:09.040,2026-04-27T17:03:14.184,5144.0,2026-04-27T17:03:34.186,2026-04-27T17:03:34.187,2026-04-27T17:03:36.060,1873.0,2026-04-27T17:03:56.062,2026-04-27T17:05:36.062,2026-04-27T17:05:36.062,10.0,20.0,20.0,20.0,100.0,3,26.34005355834961,2026-04-27T17:04:21.062,archive/2026-04-27/standard_csv/raw_bytes_20260427_170423.csv,26.400527954101562,2026-04-27T17:04:46.062,archive/2026-04-27/standard_csv/raw_bytes_20260427_170448.csv,26.435619354248047,2026-04-27T17:05:11.062,archive/2026-04-27/standard_csv/raw_bytes_20260427_170513.csv,3,26.392066955566406
5,normal,5,1,0,90,0,90,inf,2026-04-27T17:05:36.064,2026-04-27T17:05:36.067,2026-04-27T17:05:37.390,1323.0,2026-04-27T17:05:57.393,2026-04-27T17:05:59.312,1919.0,2026-04-27T17:06:19.314,2026-04-27T17:06:19.315,2026-04-27T17:06:20.929,1614.0,2026-04-27T17:06:40.931,2026-04-27T17:08:20.931,2026-04-27T17:08:20.931,10.0,20.0,20.0,20.0,100.0,3,33.641475677490234,2026-04-27T17:07:05.931,archive/2026-04-27/standard_csv/raw_bytes_20260427_170708.csv,34.0133171081543,2026-04-27T17:07:30.931,archive/2026-04-27/standard_csv/raw_bytes_20260427_170733.csv,33.80521011352539,2026-04-27T17:07:55.931,archive/2026-04-27/standard_csv/raw_bytes_20260427_170758.csv,3,33.820000966389976
6,normal,6,4,1,8,2,10,4.000000,2026-04-27T17:08:20.934,2026-04-27T17:08:20.936,2026-04-27T17:08:23.484,2548.0,2026-04-27T17:08:43.487,2026-04-27T17:08:48.813,5326.0,2026-04-27T17:09:08.815,2026-04-27T17:09:08.816,2026-04-27T17:09:13.158,4342.0,2026-04-27T17:09:33.160,2026-04-27T17:11:13.160,2026-04-27T17:11:13.160,10.0,20.0,20.0,20.0,100.0,3,1.375236988067627,2026-04-27T17:09:58.160,archive/2026-04-27/standard_csv/raw_bytes_20260427_171000.csv,1.3752648830413818,2026-04-27T17:10:23.160,archive/2026-04-27/standard_csv/raw_bytes_20260427_171025.csv,1.3931059837341309,2026-04-27T17:10:48.160,archive/2026-04-27/standard_csv/raw_bytes_20260427_171050.csv,3,1.3812026182810466
7,normal,7,4,1,24,6,30,4.000000,2026-04-27T17:11:13.163,2026-04-27T17:11:13.170,2026-04-27T17:11:14.501,1331.0,2026-04-27T17:11:34.504,2026-04-27T17:12:05.591,31087.0,2026-04-27T17:12:25.593,2026-04-27T17:12:25.594,2026-04-27T17:12:38.462,12868.0,2026-04-27T17:12:58.463,2026-04-27T17:14:38.464,2026-04-27T17:14:38.464,10.0,20.0,20.0,20.0,100.0,3,8.448699951171875,2026-04-27T17:13:23.464,archive/2026-04-27/standard_csv/raw_bytes_20260427_171325.csv,8.455059051513672,2026-04-27T17:13:48.464,archive/2026-04-27/standard_csv/raw_bytes_20260427_171350.csv,8.485485076904297,2026-04-27T17:14:13.464,archive/2026-04-27/standard_csv/raw_bytes_20260427_171415.csv,3,8.463081359863281
8,normal,8,4,1,40,10,50,4.000000,2026-04-27T17:14:38.466,2026-04-27T17:14:38.469,2026-04-27T17:14:42.060,3591.0,2026-04-27T17:15:02.064,2026-04-27T17:15:05.687,3623.0,2026-04-27T17:15:25.689,2026-04-27T17:15:25.690,2026-04-27T17:15:28.758,3068.0,2026-04-27T17:15:48.760,2026-04-27T17:17:28.760,2026-04-27T17:17:28.760,10.0,20.0,20.0,20.0,100.0,3,15.8823881149292,2026-04-27T17:16:13.760,archive/2026-04-27/standard_csv/raw_bytes_20260427_171615.csv,15.899853706359863,2026-04-27T17:16:38.760,archive/2026-04-27/standard_csv/raw_bytes_20260427_171640.csv,15.878024101257324,2026-04-27T17:17:03.760,archive/2026-04-27/standard_csv/raw_bytes_20260427_171705.csv,3,15.886755307515463
9,normal,9,4,1,56,14,70,4.000000,2026-04-27T17:17:28.763,2026-04-27T17:17:28.765,2026-04-27T17:17:30.101,1336.0,2026-04-27T17:17:50.104,2026-04-27T17:17:56.570,6466.0,2026-04-27T17:18:16.571,2026-04-27T17:18:16.572,2026-04-27T17:18:18.680,2108.0,2026-04-27T17:18:38.682,2026-04-27T17:20:18.682,2026-04-27T17:20:18.683,10.0,20.0,20.0,20.0,100.0,3,23.237924575805664,2026-04-27T17:19:03.682,archive/2026-04-27/standard_csv/raw_bytes_20260427_171905.csv,23.32964515686035,2026-04-27T17:19:28.682,archive/2026-04-27/standard_csv/raw_bytes_20260427_171930.csv,23.271392822265625,2026-04-27T17:19:53.682,archive/2026-04-27/standard_csv/raw_bytes_20260427_171955.csv,3,23.279654184977215
10,normal,10,4,1,72,18,90,4.000000,2026-04-27T17:20:18.685,2026-04-27T17:20:18.689,2026-04-27T17:20:20.022,1333.0,2026-04-27T17:20:40.024,2026-04-27T17:20:41.974,1950.0,2026-04-27T17:21:01.976,2026-04-27T17:21:01.977,2026-04-27T17:21:03.577,1600.0,2026-04-27T17:21:23.579,2026-04-27T17:23:03.579,2026-04-27T17:23:03.579,10.0,20.0,20.0,20.0,100.0,3,31.075241088867188,2026-04-27T17:21:48.579,archive/2026-04-27/standard_csv/raw_bytes_20260427_172150.csv,31.297992706298828,2026-04-27T17:22:13.579,archive/2026-04-27/standard_csv/raw_bytes_20260427_172215.csv,31.170141220092773,2026-04-27T17:22:38.579,archive/2026-04-27/standard_csv/raw_bytes_20260427_172240.csv,3,31.181125005086262
