segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,0,10,0,10,inf,2026-04-27T19:10:14.901,2026-04-27T19:10:14.902,2026-04-27T19:10:16.854,1952.0,2026-04-27T19:10:36.856,2026-04-27T19:10:39.190,2334.0,2026-04-27T19:10:59.192,2026-04-27T19:10:59.193,2026-04-27T19:11:00.779,1586.0,2026-04-27T19:11:20.780,2026-04-27T19:13:57.827,2026-04-27T19:13:57.827,10.0,20.0,20.0,20.0,100.0,3,,2026-04-27T19:11:45.781,,,2026-04-27T19:12:29.798,,,2026-04-27T19:13:13.813,,0,
2,normal,2,1,0,30,0,30,inf,2026-04-27T19:13:57.830,2026-04-27T19:13:57.831,2026-04-27T19:13:59.657,1826.0,2026-04-27T19:14:19.659,2026-04-27T19:14:24.783,5124.0,2026-04-27T19:14:44.784,2026-04-27T19:14:44.785,2026-04-27T19:14:47.686,2901.0,2026-04-27T19:15:07.687,2026-04-27T19:17:44.727,2026-04-27T19:17:44.727,10.0,20.0,20.0,20.0,100.0,3,,2026-04-27T19:15:32.688,,,2026-04-27T19:16:16.701,,,2026-04-27T19:17:00.714,,0,
3,normal,3,1,0,50,0,50,inf,2026-04-27T19:17:44.728,2026-04-27T19:17:44.731,2026-04-27T19:17:47.640,2909.0,2026-04-27T19:18:07.643,2026-04-27T19:18:11.253,3610.0,2026-04-27T19:18:31.255,2026-04-27T19:18:31.258,2026-04-27T19:18:34.656,3398.0,2026-04-27T19:18:54.658,2026-04-27T19:21:31.697,2026-04-27T19:21:31.697,10.0,20.0,20.0,20.0,100.0,3,,2026-04-27T19:19:19.658,,,2026-04-27T19:20:03.674,,,2026-04-27T19:20:47.686,,0,
4,normal,4,1,0,70,0,70,inf,2026-04-27T19:21:31.698,2026-04-27T19:21:31.701,2026-04-27T19:21:33.027,1326.0,2026-04-27T19:21:53.030,2026-04-27T19:21:55.769,2739.0,2026-04-27T19:22:15.770,2026-04-27T19:22:15.772,2026-04-27T19:22:19.402,3630.0,2026-04-27T19:22:39.403,2026-04-27T19:25:16.442,2026-04-27T19:25:16.442,10.0,20.0,20.0,20.0,100.0,3,,2026-04-27T19:23:04.403,,,2026-04-27T19:23:48.416,,,2026-04-27T19:24:32.429,,0,
5,normal,5,1,0,90,0,90,inf,2026-04-27T19:25:16.444,2026-04-27T19:25:16.446,2026-04-27T19:25:17.764,1318.0,2026-04-27T19:25:37.767,2026-04-27T19:25:39.680,1913.0,2026-04-27T19:25:59.682,2026-04-27T19:25:59.683,2026-04-27T19:26:01.291,1608.0,2026-04-27T19:26:21.293,2026-04-27T19:28:58.337,2026-04-27T19:28:58.337,10.0,20.0,20.0,20.0,100.0,3,,2026-04-27T19:26:46.293,,,2026-04-27T19:27:30.309,,,2026-04-27T19:28:14.324,,0,
6,normal,6,4,1,8,2,10,4.000000,2026-04-27T19:28:58.340,2026-04-27T19:28:58.343,2026-04-27T19:29:00.529,2186.0,2026-04-27T19:29:20.532,2026-04-27T19:29:25.542,5010.0,2026-04-27T19:29:45.544,2026-04-27T19:29:45.545,2026-04-27T19:29:47.461,1916.0,2026-04-27T19:30:07.463,2026-04-27T19:32:44.506,2026-04-27T19:32:44.506,10.0,20.0,20.0,20.0,100.0,3,,2026-04-27T19:30:32.463,,,2026-04-27T19:31:16.476,,,2026-04-27T19:32:00.493,,0,
7,normal,7,4,1,24,6,30,4.000000,2026-04-27T19:32:44.508,2026-04-27T19:32:44.516,2026-04-27T19:32:45.836,1320.0,2026-04-27T19:33:05.839,2026-04-27T19:33:09.100,3261.0,2026-04-27T19:33:29.102,2026-04-27T19:33:29.103,2026-04-27T19:33:31.305,2202.0,2026-04-27T19:33:51.307,2026-04-27T19:36:28.347,2026-04-27T19:36:28.347,10.0,20.0,20.0,20.0,100.0,3,,2026-04-27T19:34:16.307,,,2026-04-27T19:35:00.321,,,2026-04-27T19:35:44.335,,0,
8,normal,8,4,1,40,10,50,4.000000,2026-04-27T19:36:28.349,2026-04-27T19:36:28.352,2026-04-27T19:36:29.673,1321.0,2026-04-27T19:36:49.676,2026-04-27T19:36:52.596,2920.0,2026-04-27T19:37:12.598,2026-04-27T19:37:12.599,2026-04-27T19:37:15.534,2935.0,2026-04-27T19:37:35.536,2026-04-27T19:40:12.583,2026-04-27T19:40:12.583,10.0,20.0,20.0,20.0,100.0,3,,2026-04-27T19:38:00.536,,,2026-04-27T19:38:44.551,,,2026-04-27T19:39:28.566,,0,
9,normal,9,4,1,56,14,70,4.000000,2026-04-27T19:40:12.586,2026-04-27T19:40:12.588,2026-04-27T19:40:13.923,1335.0,2026-04-27T19:40:33.926,2026-04-27T19:40:39.091,5165.0,2026-04-27T19:40:59.093,2026-04-27T19:40:59.094,2026-04-27T19:41:03.177,4083.0,2026-04-27T19:41:23.179,2026-04-27T19:44:00.222,2026-04-27T19:44:00.222,10.0,20.0,20.0,20.0,100.0,3,,2026-04-27T19:41:48.180,,,2026-04-27T19:42:32.195,,,2026-04-27T19:43:16.210,,0,
10,normal,10,4,1,72,18,90,4.000000,2026-04-27T19:44:00.223,2026-04-27T19:44:00.226,2026-04-27T19:44:01.914,1688.0,2026-04-27T19:44:21.916,2026-04-27T19:44:24.569,2653.0,2026-04-27T19:44:44.571,2026-04-27T19:44:44.572,2026-04-27T19:44:46.640,2068.0,2026-04-27T19:45:06.641,2026-04-27T19:47:43.682,2026-04-27T19:47:43.682,10.0,20.0,20.0,20.0,100.0,3,,2026-04-27T19:45:31.642,,,2026-04-27T19:46:15.659,,,2026-04-27T19:46:59.670,,0,
