Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/03/03 23:50
PAR(mW/cm²),0.28496646881103516
PPFD(umol/㎡/s),13.503425598144531
PPFD-UV(umol/㎡/s),0.0004515441250987351
PPFD-B(umol/㎡/s),4.210893630981445
PPFD-G(umol/㎡/s),0.07275275141000748
PPFD-R(umol/㎡/s),9.219779968261719
PPFD-FR(umol/㎡/s),0.00301791587844491
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),33.32949447631836
Erb Ratio,1.6212128400802612
YPFD(umol/m²/s),12.125687599182129
Ech-A(mW/cm²),0.004875721875578165
Ech-B(mW/cm²),0.004546430893242359
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),405.1494140625
Candle E(fc),37.653289794921875
CCT(K),1322.2008056640625
Duv,-0.11811384558677673
x,0.4015074670314789
y,0.17078979313373566
u,0.3782041370868683
v,0.24131585657596588
u’,0.3782041370868683
v’,0.3619737923145294
SDCM,97.09149169921875
Ra,-50.22322463989258
R1,-15.10198974609375
R2,-100.0
R3,-100.0
R4,66.65293884277344
R5,-100.0
R6,-100.0
R7,-84.4537582397461
R8,31.11701202392578
R9,30.36528205871582
R10,-100.0
R11,62.28669357299805
R12,-100.0
R13,-79.73906707763672
R14,-59.61188888549805
R15,16.27647590637207
Ee(mW/cm²),0.28496646881103516
S/P,2.956226110458374
Dominant(nm),526.7999877929688
Purity(%),33.40079879760742
Half width(nm),18.03643798828125
Peak(nm),631.8684692382812
Center(nm),630.34423828125
Centroid(nm),567.0
R ratio(%),61.54296875
G ratio(%),1.7445403337478638
B ratio(%),36.71248245239258
Integrat.Time(ms),41.0
Peak Signal,56815.0
Dark Signal,2763.0
Compensate level,2510.0
StartTestWave,380
EndTestWave,780
380,0.0
381,0.0
382,0.0
383,0.0
384,0.006775014568120241
385,0.021616127341985703
386,0.015163367614150047
387,0.019680241122841835
388,0.034521058201789856
389,0.019680241122841835
390,0.007420409005135298
391,0.011291888542473316
392,0.003226085100322962
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0048002456314861774
403,0.01925799809396267
404,0.041678354144096375
405,0.053201813250780106
406,0.05064423382282257
407,0.05275764688849449
408,0.05194646492600441
409,0.02320644073188305
410,0.007955420762300491
411,0.0
412,0.0
413,0.0
414,0.02687206119298935
415,0.03860947862267494
416,0.04279252141714096
417,0.02490653470158577
418,0.001444259425625205
419,0.0
420,0.0
421,0.0
422,0.003470097202807665
423,0.027815232053399086
424,0.05200406536459923
425,0.06911911070346832
426,0.10358812659978867
427,0.15135331451892853
428,0.18168361485004425
429,0.2245878279209137
430,0.2834866940975189
431,0.33270931243896484
432,0.4210148751735687
433,0.5585148334503174
434,0.6934249997138977
435,0.8557010293006897
436,1.1055731773376465
437,1.3892537355422974
438,1.6972026824951172
439,2.0809483528137207
440,2.5369677543640137
441,3.087651491165161
442,3.719125270843506
443,4.43235969543457
444,5.2209601402282715
445,6.085261821746826
446,7.042458534240723
447,8.124735832214355
448,9.334600448608398
449,10.66201400756836
450,12.109846115112305
451,13.729589462280273
452,15.533764839172363
453,17.45488929748535
454,19.632095336914062
455,22.17621421813965
456,24.949769973754883
457,27.949146270751953
458,31.12154769897461
459,34.34861373901367
460,37.516422271728516
461,40.33131408691406
462,42.58753204345703
463,44.00296401977539
464,44.64762496948242
465,44.43956756591797
466,43.517276763916016
467,41.9223747253418
468,39.59089279174805
469,36.76969528198242
470,34.01128387451172
471,31.242963790893555
472,28.581451416015625
473,26.1201114654541
474,23.925668716430664
475,22.015485763549805
476,20.348276138305664
477,18.906005859375
478,17.594928741455078
479,16.37439727783203
480,15.17452621459961
481,13.970476150512695
482,12.800870895385742
483,11.646695137023926
484,10.48419189453125
485,9.403620719909668
486,8.397212982177734
487,7.426154613494873
488,6.557010650634766
489,5.813805103302002
490,5.136875629425049
491,4.5503387451171875
492,4.0703816413879395
493,3.6485793590545654
494,3.2831172943115234
495,2.9754798412323
496,2.7034995555877686
497,2.4373154640197754
498,2.181581497192383
499,1.9376198053359985
500,1.7266855239868164
501,1.5133394002914429
502,1.3202272653579712
503,1.1372065544128418
504,0.9764910340309143
505,0.8097676634788513
506,0.6706135272979736
507,0.5736268758773804
508,0.510148823261261
509,0.44322460889816284
510,0.3968464434146881
511,0.36840295791625977
512,0.3244098424911499
513,0.2934330701828003
514,0.2694891691207886
515,0.24252653121948242
516,0.22480052709579468
517,0.2113879770040512
518,0.17518165707588196
519,0.14564187824726105
520,0.1232728362083435
521,0.09333126991987228
522,0.07208863645792007
523,0.06823504716157913
524,0.0572681799530983
525,0.04486353322863579
526,0.03950779512524605
527,0.03073733299970627
528,0.022556183859705925
529,0.02015092596411705
530,0.02416178397834301
531,0.028038762509822845
532,0.0343901701271534
533,0.04285149276256561
534,0.04754200950264931
535,0.04324093088507652
536,0.02924535609781742
537,0.006859013810753822
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.003052395535632968
544,0.013302960433065891
545,0.021415704861283302
546,0.02079879119992256
547,0.01572207547724247
548,0.009143909439444542
549,0.006753759458661079
550,0.020248882472515106
551,0.035209983587265015
552,0.03892888128757477
553,0.04094431921839714
554,0.04134013503789902
555,0.02586226351559162
556,0.015484221279621124
557,0.0027471017092466354
558,0.0
559,0.004418650176376104
560,0.02152238041162491
561,0.028112754225730896
562,0.021724309772253036
563,0.007540173828601837
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0074949683621525764
570,0.01771639846265316
571,0.0072068036533892155
572,0.0016579212388023734
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0031165066175162792
581,0.024413293227553368
582,0.0381198488175869
583,0.035300400108098984
584,0.03031100705265999
585,0.029403772205114365
586,0.02068321965634823
587,0.0034915052819997072
588,0.0
589,0.0
590,0.01691369339823723
591,0.03776925429701805
592,0.06612590700387955
593,0.11234201490879059
594,0.16877871751785278
595,0.23573976755142212
596,0.33241280913352966
597,0.4740958511829376
598,0.6591945290565491
599,0.9104389548301697
600,1.252379298210144
601,1.680283784866333
602,2.2084548473358154
603,2.866536855697632
604,3.632673978805542
605,4.5113139152526855
606,5.532082557678223
607,6.6921162605285645
608,7.995365619659424
609,9.469562530517578
610,11.07266902923584
611,12.831803321838379
612,14.783792495727539
613,16.54052734375
614,18.43487548828125
615,20.901111602783203
616,23.602174758911133
617,26.475914001464844
618,29.602344512939453
619,32.99364471435547
620,36.66634750366211
621,40.62313461303711
622,44.86887741088867
623,49.417781829833984
624,54.224308013916016
625,59.333168029785156
626,64.57367706298828
627,69.82286071777344
628,74.75349426269531
629,79.08671569824219
630,82.1786117553711
631,84.08238983154297
632,84.482177734375
633,82.91973114013672
634,79.30789947509766
635,73.81767272949219
636,67.14805603027344
637,59.76652526855469
638,52.146026611328125
639,44.66745376586914
640,37.742393493652344
641,31.56846809387207
642,26.219114303588867
643,21.632055282592773
644,17.780305862426758
645,15.057577133178711
646,12.74227523803711
647,10.380989074707031
648,8.416447639465332
649,6.795344352722168
650,5.449368000030518
651,4.347723484039307
652,3.4667110443115234
653,2.772625207901001
654,2.213019847869873
655,1.7776340246200562
656,1.4365828037261963
657,1.155430555343628
658,0.9301852583885193
659,0.785757303237915
660,0.6594194173812866
661,0.5380653738975525
662,0.4358145594596863
663,0.3523719012737274
664,0.267737478017807
665,0.20898273587226868
666,0.1581975370645523
667,0.12335458397865295
668,0.09373615682125092
669,0.07263052463531494
670,0.06792864203453064
671,0.06060801446437836
672,0.05771174281835556
673,0.050617240369319916
674,0.05112941935658455
675,0.034805092960596085
676,0.035438477993011475
677,0.03606415539979935
678,0.039128705859184265
679,0.034434907138347626
680,0.03143329545855522
681,0.021597307175397873
682,0.005554780829697847
683,0.0026918803341686726
684,0.004493458196520805
685,0.010343126952648163
686,0.005713669117540121
687,0.010751997120678425
688,0.02370685152709484
689,0.02009880729019642
690,0.009578974917531013
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.012424406595528126
697,0.03277160972356796
698,0.03571251779794693
699,0.024716371670365334
700,0.02289220690727234
701,0.01069059781730175
702,0.0025532860308885574
703,0.0
704,0.0
705,0.0005603835452347994
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0016225663712248206
713,0.004314844962209463
714,0.006867246702313423
715,0.0010527886915951967
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.009486027993261814
742,0.0034254505299031734
743,0.006161562167108059
744,0.0007454201695509255
745,0.0
746,0.0
747,0.0
748,0.016197839751839638
749,0.022561347112059593
750,0.029115106910467148
751,0.03690127283334732
752,0.03144441917538643
753,0.0247584767639637
754,0.022320037707686424
755,0.030429676175117493
756,0.03984032943844795
757,0.058635082095861435
758,0.04496822506189346
759,0.028515707701444626
760,0.02550595812499523
761,0.016751877963542938
762,0.002276514656841755
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.002551747253164649
