segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,0,10,0,10,inf,2026-04-27T20:44:51.282,2026-04-27T20:44:51.283,2026-04-27T20:44:53.146,1863.0,2026-04-27T20:45:13.148,2026-04-27T20:45:15.085,1937.0,2026-04-27T20:45:35.087,2026-04-27T20:45:35.088,2026-04-27T20:45:36.861,1773.0,2026-04-27T20:45:56.863,2026-04-27T20:47:36.863,2026-04-27T20:47:36.863,10.0,20.0,20.0,20.0,100.0,3,0.9231992959976196,2026-04-27T20:46:21.863,archive/2026-04-27/standard_csv/raw_bytes_20260427_204624.csv,0.9386163949966431,2026-04-27T20:46:46.863,archive/2026-04-27/standard_csv/raw_bytes_20260427_204649.csv,0.9458389282226562,2026-04-27T20:47:11.863,archive/2026-04-27/standard_csv/raw_bytes_20260427_204714.csv,3,0.9358848730723063
2,normal,2,1,0,30,0,30,inf,2026-04-27T20:47:36.866,2026-04-27T20:47:36.867,2026-04-27T20:47:38.190,1323.0,2026-04-27T20:47:58.193,2026-04-27T20:48:01.479,3286.0,2026-04-27T20:48:21.481,2026-04-27T20:48:21.482,2026-04-27T20:48:23.108,1626.0,2026-04-27T20:48:43.113,2026-04-27T20:50:23.113,2026-04-27T20:50:23.113,10.0,20.0,20.0,20.0,100.0,3,4.496737003326416,2026-04-27T20:49:08.113,archive/2026-04-27/standard_csv/raw_bytes_20260427_204910.csv,4.505702972412109,2026-04-27T20:49:33.113,archive/2026-04-27/standard_csv/raw_bytes_20260427_204935.csv,4.522603511810303,2026-04-27T20:49:58.113,archive/2026-04-27/standard_csv/raw_bytes_20260427_205000.csv,3,4.508347829182942
3,normal,3,1,0,50,0,50,inf,2026-04-27T20:50:23.116,2026-04-27T20:50:23.118,2026-04-27T20:50:26.322,3204.0,2026-04-27T20:50:46.325,2026-04-27T20:50:47.970,1645.0,2026-04-27T20:51:07.972,2026-04-27T20:51:07.973,2026-04-27T20:51:11.071,3098.0,2026-04-27T20:51:31.072,2026-04-27T20:53:11.073,2026-04-27T20:53:11.073,10.0,20.0,20.0,20.0,100.0,3,8.223045349121094,2026-04-27T20:51:56.072,archive/2026-04-27/standard_csv/raw_bytes_20260427_205158.csv,8.214950561523438,2026-04-27T20:52:21.072,archive/2026-04-27/standard_csv/raw_bytes_20260427_205223.csv,8.2379789352417,2026-04-27T20:52:46.072,archive/2026-04-27/standard_csv/raw_bytes_20260427_205248.csv,3,8.225324948628744
4,normal,4,1,0,70,0,70,inf,2026-04-27T20:53:11.075,2026-04-27T20:53:11.078,2026-04-27T20:53:12.416,1338.0,2026-04-27T20:53:32.419,2026-04-27T20:53:38.874,6455.0,2026-04-27T20:53:58.876,2026-04-27T20:53:58.876,2026-04-27T20:54:00.460,1584.0,2026-04-27T20:54:20.462,2026-04-27T20:56:00.462,2026-04-27T20:56:00.462,10.0,20.0,20.0,20.0,100.0,3,11.756172180175781,2026-04-27T20:54:45.462,archive/2026-04-27/standard_csv/raw_bytes_20260427_205447.csv,11.728232383728027,2026-04-27T20:55:10.462,archive/2026-04-27/standard_csv/raw_bytes_20260427_205512.csv,11.735742568969727,2026-04-27T20:55:35.462,archive/2026-04-27/standard_csv/raw_bytes_20260427_205537.csv,3,11.740049044291178
5,normal,5,1,0,90,0,90,inf,2026-04-27T20:56:00.464,2026-04-27T20:56:00.472,2026-04-27T20:56:02.972,2500.0,2026-04-27T20:56:22.976,2026-04-27T20:56:24.922,1946.0,2026-04-27T20:56:44.924,2026-04-27T20:56:44.925,2026-04-27T20:56:46.734,1809.0,2026-04-27T20:57:06.736,2026-04-27T20:58:46.736,2026-04-27T20:58:46.736,10.0,20.0,20.0,20.0,100.0,3,15.298590660095215,2026-04-27T20:57:31.736,archive/2026-04-27/standard_csv/raw_bytes_20260427_205733.csv,15.246912002563477,2026-04-27T20:57:56.736,archive/2026-04-27/standard_csv/raw_bytes_20260427_205758.csv,15.2158842086792,2026-04-27T20:58:21.736,archive/2026-04-27/standard_csv/raw_bytes_20260427_205823.csv,3,15.253795623779297
6,normal,6,4,1,8,2,10,4.000000,2026-04-27T20:58:46.738,2026-04-27T20:58:46.741,2026-04-27T20:58:48.424,1683.0,2026-04-27T20:59:08.428,2026-04-27T20:59:13.575,5147.0,2026-04-27T20:59:33.577,2026-04-27T20:59:33.578,2026-04-27T20:59:35.540,1962.0,2026-04-27T20:59:55.542,2026-04-27T21:01:35.542,2026-04-27T21:01:35.542,10.0,20.0,20.0,20.0,100.0,3,0.6149764060974121,2026-04-27T21:00:20.545,archive/2026-04-27/standard_csv/raw_bytes_20260427_210022.csv,0.6227126121520996,2026-04-27T21:00:45.542,archive/2026-04-27/standard_csv/raw_bytes_20260427_210047.csv,0.6226374506950378,2026-04-27T21:01:10.542,archive/2026-04-27/standard_csv/raw_bytes_20260427_210112.csv,3,0.6201088229815165
7,normal,7,4,1,24,6,30,4.000000,2026-04-27T21:01:35.544,2026-04-27T21:01:35.552,2026-04-27T21:01:39.654,4102.0,2026-04-27T21:01:59.657,2026-04-27T21:02:02.330,2673.0,2026-04-27T21:02:22.332,2026-04-27T21:02:22.334,2026-04-27T21:02:25.574,3240.0,2026-04-27T21:02:45.575,2026-04-27T21:04:25.575,2026-04-27T21:04:25.575,10.0,20.0,20.0,20.0,100.0,3,3.8023765087127686,2026-04-27T21:03:10.575,archive/2026-04-27/standard_csv/raw_bytes_20260427_210313.csv,3.7899558544158936,2026-04-27T21:03:35.575,archive/2026-04-27/standard_csv/raw_bytes_20260427_210337.csv,3.783094644546509,2026-04-27T21:04:00.575,archive/2026-04-27/standard_csv/raw_bytes_20260427_210402.csv,3,3.79180900255839
8,normal,8,4,1,40,10,50,4.000000,2026-04-27T21:04:25.578,2026-04-27T21:04:25.580,2026-04-27T21:04:26.932,1352.0,2026-04-27T21:04:46.934,2026-04-27T21:04:51.499,4565.0,2026-04-27T21:05:11.501,2026-04-27T21:05:11.502,2026-04-27T21:05:15.986,4484.0,2026-04-27T21:05:35.988,2026-04-27T21:07:15.989,2026-04-27T21:07:15.989,10.0,20.0,20.0,20.0,100.0,3,7.100931167602539,2026-04-27T21:06:00.988,archive/2026-04-27/standard_csv/raw_bytes_20260427_210603.csv,7.061037063598633,2026-04-27T21:06:25.988,archive/2026-04-27/standard_csv/raw_bytes_20260427_210628.csv,7.066874027252197,2026-04-27T21:06:50.989,archive/2026-04-27/standard_csv/raw_bytes_20260427_210653.csv,3,7.07628075281779
9,normal,9,4,1,56,14,70,4.000000,2026-04-27T21:07:15.991,2026-04-27T21:07:15.995,2026-04-27T21:07:18.303,2308.0,2026-04-27T21:07:38.307,2026-04-27T21:07:41.596,3289.0,2026-04-27T21:08:01.598,2026-04-27T21:08:01.599,2026-04-27T21:08:05.623,4024.0,2026-04-27T21:08:25.625,2026-04-27T21:10:05.625,2026-04-27T21:10:05.625,10.0,20.0,20.0,20.0,100.0,3,10.32970905303955,2026-04-27T21:08:50.625,archive/2026-04-27/standard_csv/raw_bytes_20260427_210852.csv,10.340682983398438,2026-04-27T21:09:15.625,archive/2026-04-27/standard_csv/raw_bytes_20260427_210917.csv,10.292901992797852,2026-04-27T21:09:40.625,archive/2026-04-27/standard_csv/raw_bytes_20260427_210942.csv,3,10.32109800974528
10,normal,10,4,1,72,18,90,4.000000,2026-04-27T21:10:05.627,2026-04-27T21:10:05.630,2026-04-27T21:10:07.409,1779.0,2026-04-27T21:10:27.411,2026-04-27T21:10:32.460,5049.0,2026-04-27T21:10:52.462,2026-04-27T21:10:52.463,2026-04-27T21:10:55.623,3160.0,2026-04-27T21:11:15.624,2026-04-27T21:12:55.624,2026-04-27T21:12:55.624,10.0,20.0,20.0,20.0,100.0,3,13.760492324829102,2026-04-27T21:11:40.624,archive/2026-04-27/standard_csv/raw_bytes_20260427_211142.csv,13.696044921875,2026-04-27T21:12:05.624,archive/2026-04-27/standard_csv/raw_bytes_20260427_211207.csv,13.690707206726074,2026-04-27T21:12:30.624,archive/2026-04-27/standard_csv/raw_bytes_20260427_211232.csv,3,13.715748151143393
11,normal,11,3,2,6,4,10,1.500000,2026-04-27T21:12:55.626,2026-04-27T21:12:55.629,2026-04-27T21:12:56.964,1335.0,2026-04-27T21:13:16.966,2026-04-27T21:13:20.152,3186.0,2026-04-27T21:13:40.154,2026-04-27T21:13:40.155,2026-04-27T21:13:41.765,1610.0,2026-04-27T21:14:01.768,2026-04-27T21:15:41.768,2026-04-27T21:15:41.768,10.0,20.0,20.0,20.0,100.0,3,0.5222575068473816,2026-04-27T21:14:26.768,archive/2026-04-27/standard_csv/raw_bytes_20260427_211429.csv,0.5271738767623901,2026-04-27T21:14:51.768,archive/2026-04-27/standard_csv/raw_bytes_20260427_211453.csv,0.5291304588317871,2026-04-27T21:15:16.768,archive/2026-04-27/standard_csv/raw_bytes_20260427_211518.csv,3,0.5261872808138529
12,normal,12,3,2,18,12,30,1.500000,2026-04-27T21:15:41.773,2026-04-27T21:15:41.774,2026-04-27T21:15:43.855,2081.0,2026-04-27T21:16:03.858,2026-04-27T21:16:05.829,1971.0,2026-04-27T21:16:25.831,2026-04-27T21:16:25.831,2026-04-27T21:16:27.837,2005.9999999999998,2026-04-27T21:16:47.839,2026-04-27T21:18:27.839,2026-04-27T21:18:27.839,10.0,20.0,20.0,20.0,100.0,3,3.1822118759155273,2026-04-27T21:17:12.839,archive/2026-04-27/standard_csv/raw_bytes_20260427_211715.csv,3.1783628463745117,2026-04-27T21:17:37.839,archive/2026-04-27/standard_csv/raw_bytes_20260427_211740.csv,3.1933274269104004,2026-04-27T21:18:02.839,archive/2026-04-27/standard_csv/raw_bytes_20260427_211805.csv,3,3.18463404973348
13,normal,13,3,2,30,20,50,1.500000,2026-04-27T21:18:27.840,2026-04-27T21:18:27.843,2026-04-27T21:18:29.162,1319.0,2026-04-27T21:18:49.164,2026-04-27T21:18:54.102,4938.0,2026-04-27T21:19:14.104,2026-04-27T21:19:14.105,2026-04-27T21:19:15.720,1615.0,2026-04-27T21:19:35.722,2026-04-27T21:21:15.722,2026-04-27T21:21:15.722,10.0,20.0,20.0,20.0,100.0,3,6.561565399169922,2026-04-27T21:20:00.723,archive/2026-04-27/standard_csv/raw_bytes_20260427_212002.csv,6.545668601989746,2026-04-27T21:20:25.722,archive/2026-04-27/standard_csv/raw_bytes_20260427_212027.csv,6.525290489196777,2026-04-27T21:20:50.722,archive/2026-04-27/standard_csv/raw_bytes_20260427_212052.csv,3,6.544174830118815
14,normal,14,3,2,42,28,70,1.500000,2026-04-27T21:21:15.724,2026-04-27T21:21:15.727,2026-04-27T21:21:17.052,1325.0,2026-04-27T21:21:37.055,2026-04-27T21:21:40.668,3613.0,2026-04-27T21:22:00.669,2026-04-27T21:22:00.671,2026-04-27T21:22:05.411,4740.0,2026-04-27T21:22:25.414,2026-04-27T21:24:05.417,2026-04-27T21:24:05.417,10.0,20.0,20.0,20.0,100.0,3,10.003901481628418,2026-04-27T21:22:50.414,archive/2026-04-27/standard_csv/raw_bytes_20260427_212252.csv,10.01661491394043,2026-04-27T21:23:15.415,archive/2026-04-27/standard_csv/raw_bytes_20260427_212317.csv,10.014286041259766,2026-04-27T21:23:40.414,archive/2026-04-27/standard_csv/raw_bytes_20260427_212342.csv,3,10.011600812276205
15,normal,15,3,2,54,36,90,1.500000,2026-04-27T21:24:05.419,2026-04-27T21:24:05.422,2026-04-27T21:24:06.757,1335.0,2026-04-27T21:24:30.061,2026-04-27T21:24:34.945,4884.0,2026-04-27T21:24:55.698,2026-04-27T21:24:55.698,2026-04-27T21:24:58.349,2651.0,2026-04-27T21:25:20.523,2026-04-27T21:27:00.523,2026-04-27T21:27:00.523,10.0,20.0,20.0,20.0,100.0,3,13.503425598144531,2026-04-27T21:25:45.523,archive/2026-04-27/standard_csv/raw_bytes_20260427_212547.csv,13.476237297058105,2026-04-27T21:26:10.523,archive/2026-04-27/standard_csv/raw_bytes_20260427_212612.csv,13.448905944824219,2026-04-27T21:26:35.523,archive/2026-04-27/standard_csv/raw_bytes_20260427_212637.csv,3,13.476189613342285
