Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/03/04 01:48
PAR(mW/cm²),0.29535573720932007
PPFD(umol/㎡/s),12.70621109008789
PPFD-UV(umol/㎡/s),0.0017985865706577897
PPFD-B(umol/㎡/s),7.958502292633057
PPFD-G(umol/㎡/s),0.16783849895000458
PPFD-R(umol/㎡/s),4.579869747161865
PPFD-FR(umol/㎡/s),0.0029837165493518114
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),42.02956771850586
Erb Ratio,0.4258095324039459
YPFD(umol/m²/s),10.327186584472656
Ech-A(mW/cm²),0.005384830292314291
Ech-B(mW/cm²),0.006868043448776007
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),302.3160095214844
Candle E(fc),28.096282958984375
CCT(K),100000.0
Duv,-0.09998690336942673
x,0.24173815548419952
y,0.10276918858289719
u,0.25787094235420227
v,0.16444148123264313
u’,0.25787094235420227
v’,0.2466622292995453
SDCM,88.48966979980469
Ra,-89.06136322021484
R1,-100.0
R2,-100.0
R3,-100.0
R4,-52.97536087036133
R5,-100.0
R6,-100.0
R7,-59.51554870605469
R8,-100.0
R9,-100.0
R10,-100.0
R11,-57.81850051879883
R12,-100.0
R13,-100.0
R14,-79.82626342773438
R15,-100.0
Ee(mW/cm²),0.2962622344493866
S/P,7.452903747558594
Dominant(nm),567.7000122070312
Purity(%),97.04739379882812
Half width(nm),20.496337890625
Peak(nm),464.1936340332031
Center(nm),464.8634948730469
Centroid(nm),514.7999877929688
R ratio(%),29.504697799682617
G ratio(%),3.6547112464904785
B ratio(%),66.84059143066406
Integrat.Time(ms),51.0
Peak Signal,56892.0
Dark Signal,3236.0
Compensate level,2510.0
StartTestWave,380
EndTestWave,780
380,0.011379653587937355
381,0.026844657957553864
382,0.030994480475783348
383,0.013097962364554405
384,0.022175991907715797
385,0.03287491202354431
386,0.02775222435593605
387,0.016469867900013924
388,0.0013615858042612672
389,0.0
390,0.0
391,0.0043442994356155396
392,0.011801201850175858
393,0.029503004625439644
394,0.03190228343009949
395,0.01157431025058031
396,0.016015850007534027
397,0.02288907766342163
398,0.05031717196106911
399,0.08014454692602158
400,0.10617315024137497
401,0.1248776763677597
402,0.14993202686309814
403,0.12131794542074203
404,0.10349688678979874
405,0.09109806269407272
406,0.0673663392663002
407,0.05095295235514641
408,0.06498602777719498
409,0.06149383634328842
410,0.07346991449594498
411,0.07439929246902466
412,0.06643757969141006
413,0.06317032873630524
414,0.08010160177946091
415,0.08539745956659317
416,0.10788915306329727
417,0.1304425597190857
418,0.1449868232011795
419,0.14044703543186188
420,0.13486699759960175
421,0.1666705310344696
422,0.22062385082244873
423,0.28012582659721375
424,0.35187864303588867
425,0.43100863695144653
426,0.5090768933296204
427,0.5986118912696838
428,0.7122953534126282
429,0.8592440485954285
430,1.0363916158676147
431,1.2325465679168701
432,1.4585763216018677
433,1.7276086807250977
434,2.0523033142089844
435,2.430701971054077
436,2.963683605194092
437,3.6227762699127197
438,4.301792621612549
439,5.070067405700684
440,5.963462829589844
441,6.980833053588867
442,8.113640785217285
443,9.408380508422852
444,10.88943862915039
445,12.530926704406738
446,14.34870433807373
447,16.336618423461914
448,18.526493072509766
449,20.941757202148438
450,23.576528549194336
451,26.505645751953125
452,29.84358787536621
453,33.381099700927734
454,37.34086608886719
455,41.96763610839844
456,47.039825439453125
457,52.51786804199219
458,58.32857131958008
459,64.20267486572266
460,69.92494201660156
461,75.00636291503906
462,79.03983306884766
463,81.53189849853516
464,82.60939025878906
465,82.10376739501953
466,80.29981994628906
467,77.29425811767578
468,72.92855072021484
469,67.73583984375
470,62.770565032958984
471,57.75449752807617
472,52.97315216064453
473,48.52117919921875
474,44.53499221801758
475,41.02974319458008
476,37.96176528930664
477,35.26942443847656
478,32.839210510253906
479,30.536115646362305
480,28.298412322998047
481,26.081764221191406
482,23.8581600189209
483,21.687358856201172
484,19.563793182373047
485,17.554841995239258
486,15.687135696411133
487,13.96984577178955
488,12.441461563110352
489,11.110871315002441
490,9.938684463500977
491,8.916065216064453
492,8.052831649780273
493,7.299769878387451
494,6.641111850738525
495,6.054067134857178
496,5.547956466674805
497,5.077934741973877
498,4.618150234222412
499,4.188140392303467
500,3.794624090194702
501,3.398451566696167
502,3.041177272796631
503,2.706149101257324
504,2.3836498260498047
505,2.087815761566162
506,1.8344477415084839
507,1.5878592729568481
508,1.3964872360229492
509,1.2372422218322754
510,1.094366431236267
511,0.9723452925682068
512,0.8760770559310913
513,0.7813370227813721
514,0.7157220244407654
515,0.6651566624641418
516,0.6123510003089905
517,0.5658171772956848
518,0.5148950219154358
519,0.464496374130249
520,0.42673537135124207
521,0.4016173481941223
522,0.36715906858444214
523,0.34863796830177307
524,0.32851654291152954
525,0.3010961711406708
526,0.26481661200523376
527,0.24004048109054565
528,0.21565008163452148
529,0.18743859231472015
530,0.1702568233013153
531,0.16887266933918
532,0.16071756184101105
533,0.14617761969566345
534,0.1405121088027954
535,0.1312602013349533
536,0.12147340178489685
537,0.12313194572925568
538,0.12310491502285004
539,0.11600590497255325
540,0.1088411957025528
541,0.10137443244457245
542,0.0904822051525116
543,0.08786075562238693
544,0.09983164072036743
545,0.10715702176094055
546,0.10600154101848602
547,0.10058662295341492
548,0.09818941354751587
549,0.08982713520526886
550,0.08187132328748703
551,0.0717986524105072
552,0.07357701659202576
553,0.06878398358821869
554,0.0606703944504261
555,0.07059293985366821
556,0.08339205384254456
557,0.08625472337007523
558,0.09367714077234268
559,0.10203003883361816
560,0.10047762840986252
561,0.09243842214345932
562,0.09711701422929764
563,0.09501456469297409
564,0.08845407515764236
565,0.08126269280910492
566,0.08022844046354294
567,0.0785551369190216
568,0.08037310838699341
569,0.08639683574438095
570,0.08827365189790726
571,0.0878206118941307
572,0.08004983514547348
573,0.06867726147174835
574,0.05896398425102234
575,0.05025316774845123
576,0.0502522848546505
577,0.05755538493394852
578,0.061944372951984406
579,0.0704694390296936
580,0.07599619030952454
581,0.08115331083536148
582,0.08249487727880478
583,0.08480320125818253
584,0.08125942200422287
585,0.08273391425609589
586,0.0826345905661583
587,0.07689014077186584
588,0.07072138041257858
589,0.07835541665554047
590,0.08776185661554337
591,0.09644858539104462
592,0.11173540353775024
593,0.13896393775939941
594,0.16368050873279572
595,0.19772084057331085
596,0.2444785088300705
597,0.3119135797023773
598,0.39789924025535583
599,0.5105135440826416
600,0.6483883857727051
601,0.8336807489395142
602,1.076520562171936
603,1.3745577335357666
604,1.7377334833145142
605,2.1790053844451904
606,2.688671112060547
607,3.2654333114624023
608,3.929769992828369
609,4.674351215362549
610,5.491659164428711
611,6.38955020904541
612,7.3746538162231445
613,8.246565818786621
614,9.206062316894531
615,10.4614839553833
616,11.821792602539062
617,13.270259857177734
618,14.856217384338379
619,16.552593231201172
620,18.367511749267578
621,20.309734344482422
622,22.39992332458496
623,24.66853141784668
624,27.08348846435547
625,29.653690338134766
626,32.35390090942383
627,35.04532241821289
628,37.50724792480469
629,39.62590408325195
630,41.08356857299805
631,41.94456481933594
632,41.995235443115234
633,41.071434020996094
634,39.159523010253906
635,36.38479232788086
636,33.020572662353516
637,29.320615768432617
638,25.522363662719727
639,21.83396339416504
640,18.44756507873535
641,15.410551071166992
642,12.768204689025879
643,10.5088472366333
644,8.597432136535645
645,7.23427677154541
646,6.076464653015137
647,4.92899751663208
648,3.986856460571289
649,3.215017080307007
650,2.5790436267852783
651,2.068999767303467
652,1.6512837409973145
653,1.3368861675262451
654,1.0819942951202393
655,0.8836497068405151
656,0.7179489731788635
657,0.5958042144775391
658,0.5041183233261108
659,0.4484766721725464
660,0.40684032440185547
661,0.35008329153060913
662,0.30030059814453125
663,0.2592303156852722
664,0.2262761890888214
665,0.18637175858020782
666,0.1634884625673294
667,0.1446242481470108
668,0.11676426231861115
669,0.09715437889099121
670,0.08298923075199127
671,0.0773448720574379
672,0.07885273545980453
673,0.08702877163887024
674,0.08524665236473083
675,0.07081292569637299
676,0.05607639625668526
677,0.04121328517794609
678,0.02962256409227848
679,0.03133855015039444
680,0.039689142256975174
681,0.04276079311966896
682,0.039001304656267166
683,0.029974084347486496
684,0.01640060544013977
685,0.0026391183491796255
686,0.012405600398778915
687,0.023472273722290993
688,0.02979886531829834
689,0.0378822460770607
690,0.04718077927827835
691,0.05068128556013107
692,0.044697150588035583
693,0.03712928667664528
694,0.03417884185910225
695,0.030307607725262642
696,0.020728517323732376
697,0.010825061239302158
698,0.012288897298276424
699,0.007933482527732849
700,0.009491650387644768
701,0.011216305196285248
702,0.012425648979842663
703,0.0027679516933858395
704,0.0
705,3.753057899302803e-05
706,0.0
707,0.0004986187559552491
708,0.006471432279795408
709,0.02154669724404812
710,0.031412992626428604
711,0.04326379671692848
712,0.03163261339068413
713,0.031406551599502563
714,0.034045200794935226
715,0.022853100672364235
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.002630499191582203
723,0.014464855194091797
724,0.026408003643155098
725,0.030911020934581757
726,0.02828679420053959
727,0.021929103881120682
728,0.006159272510558367
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0009653374436311424
747,0.010096171870827675
748,0.01689753122627735
749,0.026789380237460136
750,0.041593652218580246
751,0.016540011391043663
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0001329928491031751
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
