segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,1,5,5,10,1.000000,2026-04-27T22:56:41.085,2026-04-27T22:56:41.086,2026-04-27T22:56:42.451,1365.0,2026-04-27T22:57:02.454,2026-04-27T22:57:05.125,2671.0,2026-04-27T22:57:25.127,2026-04-27T22:57:25.128,2026-04-27T22:57:28.403,3275.0,2026-04-27T22:57:48.411,2026-04-27T22:59:28.411,2026-04-27T22:59:28.411,10.0,20.0,20.0,20.0,100.0,3,0.43770158290863037,2026-04-27T22:58:13.411,archive/2026-04-27/standard_csv/raw_bytes_20260427_225817.csv,0.44285452365875244,2026-04-27T22:58:38.411,archive/2026-04-27/standard_csv/raw_bytes_20260427_225841.csv,0.44419407844543457,2026-04-27T22:59:03.411,archive/2026-04-27/standard_csv/raw_bytes_20260427_225906.csv,3,0.44158339500427246
2,normal,2,1,1,15,15,30,1.000000,2026-04-27T22:59:28.414,2026-04-27T22:59:28.415,2026-04-27T22:59:32.667,4252.0,2026-04-27T22:59:52.670,2026-04-27T22:59:57.897,5227.0,2026-04-27T23:00:17.899,2026-04-27T23:00:17.900,2026-04-27T23:00:19.514,1614.0,2026-04-27T23:00:39.516,2026-04-27T23:02:19.516,2026-04-27T23:02:19.517,10.0,20.0,20.0,20.0,100.0,3,2.720090389251709,2026-04-27T23:01:04.516,archive/2026-04-27/standard_csv/raw_bytes_20260427_230107.csv,2.7375195026397705,2026-04-27T23:01:29.516,archive/2026-04-27/standard_csv/raw_bytes_20260427_230131.csv,2.747934579849243,2026-04-27T23:01:54.516,archive/2026-04-27/standard_csv/raw_bytes_20260427_230156.csv,3,2.7351814905802407
3,normal,3,1,1,25,25,50,1.000000,2026-04-27T23:02:19.519,2026-04-27T23:02:19.522,2026-04-27T23:02:20.909,1387.0,2026-04-27T23:02:40.912,2026-04-27T23:02:42.806,1894.0,2026-04-27T23:03:02.808,2026-04-27T23:03:02.809,2026-04-27T23:03:05.190,2381.0,2026-04-27T23:03:25.192,2026-04-27T23:05:05.192,2026-04-27T23:05:05.192,10.0,20.0,20.0,20.0,100.0,3,6.253995895385742,2026-04-27T23:03:50.192,archive/2026-04-27/standard_csv/raw_bytes_20260427_230352.csv,6.2387471199035645,2026-04-27T23:04:15.192,archive/2026-04-27/standard_csv/raw_bytes_20260427_230417.csv,6.260075092315674,2026-04-27T23:04:40.192,archive/2026-04-27/standard_csv/raw_bytes_20260427_230442.csv,3,6.25093936920166
4,normal,4,1,1,35,35,70,1.000000,2026-04-27T23:05:05.195,2026-04-27T23:05:05.197,2026-04-27T23:05:06.518,1321.0,2026-04-27T23:05:26.521,2026-04-27T23:05:30.913,4392.0,2026-04-27T23:05:50.915,2026-04-27T23:05:50.916,2026-04-27T23:05:52.506,1590.0,2026-04-27T23:06:12.508,2026-04-27T23:07:52.508,2026-04-27T23:07:52.508,10.0,20.0,20.0,20.0,100.0,3,9.59060287475586,2026-04-27T23:06:37.508,archive/2026-04-27/standard_csv/raw_bytes_20260427_230639.csv,9.574857711791992,2026-04-27T23:07:02.508,archive/2026-04-27/standard_csv/raw_bytes_20260427_230704.csv,9.543600082397461,2026-04-27T23:07:27.508,archive/2026-04-27/standard_csv/raw_bytes_20260427_230729.csv,3,9.569686889648438
5,normal,5,1,1,45,45,90,1.000000,2026-04-27T23:07:52.511,2026-04-27T23:07:52.513,2026-04-27T23:07:55.869,3356.0,2026-04-27T23:08:15.871,2026-04-27T23:08:17.876,2005.0,2026-04-27T23:08:37.878,2026-04-27T23:08:37.879,2026-04-27T23:08:41.613,3734.0,2026-04-27T23:09:01.615,2026-04-27T23:10:41.615,2026-04-27T23:10:41.615,10.0,20.0,20.0,20.0,100.0,3,12.984315872192383,2026-04-27T23:09:26.615,archive/2026-04-27/standard_csv/raw_bytes_20260427_230928.csv,12.942298889160156,2026-04-27T23:09:51.615,archive/2026-04-27/standard_csv/raw_bytes_20260427_230953.csv,12.960612297058105,2026-04-27T23:10:16.615,archive/2026-04-27/standard_csv/raw_bytes_20260427_231018.csv,3,12.962409019470215
6,normal,6,1,2,3,7,10,0.428571,2026-04-27T23:10:41.617,2026-04-27T23:10:41.625,2026-04-27T23:10:42.969,1344.0,2026-04-27T23:11:02.974,2026-04-27T23:11:06.810,3836.0,2026-04-27T23:11:26.812,2026-04-27T23:11:26.813,2026-04-27T23:11:29.590,2777.0,2026-04-27T23:11:49.591,2026-04-27T23:13:29.591,2026-04-27T23:13:29.592,10.0,20.0,20.0,20.0,100.0,3,0.41561996936798096,2026-04-27T23:12:14.591,archive/2026-04-27/standard_csv/raw_bytes_20260427_231218.csv,0.4164400100708008,2026-04-27T23:12:39.591,archive/2026-04-27/standard_csv/raw_bytes_20260427_231242.csv,0.41794440150260925,2026-04-27T23:13:04.591,archive/2026-04-27/standard_csv/raw_bytes_20260427_231307.csv,3,0.4166681269804637
7,normal,7,1,2,10,20,30,0.500000,2026-04-27T23:13:29.594,2026-04-27T23:13:29.596,2026-04-27T23:13:32.112,2516.0,2026-04-27T23:13:52.115,2026-04-27T23:13:59.146,7031.0,2026-04-27T23:14:19.147,2026-04-27T23:14:19.148,2026-04-27T23:14:21.848,2700.0,2026-04-27T23:14:41.850,2026-04-27T23:16:21.851,2026-04-27T23:16:21.851,10.0,20.0,20.0,20.0,100.0,3,2.8260560035705566,2026-04-27T23:15:06.851,archive/2026-04-27/standard_csv/raw_bytes_20260427_231510.csv,2.8368327617645264,2026-04-27T23:15:31.851,archive/2026-04-27/standard_csv/raw_bytes_20260427_231534.csv,2.8437254428863525,2026-04-27T23:15:56.851,archive/2026-04-27/standard_csv/raw_bytes_20260427_231559.csv,3,2.835538069407145
8,normal,8,1,2,17,33,50,0.515152,2026-04-27T23:16:21.853,2026-04-27T23:16:21.856,2026-04-27T23:16:26.153,4297.0,2026-04-27T23:16:46.156,2026-04-27T23:16:48.070,1914.0,2026-04-27T23:17:08.071,2026-04-27T23:17:08.073,2026-04-27T23:17:11.108,3035.0,2026-04-27T23:17:31.110,2026-04-27T23:19:11.113,2026-04-27T23:19:11.113,10.0,20.0,20.0,20.0,100.0,3,6.211255073547363,2026-04-27T23:17:56.110,archive/2026-04-27/standard_csv/raw_bytes_20260427_231758.csv,6.196123123168945,2026-04-27T23:18:21.110,archive/2026-04-27/standard_csv/raw_bytes_20260427_231823.csv,6.19346284866333,2026-04-27T23:18:46.110,archive/2026-04-27/standard_csv/raw_bytes_20260427_231848.csv,3,6.20028034845988
9,normal,9,1,2,23,47,70,0.489362,2026-04-27T23:19:11.116,2026-04-27T23:19:11.118,2026-04-27T23:19:12.866,1748.0,2026-04-27T23:19:32.869,2026-04-27T23:19:35.647,2778.0,2026-04-27T23:19:55.649,2026-04-27T23:19:55.650,2026-04-27T23:19:57.737,2087.0,2026-04-27T23:20:17.739,2026-04-27T23:21:57.739,2026-04-27T23:21:57.739,10.0,20.0,20.0,20.0,100.0,3,9.666089057922363,2026-04-27T23:20:42.739,archive/2026-04-27/standard_csv/raw_bytes_20260427_232044.csv,9.610918045043945,2026-04-27T23:21:07.739,archive/2026-04-27/standard_csv/raw_bytes_20260427_232109.csv,9.611246109008789,2026-04-27T23:21:32.740,archive/2026-04-27/standard_csv/raw_bytes_20260427_232134.csv,3,9.629417737325033
10,normal,10,1,2,30,60,90,0.500000,2026-04-27T23:21:57.741,2026-04-27T23:21:57.745,2026-04-27T23:21:59.074,1329.0,2026-04-27T23:22:19.077,2026-04-27T23:22:21.008,1931.0,2026-04-27T23:22:41.014,2026-04-27T23:22:41.015,2026-04-27T23:22:44.983,3968.0,2026-04-27T23:23:04.985,2026-04-27T23:24:44.985,2026-04-27T23:24:44.985,10.0,20.0,20.0,20.0,100.0,3,12.748963356018066,2026-04-27T23:23:29.985,archive/2026-04-27/standard_csv/raw_bytes_20260427_232332.csv,12.70621109008789,2026-04-27T23:23:54.985,archive/2026-04-27/standard_csv/raw_bytes_20260427_232357.csv,12.69466495513916,2026-04-27T23:24:19.985,archive/2026-04-27/standard_csv/raw_bytes_20260427_232422.csv,3,12.716613133748373
