segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,0,10,0,10,inf,2026-04-28T11:51:31.000,2026-04-28T11:51:31.001,2026-04-28T11:51:32.326,1325.0,2026-04-28T11:51:52.329,2026-04-28T11:51:54.674,2345.0,2026-04-28T11:52:14.676,2026-04-28T11:52:14.677,2026-04-28T11:52:23.993,9316.0,2026-04-28T11:52:43.995,2026-04-28T11:54:23.996,2026-04-28T11:54:23.996,10.0,20.0,20.0,20.0,100.0,3,1.657297134399414,2026-04-28T11:53:08.995,archive/2026-04-28/standard_csv/raw_bytes_20260428_115311.csv,1.6586700677871704,2026-04-28T11:53:33.995,archive/2026-04-28/standard_csv/raw_bytes_20260428_115336.csv,1.6786588430404663,2026-04-28T11:53:58.995,archive/2026-04-28/standard_csv/raw_bytes_20260428_115401.csv,3,1.6648753484090169
2,normal,2,1,0,30,0,30,inf,2026-04-28T11:54:23.999,2026-04-28T11:54:23.999,2026-04-28T11:54:26.901,2902.0,2026-04-28T11:54:46.904,2026-04-28T11:54:51.748,4844.0,2026-04-28T11:55:11.750,2026-04-28T11:55:11.751,2026-04-28T11:55:13.359,1608.0,2026-04-28T11:55:33.361,2026-04-28T11:57:13.361,2026-04-28T11:57:13.361,10.0,20.0,20.0,20.0,100.0,3,7.928130149841309,2026-04-28T11:55:58.361,archive/2026-04-28/standard_csv/raw_bytes_20260428_115600.csv,7.907430171966553,2026-04-28T11:56:23.361,archive/2026-04-28/standard_csv/raw_bytes_20260428_115625.csv,7.941136360168457,2026-04-28T11:56:48.361,archive/2026-04-28/standard_csv/raw_bytes_20260428_115650.csv,3,7.9255655606587725
3,normal,3,1,0,50,0,50,inf,2026-04-28T11:57:13.364,2026-04-28T11:57:13.366,2026-04-28T11:57:14.705,1339.0,2026-04-28T11:57:34.707,2026-04-28T11:57:44.674,9967.0,2026-04-28T11:58:04.675,2026-04-28T11:58:04.676,2026-04-28T11:58:06.303,1627.0,2026-04-28T11:58:26.305,2026-04-28T12:00:06.305,2026-04-28T12:00:06.305,10.0,20.0,20.0,20.0,100.0,3,14.494667053222656,2026-04-28T11:58:51.305,archive/2026-04-28/standard_csv/raw_bytes_20260428_115853.csv,14.452505111694336,2026-04-28T11:59:16.306,archive/2026-04-28/standard_csv/raw_bytes_20260428_115918.csv,14.490586280822754,2026-04-28T11:59:41.305,archive/2026-04-28/standard_csv/raw_bytes_20260428_115943.csv,3,14.479252815246582
4,normal,4,1,0,70,0,70,inf,2026-04-28T12:00:06.309,2026-04-28T12:00:06.311,2026-04-28T12:00:07.637,1326.0,2026-04-28T12:00:27.640,2026-04-28T12:00:38.091,10451.0,2026-04-28T12:00:58.092,2026-04-28T12:00:58.093,2026-04-28T12:01:01.331,3238.0,2026-04-28T12:01:21.332,2026-04-28T12:03:01.333,2026-04-28T12:03:01.333,10.0,20.0,20.0,20.0,100.0,3,20.64777183532715,2026-04-28T12:01:46.332,archive/2026-04-28/standard_csv/raw_bytes_20260428_120148.csv,20.688735961914062,2026-04-28T12:02:11.333,archive/2026-04-28/standard_csv/raw_bytes_20260428_120213.csv,20.720115661621094,2026-04-28T12:02:36.333,archive/2026-04-28/standard_csv/raw_bytes_20260428_120238.csv,3,20.6855411529541
5,normal,5,1,0,90,0,90,inf,2026-04-28T12:03:01.335,2026-04-28T12:03:01.338,2026-04-28T12:03:03.242,1904.0,2026-04-28T12:03:23.245,2026-04-28T12:03:28.466,5221.0,2026-04-28T12:03:48.468,2026-04-28T12:03:48.469,2026-04-28T12:03:50.903,2434.0,2026-04-28T12:04:10.905,2026-04-28T12:05:50.905,2026-04-28T12:05:50.905,10.0,20.0,20.0,20.0,100.0,3,26.8102970123291,2026-04-28T12:04:35.905,archive/2026-04-28/standard_csv/raw_bytes_20260428_120438.csv,26.943540573120117,2026-04-28T12:05:00.905,archive/2026-04-28/standard_csv/raw_bytes_20260428_120503.csv,26.87930679321289,2026-04-28T12:05:25.905,archive/2026-04-28/standard_csv/raw_bytes_20260428_120528.csv,3,26.87771479288737
6,normal,6,4,1,8,2,10,4.000000,2026-04-28T12:05:50.908,2026-04-28T12:05:50.910,2026-04-28T12:05:56.326,5416.0,2026-04-28T12:06:16.329,2026-04-28T12:06:21.336,5007.0,2026-04-28T12:06:41.339,2026-04-28T12:06:41.340,2026-04-28T12:06:57.526,16186.0,2026-04-28T12:07:17.528,2026-04-28T12:08:57.528,2026-04-28T12:08:57.528,10.0,20.0,20.0,20.0,100.0,3,1.0821387767791748,2026-04-28T12:07:42.528,archive/2026-04-28/standard_csv/raw_bytes_20260428_120806.csv,1.0981290340423584,2026-04-28T12:08:07.528,archive/2026-04-28/standard_csv/raw_bytes_20260428_120809.csv,1.0956207513809204,2026-04-28T12:08:32.528,archive/2026-04-28/standard_csv/raw_bytes_20260428_120834.csv,3,1.0919628540674846
7,normal,7,4,1,24,6,30,4.000000,2026-04-28T12:08:57.530,2026-04-28T12:08:57.533,2026-04-28T12:08:58.861,1328.0,2026-04-28T12:09:18.864,2026-04-28T12:09:23.186,4322.0,2026-04-28T12:09:43.187,2026-04-28T12:09:43.189,2026-04-28T12:09:44.828,1639.0,2026-04-28T12:10:04.830,2026-04-28T12:11:44.830,2026-04-28T12:11:44.830,10.0,20.0,20.0,20.0,100.0,3,6.616621494293213,2026-04-28T12:10:29.830,archive/2026-04-28/standard_csv/raw_bytes_20260428_121031.csv,6.635721683502197,2026-04-28T12:10:54.830,archive/2026-04-28/standard_csv/raw_bytes_20260428_121056.csv,6.650182723999023,2026-04-28T12:11:19.830,archive/2026-04-28/standard_csv/raw_bytes_20260428_121121.csv,3,6.6341753005981445
8,normal,8,4,1,40,10,50,4.000000,2026-04-28T12:11:44.832,2026-04-28T12:11:44.835,2026-04-28T12:11:47.406,2571.0,2026-04-28T12:12:07.409,2026-04-28T12:12:12.836,5427.0,2026-04-28T12:12:32.841,2026-04-28T12:12:32.842,2026-04-28T12:12:34.723,1881.0,2026-04-28T12:12:54.725,2026-04-28T12:14:34.725,2026-04-28T12:14:34.725,10.0,20.0,20.0,20.0,100.0,3,12.354203224182129,2026-04-28T12:13:19.725,archive/2026-04-28/standard_csv/raw_bytes_20260428_121321.csv,12.392890930175781,2026-04-28T12:13:44.725,archive/2026-04-28/standard_csv/raw_bytes_20260428_121346.csv,12.345244407653809,2026-04-28T12:14:09.725,archive/2026-04-28/standard_csv/raw_bytes_20260428_121425.csv,3,12.364112854003906
9,normal,9,4,1,56,14,70,4.000000,2026-04-28T12:14:34.727,2026-04-28T12:14:34.730,2026-04-28T12:14:36.053,1323.0,2026-04-28T12:14:56.056,2026-04-28T12:15:09.549,13493.0,2026-04-28T12:15:29.551,2026-04-28T12:15:29.552,2026-04-28T12:15:31.170,1618.0,2026-04-28T12:15:51.172,2026-04-28T12:17:31.172,2026-04-28T12:17:31.172,10.0,20.0,20.0,20.0,100.0,3,18.192171096801758,2026-04-28T12:16:16.172,archive/2026-04-28/standard_csv/raw_bytes_20260428_121632.csv,18.186689376831055,2026-04-28T12:16:41.172,archive/2026-04-28/standard_csv/raw_bytes_20260428_121643.csv,18.118770599365234,2026-04-28T12:17:06.172,archive/2026-04-28/standard_csv/raw_bytes_20260428_121708.csv,3,18.165877024332683
10,normal,10,4,1,72,18,90,4.000000,2026-04-28T12:17:31.174,2026-04-28T12:17:31.177,2026-04-28T12:17:32.502,1325.0,2026-04-28T12:17:52.505,2026-04-28T12:17:56.095,3590.0,2026-04-28T12:18:16.097,2026-04-28T12:18:16.097,2026-04-28T12:18:17.698,1601.0,2026-04-28T12:18:37.700,2026-04-28T12:20:17.700,2026-04-28T12:20:17.700,10.0,20.0,20.0,20.0,100.0,3,24.223859786987305,2026-04-28T12:19:02.700,archive/2026-04-28/standard_csv/raw_bytes_20260428_121904.csv,24.296518325805664,2026-04-28T12:19:27.700,archive/2026-04-28/standard_csv/raw_bytes_20260428_121929.csv,24.26642417907715,2026-04-28T12:19:52.700,archive/2026-04-28/standard_csv/raw_bytes_20260428_121954.csv,3,24.26226743062337
