Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/03/04 18:58
PAR(mW/cm²),0.017407109960913658
PPFD(umol/㎡/s),0.7668890953063965
PPFD-UV(umol/㎡/s),1.9733630324481055e-05
PPFD-B(umol/㎡/s),0.41151461005210876
PPFD-G(umol/㎡/s),0.009968481957912445
PPFD-R(umol/㎡/s),0.3454059958457947
PPFD-FR(umol/㎡/s),0.002847374649718404
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),38.90027618408203
Erb Ratio,0.6216896176338196
YPFD(umol/m²/s),0.6384507417678833
Ech-A(mW/cm²),0.00031020320602692664
Ech-B(mW/cm²),0.00036960229044780135
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),19.7142333984375
Candle E(fc),1.832177758216858
CCT(K),100000.0
Duv,-0.12513397634029388
x,0.27983927726745605
y,0.11933887749910355
u,0.28906121850013733
v,0.18490742146968842
u’,0.28906121850013733
v’,0.277361124753952
SDCM,87.9419937133789
Ra,-91.57511901855469
R1,-100.0
R2,-100.0
R3,-100.0
R4,-71.57382202148438
R5,-100.0
R6,-100.0
R7,-61.0271110534668
R8,-100.0
R9,-100.0
R10,-100.0
R11,-85.14205932617188
R12,-100.0
R13,-100.0
R14,-75.5162582397461
R15,-100.0
Ee(mW/cm²),0.017328152433037758
S/P,5.850028991699219
Dominant(nm),563.7000122070312
Purity(%),80.62560272216797
Half width(nm),19.835174560546875
Peak(nm),464.524169921875
Center(nm),464.8629150390625
Centroid(nm),528.9000244140625
R ratio(%),38.0430908203125
G ratio(%),3.323946475982666
B ratio(%),58.63296127319336
Integrat.Time(ms),980.0
Peak Signal,57764.0
Dark Signal,3530.0
Compensate level,2510.0
StartTestWave,380
EndTestWave,780
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0008233570260927081
397,0.002814277308061719
398,0.002244002418592572
399,6.0737223975593224e-05
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0001467187685193494
413,0.005999150685966015
414,0.005181198474019766
415,0.005197009537369013
416,0.005426919087767601
417,0.002550833858549595
418,0.0
419,0.0005814845790155232
420,0.0016030491096898913
421,0.0029899515211582184
422,0.0033365441486239433
423,0.005723135080188513
424,0.006628601811826229
425,0.008939363062381744
426,0.011278894729912281
427,0.016866410151124
428,0.024599609896540642
429,0.036434974521398544
430,0.05292290449142456
431,0.06748533248901367
432,0.08290853351354599
433,0.10010959208011627
434,0.11222174763679504
435,0.12541155517101288
436,0.14589262008666992
437,0.17207948863506317
438,0.20188352465629578
439,0.2426546961069107
440,0.28808748722076416
441,0.3438950181007385
442,0.40536659955978394
443,0.47187358140945435
444,0.5438753366470337
445,0.6273494958877563
446,0.7155371904373169
447,0.8146013021469116
448,0.9284577369689941
449,1.057127594947815
450,1.195986032485962
451,1.3546056747436523
452,1.5318714380264282
453,1.7145785093307495
454,1.920289158821106
455,2.1675474643707275
456,2.4358978271484375
457,2.7283473014831543
458,3.0438954830169678
459,3.3579800128936768
460,3.657287359237671
461,3.924508571624756
462,4.136917591094971
463,4.268871307373047
464,4.334750652313232
465,4.316328525543213
466,4.224023342132568
467,4.064831256866455
468,3.827364206314087
469,3.5379221439361572
470,3.26619553565979
471,2.99330472946167
472,2.7334256172180176
473,2.4979922771453857
474,2.2881546020507812
475,2.1065914630889893
476,1.9511699676513672
477,1.813775658607483
478,1.6848984956741333
479,1.5715713500976562
480,1.4599908590316772
481,1.3427373170852661
482,1.2277109622955322
483,1.117832064628601
484,1.0037031173706055
485,0.89487624168396
486,0.7992507815361023
487,0.7137815356254578
488,0.6354959607124329
489,0.5675937533378601
490,0.5092495083808899
491,0.459224134683609
492,0.41591325402259827
493,0.37716546654701233
494,0.34471672773361206
495,0.31567689776420593
496,0.28559640049934387
497,0.2577132284641266
498,0.23457033932209015
499,0.21040190756320953
500,0.1884174942970276
501,0.1710747629404068
502,0.1562981754541397
503,0.13948629796504974
504,0.1229318380355835
505,0.10696962475776672
506,0.09086000919342041
507,0.07685856521129608
508,0.06999252736568451
509,0.06370463967323303
510,0.05896107852458954
511,0.055230513215065
512,0.05007904767990112
513,0.04157517850399017
514,0.03494701907038689
515,0.02978336066007614
516,0.025590503588318825
517,0.022549184039235115
518,0.020968399941921234
519,0.019497353583574295
520,0.016584541648626328
521,0.014775712043046951
522,0.013358627445995808
523,0.01212251465767622
524,0.011838889680802822
525,0.0120505066588521
526,0.00963311642408371
527,0.007931961677968502
528,0.006980348844081163
529,0.0073611121624708176
530,0.008395373821258545
531,0.011606628075242043
532,0.011454517021775246
533,0.00877784937620163
534,0.006122651044279337
535,0.0030355132184922695
536,0.0012119172606617212
537,0.0021047862246632576
538,0.004920012317597866
539,0.0075175887905061245
540,0.010686629451811314
541,0.014439266175031662
542,0.017326222732663155
543,0.018843654543161392
544,0.0211128368973732
545,0.02256080135703087
546,0.020801933482289314
547,0.0187399759888649
548,0.01657802425324917
549,0.012802381999790668
550,0.008274898864328861
551,0.005216421093791723
552,0.0059703984297811985
553,0.007785887457430363
554,0.007901438511908054
555,0.009186284616589546
556,0.010432087816298008
557,0.0077185360714793205
558,0.006775775924324989
559,0.006118509918451309
560,0.006611999589949846
561,0.007947791367769241
562,0.009572062641382217
563,0.007256723009049892
564,0.007195746060460806
565,0.006613817065954208
566,0.002984237391501665
567,3.819439734797925e-05
568,0.0017980772536247969
569,0.002246785443276167
570,0.0010109610157087445
571,0.0005395433981902897
572,0.0006256112246774137
573,0.0
574,0.0
575,0.0
576,0.0010580697562545538
577,0.0033556362614035606
578,0.007971738465130329
579,0.011572867631912231
580,0.012444640509784222
581,0.01284007541835308
582,0.011934234760701656
583,0.007155006751418114
584,0.0048588854260742664
585,0.006698528304696083
586,0.007509914692491293
587,0.008349776268005371
588,0.009082208387553692
589,0.009415404871106148
590,0.008009695447981358
591,0.009010277688503265
592,0.009843019768595695
593,0.01358721498399973
594,0.01898697391152382
595,0.022657310590147972
596,0.026016537100076675
597,0.03329920023679733
598,0.042360901832580566
599,0.05051032081246376
600,0.06276383996009827
601,0.07847531139850616
602,0.09567875415086746
603,0.11711295694112778
604,0.1440914422273636
605,0.17778518795967102
606,0.22152499854564667
607,0.2737099826335907
608,0.33210763335227966
609,0.3970480263233185
610,0.46632859110832214
611,0.5387839674949646
612,0.6121246218681335
613,0.677545428276062
614,0.7488532066345215
615,0.8447462916374207
616,0.9426364898681641
617,1.0515321493148804
618,1.174211859703064
619,1.3063175678253174
620,1.446398377418518
621,1.6027673482894897
622,1.7702409029006958
623,1.9445717334747314
624,2.1285388469696045
625,2.3282203674316406
626,2.5309317111968994
627,2.7275335788726807
628,2.9116485118865967
629,3.0594685077667236
630,3.1489968299865723
631,3.1871423721313477
632,3.1563546657562256
633,3.0418756008148193
634,2.8529152870178223
635,2.6120874881744385
636,2.338844060897827
637,2.0511505603790283
638,1.766426682472229
639,1.5001572370529175
640,1.2569726705551147
641,1.0469768047332764
642,0.8721103072166443
643,0.7214618921279907
644,0.5904908180236816
645,0.500063419342041
646,0.4214618504047394
647,0.34119877219200134
648,0.27472057938575745
649,0.22481957077980042
650,0.18442457914352417
651,0.14735764265060425
652,0.11539910733699799
653,0.09299008548259735
654,0.07528755813837051
655,0.06301719695329666
656,0.055612802505493164
657,0.047706685960292816
658,0.03896336257457733
659,0.033862851560115814
660,0.028416819870471954
661,0.02345992438495159
662,0.01804475113749504
663,0.014690275304019451
664,0.013555741868913174
665,0.011871903203427792
666,0.00990988127887249
667,0.010641178116202354
668,0.009390970692038536
669,0.006992863956838846
670,0.007140402682125568
671,0.0051331412978470325
672,0.0038043640088289976
673,0.003521231934428215
674,0.002545946044847369
675,0.00044293372775427997
676,0.0
677,0.0
678,0.0
679,0.0005300822085700929
680,0.003543976228684187
681,0.0066404445096850395
682,0.012226652354001999
683,0.012022857554256916
684,0.009224972687661648
685,0.00489723589271307
686,0.005812190473079681
687,0.005582471378147602
688,0.005800304934382439
689,0.007042963523417711
690,0.0073302327655255795
691,0.004076472483575344
692,0.00022867039660923183
693,0.0
694,0.0
695,0.0012528408551588655
696,0.004469548352062702
697,0.005702479742467403
698,0.004160636570304632
699,0.0027493308298289776
700,0.0004298478306736797
701,0.0
702,0.0
703,0.00031113476143218577
704,0.0008307339157909155
705,0.0020942548289895058
706,0.003825404215604067
707,0.005219447426497936
708,0.005073768086731434
709,0.011367999017238617
710,0.040205493569374084
711,0.07012681663036346
712,0.07312794774770737
713,0.0712568536400795
714,0.06531284749507904
715,0.04427036643028259
716,0.0017133679939433932
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.006520567927509546
747,0.008884046226739883
748,0.013202429749071598
749,0.01946106180548668
750,0.018603261560201645
751,0.008513225242495537
752,0.0035952278412878513
753,0.0006687312270514667
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
