segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,0,10,0,10,inf,2026-04-28T15:06:38.093,2026-04-28T15:06:38.093,2026-04-28T15:06:39.558,1465.0,2026-04-28T15:06:59.560,2026-04-28T15:07:01.647,2087.0,2026-04-28T15:07:21.649,2026-04-28T15:07:21.650,2026-04-28T15:07:23.545,1895.0,2026-04-28T15:07:43.546,2026-04-28T15:09:23.547,2026-04-28T15:09:23.547,10.0,20.0,20.0,20.0,100.0,3,1.5330166816711426,2026-04-28T15:08:08.546,archive/2026-04-28/standard_csv/raw_bytes_20260428_150810.csv,1.5390335321426392,2026-04-28T15:08:33.546,archive/2026-04-28/standard_csv/raw_bytes_20260428_150835.csv,1.5556131601333618,2026-04-28T15:08:58.546,archive/2026-04-28/standard_csv/raw_bytes_20260428_150900.csv,3,1.542554457982381
2,normal,2,1,0,30,0,30,inf,2026-04-28T15:09:23.549,2026-04-28T15:09:23.550,2026-04-28T15:09:24.869,1319.0,2026-04-28T15:09:44.872,2026-04-28T15:09:50.372,5500.0,2026-04-28T15:10:10.374,2026-04-28T15:10:10.375,2026-04-28T15:10:17.548,7173.0,2026-04-28T15:10:37.549,2026-04-28T15:12:17.550,2026-04-28T15:12:17.550,10.0,20.0,20.0,20.0,100.0,3,7.439908027648926,2026-04-28T15:11:02.550,archive/2026-04-28/standard_csv/raw_bytes_20260428_151104.csv,7.483901023864746,2026-04-28T15:11:27.550,archive/2026-04-28/standard_csv/raw_bytes_20260428_151129.csv,7.500324249267578,2026-04-28T15:11:52.550,archive/2026-04-28/standard_csv/raw_bytes_20260428_151154.csv,3,7.474711100260417
3,normal,3,1,0,50,0,50,inf,2026-04-28T15:12:17.552,2026-04-28T15:12:17.555,2026-04-28T15:12:20.254,2699.0,2026-04-28T15:12:40.257,2026-04-28T15:12:42.222,1965.0,2026-04-28T15:13:02.224,2026-04-28T15:13:02.225,2026-04-28T15:13:06.586,4361.0,2026-04-28T15:13:26.587,2026-04-28T15:15:06.588,2026-04-28T15:15:06.588,10.0,20.0,20.0,20.0,100.0,3,13.689620971679688,2026-04-28T15:13:51.588,archive/2026-04-28/standard_csv/raw_bytes_20260428_151353.csv,13.716614723205566,2026-04-28T15:14:16.588,archive/2026-04-28/standard_csv/raw_bytes_20260428_151418.csv,13.65739631652832,2026-04-28T15:14:41.588,archive/2026-04-28/standard_csv/raw_bytes_20260428_151443.csv,3,13.687877337137857
4,normal,4,1,0,70,0,70,inf,2026-04-28T15:15:06.590,2026-04-28T15:15:06.593,2026-04-28T15:15:07.935,1342.0,2026-04-28T15:15:27.937,2026-04-28T15:15:32.128,4191.0,2026-04-28T15:15:52.131,2026-04-28T15:15:52.132,2026-04-28T15:15:57.380,5248.0,2026-04-28T15:16:17.382,2026-04-28T15:17:57.382,2026-04-28T15:17:57.382,10.0,20.0,20.0,20.0,100.0,3,19.53916358947754,2026-04-28T15:16:42.382,archive/2026-04-28/standard_csv/raw_bytes_20260428_151644.csv,19.6323299407959,2026-04-28T15:17:07.382,archive/2026-04-28/standard_csv/raw_bytes_20260428_151709.csv,19.567760467529297,2026-04-28T15:17:32.382,archive/2026-04-28/standard_csv/raw_bytes_20260428_151734.csv,3,19.57975133260091
5,normal,5,1,0,90,0,90,inf,2026-04-28T15:17:57.385,2026-04-28T15:17:57.388,2026-04-28T15:17:59.390,2001.9999999999998,2026-04-28T15:18:19.393,2026-04-28T15:18:23.333,3940.0,2026-04-28T15:18:43.335,2026-04-28T15:18:43.336,2026-04-28T15:18:47.884,4548.0,2026-04-28T15:19:07.886,2026-04-28T15:20:47.886,2026-04-28T15:20:47.886,10.0,20.0,20.0,20.0,100.0,3,25.394123077392578,2026-04-28T15:19:32.886,archive/2026-04-28/standard_csv/raw_bytes_20260428_151935.csv,25.519729614257812,2026-04-28T15:19:57.886,archive/2026-04-28/standard_csv/raw_bytes_20260428_152000.csv,25.50539207458496,2026-04-28T15:20:22.886,archive/2026-04-28/standard_csv/raw_bytes_20260428_152025.csv,3,25.473081588745117
6,normal,6,4,1,8,2,10,4.000000,2026-04-28T15:20:47.889,2026-04-28T15:20:47.891,2026-04-28T15:20:49.229,1338.0,2026-04-28T15:21:09.232,2026-04-28T15:21:11.202,1970.0,2026-04-28T15:21:31.204,2026-04-28T15:21:31.205,2026-04-28T15:21:33.505,2300.0,2026-04-28T15:21:53.507,2026-04-28T15:23:33.507,2026-04-28T15:23:33.507,10.0,20.0,20.0,20.0,100.0,3,1.0145316123962402,2026-04-28T15:22:18.507,archive/2026-04-28/standard_csv/raw_bytes_20260428_152220.csv,1.0330866575241089,2026-04-28T15:22:43.507,archive/2026-04-28/standard_csv/raw_bytes_20260428_152245.csv,1.0362168550491333,2026-04-28T15:23:08.507,archive/2026-04-28/standard_csv/raw_bytes_20260428_152310.csv,3,1.0279450416564941
7,normal,7,4,1,24,6,30,4.000000,2026-04-28T15:23:33.510,2026-04-28T15:23:33.512,2026-04-28T15:23:34.838,1326.0,2026-04-28T15:23:54.841,2026-04-28T15:23:58.098,3257.0,2026-04-28T15:24:18.101,2026-04-28T15:24:18.102,2026-04-28T15:24:19.882,1780.0,2026-04-28T15:24:39.884,2026-04-28T15:26:19.884,2026-04-28T15:26:19.884,10.0,20.0,20.0,20.0,100.0,3,6.313021183013916,2026-04-28T15:25:04.884,archive/2026-04-28/standard_csv/raw_bytes_20260428_152507.csv,6.340201377868652,2026-04-28T15:25:29.884,archive/2026-04-28/standard_csv/raw_bytes_20260428_152532.csv,6.354409694671631,2026-04-28T15:25:54.884,archive/2026-04-28/standard_csv/raw_bytes_20260428_152557.csv,3,6.335877418518066
8,normal,8,4,1,40,10,50,4.000000,2026-04-28T15:26:19.886,2026-04-28T15:26:19.889,2026-04-28T15:26:22.318,2429.0,2026-04-28T15:26:42.320,2026-04-28T15:26:44.369,2049.0,2026-04-28T15:27:04.371,2026-04-28T15:27:04.372,2026-04-28T15:27:06.015,1643.0,2026-04-28T15:27:26.017,2026-04-28T15:29:06.017,2026-04-28T15:29:06.017,10.0,20.0,20.0,20.0,100.0,3,11.856666564941406,2026-04-28T15:27:51.017,archive/2026-04-28/standard_csv/raw_bytes_20260428_152753.csv,11.844257354736328,2026-04-28T15:28:16.017,archive/2026-04-28/standard_csv/raw_bytes_20260428_152818.csv,11.860494613647461,2026-04-28T15:28:41.017,archive/2026-04-28/standard_csv/raw_bytes_20260428_152843.csv,3,11.853806177775065
9,normal,9,4,1,56,14,70,4.000000,2026-04-28T15:29:06.019,2026-04-28T15:29:06.023,2026-04-28T15:29:07.630,1607.0,2026-04-28T15:29:27.632,2026-04-28T15:29:30.017,2385.0,2026-04-28T15:29:50.019,2026-04-28T15:29:50.020,2026-04-28T15:29:52.123,2103.0,2026-04-28T15:30:12.125,2026-04-28T15:31:52.125,2026-04-28T15:31:52.125,10.0,20.0,20.0,20.0,100.0,3,17.377527236938477,2026-04-28T15:30:37.125,archive/2026-04-28/standard_csv/raw_bytes_20260428_153039.csv,17.39580726623535,2026-04-28T15:31:02.125,archive/2026-04-28/standard_csv/raw_bytes_20260428_153104.csv,17.359926223754883,2026-04-28T15:31:27.125,archive/2026-04-28/standard_csv/raw_bytes_20260428_153129.csv,3,17.377753575642902
10,normal,10,4,1,72,18,90,4.000000,2026-04-28T15:31:52.127,2026-04-28T15:31:52.130,2026-04-28T15:31:53.659,1529.0,2026-04-28T15:32:13.662,2026-04-28T15:32:15.680,2017.9999999999998,2026-04-28T15:32:35.682,2026-04-28T15:32:35.683,2026-04-28T15:32:45.373,9690.0,2026-04-28T15:33:05.375,2026-04-28T15:34:45.375,2026-04-28T15:34:45.375,10.0,20.0,20.0,20.0,100.0,3,23.246164321899414,2026-04-28T15:33:30.375,archive/2026-04-28/standard_csv/raw_bytes_20260428_153332.csv,23.196348190307617,2026-04-28T15:33:55.375,archive/2026-04-28/standard_csv/raw_bytes_20260428_153357.csv,23.156774520874023,2026-04-28T15:34:20.375,archive/2026-04-28/standard_csv/raw_bytes_20260428_153422.csv,3,23.19976234436035
