Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/03/04 20:47
PAR(mW/cm²),0.015456120483577251
PPFD(umol/㎡/s),0.7730836272239685
PPFD-UV(umol/㎡/s),0.0
PPFD-B(umol/㎡/s),0.10106658935546875
PPFD-G(umol/㎡/s),0.007552082184702158
PPFD-R(umol/㎡/s),0.6644650101661682
PPFD-FR(umol/㎡/s),0.003925553523004055
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),28.94559097290039
Erb Ratio,4.871912479400635
YPFD(umol/m²/s),0.7278432846069336
Ech-A(mW/cm²),0.00025349867064505816
Ech-B(mW/cm²),0.00016615979257039726
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),26.70816421508789
Candle E(fc),2.4821712970733643
CCT(K),1001.0
Duv,0.3000776469707489
x,0.5480053424835205
y,0.23815274238586426
u,0.460332453250885
v,0.3000776469707489
u’,0.460332453250885
v’,0.45011645555496216
SDCM,100.0
Ra,-0.1762983798980713
R1,89.7309799194336
R2,24.605703353881836
R3,-41.846214294433594
R4,53.030120849609375
R5,30.82179069519043
R6,-96.30879211425781
R7,-37.06833267211914
R8,-24.375638961791992
R9,-51.30230712890625
R10,-59.90656280517578
R11,82.72299194335938
R12,-100.0
R13,55.96884536743164
R14,32.09661865234375
R15,59.75059127807617
Ee(mW/cm²),0.015323211438953876
S/P,1.108141303062439
Dominant(nm),699.2000122070312
Purity(%),83.07763671875
Half width(nm),18.0341796875
Peak(nm),630.8472900390625
Center(nm),629.6636352539062
Centroid(nm),601.2999877929688
R ratio(%),82.25621795654297
G ratio(%),1.5043137073516846
B ratio(%),16.239463806152344
Integrat.Time(ms),530.0
Peak Signal,54459.0
Dark Signal,3364.0
Compensate level,2510.0
StartTestWave,380
EndTestWave,780
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0001298654096899554
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,4.476075991988182e-05
431,0.0036202373448759317
432,0.0108946543186903
433,0.022760074585676193
434,0.02997058816254139
435,0.03577214479446411
436,0.04077089577913284
437,0.042645685374736786
438,0.04605541005730629
439,0.05428820103406906
440,0.06107185408473015
441,0.07247532904148102
442,0.08442816883325577
443,0.09623611718416214
444,0.11110460013151169
445,0.12985306978225708
446,0.1499478667974472
447,0.17757754027843475
448,0.2065294235944748
449,0.23678921163082123
450,0.2716229557991028
451,0.3140254020690918
452,0.3580170273780823
453,0.4061390161514282
454,0.45830145478248596
455,0.5228241086006165
456,0.5902113914489746
457,0.6681318283081055
458,0.7568725943565369
459,0.8494190573692322
460,0.9316011667251587
461,1.0070823431015015
462,1.0656232833862305
463,1.0996726751327515
464,1.1136194467544556
465,1.1070690155029297
466,1.0783631801605225
467,1.0341745615005493
468,0.9640392065048218
469,0.8855546712875366
470,0.8176474571228027
471,0.7491053938865662
472,0.6833594441413879
473,0.6235739588737488
474,0.5693337321281433
475,0.5215436816215515
476,0.4772337079048157
477,0.4388537108898163
478,0.40570786595344543
479,0.3776036500930786
480,0.3510071635246277
481,0.3249495029449463
482,0.29777270555496216
483,0.2710625231266022
484,0.24348092079162598
485,0.21356531977653503
486,0.18849903345108032
487,0.1688700169324875
488,0.1503526270389557
489,0.13105496764183044
490,0.11786019802093506
491,0.11129941046237946
492,0.10305637121200562
493,0.09243126958608627
494,0.08680117875337601
495,0.08045976608991623
496,0.06784527748823166
497,0.055977120995521545
498,0.04922783002257347
499,0.04028074070811272
500,0.03350534290075302
501,0.028534958139061928
502,0.0264335498213768
503,0.02420579455792904
504,0.02207448147237301
505,0.01743258722126484
506,0.013786791823804379
507,0.010298365727066994
508,0.008493452332913876
509,0.006698972545564175
510,0.00655709020793438
511,0.007657132111489773
512,0.007090408354997635
513,0.0042706867679953575
514,0.0009720376692712307
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.00035386733361519873
532,0.0028837337158620358
533,0.004804156720638275
534,0.005880055949091911
535,0.0062996880151331425
536,0.007285912521183491
537,0.008463588543236256
538,0.01059081219136715
539,0.01378480065613985
540,0.017102763056755066
541,0.02262871339917183
542,0.03028232231736183
543,0.03867953270673752
544,0.047163188457489014
545,0.05520887300372124
546,0.05690781772136688
547,0.05397901311516762
548,0.04775022342801094
549,0.039571698755025864
550,0.029820872470736504
551,0.02154543437063694
552,0.018715348094701767
553,0.01777760498225689
554,0.015008716844022274
555,0.014982830733060837
556,0.017380760982632637
557,0.01619184948503971
558,0.015175524167716503
559,0.013072444126009941
560,0.013121921569108963
561,0.012864172458648682
562,0.010768129490315914
563,0.008392966352403164
564,0.008955826051533222
565,0.007701326161623001
566,0.0031805105973035097
567,0.0014407145790755749
568,0.000474622385809198
569,0.0006636607577092946
570,0.0007651701453141868
571,0.0007629002211615443
572,0.0
573,0.0007638625684194267
574,0.0019004825735464692
575,0.002766118850558996
576,0.004888547584414482
577,0.008595284074544907
578,0.010879119858145714
579,0.012307130731642246
580,0.013144032098352909
581,0.013911963440477848
582,0.013798740692436695
583,0.0098214540630579
584,0.00724782096222043
585,0.00775129534304142
586,0.007820715196430683
587,0.007094983477145433
588,0.008917659521102905
589,0.011714051477611065
590,0.014994233846664429
591,0.019123950973153114
592,0.023248769342899323
593,0.028688596561551094
594,0.03487120941281319
595,0.04019381105899811
596,0.04573926329612732
597,0.05961357429623604
598,0.07815942913293839
599,0.09549421817064285
600,0.11763676255941391
601,0.14924737811088562
602,0.1836535632610321
603,0.2257683128118515
604,0.27840375900268555
605,0.3423527777194977
606,0.41819503903388977
607,0.5080813765525818
608,0.6115102171897888
609,0.7324495911598206
610,0.8652472496032715
611,1.0108749866485596
612,1.17128586769104
613,1.3124889135360718
614,1.461091160774231
615,1.6524382829666138
616,1.8474968671798706
617,2.0468966960906982
618,2.271329879760742
619,2.514688730239868
620,2.782205581665039
621,3.0826375484466553
622,3.4081199169158936
623,3.7444779872894287
624,4.107346534729004
625,4.4977006912231445
626,4.89293909072876
627,5.273282051086426
628,5.6241044998168945
629,5.901335716247559
630,6.071314334869385
631,6.135634899139404
632,6.076373100280762
633,5.866386890411377
634,5.521821022033691
635,5.058572292327881
636,4.534938812255859
637,3.9788403511047363
638,3.4273722171783447
639,2.9003419876098633
640,2.425957202911377
641,2.0090420246124268
642,1.6606569290161133
643,1.36381995677948
644,1.1130669116973877
645,0.9366312623023987
646,0.7907347083091736
647,0.6394575238227844
648,0.5108391046524048
649,0.41091030836105347
650,0.333196222782135
651,0.26855790615081787
652,0.21617816388607025
653,0.17810766398906708
654,0.14671659469604492
655,0.12147166579961777
656,0.10145717114210129
657,0.0854230597615242
658,0.07113424688577652
659,0.061167869716882706
660,0.053371772170066833
661,0.04574517533183098
662,0.037017446011304855
663,0.02803131751716137
664,0.024375926703214645
665,0.018968768417835236
666,0.014784997329115868
667,0.014410785399377346
668,0.012892191298305988
669,0.009674386121332645
670,0.011600840836763382
671,0.01261239405721426
672,0.01321659330278635
673,0.013896750286221504
674,0.013797550462186337
675,0.012129385024309158
676,0.006669808179140091
677,0.00038075074553489685
678,0.0
679,0.0021003293804824352
680,0.004224428441375494
681,0.007670206483453512
682,0.013237541541457176
683,0.010141899809241295
684,0.004974374547600746
685,0.0
686,0.0
687,0.0
688,0.0
689,0.002431353786960244
690,0.007605000864714384
691,0.007732164580374956
692,0.005302668549120426
693,0.0058036791160702705
694,0.005971840582787991
695,0.006439522374421358
696,0.005015858449041843
697,0.00408730236813426
698,0.0007883401704020798
699,0.0
700,0.0
701,0.0
702,0.0
703,0.001686875126324594
704,0.004710283130407333
705,0.007307715248316526
706,0.007777823600918055
707,0.005189062096178532
708,0.003158307634294033
709,0.010129289701581001
710,0.04234534129500389
711,0.07650450617074966
712,0.08352260291576385
713,0.0848880410194397
714,0.07948249578475952
715,0.05746093764901161
716,0.009738869033753872
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.003970853518694639
746,0.012883178889751434
747,0.012827026657760143
748,0.017005622386932373
749,0.02249348722398281
750,0.02110273577272892
751,0.008050416596233845
752,0.0036643382627516985
753,0.0001946764241438359
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0004449266998562962
774,0.006057364400476217
775,0.01125245913863182
776,0.014231095090508461
777,0.012611123733222485
778,0.012001006864011288
779,0.007979031652212143
780,0.007007573265582323
