segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,0,10,0,10,inf,2026-04-28T17:38:31.751,2026-04-28T17:38:31.752,2026-04-28T17:38:33.065,1313.0,2026-04-28T17:38:53.068,2026-04-28T17:38:55.410,2342.0,2026-04-28T17:39:15.412,2026-04-28T17:39:15.413,2026-04-28T17:39:20.527,5114.0,2026-04-28T17:39:40.529,2026-04-28T17:41:20.529,2026-04-28T17:41:20.529,10.0,20.0,20.0,20.0,100.0,3,1.224424123764038,2026-04-28T17:40:05.529,archive/2026-04-28/standard_csv/raw_bytes_20260428_174007.csv,1.2298166751861572,2026-04-28T17:40:30.529,archive/2026-04-28/standard_csv/raw_bytes_20260428_174032.csv,1.2428871393203735,2026-04-28T17:40:55.529,archive/2026-04-28/standard_csv/raw_bytes_20260428_174057.csv,3,1.232375979423523
2,normal,2,1,0,30,0,30,inf,2026-04-28T17:41:20.531,2026-04-28T17:41:20.532,2026-04-28T17:41:21.921,1389.0,2026-04-28T17:41:41.924,2026-04-28T17:41:49.172,7248.0,2026-04-28T17:42:09.174,2026-04-28T17:42:09.175,2026-04-28T17:42:10.793,1618.0,2026-04-28T17:42:30.796,2026-04-28T17:44:10.797,2026-04-28T17:44:10.797,10.0,20.0,20.0,20.0,100.0,3,5.8973388671875,2026-04-28T17:42:55.797,archive/2026-04-28/standard_csv/raw_bytes_20260428_174257.csv,5.90432596206665,2026-04-28T17:43:20.797,archive/2026-04-28/standard_csv/raw_bytes_20260428_174322.csv,5.922479629516602,2026-04-28T17:43:45.797,archive/2026-04-28/standard_csv/raw_bytes_20260428_174347.csv,3,5.908048152923584
3,normal,3,1,0,50,0,50,inf,2026-04-28T17:44:10.800,2026-04-28T17:44:10.803,2026-04-28T17:44:12.143,1340.0,2026-04-28T17:44:32.146,2026-04-28T17:44:34.251,2105.0,2026-04-28T17:44:54.253,2026-04-28T17:44:54.254,2026-04-28T17:44:59.348,5094.0,2026-04-28T17:45:19.349,2026-04-28T17:46:59.350,2026-04-28T17:46:59.350,10.0,20.0,20.0,20.0,100.0,3,10.708822250366211,2026-04-28T17:45:44.350,archive/2026-04-28/standard_csv/raw_bytes_20260428_174546.csv,10.750598907470703,2026-04-28T17:46:09.350,archive/2026-04-28/standard_csv/raw_bytes_20260428_174611.csv,10.749170303344727,2026-04-28T17:46:34.350,archive/2026-04-28/standard_csv/raw_bytes_20260428_174636.csv,3,10.736197153727213
4,normal,4,1,0,70,0,70,inf,2026-04-28T17:46:59.352,2026-04-28T17:46:59.356,2026-04-28T17:47:00.694,1338.0,2026-04-28T17:47:20.696,2026-04-28T17:47:26.042,5346.0,2026-04-28T17:47:46.044,2026-04-28T17:47:46.045,2026-04-28T17:47:50.397,4352.0,2026-04-28T17:48:10.398,2026-04-28T17:49:50.398,2026-04-28T17:49:50.399,10.0,20.0,20.0,20.0,100.0,3,15.386719703674316,2026-04-28T17:48:35.398,archive/2026-04-28/standard_csv/raw_bytes_20260428_174837.csv,15.338278770446777,2026-04-28T17:49:00.398,archive/2026-04-28/standard_csv/raw_bytes_20260428_174902.csv,15.311822891235352,2026-04-28T17:49:25.398,archive/2026-04-28/standard_csv/raw_bytes_20260428_174927.csv,3,15.345607121785482
5,normal,5,1,0,90,0,90,inf,2026-04-28T17:49:50.401,2026-04-28T17:49:50.403,2026-04-28T17:49:52.603,2200.0,2026-04-28T17:50:12.606,2026-04-28T17:50:17.577,4971.0,2026-04-28T17:50:37.578,2026-04-28T17:50:37.580,2026-04-28T17:50:41.070,3490.0,2026-04-28T17:51:01.072,2026-04-28T17:52:41.072,2026-04-28T17:52:41.072,10.0,20.0,20.0,20.0,100.0,3,19.938642501831055,2026-04-28T17:51:26.072,archive/2026-04-28/standard_csv/raw_bytes_20260428_175128.csv,19.92530632019043,2026-04-28T17:51:51.072,archive/2026-04-28/standard_csv/raw_bytes_20260428_175153.csv,19.866260528564453,2026-04-28T17:52:16.072,archive/2026-04-28/standard_csv/raw_bytes_20260428_175218.csv,3,19.910069783528645
6,normal,6,4,1,8,2,10,4.000000,2026-04-28T17:52:41.074,2026-04-28T17:52:41.077,2026-04-28T17:52:42.402,1325.0,2026-04-28T17:53:02.405,2026-04-28T17:53:04.769,2364.0,2026-04-28T17:53:24.771,2026-04-28T17:53:24.772,2026-04-28T17:53:27.601,2829.0,2026-04-28T17:53:47.603,2026-04-28T17:55:27.603,2026-04-28T17:55:27.603,10.0,20.0,20.0,20.0,100.0,3,0.804987907409668,2026-04-28T17:54:12.603,archive/2026-04-28/standard_csv/raw_bytes_20260428_175414.csv,0.8191710710525513,2026-04-28T17:54:37.603,archive/2026-04-28/standard_csv/raw_bytes_20260428_175439.csv,0.82514488697052,2026-04-28T17:55:02.603,archive/2026-04-28/standard_csv/raw_bytes_20260428_175504.csv,3,0.8164346218109131
7,normal,7,4,1,24,6,30,4.000000,2026-04-28T17:55:27.606,2026-04-28T17:55:27.608,2026-04-28T17:55:28.938,1330.0,2026-04-28T17:55:48.940,2026-04-28T17:55:54.726,5786.0,2026-04-28T17:56:14.728,2026-04-28T17:56:14.729,2026-04-28T17:56:16.331,1602.0,2026-04-28T17:56:36.333,2026-04-28T17:58:16.333,2026-04-28T17:58:16.333,10.0,20.0,20.0,20.0,100.0,3,4.916950702667236,2026-04-28T17:57:01.333,archive/2026-04-28/standard_csv/raw_bytes_20260428_175703.csv,4.921306133270264,2026-04-28T17:57:26.333,archive/2026-04-28/standard_csv/raw_bytes_20260428_175728.csv,4.94777250289917,2026-04-28T17:57:51.333,archive/2026-04-28/standard_csv/raw_bytes_20260428_175753.csv,3,4.92867644627889
8,normal,8,4,1,40,10,50,4.000000,2026-04-28T17:58:16.336,2026-04-28T17:58:16.338,2026-04-28T17:58:17.661,1323.0,2026-04-28T17:58:37.664,2026-04-28T17:58:40.103,2439.0,2026-04-28T17:59:00.105,2026-04-28T17:59:00.106,2026-04-28T17:59:01.879,1773.0,2026-04-28T17:59:21.881,2026-04-28T18:01:01.881,2026-04-28T18:01:01.881,10.0,20.0,20.0,20.0,100.0,3,9.200187683105469,2026-04-28T17:59:46.881,archive/2026-04-28/standard_csv/raw_bytes_20260428_175949.csv,9.196983337402344,2026-04-28T18:00:11.881,archive/2026-04-28/standard_csv/raw_bytes_20260428_180014.csv,9.241204261779785,2026-04-28T18:00:36.881,archive/2026-04-28/standard_csv/raw_bytes_20260428_180039.csv,3,9.212791760762533
9,normal,9,4,1,56,14,70,4.000000,2026-04-28T18:01:01.884,2026-04-28T18:01:01.886,2026-04-28T18:01:03.216,1330.0,2026-04-28T18:01:23.219,2026-04-28T18:01:31.814,8595.0,2026-04-28T18:01:51.815,2026-04-28T18:01:51.816,2026-04-28T18:01:55.120,3304.0,2026-04-28T18:02:15.122,2026-04-28T18:03:55.122,2026-04-28T18:03:55.122,10.0,20.0,20.0,20.0,100.0,3,13.507831573486328,2026-04-28T18:02:40.122,archive/2026-04-28/standard_csv/raw_bytes_20260428_180242.csv,13.456695556640625,2026-04-28T18:03:05.123,archive/2026-04-28/standard_csv/raw_bytes_20260428_180307.csv,13.449763298034668,2026-04-28T18:03:30.122,archive/2026-04-28/standard_csv/raw_bytes_20260428_180332.csv,3,13.471430142720541
10,normal,10,4,1,72,18,90,4.000000,2026-04-28T18:03:55.124,2026-04-28T18:03:55.127,2026-04-28T18:03:56.458,1331.0,2026-04-28T18:04:16.461,2026-04-28T18:04:21.681,5220.0,2026-04-28T18:04:41.683,2026-04-28T18:04:41.684,2026-04-28T18:04:44.246,2562.0,2026-04-28T18:05:04.248,2026-04-28T18:06:44.248,2026-04-28T18:06:44.249,10.0,20.0,20.0,20.0,100.0,3,18.007427215576172,2026-04-28T18:05:29.248,archive/2026-04-28/standard_csv/raw_bytes_20260428_180531.csv,17.939008712768555,2026-04-28T18:05:54.248,archive/2026-04-28/standard_csv/raw_bytes_20260428_180556.csv,17.878334045410156,2026-04-28T18:06:19.249,archive/2026-04-28/standard_csv/raw_bytes_20260428_180621.csv,3,17.94158999125163
