Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/03/05 13:37
PAR(mW/cm²),0.014760203659534454
PPFD(umol/㎡/s),0.7098373770713806
PPFD-UV(umol/㎡/s),5.183133907848969e-05
PPFD-B(umol/㎡/s),0.17841701209545135
PPFD-G(umol/㎡/s),0.005443946458399296
PPFD-R(umol/㎡/s),0.5259764194488525
PPFD-FR(umol/㎡/s),0.003628966398537159
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),31.791765213012695
Erb Ratio,2.1822452545166016
YPFD(umol/m²/s),0.646285355091095
Ech-A(mW/cm²),0.00024960824521258473
Ech-B(mW/cm²),0.00020990311168134212
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),22.32771110534668
Candle E(fc),2.075066089630127
CCT(K),1171.225830078125
Duv,-0.09820160269737244
x,0.44407710433006287
y,0.19004859030246735
u,0.40440231561660767
v,0.259603887796402
u’,0.40440231561660767
v’,0.38940584659576416
SDCM,100.0
Ra,-37.652191162109375
R1,27.0076847076416
R2,-60.36216735839844
R3,-100.0
R4,62.76294708251953
R5,-63.22185516357422
R6,-100.0
R7,-72.80895233154297
R8,5.404807090759277
R9,44.33381271362305
R10,-100.0
R11,72.03083801269531
R12,-100.0
R13,-27.01891326904297
R14,-25.756683349609375
R15,63.52476119995117
Ee(mW/cm²),0.01467161811888218
S/P,2.257289409637451
Dominant(nm),509.79998779296875
Purity(%),34.62430191040039
Half width(nm),18.035400390625
Peak(nm),630.8472900390625
Center(nm),630.0039672851562
Centroid(nm),578.2000122070312
R ratio(%),68.20732879638672
G ratio(%),1.7403388023376465
B ratio(%),30.052331924438477
Integrat.Time(ms),700.0
Peak Signal,56938.0
Dark Signal,3842.0
Compensate level,2510.0
StartTestWave,380
EndTestWave,780
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0005243791383691132
393,0.004393504932522774
394,0.00285813445225358
395,0.0
396,0.0
397,0.0006708281580358744
398,0.0018707930576056242
399,0.0029762452468276024
400,0.0023591856006532907
401,0.0005329781561158597
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.00028678536182269454
413,0.006467514205724001
414,0.005066681187599897
415,0.0011955898953601718
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.00023325213987845927
429,0.00511748343706131
430,0.012497203424572945
431,0.01961536891758442
432,0.027857279404997826
433,0.03714630752801895
434,0.045145586133003235
435,0.052327100187540054
436,0.058523450046777725
437,0.06726010143756866
438,0.07762693613767624
439,0.09424545615911484
440,0.11226128041744232
441,0.13790620863437653
442,0.1652473360300064
443,0.19317138195037842
444,0.22499573230743408
445,0.26552730798721313
446,0.30416548252105713
447,0.35178372263908386
448,0.4051070809364319
449,0.46358492970466614
450,0.5278540849685669
451,0.6031734347343445
452,0.6828483939170837
453,0.7669350504875183
454,0.8595208525657654
455,0.9710704684257507
456,1.0895295143127441
457,1.2230894565582275
458,1.3678807020187378
459,1.507548451423645
460,1.6339894533157349
461,1.7423961162567139
462,1.8230990171432495
463,1.873840570449829
464,1.8976771831512451
465,1.8852890729904175
466,1.8436757326126099
467,1.7717615365982056
468,1.6539335250854492
469,1.5183625221252441
470,1.396883249282837
471,1.2800079584121704
472,1.170225977897644
473,1.0716201066970825
474,0.9868171215057373
475,0.912352979183197
476,0.8393629193305969
477,0.7759453058242798
478,0.7232933640480042
479,0.6734998822212219
480,0.6240013837814331
481,0.574414849281311
482,0.5262704491615295
483,0.47269731760025024
484,0.41955575346946716
485,0.3704928457736969
486,0.3343355357646942
487,0.30049607157707214
488,0.2710213363170624
489,0.24053215980529785
490,0.2161286324262619
491,0.19676333665847778
492,0.18075887858867645
493,0.16313186287879944
494,0.15148065984249115
495,0.1382746547460556
496,0.11795957386493683
497,0.09821408987045288
498,0.08419222384691238
499,0.06887924671173096
500,0.05828554555773735
501,0.05205771327018738
502,0.048193540424108505
503,0.044758159667253494
504,0.040515266358852386
505,0.03275851532816887
506,0.026930764317512512
507,0.023002352565526962
508,0.022547712549567223
509,0.022556690499186516
510,0.02452724799513817
511,0.025123324245214462
512,0.02256144769489765
513,0.016441039741039276
514,0.011442715302109718
515,0.007005753461271524
516,0.0022857580333948135
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0011920869583263993
522,0.0032689012587070465
523,0.0046385121531784534
524,0.0033400619868189096
525,0.0011308150133118033
526,0.0
527,0.0
528,0.0
529,0.0008931207121349871
530,0.003839002223685384
531,0.007928028702735901
532,0.00842767022550106
533,0.007759987376630306
534,0.0041381302289664745
535,0.0007736699189990759
536,0.0
537,0.0
538,0.001030698767863214
539,0.002128151012584567
540,0.004945849534124136
541,0.007987059652805328
542,0.009348008781671524
543,0.010640550404787064
544,0.013915007002651691
545,0.015448318794369698
546,0.015617516823112965
547,0.01600649766623974
548,0.014947572723031044
549,0.01181703619658947
550,0.00796677265316248
551,0.004153548739850521
552,0.0027081251610070467
553,0.0026132373604923487
554,0.0022516234312206507
555,0.0025165604893118143
556,0.004317134618759155
557,0.004249243997037411
558,0.007298806682229042
559,0.00881214253604412
560,0.01055210642516613
561,0.012845944613218307
562,0.01401600893586874
563,0.012017101980745792
564,0.011610284447669983
565,0.010606450960040092
566,0.005079643335193396
567,0.0008894249913282692
568,0.0001814781135180965
569,0.0
570,0.0
571,0.0008997669210657477
572,0.001452916068956256
573,0.00016013352433219552
574,1.8960599845740944e-05
575,0.002221915638074279
576,0.003949486650526524
577,0.006517411675304174
578,0.011645746417343616
579,0.014917979948222637
580,0.012524496763944626
581,0.010423647239804268
582,0.008068297989666462
583,0.0031069826800376177
584,0.0005979727720841765
585,0.0029547475278377533
586,0.0055836644023656845
587,0.007504618261009455
588,0.007673406973481178
589,0.005482359789311886
590,0.0028508470859378576
591,0.0026052906177937984
592,0.0037626815028488636
593,0.009361093863844872
594,0.01871204562485218
595,0.02760968916118145
596,0.03511734679341316
597,0.044838666915893555
598,0.056764259934425354
599,0.06882425397634506
600,0.08675054460763931
601,0.11142466962337494
602,0.14038890600204468
603,0.17564532160758972
604,0.2193845808506012
605,0.2729838788509369
606,0.3374274969100952
607,0.40912386775016785
608,0.4873106777667999
609,0.5777571201324463
610,0.6741490364074707
611,0.7782279849052429
612,0.8910031318664551
613,0.9946293830871582
614,1.1050140857696533
615,1.2503527402877808
616,1.4006389379501343
617,1.5651532411575317
618,1.7493510246276855
619,1.9481871128082275
620,2.164245367050171
621,2.400644063949585
622,2.656614065170288
623,2.9248321056365967
624,3.2075421810150146
625,3.5052592754364014
626,3.8113107681274414
627,4.1066107749938965
628,4.375528812408447
629,4.599427700042725
630,4.741833209991455
631,4.810423851013184
632,4.77901029586792
633,4.636321544647217
634,4.376683712005615
635,4.030240535736084
636,3.6328530311584473
637,3.2096989154815674
638,2.7810592651367188
639,2.3723998069763184
640,1.9986076354980469
641,1.6680867671966553
642,1.384041666984558
643,1.1392250061035156
644,0.9314868450164795
645,0.7866087555885315
646,0.663996696472168
647,0.5402719378471375
648,0.4402635395526886
649,0.36422160267829895
650,0.2989618480205536
651,0.24080277979373932
652,0.1914650946855545
653,0.15371233224868774
654,0.12234362214803696
655,0.10064151883125305
656,0.08537784218788147
657,0.07176422327756882
658,0.06111150607466698
659,0.05544460192322731
660,0.048175591975450516
661,0.04025964438915253
662,0.032156217843294144
663,0.02444222941994667
664,0.018116198480129242
665,0.01387037429958582
666,0.01181374117732048
667,0.014397315680980682
668,0.014359668828547001
669,0.012900738045573235
670,0.013175226747989655
671,0.011764482595026493
672,0.008492057211697102
673,0.003870881861075759
674,0.0022062368225306273
675,0.001006733044050634
676,0.0
677,0.0
678,0.0
679,0.0005300862831063569
680,0.005096783395856619
681,0.011489433236420155
682,0.020213335752487183
683,0.02113659679889679
684,0.018210439011454582
685,0.011001946404576302
686,0.009552096016705036
687,0.010042045265436172
688,0.013094926252961159
689,0.015195798128843307
690,0.015970353037118912
691,0.012776469811797142
692,0.005072380416095257
693,0.0005080313421785831
694,0.0007568590226583183
695,0.004212667234241962
696,0.005639184266328812
697,0.00807226076722145
698,0.008280504494905472
699,0.006796963047236204
700,0.00368464644998312
701,0.0019978859927505255
702,0.0014340410707518458
703,0.0013713224325329065
704,0.0013419558526948094
705,0.002283760579302907
706,0.005933128297328949
707,0.006354359909892082
708,0.005883633624762297
709,0.011539652943611145
710,0.04369571432471275
711,0.07642968744039536
712,0.08063336461782455
713,0.07866492867469788
714,0.07340147346258163
715,0.0528610497713089
716,0.0034578938502818346
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,2.1005862436140887e-05
735,0.0
736,0.0010170715395361185
737,0.00025983250816352665
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0014225110644474626
745,0.006449863780289888
746,0.010768711566925049
747,0.01295667327940464
748,0.01956198737025261
749,0.025194941088557243
750,0.019941523671150208
751,0.010359697975218296
752,0.008370508439838886
753,0.006780622527003288
754,0.0034821336157619953
755,0.0061727226711809635
756,0.005337268114089966
757,0.00136955501511693
758,0.0
759,0.0
760,0.0
761,0.0010647578164935112
762,0.005169088486582041
763,0.0011915117502212524
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0031414153054356575
777,0.002838432788848877
778,0.0010166247375309467
779,0.0
780,0.0
