segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,0,10,0,10,inf,2026-04-29T10:42:13.485,2026-04-29T10:42:13.486,2026-04-29T10:42:17.979,4493.0,2026-04-29T10:42:37.981,2026-04-29T10:42:45.057,7076.0,2026-04-29T10:43:05.059,2026-04-29T10:43:05.060,2026-04-29T10:43:06.673,1613.0,2026-04-29T10:43:26.675,2026-04-29T10:45:06.675,2026-04-29T10:45:06.675,10.0,20.0,20.0,20.0,100.0,3,1.2352708578109741,2026-04-29T10:43:51.675,archive/2026-04-29/standard_csv/raw_bytes_20260429_104353.csv,1.2448534965515137,2026-04-29T10:44:16.675,archive/2026-04-29/standard_csv/raw_bytes_20260429_104418.csv,1.2531428337097168,2026-04-29T10:44:41.675,archive/2026-04-29/standard_csv/raw_bytes_20260429_104443.csv,3,1.2444223960240681
2,normal,2,1,0,30,0,30,inf,2026-04-29T10:45:06.677,2026-04-29T10:45:06.678,2026-04-29T10:45:09.073,2395.0,2026-04-29T10:45:29.076,2026-04-29T10:45:34.121,5045.0,2026-04-29T10:45:54.123,2026-04-29T10:45:54.124,2026-04-29T10:45:57.114,2990.0,2026-04-29T10:46:17.116,2026-04-29T10:47:57.116,2026-04-29T10:47:57.116,10.0,20.0,20.0,20.0,100.0,3,5.988767147064209,2026-04-29T10:46:42.116,archive/2026-04-29/standard_csv/raw_bytes_20260429_104644.csv,5.988496780395508,2026-04-29T10:47:07.116,archive/2026-04-29/standard_csv/raw_bytes_20260429_104709.csv,6.011076927185059,2026-04-29T10:47:32.116,archive/2026-04-29/standard_csv/raw_bytes_20260429_104734.csv,3,5.996113618214925
3,normal,3,1,0,50,0,50,inf,2026-04-29T10:47:57.118,2026-04-29T10:47:57.121,2026-04-29T10:47:58.454,1333.0,2026-04-29T10:48:18.457,2026-04-29T10:48:21.085,2628.0,2026-04-29T10:48:41.087,2026-04-29T10:48:41.088,2026-04-29T10:48:42.671,1583.0,2026-04-29T10:49:02.672,2026-04-29T10:50:42.672,2026-04-29T10:50:42.672,10.0,20.0,20.0,20.0,100.0,3,10.947900772094727,2026-04-29T10:49:27.672,archive/2026-04-29/standard_csv/raw_bytes_20260429_104929.csv,10.930885314941406,2026-04-29T10:49:52.672,archive/2026-04-29/standard_csv/raw_bytes_20260429_104954.csv,10.970428466796875,2026-04-29T10:50:17.672,archive/2026-04-29/standard_csv/raw_bytes_20260429_105019.csv,3,10.949738184611002
4,normal,4,1,0,70,0,70,inf,2026-04-29T10:50:42.675,2026-04-29T10:50:42.678,2026-04-29T10:50:44.001,1323.0,2026-04-29T10:51:04.004,2026-04-29T10:51:08.026,4022.0000000000005,2026-04-29T10:51:28.028,2026-04-29T10:51:28.029,2026-04-29T10:51:29.626,1597.0,2026-04-29T10:51:49.628,2026-04-29T10:53:29.629,2026-04-29T10:53:29.629,10.0,20.0,20.0,20.0,100.0,3,15.677700996398926,2026-04-29T10:52:14.628,archive/2026-04-29/standard_csv/raw_bytes_20260429_105216.csv,15.681649208068848,2026-04-29T10:52:39.629,archive/2026-04-29/standard_csv/raw_bytes_20260429_105241.csv,15.721968650817871,2026-04-29T10:53:04.628,archive/2026-04-29/standard_csv/raw_bytes_20260429_105306.csv,3,15.693772951761881
5,normal,5,1,0,90,0,90,inf,2026-04-29T10:53:29.631,2026-04-29T10:53:29.634,2026-04-29T10:53:30.966,1332.0,2026-04-29T10:53:50.969,2026-04-29T10:53:52.867,1898.0,2026-04-29T10:54:12.869,2026-04-29T10:54:12.870,2026-04-29T10:54:14.497,1627.0,2026-04-29T10:54:34.499,2026-04-29T10:56:14.499,2026-04-29T10:56:14.499,10.0,20.0,20.0,20.0,100.0,3,20.395917892456055,2026-04-29T10:54:59.499,archive/2026-04-29/standard_csv/raw_bytes_20260429_105501.csv,20.434419631958008,2026-04-29T10:55:24.499,archive/2026-04-29/standard_csv/raw_bytes_20260429_105526.csv,20.377378463745117,2026-04-29T10:55:49.499,archive/2026-04-29/standard_csv/raw_bytes_20260429_105551.csv,3,20.40257199605306
6,normal,6,4,1,8,2,10,4.000000,2026-04-29T10:56:14.502,2026-04-29T10:56:14.504,2026-04-29T10:56:20.697,6193.0,2026-04-29T10:56:40.700,2026-04-29T10:56:47.952,7252.0,2026-04-29T10:57:07.953,2026-04-29T10:57:07.954,2026-04-29T10:57:09.601,1647.0,2026-04-29T10:57:29.603,2026-04-29T10:59:09.603,2026-04-29T10:59:09.603,10.0,20.0,20.0,20.0,100.0,3,0.8144146800041199,2026-04-29T10:57:54.603,archive/2026-04-29/standard_csv/raw_bytes_20260429_105756.csv,0.8316128253936768,2026-04-29T10:58:19.603,archive/2026-04-29/standard_csv/raw_bytes_20260429_105821.csv,0.8358287811279297,2026-04-29T10:58:44.603,archive/2026-04-29/standard_csv/raw_bytes_20260429_105846.csv,3,0.8272854288419088
7,normal,7,4,1,24,6,30,4.000000,2026-04-29T10:59:09.606,2026-04-29T10:59:09.608,2026-04-29T10:59:15.768,6160.0,2026-04-29T10:59:35.771,2026-04-29T10:59:37.732,1961.0,2026-04-29T10:59:57.734,2026-04-29T10:59:57.735,2026-04-29T11:00:10.020,12285.0,2026-04-29T11:00:30.022,2026-04-29T11:02:10.023,2026-04-29T11:02:10.023,10.0,20.0,20.0,20.0,100.0,3,5.040890693664551,2026-04-29T11:00:55.023,archive/2026-04-29/standard_csv/raw_bytes_20260429_110057.csv,5.055257797241211,2026-04-29T11:01:20.023,archive/2026-04-29/standard_csv/raw_bytes_20260429_110122.csv,5.0655903816223145,2026-04-29T11:01:45.023,archive/2026-04-29/standard_csv/raw_bytes_20260429_110147.csv,3,5.053912957509358
8,normal,8,4,1,40,10,50,4.000000,2026-04-29T11:02:10.025,2026-04-29T11:02:10.028,2026-04-29T11:02:16.827,6799.0,2026-04-29T11:02:36.830,2026-04-29T11:02:41.827,4997.0,2026-04-29T11:03:01.829,2026-04-29T11:03:01.829,2026-04-29T11:03:04.149,2320.0,2026-04-29T11:03:24.153,2026-04-29T11:05:04.153,2026-04-29T11:05:04.153,10.0,20.0,20.0,20.0,100.0,3,9.436062812805176,2026-04-29T11:03:49.153,archive/2026-04-29/standard_csv/raw_bytes_20260429_110351.csv,9.419736862182617,2026-04-29T11:04:14.153,archive/2026-04-29/standard_csv/raw_bytes_20260429_110416.csv,9.447388648986816,2026-04-29T11:04:39.153,archive/2026-04-29/standard_csv/raw_bytes_20260429_110441.csv,3,9.434396107991537
9,normal,9,4,1,56,14,70,4.000000,2026-04-29T11:05:04.156,2026-04-29T11:05:04.158,2026-04-29T11:05:05.476,1318.0,2026-04-29T11:05:25.479,2026-04-29T11:05:30.470,4991.0,2026-04-29T11:05:50.472,2026-04-29T11:05:50.473,2026-04-29T11:05:52.182,1709.0,2026-04-29T11:06:12.183,2026-04-29T11:07:52.184,2026-04-29T11:07:52.184,10.0,20.0,20.0,20.0,100.0,3,13.864489555358887,2026-04-29T11:06:37.184,archive/2026-04-29/standard_csv/raw_bytes_20260429_110639.csv,13.774328231811523,2026-04-29T11:07:02.184,archive/2026-04-29/standard_csv/raw_bytes_20260429_110704.csv,13.849928855895996,2026-04-29T11:07:27.184,archive/2026-04-29/standard_csv/raw_bytes_20260429_110729.csv,3,13.829582214355469
10,normal,10,4,1,72,18,90,4.000000,2026-04-29T11:07:52.186,2026-04-29T11:07:52.189,2026-04-29T11:07:58.356,6167.0,2026-04-29T11:08:18.359,2026-04-29T11:08:21.715,3356.0,2026-04-29T11:08:41.718,2026-04-29T11:08:41.719,2026-04-29T11:08:44.093,2374.0,2026-04-29T11:09:04.096,2026-04-29T11:10:44.096,2026-04-29T11:10:44.096,10.0,20.0,20.0,20.0,100.0,3,18.51920509338379,2026-04-29T11:09:29.096,archive/2026-04-29/standard_csv/raw_bytes_20260429_110931.csv,18.45410919189453,2026-04-29T11:09:54.096,archive/2026-04-29/standard_csv/raw_bytes_20260429_110956.csv,18.513275146484375,2026-04-29T11:10:19.096,archive/2026-04-29/standard_csv/raw_bytes_20260429_111021.csv,3,18.495529810587566
