segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,0,10,0,10,inf,2026-04-29T13:58:40.475,2026-04-29T13:58:40.476,2026-04-29T13:58:43.719,3243.0,2026-04-29T13:59:03.721,2026-04-29T13:59:08.728,5007.0,2026-04-29T13:59:28.730,2026-04-29T13:59:28.731,2026-04-29T13:59:30.353,1622.0,2026-04-29T13:59:50.355,2026-04-29T14:01:30.355,2026-04-29T14:01:30.356,10.0,20.0,20.0,20.0,100.0,3,1.6791292428970337,2026-04-29T14:00:15.355,archive/2026-04-29/standard_csv/raw_bytes_20260429_140017.csv,1.6885873079299927,2026-04-29T14:00:40.355,archive/2026-04-29/standard_csv/raw_bytes_20260429_140042.csv,1.7087464332580566,2026-04-29T14:01:05.355,archive/2026-04-29/standard_csv/raw_bytes_20260429_140107.csv,3,1.692154328028361
2,normal,2,1,0,30,0,30,inf,2026-04-29T14:01:30.358,2026-04-29T14:01:30.359,2026-04-29T14:01:35.751,5392.0,2026-04-29T14:01:55.754,2026-04-29T14:01:57.814,2060.0,2026-04-29T14:02:17.815,2026-04-29T14:02:17.817,2026-04-29T14:02:19.423,1606.0,2026-04-29T14:02:39.425,2026-04-29T14:04:19.425,2026-04-29T14:04:19.425,10.0,20.0,20.0,20.0,100.0,3,8.085116386413574,2026-04-29T14:03:04.425,archive/2026-04-29/standard_csv/raw_bytes_20260429_140306.csv,8.12308406829834,2026-04-29T14:03:29.425,archive/2026-04-29/standard_csv/raw_bytes_20260429_140331.csv,8.149452209472656,2026-04-29T14:03:54.425,archive/2026-04-29/standard_csv/raw_bytes_20260429_140356.csv,3,8.11921755472819
3,normal,3,1,0,50,0,50,inf,2026-04-29T14:04:19.428,2026-04-29T14:04:19.430,2026-04-29T14:04:24.398,4968.0,2026-04-29T14:04:44.400,2026-04-29T14:04:52.174,7774.0,2026-04-29T14:05:12.175,2026-04-29T14:05:12.177,2026-04-29T14:05:15.525,3348.0,2026-04-29T14:05:35.527,2026-04-29T14:07:15.527,2026-04-29T14:07:15.527,10.0,20.0,20.0,20.0,100.0,3,14.939008712768555,2026-04-29T14:06:00.527,archive/2026-04-29/standard_csv/raw_bytes_20260429_140602.csv,14.938590049743652,2026-04-29T14:06:25.527,archive/2026-04-29/standard_csv/raw_bytes_20260429_140627.csv,14.962336540222168,2026-04-29T14:06:50.527,archive/2026-04-29/standard_csv/raw_bytes_20260429_140652.csv,3,14.946645100911459
4,normal,4,1,0,70,0,70,inf,2026-04-29T14:07:15.529,2026-04-29T14:07:15.532,2026-04-29T14:07:16.880,1348.0,2026-04-29T14:07:36.882,2026-04-29T14:07:44.440,7558.0,2026-04-29T14:08:04.441,2026-04-29T14:08:04.442,2026-04-29T14:08:06.051,1609.0,2026-04-29T14:08:26.058,2026-04-29T14:10:06.058,2026-04-29T14:10:06.058,10.0,20.0,20.0,20.0,100.0,3,21.380535125732422,2026-04-29T14:08:51.058,archive/2026-04-29/standard_csv/raw_bytes_20260429_140853.csv,21.49856948852539,2026-04-29T14:09:16.058,archive/2026-04-29/standard_csv/raw_bytes_20260429_140918.csv,21.4469051361084,2026-04-29T14:09:41.058,archive/2026-04-29/standard_csv/raw_bytes_20260429_140943.csv,3,21.44200325012207
5,normal,5,1,0,90,0,90,inf,2026-04-29T14:10:06.060,2026-04-29T14:10:06.063,2026-04-29T14:10:08.248,2185.0,2026-04-29T14:10:28.250,2026-04-29T14:10:30.136,1886.0,2026-04-29T14:10:50.137,2026-04-29T14:10:50.138,2026-04-29T14:10:57.237,7099.0,2026-04-29T14:11:17.239,2026-04-29T14:12:57.239,2026-04-29T14:12:57.239,10.0,20.0,20.0,20.0,100.0,3,27.76862335205078,2026-04-29T14:11:42.239,archive/2026-04-29/standard_csv/raw_bytes_20260429_141144.csv,27.9150390625,2026-04-29T14:12:07.239,archive/2026-04-29/standard_csv/raw_bytes_20260429_141209.csv,27.79595375061035,2026-04-29T14:12:32.239,archive/2026-04-29/standard_csv/raw_bytes_20260429_141234.csv,3,27.82653872172038
6,normal,6,4,1,8,2,10,4.000000,2026-04-29T14:12:57.242,2026-04-29T14:12:57.245,2026-04-29T14:12:58.578,1333.0,2026-04-29T14:13:18.581,2026-04-29T14:13:25.763,7182.0,2026-04-29T14:13:45.765,2026-04-29T14:13:45.766,2026-04-29T14:13:47.890,2124.0,2026-04-29T14:14:07.892,2026-04-29T14:15:47.892,2026-04-29T14:15:47.892,10.0,20.0,20.0,20.0,100.0,3,1.1223435401916504,2026-04-29T14:14:32.892,archive/2026-04-29/standard_csv/raw_bytes_20260429_141435.csv,1.141788363456726,2026-04-29T14:14:57.892,archive/2026-04-29/standard_csv/raw_bytes_20260429_141500.csv,1.1429705619812012,2026-04-29T14:15:22.892,archive/2026-04-29/standard_csv/raw_bytes_20260429_141525.csv,3,1.1357008218765259
7,normal,7,4,1,24,6,30,4.000000,2026-04-29T14:15:47.895,2026-04-29T14:15:47.898,2026-04-29T14:15:49.960,2062.0,2026-04-29T14:16:09.963,2026-04-29T14:16:11.861,1898.0,2026-04-29T14:16:31.863,2026-04-29T14:16:31.864,2026-04-29T14:16:33.481,1617.0,2026-04-29T14:16:53.483,2026-04-29T14:18:33.483,2026-04-29T14:18:33.483,10.0,20.0,20.0,20.0,100.0,3,6.910080909729004,2026-04-29T14:17:18.483,archive/2026-04-29/standard_csv/raw_bytes_20260429_141720.csv,6.910013675689697,2026-04-29T14:17:43.483,archive/2026-04-29/standard_csv/raw_bytes_20260429_141745.csv,6.917507648468018,2026-04-29T14:18:08.483,archive/2026-04-29/standard_csv/raw_bytes_20260429_141810.csv,3,6.912534077962239
8,normal,8,4,1,40,10,50,4.000000,2026-04-29T14:18:33.486,2026-04-29T14:18:33.488,2026-04-29T14:18:34.832,1344.0,2026-04-29T14:18:54.835,2026-04-29T14:19:05.094,10259.0,2026-04-29T14:19:25.096,2026-04-29T14:19:25.097,2026-04-29T14:19:32.155,7058.0,2026-04-29T14:19:52.157,2026-04-29T14:21:32.157,2026-04-29T14:21:32.157,10.0,20.0,20.0,20.0,100.0,3,12.958759307861328,2026-04-29T14:20:17.157,archive/2026-04-29/standard_csv/raw_bytes_20260429_142019.csv,12.951878547668457,2026-04-29T14:20:42.157,archive/2026-04-29/standard_csv/raw_bytes_20260429_142044.csv,12.938777923583984,2026-04-29T14:21:07.157,archive/2026-04-29/standard_csv/raw_bytes_20260429_142109.csv,3,12.94980525970459
9,normal,9,4,1,56,14,70,4.000000,2026-04-29T14:21:32.159,2026-04-29T14:21:32.162,2026-04-29T14:21:33.519,1357.0,2026-04-29T14:21:53.522,2026-04-29T14:22:01.743,8221.0,2026-04-29T14:22:21.744,2026-04-29T14:22:21.745,2026-04-29T14:22:23.345,1600.0,2026-04-29T14:22:43.347,2026-04-29T14:24:23.347,2026-04-29T14:24:23.347,10.0,20.0,20.0,20.0,100.0,3,18.951370239257812,2026-04-29T14:23:08.347,archive/2026-04-29/standard_csv/raw_bytes_20260429_142310.csv,18.92070198059082,2026-04-29T14:23:33.347,archive/2026-04-29/standard_csv/raw_bytes_20260429_142335.csv,18.93584442138672,2026-04-29T14:23:58.347,archive/2026-04-29/standard_csv/raw_bytes_20260429_142400.csv,3,18.935972213745117
10,normal,10,4,1,72,18,90,4.000000,2026-04-29T14:24:23.350,2026-04-29T14:24:23.353,2026-04-29T14:24:28.247,4894.0,2026-04-29T14:24:48.254,2026-04-29T14:24:52.994,4740.0,2026-04-29T14:25:12.996,2026-04-29T14:25:12.997,2026-04-29T14:25:14.947,1950.0,2026-04-29T14:25:34.949,2026-04-29T14:27:14.949,2026-04-29T14:27:14.949,10.0,20.0,20.0,20.0,100.0,3,25.296945571899414,2026-04-29T14:25:59.949,archive/2026-04-29/standard_csv/raw_bytes_20260429_142602.csv,25.336889266967773,2026-04-29T14:26:24.949,archive/2026-04-29/standard_csv/raw_bytes_20260429_142627.csv,25.243741989135742,2026-04-29T14:26:49.949,archive/2026-04-29/standard_csv/raw_bytes_20260429_142652.csv,3,25.29252560933431
11,normal,11,3,2,6,4,10,1.500000,2026-04-29T14:27:14.950,2026-04-29T14:27:14.953,2026-04-29T14:27:18.833,3880.0,2026-04-29T14:27:38.836,2026-04-29T14:27:40.727,1891.0,2026-04-29T14:28:00.729,2026-04-29T14:28:00.730,2026-04-29T14:28:02.957,2227.0,2026-04-29T14:28:22.958,2026-04-29T14:30:02.958,2026-04-29T14:30:02.958,10.0,20.0,20.0,20.0,100.0,3,0.9663615822792053,2026-04-29T14:28:47.958,archive/2026-04-29/standard_csv/raw_bytes_20260429_142850.csv,0.9814741611480713,2026-04-29T14:29:12.958,archive/2026-04-29/standard_csv/raw_bytes_20260429_142915.csv,0.9770410656929016,2026-04-29T14:29:37.958,archive/2026-04-29/standard_csv/raw_bytes_20260429_142940.csv,3,0.9749589363733927
12,normal,12,3,2,18,12,30,1.500000,2026-04-29T14:30:02.961,2026-04-29T14:30:02.964,2026-04-29T14:30:04.302,1338.0,2026-04-29T14:30:24.305,2026-04-29T14:30:36.605,12300.0,2026-04-29T14:30:56.607,2026-04-29T14:30:56.608,2026-04-29T14:31:00.783,4175.0,2026-04-29T14:31:20.785,2026-04-29T14:33:00.785,2026-04-29T14:33:00.785,10.0,20.0,20.0,20.0,100.0,3,5.888011932373047,2026-04-29T14:31:45.785,archive/2026-04-29/standard_csv/raw_bytes_20260429_143147.csv,5.897426128387451,2026-04-29T14:32:10.785,archive/2026-04-29/standard_csv/raw_bytes_20260429_143212.csv,5.9000935554504395,2026-04-29T14:32:35.785,archive/2026-04-29/standard_csv/raw_bytes_20260429_143237.csv,3,5.8951772054036455
13,normal,13,3,2,30,20,50,1.500000,2026-04-29T14:33:00.787,2026-04-29T14:33:00.790,2026-04-29T14:33:03.602,2812.0,2026-04-29T14:33:23.605,2026-04-29T14:33:28.718,5113.0,2026-04-29T14:33:48.720,2026-04-29T14:33:48.721,2026-04-29T14:33:50.457,1736.0,2026-04-29T14:34:10.459,2026-04-29T14:35:50.459,2026-04-29T14:35:50.459,10.0,20.0,20.0,20.0,100.0,3,12.117029190063477,2026-04-29T14:34:35.459,archive/2026-04-29/standard_csv/raw_bytes_20260429_143437.csv,12.093775749206543,2026-04-29T14:35:00.459,archive/2026-04-29/standard_csv/raw_bytes_20260429_143502.csv,12.114734649658203,2026-04-29T14:35:25.459,archive/2026-04-29/standard_csv/raw_bytes_20260429_143527.csv,3,12.108513196309408
