Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/03/05 19:31
PAR(mW/cm²),0.17655490338802338
PPFD(umol/㎡/s),8.488751411437988
PPFD-UV(umol/㎡/s),0.00027039501583203673
PPFD-B(umol/㎡/s),2.2406508922576904
PPFD-G(umol/㎡/s),0.049689050763845444
PPFD-R(umol/㎡/s),6.198410987854004
PPFD-FR(umol/㎡/s),0.005307192914187908
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),31.809032440185547
Erb Ratio,2.0495681762695312
YPFD(umol/m²/s),7.740218162536621
Ech-A(mW/cm²),0.0029808147810399532
Ech-B(mW/cm²),0.0025823803152889013
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),266.8660583496094
Candle E(fc),24.801677703857422
CCT(K),1195.34033203125
Duv,-0.10196950286626816
x,0.4358670711517334
y,0.18634529411792755
u,0.39947405457496643
v,0.2561793923377991
u’,0.39947405457496643
v’,0.3842690885066986
SDCM,100.0
Ra,-41.65542221069336
R1,15.229581832885742
R2,-75.72432708740234
R3,-100.0
R4,59.22152328491211
R5,-70.3758316040039
R6,-100.0
R7,-73.56059265136719
R8,11.966290473937988
R9,49.538291931152344
R10,-100.0
R11,72.48539733886719
R12,-100.0
R13,-42.684417724609375
R14,-37.620330810546875
R15,52.21249771118164
Ee(mW/cm²),0.17655490338802338
S/P,2.399674892425537
Dominant(nm),512.0
Purity(%),32.936607360839844
Half width(nm),18.035400390625
Peak(nm),630.8472900390625
Center(nm),630.0039672851562
Centroid(nm),575.5
R ratio(%),66.85576629638672
G ratio(%),1.5728271007537842
B ratio(%),31.5714111328125
Integrat.Time(ms),60.0
Peak Signal,56607.0
Dark Signal,2556.0
Compensate level,2510.0
StartTestWave,380
EndTestWave,780
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.001157347927801311
386,0.006283265072852373
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.014054490253329277
394,0.013172654435038567
395,0.015377296134829521
396,0.024746738374233246
397,0.007275306154042482
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0009242320666089654
406,0.015152992680668831
407,0.02099720947444439
408,0.014853427186608315
409,0.007905536331236362
410,0.0009136182488873601
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0008612324018031359
421,0.0
422,0.0
423,0.004711847752332687
424,0.028942469507455826
425,0.037110403180122375
426,0.05807209759950638
427,0.0827634260058403
428,0.09398061037063599
429,0.10684314370155334
430,0.13449417054653168
431,0.17157550156116486
432,0.21268703043460846
433,0.27336585521698
434,0.3522224426269531
435,0.45934081077575684
436,0.5842809677124023
437,0.7220094203948975
438,0.8704944849014282
439,1.0407994985580444
440,1.2497150897979736
441,1.5048214197158813
442,1.8175370693206787
443,2.168320894241333
444,2.57631778717041
445,3.03608775138855
446,3.5654172897338867
447,4.162712097167969
448,4.833164215087891
449,5.579371452331543
450,6.406316757202148
451,7.299761772155762
452,8.290350914001465
453,9.358505249023438
454,10.544825553894043
455,11.9055757522583
456,13.390995025634766
457,15.010641098022461
458,16.732912063598633
459,18.480043411254883
460,20.197763442993164
461,21.767210006713867
462,23.030643463134766
463,23.808019638061523
464,24.144906997680664
465,23.981430053710938
466,23.419878005981445
467,22.498008728027344
468,21.141626358032227
469,19.568391799926758
470,18.10451316833496
471,16.61216163635254
472,15.178933143615723
473,13.900670051574707
474,12.759688377380371
475,11.731595039367676
476,10.834369659423828
477,10.071908950805664
478,9.362225532531738
479,8.69611644744873
480,8.045038223266602
481,7.396579742431641
482,6.745259761810303
483,6.112287998199463
484,5.483211040496826
485,4.908515930175781
486,4.3610520362854
487,3.8571527004241943
488,3.3995935916900635
489,2.9994637966156006
490,2.642022132873535
491,2.3558008670806885
492,2.1071269512176514
493,1.885049819946289
494,1.6919952630996704
495,1.5274994373321533
496,1.366798758506775
497,1.219178557395935
498,1.0935074090957642
499,0.9725119471549988
500,0.8593257665634155
501,0.7618498802185059
502,0.671011209487915
503,0.592139720916748
504,0.5158147215843201
505,0.4379996061325073
506,0.37067294120788574
507,0.3182211220264435
508,0.2718747556209564
509,0.23476450145244598
510,0.2076716423034668
511,0.186067134141922
512,0.16242867708206177
513,0.14846587181091309
514,0.14108626544475555
515,0.13213378190994263
516,0.12475010007619858
517,0.11757072806358337
518,0.09962877631187439
519,0.08489303290843964
520,0.08045534044504166
521,0.07273183763027191
522,0.06671679019927979
523,0.06572562456130981
524,0.0634613037109375
525,0.059771113097667694
526,0.05245479568839073
527,0.04881282523274422
528,0.03946765512228012
529,0.030173365026712418
530,0.019954051822423935
531,0.015224453993141651
532,0.008934414945542812
533,0.0038896827027201653
534,0.0055581978522241116
535,0.00921777356415987
536,0.00959161575883627
537,0.01705307699739933
538,0.02465401217341423
539,0.019324859604239464
540,0.015042583458125591
541,0.02003086544573307
542,0.022773096337914467
543,0.027029845863580704
544,0.039536114782094955
545,0.04810547083616257
546,0.053068798035383224
547,0.060154158622026443
548,0.06424231827259064
549,0.05970235913991928
550,0.049898095428943634
551,0.03944685310125351
552,0.02720608003437519
553,0.014944064430892467
554,0.013068441301584244
555,0.021459555253386497
556,0.022409118711948395
557,0.022056743502616882
558,0.02323116734623909
559,0.021513599902391434
560,0.014582241885364056
561,0.011583867482841015
562,0.005782169755548239
563,0.0
564,0.0
565,0.00456938287243247
566,0.009880445897579193
567,0.014785096980631351
568,0.017084507271647453
569,0.013184909708797932
570,0.004598612431436777
571,0.00010797067079693079
572,0.0008061003754846752
573,0.006132035981863737
574,0.015195083804428577
575,0.026100007817149162
576,0.02313886396586895
577,0.02156221866607666
578,0.02351757138967514
579,0.022948969155550003
580,0.023225493729114532
581,0.03563762828707695
582,0.044357143342494965
583,0.047699593007564545
584,0.04538978636264801
585,0.04033595323562622
586,0.03938111662864685
587,0.04105027765035629
588,0.045948904007673264
589,0.0556144155561924
590,0.06432641297578812
591,0.07426384091377258
592,0.08872504532337189
593,0.1164228767156601
594,0.1497780680656433
595,0.18853239715099335
596,0.2545318007469177
597,0.3558877408504486
598,0.48626360297203064
599,0.6581619381904602
600,0.9085033535957336
601,1.2139248847961426
602,1.5830483436584473
603,2.0487756729125977
604,2.6060028076171875
605,3.222459077835083
606,3.9245924949645996
607,4.723625183105469
608,5.624598503112793
609,6.641178131103516
610,7.784824371337891
611,9.042983055114746
612,10.420478820800781
613,11.635577201843262
614,12.935040473937988
615,14.629836082458496
616,16.481538772583008
617,18.463464736938477
618,20.632165908813477
619,22.981201171875
620,25.54182243347168
621,28.308927536010742
622,31.284706115722656
623,34.4555549621582
624,37.82998275756836
625,41.401668548583984
626,45.0507926940918
627,48.65690994262695
628,51.979759216308594
629,54.724945068359375
630,56.504390716552734
631,57.40182876586914
632,57.11051559448242
633,55.41328430175781
634,52.37459182739258
635,48.247520446777344
636,43.42666244506836
637,38.27476501464844
638,33.12544250488281
639,28.172903060913086
640,23.651430130004883
641,19.672719955444336
642,16.24214744567871
643,13.33563232421875
644,10.915658950805664
645,9.198526382446289
646,7.73672342300415
647,6.251833438873291
648,5.032108783721924
649,4.040550231933594
650,3.2408206462860107
651,2.597592353820801
652,2.083256483078003
653,1.6539599895477295
654,1.2892237901687622
655,1.0152668952941895
656,0.8137670159339905
657,0.6526196599006653
658,0.5279641151428223
659,0.44899842143058777
660,0.3816312551498413
661,0.3120869994163513
662,0.2501717507839203
663,0.21547263860702515
664,0.18759241700172424
665,0.16174256801605225
666,0.1401563137769699
667,0.11479068547487259
668,0.08104164898395538
669,0.0550265908241272
670,0.040823422372341156
671,0.02878877893090248
672,0.027559960260987282
673,0.019362660124897957
674,0.014190166257321835
675,0.010046490468084812
676,0.0023331192787736654
677,0.0011607012711465359
678,0.0155571810901165
679,0.030378490686416626
680,0.02642442099750042
681,0.0244546327739954
682,0.017447905614972115
683,0.011221294291317463
684,0.004483112599700689
685,0.007682350929826498
686,0.007624159567058086
687,0.007101436145603657
688,0.011773071251809597
689,0.006851733662188053
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.008830741047859192
696,0.02051008865237236
697,0.017854202538728714
698,0.017134418711066246
699,0.018238233402371407
700,0.019615275785326958
701,0.012784173712134361
702,0.008879238739609718
703,0.00661920290440321
704,0.0006642119842581451
705,0.0021059331484138966
706,0.0057387822307646275
707,0.006585419178009033
708,0.009025046601891518
709,0.020012911409139633
710,0.030481787398457527
711,0.045121077448129654
712,0.04545966535806656
713,0.041912492364645004
714,0.03796849772334099
715,0.021763302385807037
716,0.0005451634642668068
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.014027462340891361
729,0.04014521464705467
730,0.04291761294007301
731,0.03904804587364197
732,0.02731582336127758
733,0.0023665069602429867
734,0.00020422367379069328
735,0.0
736,0.005523772910237312
737,0.010897122323513031
738,0.024064138531684875
739,0.013915213756263256
740,0.0013639108510687947
741,0.0
742,0.0
743,0.0
744,0.003820044919848442
745,0.019486751407384872
746,0.033254992216825485
747,0.02970939502120018
748,0.01607571914792061
749,0.0040757241658866405
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.013609666377305984
760,0.023119917139410973
761,0.02212369441986084
762,0.025252969935536385
763,0.02340383641421795
764,0.021959805861115456
765,0.02269591949880123
766,0.029989710077643394
767,0.02114533632993698
768,0.01783440075814724
769,0.00028260977705940604
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.00030429247999563813
778,0.0
779,0.003582559758797288
780,0.013887294568121433
