Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/01/11 20:47
PAR(mW/cm²),4.429425239562988
PPFD(umol/㎡/s),168.16184997558594
PPFD-UV(umol/㎡/s),0.1170717105269432
PPFD-B(umol/㎡/s),167.66566467285156
PPFD-G(umol/㎡/s),0.48484575748443604
PPFD-R(umol/㎡/s),0.011329714208841324
PPFD-FR(umol/㎡/s),0.06748407334089279
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),102.93440246582031
Erb Ratio,4.5724536903435364e-05
YPFD(umol/m²/s),123.38330078125
Ech-A(mW/cm²),0.13102278113365173
Ech-B(mW/cm²),0.1289072036743164
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),1633.6796875
Candle E(fc),151.82896423339844
CCT(K),100000.0
Duv,-0.06880418211221695
x,0.1497226357460022
y,0.02755095437169075
u,0.1975776106119156
v,0.054535359144210815
u’,0.1975776106119156
v’,0.08180303871631622
SDCM,100.0
Ra,-60.73785400390625
R1,-23.76102066040039
R2,-74.31005859375
R3,-100.0
R4,-94.2366714477539
R5,-6.997430801391602
R6,-79.81602478027344
R7,-65.14476013183594
R8,-41.636837005615234
R9,-100.0
R10,-100.0
R11,-100.0
R12,-100.0
R13,-53.01515579223633
R14,-45.08076858520508
R15,-8.025938034057617
Ee(mW/cm²),4.429425239562988
S/P,23.153873443603516
Dominant(nm),457.0
Purity(%),99.25176239013672
Half width(nm),19.466705322265625
Peak(nm),452.635498046875
Center(nm),453.13818359375
Centroid(nm),454.6000061035156
R ratio(%),0.02895241230726242
G ratio(%),0.9309709072113037
B ratio(%),99.04007720947266
Integrat.Time(ms),2.0
Peak Signal,49461.0
Dark Signal,3060.0
Compensate level,2520.0
StartTestWave,380
EndTestWave,780
380,0.0
381,0.14715918898582458
382,0.7060347199440002
383,1.3178142309188843
384,1.7543267011642456
385,2.1147918701171875
386,1.3475755453109741
387,0.3439164161682129
388,0.16203677654266357
389,0.07275305688381195
390,0.6597306728363037
391,1.7196061611175537
392,2.5628817081451416
393,2.9216816425323486
394,3.756685972213745
395,3.957166910171509
396,3.0936367511749268
397,2.4851632118225098
398,2.3628060817718506
399,2.1247100830078125
400,2.0412471294403076
401,2.82120418548584
402,3.6904141902923584
403,4.116179466247559
404,4.167600154876709
405,4.317881107330322
406,4.3898773193359375
407,4.443058013916016
408,4.55003547668457
409,5.1479363441467285
410,5.865785598754883
411,6.289588928222656
412,7.2039079666137695
413,8.3690185546875
414,9.58984375
415,11.550259590148926
416,13.488151550292969
417,15.512224197387695
418,18.053791046142578
419,21.175798416137695
420,24.61121940612793
421,28.797971725463867
422,33.49787902832031
423,39.32060241699219
424,46.07868194580078
425,54.0850944519043
426,64.4835205078125
427,76.54143524169922
428,90.49703216552734
429,107.19944763183594
430,127.64370727539062
431,150.34683227539062
432,177.2218017578125
433,208.22804260253906
434,242.5507049560547
435,280.33819580078125
436,329.1161804199219
437,384.24072265625
438,439.546630859375
439,503.21905517578125
440,576.9468383789062
441,662.6861572265625
442,760.7464599609375
443,870.6534423828125
444,992.2329711914062
445,1122.17578125
446,1260.4598388671875
447,1397.43212890625
448,1530.501220703125
449,1647.4390869140625
450,1741.357666015625
451,1807.9503173828125
452,1846.189208984375
453,1840.11865234375
454,1807.4210205078125
455,1757.984130859375
456,1682.303466796875
457,1588.53955078125
458,1485.7420654296875
459,1374.2620849609375
460,1261.5040283203125
461,1149.3714599609375
462,1042.4422607421875
463,938.8797607421875
464,847.4863891601562
465,767.7804565429688
466,698.744140625
467,637.7559204101562
468,577.98779296875
469,522.7440185546875
470,476.54229736328125
471,433.1680603027344
472,391.2462158203125
473,351.55438232421875
474,314.942626953125
475,281.1154479980469
476,250.08067321777344
477,223.19024658203125
478,199.41453552246094
479,178.0589599609375
480,158.690185546875
481,141.50428771972656
482,125.52155303955078
483,110.53417205810547
484,97.5328598022461
485,86.05789947509766
486,75.84580993652344
487,66.96090698242188
488,59.097434997558594
489,52.21330261230469
490,45.9427490234375
491,40.62852096557617
492,36.155677795410156
493,32.41888427734375
494,28.606224060058594
495,25.267288208007812
496,22.368667602539062
497,19.62042999267578
498,17.307701110839844
499,15.914632797241211
500,14.66871166229248
501,13.160107612609863
502,11.731372833251953
503,10.459609031677246
504,8.871810913085938
505,7.540879726409912
506,6.559593200683594
507,5.78048849105835
508,4.883969783782959
509,4.32671594619751
510,3.8722877502441406
511,3.533701181411743
512,3.2650227546691895
513,3.132840871810913
514,2.62381649017334
515,2.3038742542266846
516,2.0965468883514404
517,1.9412224292755127
518,1.9230964183807373
519,2.0004217624664307
520,1.7743256092071533
521,1.5460429191589355
522,1.3060626983642578
523,0.8520065546035767
524,0.6068974137306213
525,0.4441918730735779
526,0.12859119474887848
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0943995863199234
534,0.07949378341436386
535,0.2075577825307846
536,0.3471972644329071
537,0.3151174485683441
538,0.10565973073244095
539,0.13633869588375092
540,0.024476809427142143
541,0.0006317328079603612
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.014129181392490864
548,0.25308990478515625
549,0.6087889671325684
550,0.8627607226371765
551,0.6913891434669495
552,0.4366399943828583
553,0.09126570075750351
554,0.0
555,0.0
556,0.0
557,0.00640024384483695
558,0.08322393149137497
559,0.11071173846721649
560,0.050478436052799225
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.005080329719930887
570,0.15656933188438416
571,0.13866756856441498
572,0.1522933691740036
573,0.081760473549366
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.1155862882733345
596,0.36901959776878357
597,0.4821261465549469
598,0.47530046105384827
599,0.305547297000885
600,0.059144772589206696
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.12338394671678543
637,0.2930980622768402
638,0.04017006978392601
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.037459589540958405
657,0.15502358973026276
658,0.062244098633527756
659,0.028185907751321793
660,0.017332181334495544
661,0.03029295988380909
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.05682013928890228
672,0.2199113667011261
673,0.02844006009399891
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.17305460572242737
692,0.23052780330181122
693,0.0045816320925951
694,0.06999746710062027
695,0.25487586855888367
696,0.19262412190437317
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.17310723662376404
708,0.39426693320274353
709,0.5494408011436462
710,0.19949761033058167
711,0.115968719124794
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.03956392779946327
729,0.027730047702789307
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.008471240289509296
755,0.5565735697746277
756,1.1338624954223633
757,1.7414660453796387
758,2.329900026321411
759,2.2870585918426514
760,1.0762250423431396
761,0.11395609378814697
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
