segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,0,10,0,10,inf,2026-03-06T16:36:29.436,2026-03-06T16:36:29.436,2026-03-06T16:36:30.531,1095.0,2026-03-06T16:36:50.531,2026-03-06T16:36:51.350,819.0,2026-03-06T16:37:11.351,2026-03-06T16:37:11.351,2026-03-06T16:37:12.550,1199.0,2026-03-06T16:37:32.550,2026-03-06T16:39:12.550,2026-03-06T16:39:12.550,10.0,20.0,20.0,20.0,100.0,3,38.00608825683594,2026-03-06T16:37:57.551,archive/2026-03-06/standard_csv/raw_bytes_20260306_163759.csv,38.73457717895508,2026-03-06T16:38:22.550,archive/2026-03-06/standard_csv/raw_bytes_20260306_163824.csv,38.66828536987305,2026-03-06T16:38:47.550,archive/2026-03-06/standard_csv/raw_bytes_20260306_163849.csv,3,38.46965026855469
2,normal,2,1,0,20,0,20,inf,2026-03-06T16:39:12.551,2026-03-06T16:39:12.551,2026-03-06T16:39:13.430,879.0,2026-03-06T16:39:33.430,2026-03-06T16:39:34.232,802.0,2026-03-06T16:39:54.232,2026-03-06T16:39:54.232,2026-03-06T16:39:54.801,569.0,2026-03-06T16:40:14.801,2026-03-06T16:41:54.801,2026-03-06T16:41:54.801,10.0,20.0,20.0,20.0,100.0,3,74.2277603149414,2026-03-06T16:40:39.801,archive/2026-03-06/standard_csv/raw_bytes_20260306_164041.csv,76.1101303100586,2026-03-06T16:41:04.801,archive/2026-03-06/standard_csv/raw_bytes_20260306_164106.csv,76.26746368408203,2026-03-06T16:41:29.801,archive/2026-03-06/standard_csv/raw_bytes_20260306_164131.csv,3,75.53511810302734
3,normal,3,1,0,30,0,30,inf,2026-03-06T16:41:54.802,2026-03-06T16:41:54.802,2026-03-06T16:41:55.302,500.0,2026-03-06T16:42:15.302,2026-03-06T16:42:16.072,770.0,2026-03-06T16:42:36.072,2026-03-06T16:42:36.072,2026-03-06T16:42:36.652,580.0,2026-03-06T16:42:56.652,2026-03-06T16:44:36.652,2026-03-06T16:44:36.652,10.0,20.0,20.0,20.0,100.0,3,110.4367446899414,2026-03-06T16:43:21.652,archive/2026-03-06/standard_csv/raw_bytes_20260306_164323.csv,114.55093383789062,2026-03-06T16:43:46.652,archive/2026-03-06/standard_csv/raw_bytes_20260306_164348.csv,114.3325424194336,2026-03-06T16:44:11.652,archive/2026-03-06/standard_csv/raw_bytes_20260306_164413.csv,3,113.1067403157552
4,normal,4,1,0,40,0,40,inf,2026-03-06T16:44:36.652,2026-03-06T16:44:36.653,2026-03-06T16:44:37.391,738.0,2026-03-06T16:44:57.391,2026-03-06T16:44:58.095,704.0,2026-03-06T16:45:18.095,2026-03-06T16:45:18.095,2026-03-06T16:45:18.672,577.0,2026-03-06T16:45:38.673,2026-03-06T16:47:18.673,2026-03-06T16:47:18.673,10.0,20.0,20.0,20.0,100.0,3,151.4583282470703,2026-03-06T16:46:03.673,archive/2026-03-06/standard_csv/raw_bytes_20260306_164605.csv,151.3598175048828,2026-03-06T16:46:28.674,archive/2026-03-06/standard_csv/raw_bytes_20260306_164630.csv,151.54701232910156,2026-03-06T16:46:53.673,archive/2026-03-06/standard_csv/raw_bytes_20260306_164655.csv,3,151.4550526936849
5,normal,5,1,0,50,0,50,inf,2026-03-06T16:47:18.674,2026-03-06T16:47:18.674,2026-03-06T16:47:19.234,560.0,2026-03-06T16:47:39.234,2026-03-06T16:47:39.779,545.0,2026-03-06T16:47:59.780,2026-03-06T16:47:59.780,2026-03-06T16:48:00.489,709.0,2026-03-06T16:48:20.489,2026-03-06T16:50:00.489,2026-03-06T16:50:00.489,10.0,20.0,20.0,20.0,100.0,3,181.4079132080078,2026-03-06T16:48:45.489,archive/2026-03-06/standard_csv/raw_bytes_20260306_164847.csv,189.97109985351562,2026-03-06T16:49:10.489,archive/2026-03-06/standard_csv/raw_bytes_20260306_164912.csv,189.44183349609375,2026-03-06T16:49:35.489,archive/2026-03-06/standard_csv/raw_bytes_20260306_164937.csv,3,186.9402821858724
6,normal,6,1,0,60,0,60,inf,2026-03-06T16:50:00.490,2026-03-06T16:50:00.490,2026-03-06T16:50:01.099,609.0,2026-03-06T16:50:21.100,2026-03-06T16:50:21.946,846.0,2026-03-06T16:50:41.946,2026-03-06T16:50:41.946,2026-03-06T16:50:42.459,513.0,2026-03-06T16:51:02.459,2026-03-06T16:52:42.459,2026-03-06T16:52:42.459,10.0,20.0,20.0,20.0,100.0,3,226.81687927246094,2026-03-06T16:51:27.459,archive/2026-03-06/standard_csv/raw_bytes_20260306_165129.csv,226.27102661132812,2026-03-06T16:51:52.459,archive/2026-03-06/standard_csv/raw_bytes_20260306_165154.csv,225.8927764892578,2026-03-06T16:52:17.459,archive/2026-03-06/standard_csv/raw_bytes_20260306_165219.csv,3,226.32689412434897
7,normal,7,1,0,70,0,70,inf,2026-03-06T16:52:42.460,2026-03-06T16:52:42.460,2026-03-06T16:52:42.957,497.0,2026-03-06T16:53:02.958,2026-03-06T16:53:03.544,586.0,2026-03-06T16:53:23.544,2026-03-06T16:53:23.544,2026-03-06T16:53:24.389,845.0,2026-03-06T16:53:44.389,2026-03-06T16:55:24.390,2026-03-06T16:55:24.390,10.0,20.0,20.0,20.0,100.0,3,247.35787963867188,2026-03-06T16:54:09.390,archive/2026-03-06/standard_csv/raw_bytes_20260306_165411.csv,266.9220886230469,2026-03-06T16:54:34.390,archive/2026-03-06/standard_csv/raw_bytes_20260306_165436.csv,267.9767761230469,2026-03-06T16:54:59.390,archive/2026-03-06/standard_csv/raw_bytes_20260306_165501.csv,3,260.7522481282552
8,normal,8,1,0,80,0,80,inf,2026-03-06T16:55:24.390,2026-03-06T16:55:24.390,2026-03-06T16:55:25.261,871.0,2026-03-06T16:55:45.262,2026-03-06T16:55:45.814,552.0,2026-03-06T16:56:05.814,2026-03-06T16:56:05.814,2026-03-06T16:56:06.388,574.0,2026-03-06T16:56:26.389,2026-03-06T16:58:06.390,2026-03-06T16:58:06.390,10.0,20.0,20.0,20.0,100.0,3,303.8973388671875,2026-03-06T16:56:51.389,archive/2026-03-06/standard_csv/raw_bytes_20260306_165653.csv,302.95166015625,2026-03-06T16:57:16.389,archive/2026-03-06/standard_csv/raw_bytes_20260306_165718.csv,303.4869079589844,2026-03-06T16:57:41.389,archive/2026-03-06/standard_csv/raw_bytes_20260306_165743.csv,3,303.44530232747394
9,normal,9,1,0,90,0,90,inf,2026-03-06T16:58:06.390,2026-03-06T16:58:06.390,2026-03-06T16:58:07.107,717.0,2026-03-06T16:58:27.107,2026-03-06T16:58:27.688,581.0,2026-03-06T16:58:47.688,2026-03-06T16:58:47.688,2026-03-06T16:58:48.240,552.0,2026-03-06T16:59:08.240,2026-03-06T17:00:48.240,2026-03-06T17:00:48.240,10.0,20.0,20.0,20.0,100.0,3,339.1238098144531,2026-03-06T16:59:33.240,archive/2026-03-06/standard_csv/raw_bytes_20260306_165935.csv,337.9763488769531,2026-03-06T16:59:58.240,archive/2026-03-06/standard_csv/raw_bytes_20260306_170000.csv,338.9894104003906,2026-03-06T17:00:23.240,archive/2026-03-06/standard_csv/raw_bytes_20260306_170025.csv,3,338.69652303059894
10,normal,10,1,0,100,0,100,inf,2026-03-06T17:00:48.241,2026-03-06T17:00:48.241,2026-03-06T17:00:49.251,1010.0,2026-03-06T17:01:09.252,2026-03-06T17:01:10.211,959.0,2026-03-06T17:01:30.211,2026-03-06T17:01:30.211,2026-03-06T17:01:30.810,599.0,2026-03-06T17:01:50.810,2026-03-06T17:03:30.810,2026-03-06T17:03:30.810,10.0,20.0,20.0,20.0,100.0,3,366.4511413574219,2026-03-06T17:02:15.810,archive/2026-03-06/standard_csv/raw_bytes_20260306_170217.csv,366.0226745605469,2026-03-06T17:02:40.810,archive/2026-03-06/standard_csv/raw_bytes_20260306_170242.csv,365.3983459472656,2026-03-06T17:03:05.810,archive/2026-03-06/standard_csv/raw_bytes_20260306_170307.csv,3,365.95738728841144
