segment_id,pwm_r,pwm_b,rb_ratio_pwm,total_pwm,temperature_mean,gain_mode,sum_vis,norm_445,norm_480,norm_630,norm_680,rb_sensor,PPFD_spec_mean,sensor_window_count,window_source,matched_marker_index,marker_end_sensor_time,steady_start_sensor_time,steady_end_sensor_time,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,sp_clear_mean,sp_nir_mean
1,5,5,1.000000,10,26.86,1.0,0.0,,,,,,63.23370361328125,1,master_time_fallback,,,2026-03-07 10:16:50.702,2026-03-07 10:17:40.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15,15,1.000000,30,26.86,1.0,0.0,,,,,,115.55548858642578,1,master_time_fallback,,,2026-03-07 10:18:14.501,2026-03-07 10:19:04.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,22,22,1.000000,45,26.86,1.0,0.0,,,,,,153.09361267089844,1,master_time_fallback,,,2026-03-07 10:19:37.071,2026-03-07 10:20:27.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,30,30,1.000000,60,26.86,1.0,0.0,,,,,,195.65992736816406,1,master_time_fallback,,,2026-03-07 10:20:59.194,2026-03-07 10:21:49.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,40,40,1.000000,80,26.86,1.0,0.0,,,,,,258.6924743652344,1,master_time_fallback,,,2026-03-07 10:22:22.637,2026-03-07 10:23:12.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,50,50,1.000000,100,26.86,1.0,0.0,,,,,,298.1874694824219,1,master_time_fallback,,,2026-03-07 10:23:46.764,2026-03-07 10:24:36.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,2,4.000000,10,26.86,1.0,0.0,,,,,,55.946693420410156,1,master_time_fallback,,,2026-03-07 10:25:10.316,2026-03-07 10:26:00.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,22,8,2.750000,30,26.86,1.0,0.0,,,,,,126.9301986694336,1,master_time_fallback,,,2026-03-07 10:26:33.108,2026-03-07 10:27:23.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,34,11,3.090909,45,26.86,1.0,0.0,,,,,,174.18792724609375,1,master_time_fallback,,,2026-03-07 10:27:55.909,2026-03-07 10:28:45.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,45,15,3.000000,60,26.86,1.0,0.0,,,,,,221.78257751464844,1,master_time_fallback,,,2026-03-07 10:29:19.387,2026-03-07 10:30:09.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,60,20,3.000000,80,26.86,1.0,0.0,,,,,,134.8881378173828,1,master_time_fallback,,,2026-03-07 10:30:42.680,2026-03-07 10:31:32.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,75,25,3.000000,100,26.86,1.0,0.0,,,,,,183.49887084960938,1,master_time_fallback,,,2026-03-07 10:32:05.634,2026-03-07 10:32:55.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,2,4.000000,10,26.86,1.0,0.0,,,,,,22.11396026611328,1,master_time_fallback,,,2026-03-07 10:33:28.898,2026-03-07 10:34:18.898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,25,5,5.000000,30,26.86,1.0,0.0,,,,,,2.1744067668914795,1,master_time_fallback,,,2026-03-07 10:34:51.907,2026-03-07 10:35:41.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,38,8,4.750000,45,26.86,1.0,0.0,,,,,,,1,master_time_fallback,,,2026-03-07 10:39:14.912,2026-03-07 10:40:09.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,50,10,5.000000,60,26.86,1.0,0.0,,,,,,,1,master_time_fallback,,,2026-03-07 10:40:43.413,2026-03-07 10:41:52.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,67,13,5.153846,80,26.86,1.0,0.0,,,,,,,1,master_time_fallback,,,2026-03-07 10:42:28.094,2026-03-07 10:43:37.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
