Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/01/12 13:28
PAR(mW/cm²),1.4477959871292114
PPFD(umol/㎡/s),76.00691986083984
PPFD-UV(umol/㎡/s),0.004670852329581976
PPFD-B(umol/㎡/s),8.346445083618164
PPFD-G(umol/㎡/s),0.014188075438141823
PPFD-R(umol/㎡/s),67.64628601074219
PPFD-FR(umol/㎡/s),0.07119011133909225
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),107.24736022949219
Erb Ratio,5.598162651062012
YPFD(umol/m²/s),68.96936798095703
Ech-A(mW/cm²),0.065109983086586
Ech-B(mW/cm²),0.02091735601425171
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),708.7066650390625
Candle E(fc),65.86492919921875
CCT(K),1090.3533935546875
Duv,-0.14401862025260925
x,0.39885324239730835
y,0.13593938946723938
u,0.4161694049835205
v,0.2127617746591568
u’,0.4161694049835205
v’,0.3191426694393158
SDCM,100.0
Ra,-55.7078742980957
R1,-56.25868225097656
R2,-100.0
R3,-100.0
R4,39.713016510009766
R5,-100.0
R6,-100.0
R7,-81.26232147216797
R8,52.14497756958008
R9,-98.72701263427734
R10,-100.0
R11,75.27886962890625
R12,-100.0
R13,-100.0
R14,-67.93224334716797
R15,-63.16179656982422
Ee(mW/cm²),1.4477959871292114
S/P,2.7258412837982178
Dominant(nm),533.5
Purity(%),43.277774810791016
Half width(nm),18.141357421875
Peak(nm),662.93408203125
Center(nm),661.74365234375
Centroid(nm),628.5999755859375
R ratio(%),84.8297119140625
G ratio(%),0.10344089567661285
B ratio(%),15.066845893859863
Integrat.Time(ms),6.0
Peak Signal,53702.0
Dark Signal,3165.0
Compensate level,2510.0
StartTestWave,380
EndTestWave,780
380,0.23851226270198822
381,0.08542858064174652
382,0.0
383,0.03747958317399025
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.030314281582832336
394,0.2910102307796478
395,0.3621107339859009
396,0.24746939539909363
397,0.12621429562568665
398,0.008818369358778
399,0.0
400,0.0
401,0.0
402,0.084195576608181
403,0.10408923774957657
404,0.09968151152133942
405,0.0030801468528807163
406,0.0
407,0.0038982504047453403
408,0.12338552623987198
409,0.3320356011390686
410,0.6825135350227356
411,0.7454029321670532
412,0.7378888130187988
413,0.8149598240852356
414,0.6818937063217163
415,0.5024263858795166
416,0.5688119530677795
417,0.43932825326919556
418,0.23418550193309784
419,0.15741491317749023
420,0.22737891972064972
421,0.26079505681991577
422,0.383890300989151
423,0.6995870471000671
424,1.0755630731582642
425,1.4557790756225586
426,1.8677235841751099
427,2.3298134803771973
428,2.8320367336273193
429,3.3854715824127197
430,4.041545867919922
431,4.947446823120117
432,6.086751937866211
433,7.254532337188721
434,8.590332984924316
435,10.246718406677246
436,12.31438159942627
437,14.559355735778809
438,17.1054744720459
439,20.106273651123047
440,23.39729118347168
441,27.191730499267578
442,31.58134651184082
443,36.50943374633789
444,41.84890365600586
445,47.88589096069336
446,54.83790969848633
447,62.2202033996582
448,69.86634063720703
449,77.47034454345703
450,84.40493774414062
451,90.1555404663086
452,94.56678009033203
453,96.57807922363281
454,97.08451080322266
455,96.13713073730469
456,93.37371826171875
457,89.37454986572266
458,84.27848052978516
459,77.96513366699219
460,71.50206756591797
461,64.7919921875
462,58.03635025024414
463,51.68161392211914
464,46.30034255981445
465,41.5422248840332
466,37.526119232177734
467,34.27363586425781
468,31.145376205444336
469,28.139753341674805
470,25.75684356689453
471,23.38739585876465
472,21.03989028930664
473,18.838851928710938
474,16.799293518066406
475,14.880081176757812
476,13.156804084777832
477,11.526764869689941
478,10.176857948303223
479,9.076623916625977
480,8.000536918640137
481,7.0996294021606445
482,6.375429630279541
483,5.569037437438965
484,4.715926647186279
485,4.113386631011963
486,3.557964563369751
487,3.0492870807647705
488,2.6528735160827637
489,2.417372703552246
490,2.186063766479492
491,1.9801527261734009
492,1.7187871932983398
493,1.4686039686203003
494,1.199194073677063
495,0.944009006023407
496,0.7301774621009827
497,0.5856735110282898
498,0.45612406730651855
499,0.30385664105415344
500,0.2522994577884674
501,0.2294388711452484
502,0.18342402577400208
503,0.17164592444896698
504,0.26372548937797546
505,0.21799245476722717
506,0.16830798983573914
507,0.14877887070178986
508,0.13107353448867798
509,0.08342395722866058
510,0.025263400748372078
511,0.003195909783244133
512,0.0004506423429120332
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.008999431505799294
527,0.0018841588171198964
528,0.0065382737666368484
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0017206480260938406
544,0.049583110958337784
545,0.06579844653606415
546,0.06450078636407852
547,0.03768110275268555
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.004700751043856144
565,0.028891999274492264
566,0.009488546289503574
567,0.0
568,0.0
569,0.0
570,0.0
571,0.013391527347266674
572,0.12963511049747467
573,0.1896773874759674
574,0.1917632520198822
575,0.153934508562088
576,0.09375808387994766
577,0.02675771340727806
578,0.0
579,0.0
580,0.0
581,0.007723857183009386
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.06573917716741562
594,0.16006575524806976
595,0.16659852862358093
596,0.0456375889480114
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0615529902279377
604,0.2224985957145691
605,0.45350882411003113
606,0.8214049935340881
607,1.250973105430603
608,1.718712329864502
609,2.2388663291931152
610,2.737492799758911
611,3.172926664352417
612,3.6608006954193115
613,4.200232982635498
614,4.738511562347412
615,5.419948101043701
616,6.177779674530029
617,7.0131683349609375
618,7.889588832855225
619,8.77925968170166
620,9.786693572998047
621,10.975502014160156
622,12.298062324523926
623,13.620382308959961
624,15.112560272216797
625,16.768274307250977
626,18.584457397460938
627,20.69584846496582
628,23.06068992614746
629,25.597915649414062
630,27.96924591064453
631,30.5443058013916
632,33.866146087646484
633,37.50251007080078
634,41.52366638183594
635,46.04050827026367
636,51.157901763916016
637,56.80936050415039
638,63.16788864135742
639,70.23165130615234
640,78.21964263916016
641,87.09795379638672
642,97.1563491821289
643,108.29855346679688
644,120.8170394897461
645,132.21742248535156
646,144.6020965576172
647,160.96115112304688
648,178.84226989746094
649,198.044921875
650,218.2396697998047
651,239.99636840820312
652,263.0234375
653,287.56781005859375
654,314.119384765625
655,343.41644287109375
656,375.1109924316406
657,409.7446594238281
658,446.3052062988281
659,476.6161804199219
660,504.8953857421875
661,534.5087280273438
662,555.3114013671875
663,564.1904907226562
664,558.9542846679688
665,538.5261840820312
666,504.2326354980469
667,460.2626953125
668,410.03570556640625
669,357.3995666503906
670,306.6214904785156
671,267.9515686035156
672,232.47198486328125
673,193.84774780273438
674,160.96099853515625
675,133.0519561767578
676,109.70958709716797
677,90.40497589111328
678,74.28427124023438
679,60.97059631347656
680,50.01771545410156
681,40.949398040771484
682,33.57374954223633
683,28.542673110961914
684,24.229219436645508
685,19.8563232421875
686,16.253183364868164
687,13.348727226257324
688,10.934873580932617
689,9.07714557647705
690,7.54163932800293
691,6.323184490203857
692,5.301811695098877
693,4.352695941925049
694,3.6811482906341553
695,3.1315760612487793
696,2.537285804748535
697,1.9051601886749268
698,1.4232816696166992
699,1.111763834953308
700,0.9287256598472595
701,0.8057395219802856
702,0.7876147031784058
703,0.8178181648254395
704,0.8174411654472351
705,0.7153955698013306
706,0.5419575572013855
707,0.4016413390636444
708,0.29841598868370056
709,0.22310495376586914
710,0.2099618762731552
711,0.20388200879096985
712,0.1292412430047989
713,0.1042543351650238
714,0.035550061613321304
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0064453561790287495
721,0.03288639709353447
722,0.07825734466314316
723,0.018063809722661972
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.06269025057554245
730,0.1166805699467659
731,0.022503258660435677
732,0.0024419475812464952
733,0.0
734,0.0
735,0.0
736,0.07856062799692154
737,0.25112470984458923
738,0.3576769232749939
739,0.3808184266090393
740,0.3540264666080475
741,0.2547166347503662
742,0.22864888608455658
743,0.19662311673164368
744,0.029287632554769516
745,0.0
746,0.038867950439453125
747,0.09670855849981308
748,0.09026124328374863
749,0.15815536677837372
750,0.3746079206466675
751,0.4739289879798889
752,0.2506833076477051
753,0.11573156714439392
754,0.10591809451580048
755,0.0
756,0.0
757,0.0
758,0.05203993618488312
759,0.1235426664352417
760,0.21849888563156128
761,0.3547017574310303
762,0.23489798605442047
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.03989047184586525
774,0.18191230297088623
775,0.2088461071252823
776,0.043470725417137146
777,0.004260095302015543
778,0.0
779,0.0
780,0.0
