segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,1,5,5,10,1.000000,2026-03-07T11:32:13.485,2026-03-07T11:32:13.485,2026-03-07T11:32:14.258,773.0,2026-03-07T11:32:24.258,2026-03-07T11:32:25.398,1140.0,2026-03-07T11:32:35.399,2026-03-07T11:32:35.399,2026-03-07T11:32:38.515,3116.0,2026-03-07T11:32:48.515,2026-03-07T11:33:38.515,2026-03-07T11:33:38.515,10.0,10.0,10.0,10.0,50.0,1,24.823768615722656,2026-03-07T11:33:13.515,archive/2026-03-07/standard_csv/raw_bytes_20260307_113315.csv,1,24.823768615722656
2,normal,2,1,1,15,15,30,1.000000,2026-03-07T11:33:38.516,2026-03-07T11:33:38.516,2026-03-07T11:33:39.754,1238.0,2026-03-07T11:33:49.755,2026-03-07T11:33:51.272,1517.0,2026-03-07T11:34:01.272,2026-03-07T11:34:01.272,2026-03-07T11:34:03.102,1830.0,2026-03-07T11:34:13.102,2026-03-07T11:35:03.103,2026-03-07T11:35:03.103,10.0,10.0,10.0,10.0,50.0,1,60.65416717529297,2026-03-07T11:34:38.103,archive/2026-03-07/standard_csv/raw_bytes_20260307_113440.csv,1,60.65416717529297
3,normal,3,1,1,22,22,45,1.000000,2026-03-07T11:35:03.103,2026-03-07T11:35:03.103,2026-03-07T11:35:03.920,817.0,2026-03-07T11:35:13.920,2026-03-07T11:35:14.581,661.0,2026-03-07T11:35:24.582,2026-03-07T11:35:24.582,2026-03-07T11:35:25.855,1273.0,2026-03-07T11:35:35.855,2026-03-07T11:36:25.856,2026-03-07T11:36:25.856,10.0,10.0,10.0,10.0,50.0,1,87.53449249267578,2026-03-07T11:36:00.855,archive/2026-03-07/standard_csv/raw_bytes_20260307_113603.csv,1,87.53449249267578
4,normal,4,1,1,30,30,60,1.000000,2026-03-07T11:36:25.856,2026-03-07T11:36:25.856,2026-03-07T11:36:26.905,1049.0,2026-03-07T11:36:36.905,2026-03-07T11:36:37.882,977.0,2026-03-07T11:36:47.882,2026-03-07T11:36:47.882,2026-03-07T11:36:49.050,1168.0,2026-03-07T11:36:59.050,2026-03-07T11:37:49.050,2026-03-07T11:37:49.050,10.0,10.0,10.0,10.0,50.0,1,116.13059997558594,2026-03-07T11:37:24.051,archive/2026-03-07/standard_csv/raw_bytes_20260307_113726.csv,1,116.13059997558594
5,normal,5,1,1,40,40,80,1.000000,2026-03-07T11:37:49.051,2026-03-07T11:37:49.051,2026-03-07T11:37:49.921,870.0,2026-03-07T11:37:59.921,2026-03-07T11:38:01.121,1200.0,2026-03-07T11:38:11.121,2026-03-07T11:38:11.121,2026-03-07T11:38:11.899,778.0,2026-03-07T11:38:21.900,2026-03-07T11:39:11.900,2026-03-07T11:39:11.900,10.0,10.0,10.0,10.0,50.0,1,154.12039184570312,2026-03-07T11:38:46.900,archive/2026-03-07/standard_csv/raw_bytes_20260307_113849.csv,1,154.12039184570312
6,normal,6,1,1,50,50,100,1.000000,2026-03-07T11:39:11.900,2026-03-07T11:39:11.900,2026-03-07T11:39:12.862,962.0,2026-03-07T11:39:22.862,2026-03-07T11:39:24.294,1432.0,2026-03-07T11:39:34.295,2026-03-07T11:39:34.295,2026-03-07T11:39:35.860,1565.0,2026-03-07T11:39:45.860,2026-03-07T11:40:35.861,2026-03-07T11:40:35.861,10.0,10.0,10.0,10.0,50.0,1,189.97145080566406,2026-03-07T11:40:10.860,archive/2026-03-07/standard_csv/raw_bytes_20260307_114013.csv,1,189.97145080566406
7,normal,7,3,1,8,2,10,4.000000,2026-03-07T11:40:35.861,2026-03-07T11:40:35.861,2026-03-07T11:40:36.586,725.0,2026-03-07T11:40:46.586,2026-03-07T11:40:48.034,1448.0,2026-03-07T11:40:58.035,2026-03-07T11:40:58.035,2026-03-07T11:40:59.470,1435.0,2026-03-07T11:41:09.470,2026-03-07T11:41:59.471,2026-03-07T11:41:59.471,10.0,10.0,10.0,10.0,50.0,1,21.825029373168945,2026-03-07T11:41:34.470,archive/2026-03-07/standard_csv/raw_bytes_20260307_114136.csv,1,21.825029373168945
8,normal,8,3,1,22,8,30,2.750000,2026-03-07T11:41:59.471,2026-03-07T11:41:59.471,2026-03-07T11:42:00.437,966.0,2026-03-07T11:42:10.437,2026-03-07T11:42:11.362,925.0,2026-03-07T11:42:21.362,2026-03-07T11:42:21.362,2026-03-07T11:42:22.306,944.0,2026-03-07T11:42:32.307,2026-03-07T11:43:22.307,2026-03-07T11:43:22.307,10.0,10.0,10.0,10.0,50.0,1,70.4071044921875,2026-03-07T11:42:57.307,archive/2026-03-07/standard_csv/raw_bytes_20260307_114259.csv,1,70.4071044921875
9,normal,9,3,1,34,11,45,3.090909,2026-03-07T11:43:22.308,2026-03-07T11:43:22.308,2026-03-07T11:43:23.665,1357.0,2026-03-07T11:43:33.665,2026-03-07T11:43:34.970,1305.0,2026-03-07T11:43:44.971,2026-03-07T11:43:44.971,2026-03-07T11:43:45.775,804.0,2026-03-07T11:43:55.775,2026-03-07T11:44:45.776,2026-03-07T11:44:45.776,10.0,10.0,10.0,10.0,50.0,1,103.56680297851562,2026-03-07T11:44:20.775,archive/2026-03-07/standard_csv/raw_bytes_20260307_114422.csv,1,103.56680297851562
10,normal,10,3,1,45,15,60,3.000000,2026-03-07T11:44:45.776,2026-03-07T11:44:45.776,2026-03-07T11:44:46.597,821.0,2026-03-07T11:44:56.597,2026-03-07T11:44:57.906,1309.0,2026-03-07T11:45:07.906,2026-03-07T11:45:07.906,2026-03-07T11:45:08.771,865.0,2026-03-07T11:45:18.772,2026-03-07T11:46:08.773,2026-03-07T11:46:08.773,10.0,10.0,10.0,10.0,50.0,1,136.279541015625,2026-03-07T11:45:43.773,archive/2026-03-07/standard_csv/raw_bytes_20260307_114545.csv,1,136.279541015625
