segment_id,pwm_r,pwm_b,rb_ratio_pwm,total_pwm,temperature_mean,gain_mode,sum_vis,norm_445,norm_480,norm_630,norm_680,rb_sensor,PPFD_spec_mean,sensor_window_count,window_source,matched_marker_index,marker_end_sensor_time,steady_start_sensor_time,steady_end_sensor_time,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,sp_clear_mean,sp_nir_mean
1,5,5,1.000000,10,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,11.514426231384277,1,master_time_fallback,,,2026-03-07 15:45:36.518,2026-03-07 15:46:26.518,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
2,15,15,1.000000,30,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,28.89260482788086,1,master_time_fallback,,,2026-03-07 15:46:59.077,2026-03-07 15:47:49.078,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
3,22,22,1.000000,45,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,41.392826080322266,1,master_time_fallback,,,2026-03-07 15:48:23.621,2026-03-07 15:49:13.622,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
4,30,30,1.000000,60,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,54.61140441894531,1,master_time_fallback,,,2026-03-07 15:49:46.632,2026-03-07 15:50:36.633,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
5,40,40,1.000000,80,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,72.80180358886719,1,master_time_fallback,,,2026-03-07 15:51:09.892,2026-03-07 15:51:59.892,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
6,50,50,1.000000,100,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,90.33658599853516,1,master_time_fallback,,,2026-03-07 15:52:33.071,2026-03-07 15:53:23.072,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
7,8,2,4.000000,10,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,10.979851722717285,1,master_time_fallback,,,2026-03-07 15:53:56.577,2026-03-07 15:54:46.577,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
8,22,8,2.750000,30,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,34.46224594116211,1,master_time_fallback,,,2026-03-07 15:55:23.001,2026-03-07 15:56:13.002,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
9,34,11,3.090909,45,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,50.41160202026367,1,master_time_fallback,,,2026-03-07 15:56:46.110,2026-03-07 15:57:36.111,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
10,45,15,3.000000,60,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,66.74545288085938,1,master_time_fallback,,,2026-03-07 15:58:09.664,2026-03-07 15:58:59.664,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
