segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,1,5,5,10,1.000000,2026-03-08T14:22:36.055,2026-03-08T14:22:36.056,2026-03-08T14:22:36.566,510.0,2026-03-08T14:22:46.567,2026-03-08T14:22:47.315,748.0,2026-03-08T14:22:57.316,2026-03-08T14:22:57.316,2026-03-08T14:22:58.370,1054.0,2026-03-08T14:23:08.371,2026-03-08T14:23:58.372,2026-03-08T14:23:58.372,10.0,10.0,10.0,10.0,50.0,1,13.465317726135254,2026-03-08T14:23:33.372,archive/2026-03-08/standard_csv/raw_bytes_20260308_142335.csv,1,13.465317726135254
2,normal,2,1,1,15,15,30,1.000000,2026-03-08T14:23:58.372,2026-03-08T14:23:58.372,2026-03-08T14:23:59.608,1236.0,2026-03-08T14:24:09.608,2026-03-08T14:24:11.285,1677.0,2026-03-08T14:24:21.285,2026-03-08T14:24:21.285,2026-03-08T14:24:22.139,854.0,2026-03-08T14:24:32.140,2026-03-08T14:25:22.140,2026-03-08T14:25:22.140,10.0,10.0,10.0,10.0,50.0,1,34.286102294921875,2026-03-08T14:24:57.141,archive/2026-03-08/standard_csv/raw_bytes_20260308_142459.csv,1,34.286102294921875
3,normal,3,1,1,22,22,45,1.000000,2026-03-08T14:25:22.141,2026-03-08T14:25:22.141,2026-03-08T14:25:23.172,1031.0,2026-03-08T14:25:33.172,2026-03-08T14:25:33.996,824.0,2026-03-08T14:25:43.996,2026-03-08T14:25:43.996,2026-03-08T14:25:45.017,1020.9999999999999,2026-03-08T14:25:55.018,2026-03-08T14:26:45.018,2026-03-08T14:26:45.018,10.0,10.0,10.0,10.0,50.0,1,49.00640106201172,2026-03-08T14:26:20.018,archive/2026-03-08/standard_csv/raw_bytes_20260308_142622.csv,1,49.00640106201172
4,normal,4,1,1,30,30,60,1.000000,2026-03-08T14:26:45.019,2026-03-08T14:26:45.019,2026-03-08T14:26:46.166,1147.0,2026-03-08T14:26:56.166,2026-03-08T14:26:57.031,865.0,2026-03-08T14:27:07.032,2026-03-08T14:27:07.032,2026-03-08T14:27:08.357,1325.0,2026-03-08T14:27:18.357,2026-03-08T14:28:08.358,2026-03-08T14:28:08.358,10.0,10.0,10.0,10.0,50.0,1,65.27276611328125,2026-03-08T14:27:43.358,archive/2026-03-08/standard_csv/raw_bytes_20260308_142745.csv,1,65.27276611328125
5,normal,5,1,1,40,40,80,1.000000,2026-03-08T14:28:08.358,2026-03-08T14:28:08.358,2026-03-08T14:28:09.406,1048.0,2026-03-08T14:28:19.406,2026-03-08T14:28:21.030,1624.0,2026-03-08T14:28:31.030,2026-03-08T14:28:31.030,2026-03-08T14:28:33.024,1994.0,2026-03-08T14:28:43.024,2026-03-08T14:29:33.025,2026-03-08T14:29:33.025,10.0,10.0,10.0,10.0,50.0,1,85.99541473388672,2026-03-08T14:29:08.025,archive/2026-03-08/standard_csv/raw_bytes_20260308_142910.csv,1,85.99541473388672
6,normal,6,1,1,50,50,100,1.000000,2026-03-08T14:29:33.025,2026-03-08T14:29:33.025,2026-03-08T14:29:33.852,827.0,2026-03-08T14:29:43.852,2026-03-08T14:29:44.759,907.0,2026-03-08T14:29:54.759,2026-03-08T14:29:54.759,2026-03-08T14:29:55.570,811.0,2026-03-08T14:30:05.571,2026-03-08T14:30:55.571,2026-03-08T14:30:55.571,10.0,10.0,10.0,10.0,50.0,1,105.56796264648438,2026-03-08T14:30:30.571,archive/2026-03-08/standard_csv/raw_bytes_20260308_143032.csv,1,105.56796264648438
7,normal,7,3,1,8,2,10,4.000000,2026-03-08T14:30:55.572,2026-03-08T14:30:55.572,2026-03-08T14:30:56.850,1278.0,2026-03-08T14:31:06.850,2026-03-08T14:31:07.693,843.0,2026-03-08T14:31:17.693,2026-03-08T14:31:17.693,2026-03-08T14:31:18.400,707.0,2026-03-08T14:31:28.400,2026-03-08T14:32:18.401,2026-03-08T14:32:18.401,10.0,10.0,10.0,10.0,50.0,1,13.065448760986328,2026-03-08T14:31:53.401,archive/2026-03-08/standard_csv/raw_bytes_20260308_143155.csv,1,13.065448760986328
8,normal,8,3,1,22,8,30,2.750000,2026-03-08T14:32:18.402,2026-03-08T14:32:18.402,2026-03-08T14:32:19.026,624.0,2026-03-08T14:32:29.027,2026-03-08T14:32:29.789,762.0,2026-03-08T14:32:39.789,2026-03-08T14:32:39.789,2026-03-08T14:32:40.720,931.0,2026-03-08T14:32:50.721,2026-03-08T14:33:40.721,2026-03-08T14:33:40.721,10.0,10.0,10.0,10.0,50.0,1,39.60527801513672,2026-03-08T14:33:15.721,archive/2026-03-08/standard_csv/raw_bytes_20260308_143317.csv,1,39.60527801513672
9,normal,9,3,1,34,11,45,3.090909,2026-03-08T14:33:40.721,2026-03-08T14:33:40.721,2026-03-08T14:33:41.343,622.0,2026-03-08T14:33:51.343,2026-03-08T14:33:52.433,1090.0,2026-03-08T14:34:02.433,2026-03-08T14:34:02.433,2026-03-08T14:34:03.549,1116.0,2026-03-08T14:34:13.549,2026-03-08T14:35:03.549,2026-03-08T14:35:03.549,10.0,10.0,10.0,10.0,50.0,1,60.21989059448242,2026-03-08T14:34:38.550,archive/2026-03-08/standard_csv/raw_bytes_20260308_143440.csv,1,60.21989059448242
10,normal,10,3,1,45,15,60,3.000000,2026-03-08T14:35:03.550,2026-03-08T14:35:03.550,2026-03-08T14:35:04.884,1334.0,2026-03-08T14:35:14.884,2026-03-08T14:35:15.667,783.0,2026-03-08T14:35:25.668,2026-03-08T14:35:25.668,2026-03-08T14:35:26.772,1104.0,2026-03-08T14:35:36.772,2026-03-08T14:36:26.772,2026-03-08T14:36:26.772,10.0,10.0,10.0,10.0,50.0,1,78.84149932861328,2026-03-08T14:36:01.773,archive/2026-03-08/standard_csv/raw_bytes_20260308_143603.csv,1,78.84149932861328
11,normal,11,3,1,60,20,80,3.000000,2026-03-08T14:36:26.773,2026-03-08T14:36:26.773,2026-03-08T14:36:27.590,817.0,2026-03-08T14:36:37.590,2026-03-08T14:36:38.568,978.0,2026-03-08T14:36:48.569,2026-03-08T14:36:48.569,2026-03-08T14:36:49.203,634.0,2026-03-08T14:36:59.203,2026-03-08T14:37:49.203,2026-03-08T14:37:49.203,10.0,10.0,10.0,10.0,50.0,1,103.57862091064453,2026-03-08T14:37:24.203,archive/2026-03-08/standard_csv/raw_bytes_20260308_143726.csv,1,103.57862091064453
