segment_id,pwm_r,pwm_b,rb_ratio_pwm,total_pwm,temperature_mean,gain_mode,sum_vis,norm_445,norm_480,norm_630,norm_680,rb_sensor,PPFD_spec_mean,sensor_window_count,window_source,matched_marker_index,marker_end_sensor_time,steady_start_sensor_time,steady_end_sensor_time,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,sp_clear_mean,sp_nir_mean
1,5,5,1.000000,10,23.265454545454546,1.0,1317.2727272727273,0.2341614906832298,0.12781228433402347,0.018633540372670808,0.018909592822636302,0.10371782650142994,12.499380111694336,11,marker,1,2026-03-08 15:10:50.053,2026-03-08 15:11:00.053,2026-03-08 15:11:50.053,26.181818181818183,308.45454545454544,168.36363636363637,19.09090909090909,712.2727272727273,33.45454545454545,24.545454545454547,24.90909090909091,381.6363636363636,450.09090909090907
2,15,15,1.000000,30,23.241,1.0,1760.9,0.23113180759838717,0.12556079277642113,0.019365097393378387,0.01993298881253904,0.1101735392453431,32.00746154785156,10,marker,2,2026-03-08 15:12:10.101,2026-03-08 15:12:20.101,2026-03-08 15:13:10.101,35.7,407.0,221.1,25.7,956.2,46.0,34.1,35.1,533.7,634.5
3,22,22,1.000000,45,23.171,1.0,1905.9,0.2203683299228711,0.11936617870822183,0.019570806443150214,0.020462773492838027,0.11783783783783783,45.649322509765625,10,marker,3,2026-03-08 15:13:34.999,2026-03-08 15:13:44.999,2026-03-08 15:14:34.999,39.2,420.0,227.5,28.6,1061.6,52.7,37.3,39.0,597.2,716.9
4,30,30,1.000000,60,23.12909090909091,1.0,480.0,0.27178030303030304,0.13939393939393938,0.01628787878787879,0.016856060606060607,0.08060801473975127,60.7816047668457,11,marker,4,2026-03-08 15:15:00.009,2026-03-08 15:15:10.009,2026-03-08 15:16:00.009,9.454545454545455,130.45454545454547,66.9090909090909,6.0,241.36363636363637,9.909090909090908,7.818181818181818,8.090909090909092,110.9090909090909,127.63636363636364
5,40,40,1.000000,80,23.041249999999998,1.0,1118.0,0.1037567084078712,0.06708407871198568,0.026833631484794274,0.028622540250447227,0.32460732984293195,80.71609497070312,8,marker,5,2026-03-08 15:18:09.955,2026-03-08 15:18:19.955,2026-03-08 15:19:09.955,27.0,116.0,75.0,21.0,769.0,48.0,30.0,32.0,580.875,686.375
6,50,50,1.000000,100,22.986,1.0,1507.0,0.17020570670205706,0.09535500995355009,0.023224950232249502,0.02408759124087591,0.1781609195402299,99.57157135009766,10,marker,6,2026-03-08 15:20:29.849,2026-03-08 15:20:39.849,2026-03-08 15:21:29.849,33.8,256.5,143.7,25.0,924.8,51.9,35.0,36.3,604.0,729.5
7,8,2,4.000000,10,22.949,1.0,1925.7,0.1658098353845355,0.09331671599937684,0.02342005504491873,0.024874071766111023,0.18637274549098196,12.204353332519531,10,marker,7,2026-03-08 15:21:54.817,2026-03-08 15:22:04.817,2026-03-08 15:22:54.817,43.3,319.3,179.7,31.9,1191.0,67.5,45.1,47.9,798.2,976.1
8,22,8,2.750000,30,22.934,1.0,504.9,0.2832244008714597,0.14418696771637948,0.015646662705486238,0.014854426619132503,0.07136237256719184,38.114444732666016,10,marker,8,2026-03-08 15:23:19.783,2026-03-08 15:23:29.783,2026-03-08 15:24:19.783,9.8,143.0,72.8,6.2,248.2,9.5,7.9,7.5,107.3,123.5
9,34,11,3.090909,45,22.88,1.0,2071.4545454545455,0.12648117264987271,0.07359782322478715,0.025936978846660227,0.02747300974282454,0.26694450537398545,56.08591842651367,11,marker,9,2026-03-08 15:30:14.680,2026-03-08 15:30:24.680,2026-03-08 15:31:14.680,49.36363636363637,262.0,152.45454545454547,37.18181818181818,1376.3636363636363,83.45454545454545,53.72727272727273,56.90909090909091,985.0909090909091,1217.5454545454545
10,45,15,3.000000,60,22.884,1.0,530.2,0.2755563938136552,0.14126744624669935,0.01735194266314598,0.01640890230101848,0.08099547511312216,73.60248565673828,10,marker,10,2026-03-08 15:31:34.714,2026-03-08 15:31:44.714,2026-03-08 15:32:34.714,9.9,146.1,74.9,6.9,263.8,10.7,9.2,8.7,119.4,138.6
11,60,20,3.000000,80,22.873,1.0,642.2,0.27218934911242604,0.14029897228277793,0.015104328869511054,0.015571473061351603,0.0743676859192148,96.25957489013672,10,marker,11,2026-03-08 15:39:54.523,2026-03-08 15:40:04.523,2026-03-08 15:40:54.523,12.3,174.8,90.1,8.2,323.9,13.2,9.7,10.0,148.4,172.3
12,75,25,3.000000,100,22.82090909090909,1.0,261.8181818181818,0.022569444444444444,0.019097222222222224,0.030555555555555555,0.034027777777777775,1.5499999999999996,120.31334686279297,11,marker,12,2026-03-08 15:40:19.444,2026-03-08 15:40:29.444,2026-03-08 15:41:19.444,7.0,5.909090909090909,5.0,5.0,208.0,14.0,8.0,8.909090909090908,178.0909090909091,206.0909090909091
13,8,2,4.000000,10,22.844,1.0,1125.8,0.02131817374311601,0.020429916503819506,0.03286551785397051,0.03553028957186001,1.6382978723404256,12.197216987609863,10,marker,13,2026-03-08 15:43:04.374,2026-03-08 15:43:14.374,2026-03-08 15:44:04.374,31.0,24.0,23.0,24.0,885.0,61.8,37.0,40.0,753.3,903.9
14,25,5,5.000000,30,22.907777777777778,1.0,784.8888888888889,0.0879105322763307,0.058607021517553794,0.028029445073612682,0.030577576443941108,0.4,39.68407440185547,9,master_time_fallback,,,2026-03-08 15:25:15.281,2026-03-08 15:26:05.282,19.0,69.0,46.0,15.0,554.8888888888889,35.0,22.0,24.0,431.0,506.0
15,38,8,4.750000,45,22.89,1.0,1160.2,0.08377865885192208,0.05602482330632649,0.028443371832442683,0.03016721254956042,0.4192355117139334,59.991947174072266,10,master_time_fallback,,,2026-03-08 15:26:38.841,2026-03-08 15:27:28.841,29.0,97.2,65.0,22.0,826.0,53.0,33.0,35.0,644.5,766.2
16,50,10,5.000000,60,22.892222222222223,1.0,1490.4444444444443,0.07917101535708962,0.05300432384076339,0.028850454748769943,0.03086327717310273,0.4517766497461929,77.80780792236328,9,master_time_fallback,,,2026-03-08 15:28:01.765,2026-03-08 15:28:51.766,37.0,118.0,79.0,29.0,1069.4444444444443,69.0,43.0,46.0,837.1111111111111,1006.8888888888889
17,67,13,5.153846,80,22.875,1.0,1955.0,0.07570332480818415,0.05063938618925831,0.029156010230179028,0.031202046035805626,0.4777327935222672,102.5338363647461,10,master_time_fallback,,,2026-03-08 15:29:24.247,2026-03-08 15:30:14.247,49.0,148.0,99.0,38.0,1411.0,92.0,57.0,61.0,1103.6,1348.5
18,83,17,4.882353,100,22.853,1.0,2408.4,0.07681448264407906,0.0506560372031224,0.029231024746719816,0.031141006477329345,0.4736156351791531,130.00836181640625,10,master_time_fallback,,,2026-03-08 15:30:47.978,2026-03-08 15:31:37.978,61.0,185.0,122.0,47.0,1735.0,113.0,70.4,75.0,1345.9,1671.2
19,9,1,9.000000,10,22.882,1.0,239.0,0.02092050209205021,0.02092050209205021,0.03347280334728033,0.03347280334728033,1.6,13.57789134979248,10,master_time_fallback,,,2026-03-08 15:32:10.500,2026-03-08 15:33:00.500,6.0,5.0,5.0,5.0,189.0,13.0,8.0,8.0,163.0,188.8
20,26,4,6.500000,30,22.886,1.0,791.9,0.07955549943174643,0.05429978532643011,0.029044071221113778,0.030306856926379595,0.44339622641509435,40.53432846069336,10,master_time_fallback,,,2026-03-08 15:33:33.727,2026-03-08 15:34:23.727,20.0,63.0,43.0,15.0,567.0,36.9,23.0,24.0,447.0,526.0
