segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,1,5,5,10,1.000000,2026-03-08T15:06:41.067,2026-03-08T15:06:41.067,2026-03-08T15:06:41.679,612.0,2026-03-08T15:06:51.679,2026-03-08T15:06:52.827,1148.0,2026-03-08T15:07:02.827,2026-03-08T15:07:02.827,2026-03-08T15:07:03.903,1076.0,2026-03-08T15:07:13.904,2026-03-08T15:08:03.904,2026-03-08T15:08:03.904,10.0,10.0,10.0,10.0,50.0,1,12.499380111694336,2026-03-08T15:07:38.905,archive/2026-03-08/standard_csv/raw_bytes_20260308_150741.csv,1,12.499380111694336
2,normal,2,1,1,15,15,30,1.000000,2026-03-08T15:08:03.905,2026-03-08T15:08:03.905,2026-03-08T15:08:04.589,684.0,2026-03-08T15:08:14.589,2026-03-08T15:08:15.481,892.0,2026-03-08T15:08:25.481,2026-03-08T15:08:25.481,2026-03-08T15:08:26.490,1008.9999999999999,2026-03-08T15:08:36.490,2026-03-08T15:09:26.490,2026-03-08T15:09:26.490,10.0,10.0,10.0,10.0,50.0,1,32.00746154785156,2026-03-08T15:09:01.491,archive/2026-03-08/standard_csv/raw_bytes_20260308_150903.csv,1,32.00746154785156
3,normal,3,1,1,22,22,45,1.000000,2026-03-08T15:09:26.491,2026-03-08T15:09:26.491,2026-03-08T15:09:27.556,1065.0,2026-03-08T15:09:37.556,2026-03-08T15:09:38.781,1225.0,2026-03-08T15:09:48.782,2026-03-08T15:09:48.782,2026-03-08T15:09:49.519,737.0,2026-03-08T15:09:59.519,2026-03-08T15:10:49.519,2026-03-08T15:10:49.519,10.0,10.0,10.0,10.0,50.0,1,45.649322509765625,2026-03-08T15:10:24.519,archive/2026-03-08/standard_csv/raw_bytes_20260308_151026.csv,1,45.649322509765625
4,normal,4,1,1,30,30,60,1.000000,2026-03-08T15:10:49.519,2026-03-08T15:10:49.519,2026-03-08T15:10:50.139,620.0,2026-03-08T15:11:00.140,2026-03-08T15:11:01.114,974.0,2026-03-08T15:11:11.115,2026-03-08T15:11:11.115,2026-03-08T15:11:12.318,1203.0,2026-03-08T15:11:22.318,2026-03-08T15:12:12.319,2026-03-08T15:12:12.319,10.0,10.0,10.0,10.0,50.0,1,60.7816047668457,2026-03-08T15:11:47.319,archive/2026-03-08/standard_csv/raw_bytes_20260308_151149.csv,1,60.7816047668457
5,normal,5,1,1,40,40,80,1.000000,2026-03-08T15:12:12.319,2026-03-08T15:12:12.319,2026-03-08T15:12:12.944,625.0,2026-03-08T15:12:22.945,2026-03-08T15:12:23.853,908.0,2026-03-08T15:12:33.853,2026-03-08T15:12:33.854,2026-03-08T15:12:34.867,1012.9999999999999,2026-03-08T15:12:44.868,2026-03-08T15:13:34.868,2026-03-08T15:13:34.868,10.0,10.0,10.0,10.0,50.0,1,80.71609497070312,2026-03-08T15:13:09.868,archive/2026-03-08/standard_csv/raw_bytes_20260308_151312.csv,1,80.71609497070312
6,normal,6,1,1,50,50,100,1.000000,2026-03-08T15:13:34.869,2026-03-08T15:13:34.869,2026-03-08T15:13:35.941,1072.0,2026-03-08T15:13:45.941,2026-03-08T15:13:47.386,1445.0,2026-03-08T15:13:57.387,2026-03-08T15:13:57.387,2026-03-08T15:14:01.131,3744.0,2026-03-08T15:14:11.131,2026-03-08T15:15:01.131,2026-03-08T15:15:01.131,10.0,10.0,10.0,10.0,50.0,1,99.57157135009766,2026-03-08T15:14:36.132,archive/2026-03-08/standard_csv/raw_bytes_20260308_151438.csv,1,99.57157135009766
7,normal,7,3,1,8,2,10,4.000000,2026-03-08T15:15:01.132,2026-03-08T15:15:01.132,2026-03-08T15:15:01.958,826.0,2026-03-08T15:15:11.959,2026-03-08T15:15:12.884,925.0,2026-03-08T15:15:22.884,2026-03-08T15:15:22.884,2026-03-08T15:15:23.712,828.0,2026-03-08T15:15:33.713,2026-03-08T15:16:23.713,2026-03-08T15:16:23.713,10.0,10.0,10.0,10.0,50.0,1,12.204353332519531,2026-03-08T15:15:58.713,archive/2026-03-08/standard_csv/raw_bytes_20260308_151600.csv,1,12.204353332519531
8,normal,8,3,1,22,8,30,2.750000,2026-03-08T15:16:23.714,2026-03-08T15:16:23.714,2026-03-08T15:16:24.586,872.0,2026-03-08T15:16:34.586,2026-03-08T15:16:35.546,960.0,2026-03-08T15:16:45.546,2026-03-08T15:16:45.546,2026-03-08T15:16:46.903,1357.0,2026-03-08T15:16:56.904,2026-03-08T15:17:46.904,2026-03-08T15:17:46.904,10.0,10.0,10.0,10.0,50.0,1,38.114444732666016,2026-03-08T15:17:21.904,archive/2026-03-08/standard_csv/raw_bytes_20260308_151724.csv,1,38.114444732666016
9,normal,9,3,1,34,11,45,3.090909,2026-03-08T15:17:46.904,2026-03-08T15:17:46.904,2026-03-08T15:17:48.303,1399.0,2026-03-08T15:17:58.304,2026-03-08T15:17:59.252,948.0,2026-03-08T15:18:09.253,2026-03-08T15:18:09.253,2026-03-08T15:18:10.076,823.0,2026-03-08T15:18:20.077,2026-03-08T15:19:10.077,2026-03-08T15:19:10.077,10.0,10.0,10.0,10.0,50.0,1,56.08591842651367,2026-03-08T15:18:45.078,archive/2026-03-08/standard_csv/raw_bytes_20260308_151847.csv,1,56.08591842651367
10,normal,10,3,1,45,15,60,3.000000,2026-03-08T15:19:10.077,2026-03-08T15:19:10.077,2026-03-08T15:19:10.630,553.0,2026-03-08T15:19:20.630,2026-03-08T15:19:21.522,892.0,2026-03-08T15:19:31.523,2026-03-08T15:19:31.523,2026-03-08T15:19:32.693,1170.0,2026-03-08T15:19:42.694,2026-03-08T15:20:32.694,2026-03-08T15:20:32.694,10.0,10.0,10.0,10.0,50.0,1,73.60248565673828,2026-03-08T15:20:07.695,archive/2026-03-08/standard_csv/raw_bytes_20260308_152009.csv,1,73.60248565673828
