Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/01/13 19:22
PAR(mW/cm²),3.533815860748291
PPFD(umol/㎡/s),170.22125244140625
PPFD-UV(umol/㎡/s),0.017953190952539444
PPFD-B(umol/㎡/s),54.76985168457031
PPFD-G(umol/㎡/s),0.13213619589805603
PPFD-R(umol/㎡/s),115.31927490234375
PPFD-FR(umol/㎡/s),0.06931038945913315
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),107.84043884277344
Erb Ratio,1.452791690826416
YPFD(umol/m²/s),147.2825469970703
Ech-A(mW/cm²),0.14209118485450745
Ech-B(mW/cm²),0.06705720722675323
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),1578.4547119140625
Candle E(fc),146.696533203125
CCT(K),100000.0
Duv,-0.14192943274974823
x,0.24230800569057465
y,0.0683656558394432
u,0.29055705666542053
v,0.12296821922063828
u’,0.29055705666542053
v’,0.18445232510566711
SDCM,100.0
Ra,-92.3447265625
R1,-100.0
R2,-100.0
R3,-100.0
R4,-55.821598052978516
R5,-100.0
R6,-100.0
R7,-82.93619537353516
R8,-100.0
R9,-100.0
R10,-100.0
R11,-68.09471130371094
R12,-100.0
R13,-100.0
R14,-100.0
R15,-100.0
Ee(mW/cm²),3.533815860748291
S/P,7.983143329620361
Dominant(nm),566.2999877929688
Purity(%),107.19208526611328
Half width(nm),18.14251708984375
Peak(nm),663.9613037109375
Center(nm),662.0859375
Centroid(nm),576.5
R ratio(%),59.181884765625
G ratio(%),0.37690410017967224
B ratio(%),40.44121551513672
Integrat.Time(ms),3.0
Peak Signal,46245.0
Dark Signal,2731.0
Compensate level,2530.0
StartTestWave,380
EndTestWave,780
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.05511430278420448
388,0.22266936302185059
389,0.25573474168777466
390,0.662493884563446
391,0.8719305992126465
392,0.7087918519973755
393,0.6150898337364197
394,0.5555673241615295
395,0.5762326717376709
396,0.5169877409934998
397,0.29982858896255493
398,0.12897546589374542
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.028480982407927513
405,0.20847591757774353
406,0.18403582274913788
407,0.5436890721321106
408,0.751699686050415
409,0.5822246074676514
410,0.44861486554145813
411,0.3742848336696625
412,0.13654863834381104
413,0.21259979903697968
414,0.9305113554000854
415,1.683924674987793
416,2.3795883655548096
417,2.7603280544281006
418,3.5011093616485596
419,4.2079854011535645
420,5.1789069175720215
421,6.359170913696289
422,8.01551628112793
423,9.554627418518066
424,11.409506797790527
425,13.566874504089355
426,16.351205825805664
427,19.48069953918457
428,23.185558319091797
429,27.637731552124023
430,33.02183532714844
431,38.68039321899414
432,44.91404342651367
433,52.064796447753906
434,60.23909378051758
435,69.74205017089844
436,83.2565689086914
437,99.47862243652344
438,116.14299011230469
439,135.66616821289062
440,158.19796752929688
441,184.10171508789062
442,213.5280303955078
443,247.5644073486328
444,286.31591796875
445,329.0694885253906
446,375.4889221191406
447,423.5794982910156
448,472.8399353027344
449,518.7560424804688
450,558.3931884765625
451,591.3043823242188
452,615.6702880859375
453,624.7214965820312
454,624.4779663085938
455,617.2669677734375
456,598.6610107421875
457,571.970703125
458,538.6942138671875
459,498.9498291015625
460,457.6220703125
461,414.9560241699219
462,373.1742858886719
463,333.5208740234375
464,299.0838928222656
465,268.1673278808594
466,242.14627075195312
467,219.43756103515625
468,197.28814697265625
469,177.21859741210938
470,161.1881866455078
471,145.69497680664062
472,131.13519287109375
473,117.48890686035156
474,104.92227172851562
475,93.33133697509766
476,83.1017837524414
477,74.09487915039062
478,65.71424865722656
479,58.33522415161133
480,51.909873962402344
481,46.404170989990234
482,41.40612030029297
483,36.8769645690918
484,32.737667083740234
485,29.095064163208008
486,25.74203872680664
487,22.87107276916504
488,20.410478591918945
489,18.19671630859375
490,16.180706024169922
491,14.384589195251465
492,12.723390579223633
493,11.154147148132324
494,9.66901969909668
495,8.427896499633789
496,7.338590621948242
497,6.368509292602539
498,5.739390850067139
499,5.288717746734619
500,4.823590278625488
501,4.388693809509277
502,3.856658935546875
503,3.2720413208007812
504,2.833916664123535
505,2.4536538124084473
506,2.034486770629883
507,1.8665406703948975
508,1.6179238557815552
509,1.3145111799240112
510,0.9614080786705017
511,0.8062670230865479
512,0.626544713973999
513,0.6045710444450378
514,0.5812969207763672
515,0.5031144618988037
516,0.3279039263725281
517,0.2649863660335541
518,0.22979143261909485
519,0.2272578477859497
520,0.2786499261856079
521,0.2920398414134979
522,0.18975138664245605
523,0.016954686492681503
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.08802568167448044
546,0.1370099037885666
547,0.06683804094791412
548,0.0018041208386421204
549,0.0
550,0.10264307260513306
551,0.23159083724021912
552,0.20376679301261902
553,0.20029127597808838
554,0.26049062609672546
555,0.0866212248802185
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.001635294989682734
564,0.06253547966480255
565,0.04671885073184967
566,0.0
567,0.03077629767358303
568,0.02264024131000042
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.145792156457901
603,0.2979755997657776
604,0.47453832626342773
605,0.832572340965271
606,1.2457976341247559
607,1.6676476001739502
608,2.187668561935425
609,2.8876428604125977
610,3.5074925422668457
611,4.222111701965332
612,5.068943977355957
613,5.784856796264648
614,6.345891952514648
615,7.104504108428955
616,8.017290115356445
617,9.069488525390625
618,10.316890716552734
619,11.815274238586426
620,13.289895057678223
621,14.904862403869629
622,16.75224494934082
623,19.02194595336914
624,21.41314697265625
625,24.36679458618164
626,27.572553634643555
627,30.940874099731445
628,34.4019660949707
629,38.66115951538086
630,42.50545883178711
631,46.5159797668457
632,51.928531646728516
633,58.13338851928711
634,65.00827026367188
635,72.93061065673828
636,81.83364868164062
637,91.88383483886719
638,102.949951171875
639,114.65779113769531
640,127.29134368896484
641,141.55718994140625
642,157.4628448486328
643,175.20970153808594
644,195.61016845703125
645,214.43179321289062
646,235.04220581054688
647,262.20166015625
648,292.0727844238281
649,324.3011169433594
650,358.60772705078125
651,395.92071533203125
652,435.4032287597656
653,477.4626770019531
654,522.9857177734375
655,572.3762817382812
656,624.6294555664062
657,681.8997192382812
658,744.0866088867188
659,795.3494262695312
660,844.9580078125
661,900.3607177734375
662,942.8527221679688
663,968.496337890625
664,973.4169311523438
665,948.0428466796875
666,897.0703735351562
667,829.277099609375
668,742.1689453125
669,648.1021118164062
670,557.7163696289062
671,487.6177978515625
672,421.4053649902344
673,350.6064758300781
674,289.2684631347656
675,237.88414001464844
676,195.40834045410156
677,160.04115295410156
678,130.96591186523438
679,107.28106689453125
680,87.61138916015625
681,71.28693389892578
682,57.949703216552734
683,48.72360610961914
684,41.05767059326172
685,33.43096923828125
686,27.355175018310547
687,22.19746208190918
688,18.016887664794922
689,14.73334789276123
690,11.98193073272705
691,9.743132591247559
692,8.054665565490723
693,6.795913219451904
694,5.861655235290527
695,5.129769325256348
696,4.27729606628418
697,3.578153371810913
698,2.9400229454040527
699,2.3424570560455322
700,1.9030253887176514
701,1.409039855003357
702,1.0175429582595825
703,0.753512442111969
704,0.5664652585983276
705,0.23484739661216736
706,0.1631336808204651
707,0.2823230028152466
708,0.27667996287345886
709,0.23376302421092987
710,0.276123583316803
711,0.1423053741455078
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.18793365359306335
735,0.23382987082004547
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.13276825845241547
746,0.04318731650710106
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.011937701143324375
753,0.03904299810528755
754,0.0
755,0.0
756,0.0
757,0.0
758,0.014868553727865219
759,0.29429614543914795
760,0.553866446018219
761,0.7905023694038391
762,0.6471387147903442
763,0.4649360477924347
764,0.5376220941543579
765,0.6739099025726318
766,0.5834659337997437
767,0.24844518303871155
768,0.11405056715011597
769,0.028269262984395027
770,0.09694672375917435
771,0.025887997820973396
772,0.06852101534605026
773,0.08916440606117249
774,0.05806819722056389
775,0.0035896110348403454
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
