Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/01/15 12:31
PAR(mW/cm²),3.4773807525634766
PPFD(umol/㎡/s),180.24884033203125
PPFD-UV(umol/㎡/s),0.0008652498945593834
PPFD-B(umol/㎡/s),25.465463638305664
PPFD-G(umol/㎡/s),0.05175374075770378
PPFD-R(umol/㎡/s),154.73162841796875
PPFD-FR(umol/㎡/s),0.23059342801570892
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),110.09707641601562
Erb Ratio,4.19409704208374
YPFD(umol/m²/s),162.21795654296875
Ech-A(mW/cm²),0.15296801924705505
Ech-B(mW/cm²),0.05232848972082138
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),1637.1810302734375
Candle E(fc),152.1543731689453
CCT(K),1263.8828125
Duv,-0.16934671998023987
x,0.35453274846076965
y,0.11666696518659592
u,0.3842196762561798
v,0.1896541714668274
u’,0.3842196762561798
v’,0.2844812572002411
SDCM,100.0
Ra,-66.90479278564453
R1,-100.0
R2,-100.0
R3,-100.0
R4,38.658294677734375
R5,-100.0
R6,-100.0
R7,-97.36891174316406
R8,23.47227668762207
R9,-100.0
R10,-100.0
R11,70.68843841552734
R12,-100.0
R13,-100.0
R14,-100.0
R15,-100.0
Ee(mW/cm²),3.4773807525634766
S/P,3.6063194274902344
Dominant(nm),549.5
Purity(%),59.797733306884766
Half width(nm),19.1700439453125
Peak(nm),663.9613037109375
Center(nm),662.2579956054688
Centroid(nm),620.7999877929688
R ratio(%),80.74254608154297
G ratio(%),0.15491580963134766
B ratio(%),19.1025333404541
Integrat.Time(ms),3.0
Peak Signal,58687.0
Dark Signal,3371.0
Compensate level,2530.0
StartTestWave,380
EndTestWave,780
380,0.0
381,0.0
382,0.0
383,0.0
384,0.07936733961105347
385,0.15432247519493103
386,0.035273477435112
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.062357738614082336
408,0.01139002200216055
409,0.018600260838866234
410,0.29603174328804016
411,0.6907069683074951
412,0.8138443231582642
413,1.0648056268692017
414,0.8933749198913574
415,0.8066338896751404
416,0.35785341262817383
417,0.23872791230678558
418,0.4585002362728119
419,0.6929747462272644
420,1.016317367553711
421,1.75994074344635
422,2.3777546882629395
423,3.0379297733306885
424,3.8947741985321045
425,4.749820709228516
426,5.705968856811523
427,7.3727545738220215
428,9.066779136657715
429,10.734091758728027
430,12.812919616699219
431,15.082277297973633
432,17.411460876464844
433,20.132396697998047
434,23.578487396240234
435,27.567785263061523
436,33.2712287902832
437,40.11102294921875
438,47.267520904541016
439,55.4210205078125
440,65.14877319335938
441,76.22200012207031
442,89.04357147216797
443,104.48895263671875
444,122.75847625732422
445,143.2565155029297
446,166.84375
447,191.8129425048828
448,217.2493438720703
449,241.1156768798828
450,262.0549621582031
451,279.2821350097656
452,292.7340087890625
453,299.11376953125
454,300.8494873046875
455,299.85687255859375
456,293.17559814453125
457,281.3734436035156
458,266.74652099609375
459,248.87562561035156
460,228.48541259765625
461,206.7480926513672
462,185.30299377441406
463,163.42349243164062
464,144.08753967285156
465,127.5738296508789
466,113.79647064208984
467,102.3904037475586
468,91.82304382324219
469,81.8080825805664
470,73.81214141845703
471,66.62252044677734
472,59.678165435791016
473,53.11235046386719
474,47.51372146606445
475,42.08335876464844
476,37.12265396118164
477,32.922645568847656
478,29.284156799316406
479,25.864900588989258
480,22.99517059326172
481,20.182044982910156
482,17.579608917236328
483,15.33659553527832
484,13.410841941833496
485,11.84465503692627
486,10.573139190673828
487,9.59929084777832
488,8.724613189697266
489,7.928823947906494
490,7.029548168182373
491,6.180405616760254
492,5.375316143035889
493,4.635012149810791
494,4.100469589233398
495,3.6643638610839844
496,3.2128751277923584
497,2.68259334564209
498,2.28061842918396
499,1.9842500686645508
500,1.6862810850143433
501,1.31989324092865
502,1.1791177988052368
503,0.9842687845230103
504,0.6345418095588684
505,0.39218541979789734
506,0.38442346453666687
507,0.34909531474113464
508,0.44042423367500305
509,0.48970258235931396
510,0.45938071608543396
511,0.4378321170806885
512,0.4818538427352905
513,0.24807502329349518
514,0.08697239309549332
515,0.02125801332294941
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.025545764714479446
536,0.06914424151182175
537,0.008369110524654388
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0118517791852355
570,0.18308915197849274
571,0.10540468990802765
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0796804279088974
584,0.04159927740693092
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.06917575746774673
591,0.09109123051166534
592,0.11993306875228882
593,0.13063031435012817
594,0.16219863295555115
595,0.2393498569726944
596,0.4085727334022522
597,0.433827668428421
598,0.4420168101787567
599,0.5079014301300049
600,0.5710722208023071
601,0.5700189471244812
602,0.7460847496986389
603,1.0426806211471558
604,1.3373372554779053
605,1.8489042520523071
606,2.4944286346435547
607,3.0556225776672363
608,3.6840691566467285
609,4.483868598937988
610,5.2348737716674805
611,6.032461166381836
612,6.923824787139893
613,7.735538005828857
614,8.649054527282715
615,9.878416061401367
616,11.237177848815918
617,12.757284164428711
618,14.572927474975586
619,16.638473510742188
620,18.789257049560547
621,21.328420639038086
622,24.13739013671875
623,27.04305076599121
624,30.096614837646484
625,33.4678955078125
626,37.258243560791016
627,41.48404312133789
628,46.31010055541992
629,51.68913269042969
630,56.8719482421875
631,62.480133056640625
632,69.97595977783203
633,78.49285888671875
634,88.03160858154297
635,98.89275360107422
636,111.10597229003906
637,124.50942993164062
638,139.53733825683594
639,156.50570678710938
640,175.01329040527344
641,195.0699462890625
642,217.73941040039062
643,242.39523315429688
644,269.7093811035156
645,295.0321960449219
646,322.658203125
647,357.9608154296875
648,396.32208251953125
649,437.16949462890625
650,481.10296630859375
651,528.6658325195312
652,580.1768798828125
653,634.7977294921875
654,693.1134033203125
655,754.5897827148438
656,819.9375610351562
657,890.6102905273438
658,965.9744873046875
659,1029.452392578125
660,1091.1630859375
661,1157.9100341796875
662,1210.1480712890625
663,1240.3990478515625
664,1244.056396484375
665,1216.8985595703125
666,1160.31494140625
667,1080.8900146484375
668,984.694580078125
669,877.1746826171875
670,768.0164794921875
671,683.0631103515625
672,602.4986572265625
673,511.6060791015625
674,431.8110046386719
675,362.3145751953125
676,301.8788146972656
677,249.6946258544922
678,205.08082580566406
679,167.447998046875
680,136.50901794433594
681,110.75959777832031
682,89.98220825195312
683,75.80474853515625
684,63.9207763671875
685,51.998199462890625
686,42.55173873901367
687,34.9713249206543
688,28.569671630859375
689,23.38433074951172
690,19.31121826171875
691,15.952789306640625
692,13.384644508361816
693,11.57297420501709
694,10.336132049560547
695,9.16208553314209
696,7.997103214263916
697,6.812629699707031
698,5.558738708496094
699,4.651813507080078
700,3.8861141204833984
701,3.3622524738311768
702,3.001532554626465
703,2.681518077850342
704,2.4556453227996826
705,2.2789251804351807
706,1.9563407897949219
707,1.638515830039978
708,1.401174545288086
709,0.9903228878974915
710,0.78651362657547
711,0.7142754197120667
712,0.3409474790096283
713,0.09266752004623413
714,0.07394610345363617
715,0.0
716,0.0
717,0.014686057344079018
718,0.10992470383644104
719,0.2973605990409851
720,0.42768174409866333
721,0.4130076766014099
722,0.3916665017604828
723,0.5034606456756592
724,0.4974299669265747
725,0.5317819118499756
726,0.36382240056991577
727,0.3402042090892792
728,0.303728848695755
729,0.21539461612701416
730,0.26162195205688477
731,0.35033631324768066
732,0.27031078934669495
733,0.21216981112957
734,0.21898163855075836
735,0.0
736,0.18658018112182617
737,0.35722747445106506
738,0.21354052424430847
739,0.3655834197998047
740,0.8233734965324402
741,0.8094416260719299
742,0.49659302830696106
743,0.5473443865776062
744,0.21901528537273407
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.04721684381365776
766,0.3526930510997772
767,0.1380237489938736
768,0.2761814594268799
769,0.48733940720558167
770,0.5371894836425781
771,0.2795916497707367
772,0.6677853465080261
773,0.9620372653007507
774,0.8959254026412964
775,0.7731558084487915
776,0.7136760354042053
777,0.44681283831596375
778,0.03861284628510475
779,0.0
780,0.0
