segment_id,pwm_r,pwm_b,rb_ratio_pwm,total_pwm,PPFD_spec_mean,sensor_window_count,window_source,matched_marker_index,marker_end_sensor_time,steady_start_sensor_time,steady_end_sensor_time
1,5,5,1.000000,10,18.757169087727863,4,dark_run,1,2026-03-10 10:45:12.052,2026-03-10 10:45:42.041,2026-03-10 10:46:12.044
2,15,15,1.000000,30,47.99158604939779,5,marker,2,2026-03-10 10:46:32.114,2026-03-10 10:46:52.070,2026-03-10 10:47:32.025
3,22,22,1.000000,45,68.23027038574219,5,marker,3,2026-03-10 10:47:52.040,2026-03-10 10:48:11.982,2026-03-10 10:48:52.072
4,30,30,1.000000,60,92.13343556722005,5,marker,4,2026-03-10 10:49:22.059,2026-03-10 10:49:41.985,2026-03-10 10:50:22.034
5,40,40,1.000000,80,121.04604593912761,5,marker,5,2026-03-10 10:50:51.987,2026-03-10 10:51:02.023,2026-03-10 10:51:42.011
6,50,50,1.000000,100,151.24788920084634,5,dark_run,6,2026-03-10 10:52:11.957,2026-03-10 10:52:51.972,2026-03-10 10:53:31.910
7,8,2,4.000000,10,17.201539993286133,5,marker,7,2026-03-10 10:53:51.955,2026-03-10 10:54:11.931,2026-03-10 10:54:51.936
8,22,8,2.750000,30,55.16965103149414,4,marker,8,2026-03-10 10:55:11.928,2026-03-10 10:55:41.916,2026-03-10 10:56:11.930
9,34,11,3.090909,45,82.50052897135417,5,marker,9,2026-03-10 10:56:31.861,2026-03-10 10:56:51.832,2026-03-10 10:57:41.871
10,45,15,3.000000,60,108.57109069824219,3,dark_run,10,2026-03-10 10:57:51.896,2026-03-10 10:58:41.826,2026-03-10 10:59:01.854
11,60,20,3.000000,80,143.41552734375,4,marker,11,2026-03-10 10:59:21.847,2026-03-10 10:59:51.809,2026-03-10 11:00:21.788
12,75,25,3.000000,100,180.37655639648438,5,marker,12,2026-03-10 11:00:41.797,2026-03-10 11:01:01.768,2026-03-10 11:01:41.806
13,8,2,4.000000,10,17.27174949645996,5,dark_run,13,2026-03-10 11:01:51.740,2026-03-10 11:02:21.740,2026-03-10 11:03:01.770
14,25,5,5.000000,30,58.64697138468424,4,marker,14,2026-03-10 11:03:31.787,2026-03-10 11:03:51.685,2026-03-10 11:04:31.713
15,38,8,4.750000,45,87.18993631998698,5,marker,15,2026-03-10 11:04:51.683,2026-03-10 11:05:11.738,2026-03-10 11:05:51.632
16,50,10,5.000000,60,114.20974985758464,5,marker,16,2026-03-10 11:06:11.714,2026-03-10 11:06:31.684,2026-03-10 11:07:11.632
17,67,13,5.153846,80,151.06433614095053,5,marker,17,2026-03-10 11:07:41.653,2026-03-10 11:08:01.619,2026-03-10 11:08:41.571
18,83,17,4.882353,100,186.94623819986978,4,marker,18,2026-03-10 11:09:01.536,2026-03-10 11:09:21.601,2026-03-10 11:10:01.582
19,9,1,9.000000,10,19.27321942647298,5,marker,19,2026-03-10 11:10:31.545,2026-03-10 11:10:41.578,2026-03-10 11:11:21.519
20,26,4,6.500000,30,59.84890619913737,4,marker,20,2026-03-10 11:11:51.529,2026-03-10 11:12:21.488,2026-03-10 11:12:51.545
21,39,6,6.500000,45,87.3620376586914,5,marker,21,2026-03-10 11:13:11.530,2026-03-10 11:13:31.423,2026-03-10 11:14:11.507
22,52,8,6.500000,60,116.27013142903645,5,marker,22,2026-03-10 11:14:31.469,2026-03-10 11:14:51.416,2026-03-10 11:15:31.410
23,70,10,7.000000,80,154.49740091959634,5,marker,23,2026-03-10 11:16:01.384,2026-03-10 11:16:21.368,2026-03-10 11:17:01.426
24,88,12,7.333333,100,192.28231302897134,4,marker,24,2026-03-10 11:17:21.409,2026-03-10 11:17:41.381,2026-03-10 11:18:21.392
25,10,0,inf,10,21.283332188924152,5,marker,25,2026-03-10 11:18:41.371,2026-03-10 11:19:01.330,2026-03-10 11:19:41.282
26,30,0,inf,30,62.04668172200521,5,marker,26,2026-03-10 11:20:11.298,2026-03-10 11:20:31.289,2026-03-10 11:21:11.307
27,45,0,inf,45,92.68745422363281,5,marker,27,2026-03-10 11:21:31.269,2026-03-10 11:21:51.330,2026-03-10 11:22:31.236
28,60,0,inf,60,123.12369537353516,5,marker,28,2026-03-10 11:22:51.283,2026-03-10 11:23:11.213,2026-03-10 11:23:51.219
29,80,0,inf,80,163.13849385579428,5,marker_interpolated,29,2026-03-10 11:24:21.184,2026-03-10 11:24:51.199,2026-03-10 11:25:31.239
30,100,0,inf,100,201.0853068033854,4,marker,30,2026-03-10 11:26:21.211,2026-03-10 11:27:11.147,2026-03-10 11:28:01.172
