# Start @ 2026-03-10 10:45:09 - run=20260310_104505_h1_pL-0310-2
id,timestamp,device_id,update_type,temperature,humidity,a1_raw,vcap_raw,co2_ppm,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time
1,2026-03-10 10:45:12.052,L_6vSQ==,COMPACT,25.51,78.98,0.017,4.170,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
2,2026-03-10 10:45:22.067,L_6vSQ==,COMPACT,25.44,79.07,1.606,4.157,,80.00,703.00,393.00,60.00,2194.00,117.00,81.00,84.00,1359.00,1656.00,1,10
3,2026-03-10 10:45:32.107,L_6vSQ==,COMPACT,25.63,79.16,1.204,4.172,,80.00,703.00,393.00,60.00,2194.00,117.00,81.00,84.00,1357.00,1658.00,1,10
4,2026-03-10 10:45:42.041,L_6vSQ==,COMPACT,25.63,79.30,1.198,4.186,,80.00,703.00,393.00,60.00,2194.00,117.00,81.00,84.00,1355.00,1660.00,1,10
5,2026-03-10 10:45:52.066,L_6vSQ==,COMPACT,25.51,79.35,1.198,4.187,,80.00,703.00,393.00,60.00,2193.00,117.00,81.00,84.00,1354.00,1660.00,1,10
6,2026-03-10 10:46:02.115,L_6vSQ==,COMPACT,25.63,79.37,1.199,4.203,,80.00,703.00,393.00,60.00,2193.00,117.00,81.00,84.00,1354.00,1661.00,1,10
7,2026-03-10 10:46:12.044,L_6vSQ==,COMPACT,25.51,79.42,1.197,4.217,,80.00,703.00,393.00,60.00,2192.00,117.00,81.00,84.00,1353.00,1662.00,1,10
8,2026-03-10 10:46:22.081,L_6vSQ==,COMPACT,25.37,79.39,0.019,4.217,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
9,2026-03-10 10:46:32.114,L_6vSQ==,COMPACT,25.55,79.44,0.918,4.210,,50.00,1233.00,618.00,31.00,1138.00,15.00,26.00,23.00,39.00,46.00,1,10
10,2026-03-10 10:46:42.044,L_6vSQ==,COMPACT,25.63,79.32,0.770,4.213,,10.00,105.00,64.00,8.00,277.00,14.00,10.00,10.00,158.00,184.00,1,10
11,2026-03-10 10:46:52.070,L_6vSQ==,COMPACT,25.51,79.48,0.770,4.214,,10.00,105.00,64.00,8.00,277.00,14.00,10.00,10.00,158.00,184.00,1,10
12,2026-03-10 10:47:02.059,L_6vSQ==,COMPACT,25.51,79.56,0.808,4.210,,10.00,105.00,64.00,8.00,277.00,14.00,10.00,10.00,158.00,184.00,1,10
13,2026-03-10 10:47:12.078,L_6vSQ==,COMPACT,25.51,79.31,0.758,4.206,,10.00,105.00,64.00,8.00,277.00,14.00,10.00,10.00,158.00,184.00,1,10
14,2026-03-10 10:47:22.079,L_6vSQ==,COMPACT,25.51,79.42,0.737,4.198,,10.00,105.00,64.00,8.00,277.00,14.00,10.00,10.00,158.00,184.00,1,10
15,2026-03-10 10:47:32.025,L_6vSQ==,COMPACT,25.51,79.56,0.729,4.203,,10.00,105.00,64.00,8.00,277.00,14.00,10.00,10.00,158.00,184.00,1,10
