Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/01/15 13:36
PAR(mW/cm²),0.47570109367370605
PPFD(umol/㎡/s),26.19415283203125
PPFD-UV(umol/㎡/s),0.003049612743780017
PPFD-B(umol/㎡/s),0.008574268780648708
PPFD-G(umol/㎡/s),0.006508176214993
PPFD-R(umol/㎡/s),26.17906951904297
PPFD-FR(umol/㎡/s),0.03145835921168327
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),109.99071502685547
Erb Ratio,2119.125
YPFD(umol/m²/s),24.347200393676758
Ech-A(mW/cm²),0.02317805588245392
Ech-B(mW/cm²),0.005603100173175335
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),238.1487579345703
Candle E(fc),22.132783889770508
CCT(K),1001.0
Duv,0.3402424454689026
x,0.723118782043457
y,0.2757594585418701
u,0.594807505607605
v,0.3402424454689026
u’,0.594807505607605
v’,0.5103636980056763
SDCM,100.0
Ra,7.600177764892578
R1,-5.03237247467041
R2,71.10189056396484
R3,28.637767791748047
R4,-22.156021118164062
R5,7.446110248565674
R6,92.46772003173828
R7,-11.663680076599121
R8,-100.0
R9,-100.0
R10,67.19979095458984
R11,-9.350394248962402
R12,81.84488677978516
R13,19.856630325317383
R14,57.3786506652832
R15,-52.72422790527344
Ee(mW/cm²),0.47570109367370605
S/P,0.030047351494431496
Dominant(nm),647.2000122070312
Purity(%),99.66011810302734
Half width(nm),17.45684814453125
Peak(nm),662.93408203125
Center(nm),661.7430419921875
Centroid(nm),659.5
R ratio(%),99.90567779541016
G ratio(%),0.03457321971654892
B ratio(%),0.05974266305565834
Integrat.Time(ms),15.0
Peak Signal,53808.0
Dark Signal,2642.0
Compensate level,2520.0
StartTestWave,380
EndTestWave,780
380,0.0
381,0.0
382,0.003527347929775715
383,0.04541550949215889
384,0.11728572845458984
385,0.1798979640007019
386,0.19202205538749695
387,0.17196083068847656
388,0.14947427809238434
389,0.0795869454741478
390,0.0055118342861533165
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0012320587411522865
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.06414259970188141
414,0.1651950478553772
415,0.17931276559829712
416,0.12154191732406616
417,0.10420500487089157
418,0.06298813223838806
419,0.03236217796802521
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.001726619666442275
427,0.028178181499242783
428,0.050638072192668915
429,0.07238743454217911
430,0.03241736814379692
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.000979998498223722
472,0.011251134797930717
473,0.00010566200944595039
474,0.0
475,0.0
476,0.0
477,0.0123253483325243
478,0.06536030769348145
479,0.1086023822426796
480,0.10300429910421371
481,0.09565974771976471
482,0.07397167384624481
483,0.05266458913683891
484,0.028110016137361526
485,0.045977018773555756
486,0.0703965574502945
487,0.10027193278074265
488,0.0959966853260994
489,0.11627788096666336
490,0.14435996115207672
491,0.09636575728654861
492,0.0448945127427578
493,0.04259972274303436
494,0.014714268036186695
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.004632747266441584
507,0.013613973744213581
508,0.01888214610517025
509,0.014705040492117405
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0017748408718034625
515,0.01789228245615959
516,0.027155470103025436
517,0.027926472947001457
518,0.027251143008470535
519,0.018144283443689346
520,0.013749133795499802
521,0.0010182904079556465
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.008815500885248184
532,0.014986331574618816
533,0.01249922439455986
534,0.026282547041773796
535,0.012262091040611267
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.016103001311421394
547,0.05499555543065071
548,0.05738525092601776
549,0.04361734911799431
550,0.024417409673333168
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0026987437158823013
556,0.028732022270560265
557,0.05119570344686508
558,0.06073572114109993
559,0.07833804935216904
560,0.045491985976696014
561,0.030505752190947533
562,0.016321180388331413
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.007630455773323774
583,0.05320766940712929
584,0.10304243862628937
585,0.10580912232398987
586,0.1024467796087265
587,0.06493058800697327
588,0.01755661517381668
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0023711861576884985
598,0.024675022810697556
599,0.047918666154146194
600,0.08085674792528152
601,0.13178220391273499
602,0.15875133872032166
603,0.18932387232780457
604,0.24908612668514252
605,0.27912619709968567
606,0.29976537823677063
607,0.375669926404953
608,0.46673357486724854
609,0.5988553166389465
610,0.740858256816864
611,0.8948844075202942
612,1.0621405839920044
613,1.1947672367095947
614,1.304768681526184
615,1.5116376876831055
616,1.8114924430847168
617,2.087921619415283
618,2.411040782928467
619,2.757775068283081
620,3.095533609390259
621,3.4589080810546875
622,3.8961222171783447
623,4.379338264465332
624,4.9426727294921875
625,5.564648628234863
626,6.2464518547058105
627,7.005455493927002
628,7.86923360824585
629,8.866729736328125
630,9.816276550292969
631,10.839301109313965
632,12.100974082946777
633,13.498294830322266
634,15.018877983093262
635,16.70958709716797
636,18.543354034423828
637,20.62816047668457
638,23.03934669494629
639,25.72069549560547
640,28.71378517150879
641,32.11597442626953
642,35.924766540527344
643,40.09543228149414
644,44.77997970581055
645,49.112831115722656
646,53.90154266357422
647,60.365196228027344
648,67.48828887939453
649,75.15835571289062
650,83.36248016357422
651,91.9981918334961
652,101.03642272949219
653,110.67975616455078
654,121.16756439208984
655,132.8221435546875
656,145.90248107910156
657,160.44142150878906
658,176.1142578125
659,189.3731231689453
660,201.86325073242188
661,214.8489532470703
662,223.91079711914062
663,227.70162963867188
664,225.1449737548828
665,215.97572326660156
666,200.95921325683594
667,182.0693817138672
668,160.9067840576172
669,139.16114807128906
670,118.47541809082031
671,102.94344329833984
672,88.84580993652344
673,73.74275207519531
674,60.89507293701172
675,49.99501037597656
676,40.90734100341797
677,33.45079803466797
678,27.324207305908203
679,22.2264461517334
680,18.095182418823242
681,14.766728401184082
682,11.943182945251465
683,9.929597854614258
684,8.256242752075195
685,6.652145862579346
686,5.328636169433594
687,4.278528213500977
688,3.4462387561798096
689,2.784562826156616
690,2.2160580158233643
691,1.7647725343704224
692,1.3649152517318726
693,1.0768855810165405
694,0.9168558716773987
695,0.748728334903717
696,0.5825597643852234
697,0.500161349773407
698,0.4153779447078705
699,0.3075055480003357
700,0.25755491852760315
701,0.22621403634548187
702,0.21547263860702515
703,0.20516058802604675
704,0.16908617317676544
705,0.13197477161884308
706,0.09310980886220932
707,0.0534651055932045
708,0.02002611942589283
709,0.06726488471031189
710,0.11288026720285416
711,0.1479177176952362
712,0.15772269666194916
713,0.1583828330039978
714,0.12841036915779114
715,0.08849228918552399
716,0.06033159792423248
717,0.01894584856927395
718,0.0
719,0.0012017068220302463
720,0.04625605046749115
721,0.036711547523736954
722,0.00817231833934784
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.019023116677999496
729,0.01993243396282196
730,0.020509732887148857
731,0.020923154428601265
732,0.03712654858827591
733,0.06430360674858093
734,0.03415457531809807
735,0.00294319586828351
736,0.0
737,0.0
738,0.0
739,0.03935809060931206
740,0.1654176115989685
741,0.23934201896190643
742,0.262341171503067
743,0.24571584165096283
744,0.23107044398784637
745,0.15657782554626465
746,0.07704821974039078
747,0.051228851079940796
748,0.10910488665103912
749,0.12245019525289536
750,0.11722194403409958
751,0.1783243864774704
752,0.17612044513225555
753,0.1251221001148224
754,0.0747537910938263
755,0.011064683087170124
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.002939969999715686
770,0.044252749532461166
771,0.029685240238904953
772,0.051100485026836395
773,0.07039231806993484
774,0.0004739198484458029
775,0.0
776,0.016906265169382095
777,0.04066328704357147
778,0.015446484088897705
779,0.053865302354097366
780,0.06875071674585342
