segment_id,pwm_r,pwm_b,rb_ratio_pwm,total_pwm,PPFD_spec_mean,sensor_window_count,window_source,matched_marker_index,marker_end_sensor_time,steady_start_sensor_time,steady_end_sensor_time
1,5,5,1.000000,10,23.812917073567707,5,marker,1,2026-03-10 11:33:51.073,2026-03-10 11:34:00.998,2026-03-10 11:34:40.967
2,15,15,1.000000,30,58.77621841430664,5,marker,2,2026-03-10 11:35:20.985,2026-03-10 11:35:31.031,2026-03-10 11:36:10.942
3,22,22,1.000000,45,84.80152384440105,5,marker,3,2026-03-10 11:36:41.002,2026-03-10 11:37:00.989,2026-03-10 11:37:40.996
4,30,30,1.000000,60,113.59253692626953,5,marker,4,2026-03-10 11:38:00.932,2026-03-10 11:38:20.967,2026-03-10 11:39:00.902
5,40,40,1.000000,80,150.89503479003906,5,marker,5,2026-03-10 11:39:30.964,2026-03-10 11:39:40.887,2026-03-10 11:40:20.942
6,50,50,1.000000,100,187.18872578938803,5,marker,6,2026-03-10 11:40:50.950,2026-03-10 11:41:10.956,2026-03-10 11:41:50.948
7,8,2,4.000000,10,21.314773559570312,5,marker,7,2026-03-10 11:42:10.894,2026-03-10 11:42:30.874,2026-03-10 11:43:10.881
8,22,8,2.750000,30,68.5315653483073,5,marker,8,2026-03-10 11:43:40.891,2026-03-10 11:43:50.834,2026-03-10 11:44:30.890
9,34,11,3.090909,45,101.2605209350586,5,marker,9,2026-03-10 11:45:00.835,2026-03-10 11:45:20.864,2026-03-10 11:46:00.815
10,45,15,3.000000,60,134.07434590657553,5,marker,10,2026-03-10 11:46:20.875,2026-03-10 11:46:40.799,2026-03-10 11:47:20.783
11,60,20,3.000000,80,179.03254191080728,5,marker,11,2026-03-10 11:47:40.870,2026-03-10 11:48:00.775,2026-03-10 11:48:40.762
12,75,25,3.000000,100,219.71941630045572,5,marker,12,2026-03-10 11:49:10.782,2026-03-10 11:49:30.752,2026-03-10 11:50:10.767
13,8,2,4.000000,10,21.329858144124348,5,marker,13,2026-03-10 11:50:30.730,2026-03-10 11:50:50.746,2026-03-10 11:51:30.780
14,25,5,5.000000,30,72.71601867675781,5,marker,14,2026-03-10 11:52:00.793,2026-03-10 11:52:10.731,2026-03-10 11:52:50.687
15,38,8,4.750000,45,108.53206380208333,4,marker,15,2026-03-10 11:53:20.783,2026-03-10 11:53:50.700,2026-03-10 11:54:20.673
16,50,10,5.000000,60,140.29533894856772,5,marker,16,2026-03-10 11:55:00.727,2026-03-10 11:55:20.698,2026-03-10 11:56:00.725
17,67,13,5.153846,80,186.12511189778647,5,marker,17,2026-03-10 11:56:30.644,2026-03-10 11:56:50.639,2026-03-10 11:57:30.662
18,83,17,4.882353,100,232.95361328125,5,marker,18,2026-03-10 11:57:50.622,2026-03-10 11:58:10.587,2026-03-10 11:58:50.654
19,9,1,9.000000,10,23.704442977905273,5,marker,19,2026-03-10 11:59:10.612,2026-03-10 11:59:30.569,2026-03-10 12:00:10.585
20,26,4,6.500000,30,73.92906443277995,5,marker,20,2026-03-10 12:00:30.630,2026-03-10 12:00:50.603,2026-03-10 12:01:30.624
21,39,6,6.500000,45,108.6447270711263,5,marker,21,2026-03-10 12:02:00.541,2026-03-10 12:02:20.519,2026-03-10 12:03:00.567
22,52,8,6.500000,60,143.07935078938803,5,marker,22,2026-03-10 12:03:20.566,2026-03-10 12:03:40.557,2026-03-10 12:04:20.565
23,70,10,7.000000,80,189.66835021972656,5,marker,23,2026-03-10 12:04:40.542,2026-03-10 12:05:00.538,2026-03-10 12:05:40.508
24,88,12,7.333333,100,238.9427947998047,5,marker_interpolated,24,2026-03-10 12:06:00.495,2026-03-10 12:06:20.504,2026-03-10 12:07:00.476
25,10,0,inf,10,26.248079299926758,5,marker,25,2026-03-10 12:07:30.449,2026-03-10 12:07:50.422,2026-03-10 12:08:30.426
26,30,0,inf,30,76.13818105061848,3,marker,26,2026-03-10 12:09:20.395,2026-03-10 12:09:30.432,2026-03-10 12:09:50.447
27,45,0,inf,45,114.02138773600261,5,marker,27,2026-03-10 12:10:40.447,2026-03-10 12:11:00.370,2026-03-10 12:11:40.425
