Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/01/15 14:13
PAR(mW/cm²),0.49202290177345276
PPFD(umol/㎡/s),23.04836654663086
PPFD-UV(umol/㎡/s),0.0008223677868954837
PPFD-B(umol/㎡/s),9.096083641052246
PPFD-G(umol/㎡/s),0.03069004975259304
PPFD-R(umol/㎡/s),13.921591758728027
PPFD-FR(umol/㎡/s),0.01617891900241375
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),103.06598663330078
Erb Ratio,1.0587960481643677
YPFD(umol/m²/s),19.773820877075195
Ech-A(mW/cm²),0.018776049837470055
Ech-B(mW/cm²),0.010176630690693855
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),223.6272735595703
Candle E(fc),20.783203125
CCT(K),100000.0
Duv,-0.12341170758008957
x,0.22059330344200134
y,0.0607716366648674
u,0.26835572719573975
v,0.11089468002319336
u’,0.26835572719573975
v’,0.16634202003479004
SDCM,100.0
Ra,-90.58387756347656
R1,-100.0
R2,-100.0
R3,-100.0
R4,-48.94100570678711
R5,-100.0
R6,-100.0
R7,-75.72997283935547
R8,-100.0
R9,-100.0
R10,-100.0
R11,-53.674072265625
R12,-100.0
R13,-100.0
R14,-100.0
R15,-100.0
Ee(mW/cm²),0.4959169030189514
S/P,9.632184982299805
Dominant(nm),568.0999755859375
Purity(%),116.0753402709961
Half width(nm),17.11395263671875
Peak(nm),662.93408203125
Center(nm),661.5716552734375
Centroid(nm),560.7000122070312
R ratio(%),51.37760925292969
G ratio(%),0.48840275406837463
B ratio(%),48.133995056152344
Integrat.Time(ms),27.0
Peak Signal,53089.0
Dark Signal,2929.0
Compensate level,2520.0
StartTestWave,380
EndTestWave,780
380,0.0
381,0.0
382,0.0009800430852919817
383,0.05487075448036194
384,0.07936644554138184
385,0.016657143831253052
386,0.0
387,0.0
388,0.0
389,0.0
390,0.01224807184189558
391,0.06393379718065262
392,0.026332883164286613
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.006931322626769543
412,0.07143796235322952
413,0.1669694483280182
414,0.2552279531955719
415,0.3317889869213104
416,0.3968019187450409
417,0.4573822617530823
418,0.5224052667617798
419,0.582854688167572
420,0.645772397518158
421,0.7347100377082825
422,0.8877057433128357
423,1.0935702323913574
424,1.3673120737075806
425,1.6969493627548218
426,2.090855360031128
427,2.503674030303955
428,3.007449150085449
429,3.599367141723633
430,4.336950778961182
431,5.199972152709961
432,6.202398300170898
433,7.322889804840088
434,8.618903160095215
435,10.101031303405762
436,12.061955451965332
437,14.379012107849121
438,16.776878356933594
439,19.564228057861328
440,22.773265838623047
441,26.563459396362305
442,30.940444946289062
443,35.93579864501953
444,41.67219161987305
445,48.11341857910156
446,55.24766540527344
447,62.9805908203125
448,71.1298828125
449,79.13385772705078
450,86.73485565185547
451,93.51842498779297
452,99.13204193115234
453,102.59332275390625
454,104.50093078613281
455,105.0331802368164
456,103.60179901123047
457,100.47810363769531
458,95.78349304199219
459,89.74817657470703
460,82.9281997680664
461,75.53610229492188
462,67.94731140136719
463,60.59336471557617
464,53.983585357666016
465,48.176239013671875
466,43.19160842895508
467,39.02629852294922
468,35.14523696899414
469,31.772918701171875
470,29.078346252441406
471,26.545469284057617
472,24.112613677978516
473,21.701702117919922
474,19.465394973754883
475,17.41777229309082
476,15.541366577148438
477,13.843965530395508
478,12.333921432495117
479,10.954797744750977
480,9.678470611572266
481,8.51654052734375
482,7.465719223022461
483,6.543490886688232
484,5.727622032165527
485,5.063623905181885
486,4.497313499450684
487,3.9912681579589844
488,3.5378992557525635
489,3.1316020488739014
490,2.7537496089935303
491,2.412808418273926
492,2.118299722671509
493,1.8618305921554565
494,1.6356837749481201
495,1.418192744255066
496,1.2298725843429565
497,1.0706725120544434
498,0.9350531101226807
499,0.8062575459480286
500,0.6989924907684326
501,0.6394302845001221
502,0.6004582047462463
503,0.5565048456192017
504,0.5138825178146362
505,0.4915047585964203
506,0.4284515380859375
507,0.34509724378585815
508,0.28940990567207336
509,0.2644628584384918
510,0.24408632516860962
511,0.2380150556564331
512,0.22798064351081848
513,0.21371953189373016
514,0.17813588678836823
515,0.14605247974395752
516,0.11462602764368057
517,0.11073291301727295
518,0.08309273421764374
519,0.07565201818943024
520,0.08427722752094269
521,0.08150748908519745
522,0.05281245708465576
523,0.05944833904504776
524,0.04674530029296875
525,0.015871671959757805
526,0.009578078985214233
527,0.025692397728562355
528,0.019824733957648277
529,0.01976652257144451
530,0.028277743607759476
531,0.018340235576033592
532,0.0015272366581484675
533,0.0004856612649746239
534,0.0
535,0.0
536,0.0034665875136852264
537,0.013856395147740841
538,0.012180078774690628
539,0.022282831370830536
540,0.027570003643631935
541,0.03618146479129791
542,0.04734659194946289
543,0.05777282640337944
544,0.05804044008255005
545,0.06557843834161758
546,0.05422041192650795
547,0.0266154445707798
548,0.0009523585322313011
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.006756557617336512
560,0.010040105320513248
561,0.005679854657500982
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0036043853033334017
568,0.02496884949505329
569,0.03381461650133133
570,0.037597183138132095
571,0.02438317984342575
572,0.021448491141200066
573,0.0075705936178565025
574,0.0
575,0.0
576,0.003315721871331334
577,0.0039640446193516254
578,0.0
579,0.0026217002887278795
580,0.02045767568051815
581,0.01775134913623333
582,0.020513543859124184
583,0.03701036423444748
584,0.025373205542564392
585,0.0011498562525957823
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.004932558164000511
595,0.009231608361005783
596,0.017096176743507385
597,0.03166387602686882
598,0.035799380391836166
599,0.030858850106596947
600,0.03721550852060318
601,0.03930453583598137
602,0.04407207667827606
603,0.05160538852214813
604,0.06872150301933289
605,0.08439337462186813
606,0.11681145429611206
607,0.17658062279224396
608,0.24265439808368683
609,0.3188569247722626
610,0.3899308145046234
611,0.4597264528274536
612,0.5206847190856934
613,0.5866126418113708
614,0.646297812461853
615,0.7347659468650818
616,0.8436291813850403
617,0.9621927738189697
618,1.0879626274108887
619,1.2609881162643433
620,1.4418349266052246
621,1.6589174270629883
622,1.9116255044937134
623,2.1824827194213867
624,2.477468252182007
625,2.8129947185516357
626,3.169419765472412
627,3.566467761993408
628,4.010120868682861
629,4.505987167358398
630,4.992990016937256
631,5.556268692016602
632,6.236490249633789
633,7.007911205291748
634,7.876338481903076
635,8.809351921081543
636,9.810418128967285
637,10.998644828796387
638,12.344792366027832
639,13.792941093444824
640,15.39480972290039
641,17.23494529724121
642,19.287967681884766
643,21.57208251953125
644,24.183462142944336
645,26.62685775756836
646,29.28709602355957
647,32.797264099121094
648,36.63991165161133
649,40.756500244140625
650,45.15031814575195
651,49.822750091552734
652,54.785682678222656
653,60.12389373779297
654,65.92604064941406
655,72.35357666015625
656,79.57194519042969
657,87.72207641601562
658,96.57290649414062
659,104.0677261352539
660,110.98252868652344
661,118.03497314453125
662,122.58456420898438
663,123.7155990600586
664,121.0843276977539
665,114.96424102783203
666,105.89046478271484
667,94.90861511230469
668,83.15275573730469
669,71.42744445800781
670,60.43046188354492
671,52.26443099975586
672,44.95511245727539
673,37.15196990966797
674,30.569286346435547
675,25.041210174560547
676,20.355070114135742
677,16.454313278198242
678,13.258902549743652
679,10.621917724609375
680,8.465592384338379
681,6.734965801239014
682,5.403205394744873
683,4.4881272315979
684,3.7326273918151855
685,2.985586166381836
686,2.3926444053649902
687,1.8897359371185303
688,1.49515700340271
689,1.2084561586380005
690,0.9682925343513489
691,0.7976942658424377
692,0.6631090641021729
693,0.5533249378204346
694,0.4500909745693207
695,0.3759003281593323
696,0.3038979768753052
697,0.2506496012210846
698,0.2076212614774704
699,0.17853319644927979
700,0.14773939549922943
701,0.134479358792305
702,0.11382173001766205
703,0.07870407402515411
704,0.05545543506741524
705,0.049210626631975174
706,0.04499311000108719
707,0.031079508364200592
708,0.02715545892715454
709,0.04173504561185837
710,0.0663871169090271
711,0.07579080015420914
712,0.05998143181204796
713,0.043761271983385086
714,0.04487321153283119
715,0.03653191030025482
716,0.017283916473388672
717,0.00016314853564836085
718,0.02261228859424591
719,0.03345683217048645
720,0.02595081925392151
721,0.011642277240753174
722,0.011650674045085907
723,0.007380589842796326
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.010494526475667953
739,0.020493287593126297
740,0.02328459732234478
741,0.021792033687233925
742,0.027124162763357162
743,0.06680434942245483
744,0.14469033479690552
745,0.1848255693912506
746,0.1838865876197815
747,0.17163528501987457
748,0.1426030695438385
749,0.09106449782848358
750,0.022703412920236588
751,0.0238850936293602
752,0.06111467257142067
753,0.06961516290903091
754,0.04843352362513542
755,0.0551111176609993
756,0.05003999173641205
757,0.033878225833177567
758,0.018172677606344223
759,0.03671708330512047
760,0.04324775189161301
761,0.029087794944643974
762,0.0005760142230428755
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.024822093546390533
777,0.0
778,0.0
779,0.0
780,0.0
