segment_id,pwm_r,pwm_b,rb_ratio_pwm,total_pwm,PPFD_spec_mean,sensor_window_count,window_source,matched_marker_index,marker_end_sensor_time,steady_start_sensor_time,steady_end_sensor_time
1,5,5,1.000000,10,23.139649709065754,3,dark_run,1,2026-03-10 12:44:01.959,2026-03-10 12:44:29.809,2026-03-10 12:44:49.754
2,15,15,1.000000,30,58.717769622802734,5,dark_run,2,2026-03-10 12:45:29.757,2026-03-10 12:45:59.782,2026-03-10 12:46:39.768
3,22,22,1.000000,45,84.8709716796875,5,marker,3,2026-03-10 12:47:09.700,2026-03-10 12:47:29.700,2026-03-10 12:48:09.676
4,30,30,1.000000,60,113.49273173014323,5,marker,4,2026-03-10 12:48:29.729,2026-03-10 12:48:49.655,2026-03-10 12:49:29.725
5,40,40,1.000000,80,151.02261352539062,5,marker,5,2026-03-10 12:49:49.628,2026-03-10 12:50:09.613,2026-03-10 12:50:49.658
6,50,50,1.000000,100,187.1255645751953,5,marker,6,2026-03-10 12:51:09.650,2026-03-10 12:51:29.637,2026-03-10 12:52:09.641
7,8,2,4.000000,10,21.31477419535319,5,dark_run,7,2026-03-10 12:52:19.574,2026-03-10 12:52:49.588,2026-03-10 12:53:29.624
8,22,8,2.750000,30,68.27926890055339,5,marker,8,2026-03-10 12:53:59.531,2026-03-10 12:54:19.556,2026-03-10 12:54:59.522
9,34,11,3.090909,45,101.17977650960286,5,marker,9,2026-03-10 12:55:19.574,2026-03-10 12:55:39.574,2026-03-10 12:56:19.517
10,45,15,3.000000,60,133.97863260904947,5,marker,10,2026-03-10 12:56:39.552,2026-03-10 12:56:59.541,2026-03-10 12:57:39.510
11,60,20,3.000000,80,179.14588419596353,5,marker,11,2026-03-10 12:58:09.499,2026-03-10 12:58:19.524,2026-03-10 12:58:59.501
12,75,25,3.000000,100,219.52335611979166,5,marker,12,2026-03-10 12:59:29.473,2026-03-10 12:59:49.479,2026-03-10 13:00:29.382
13,8,2,4.000000,10,21.294368108113606,5,marker,13,2026-03-10 13:00:49.394,2026-03-10 13:01:09.472,2026-03-10 13:01:49.359
14,25,5,5.000000,30,72.50927480061848,5,marker_interpolated,14,2026-03-10 13:02:09.432,2026-03-10 13:02:29.390,2026-03-10 13:03:09.336
15,38,8,4.750000,45,108.35995992024739,4,marker_interpolated,15,2026-03-10 13:03:29.406,2026-03-10 13:03:49.393,2026-03-10 13:04:19.303
16,50,10,5.000000,60,140.66263834635416,4,marker,16,2026-03-10 13:04:49.295,2026-03-10 13:05:09.366,2026-03-10 13:05:39.347
17,67,13,5.153846,80,186.05892435709634,5,marker,17,2026-03-10 13:06:19.268,2026-03-10 13:06:39.275,2026-03-10 13:07:19.280
18,83,17,4.882353,100,233.2945302327474,5,marker,18,2026-03-10 13:07:39.260,2026-03-10 13:07:59.234,2026-03-10 13:08:39.307
19,9,1,9.000000,10,23.729509353637695,5,marker,19,2026-03-10 13:08:59.309,2026-03-10 13:09:19.257,2026-03-10 13:09:59.274
20,26,4,6.500000,30,73.97599792480469,5,marker,20,2026-03-10 13:10:19.253,2026-03-10 13:10:39.248,2026-03-10 13:11:19.240
21,39,6,6.500000,45,108.58301798502605,5,marker,21,2026-03-10 13:11:49.192,2026-03-10 13:12:09.156,2026-03-10 13:12:49.178
22,52,8,6.500000,60,143.07262674967447,5,marker,22,2026-03-10 13:13:09.146,2026-03-10 13:13:29.217,2026-03-10 13:14:09.144
23,70,10,7.000000,80,189.37954711914062,5,marker,23,2026-03-10 13:14:29.130,2026-03-10 13:14:49.120,2026-03-10 13:15:29.104
24,88,12,7.333333,100,238.8795369466146,5,marker,24,2026-03-10 13:15:59.156,2026-03-10 13:16:09.102,2026-03-10 13:16:49.149
25,10,0,inf,10,26.219236373901367,5,marker,25,2026-03-10 13:17:19.131,2026-03-10 13:17:39.056,2026-03-10 13:18:19.105
26,30,0,inf,30,76.11935679117839,5,marker,26,2026-03-10 13:18:39.050,2026-03-10 13:18:59.028,2026-03-10 13:19:39.066
27,45,0,inf,45,114.03012339274089,5,marker_interpolated,27,2026-03-10 13:19:59.033,2026-03-10 13:20:18.987,2026-03-10 13:20:59.028
28,60,0,inf,60,152.79473368326822,5,marker,28,2026-03-10 13:21:28.934,2026-03-10 13:21:48.924,2026-03-10 13:22:28.999
29,80,0,inf,80,200.0623016357422,5,marker,29,2026-03-10 13:22:49.002,2026-03-10 13:23:08.889,2026-03-10 13:23:48.952
30,100,0,inf,100,242.03974405924478,5,marker,30,2026-03-10 13:24:08.932,2026-03-10 13:24:28.911,2026-03-10 13:25:08.907
