segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,1,5,5,10,1.000000,2026-03-10T12:44:05.452,2026-03-10T12:44:05.452,2026-03-10T12:44:06.041,589.0,2026-03-10T12:44:16.042,2026-03-10T12:44:16.862,820.0,2026-03-10T12:44:26.863,2026-03-10T12:44:26.863,2026-03-10T12:44:27.541,678.0,2026-03-10T12:44:37.541,2026-03-10T12:45:27.542,2026-03-10T12:45:27.542,10.0,10.0,10.0,10.0,50.0,3,23.286479949951172,2026-03-10T12:44:50.041,archive/2026-03-10/standard_csv/raw_bytes_20260310_124452.csv,23.084102630615234,2026-03-10T12:45:02.541,archive/2026-03-10/standard_csv/raw_bytes_20260310_124504.csv,23.04836654663086,2026-03-10T12:45:15.042,archive/2026-03-10/standard_csv/raw_bytes_20260310_124517.csv,3,23.139649709065754
2,normal,2,1,1,15,15,30,1.000000,2026-03-10T12:45:27.542,2026-03-10T12:45:27.543,2026-03-10T12:45:28.115,572.0,2026-03-10T12:45:38.117,2026-03-10T12:45:38.745,628.0,2026-03-10T12:45:48.745,2026-03-10T12:45:48.745,2026-03-10T12:45:49.474,729.0,2026-03-10T12:45:59.474,2026-03-10T12:46:49.474,2026-03-10T12:46:49.474,10.0,10.0,10.0,10.0,50.0,3,58.47929763793945,2026-03-10T12:46:11.974,archive/2026-03-10/standard_csv/raw_bytes_20260310_124614.csv,58.91558837890625,2026-03-10T12:46:24.474,archive/2026-03-10/standard_csv/raw_bytes_20260310_124626.csv,58.7584228515625,2026-03-10T12:46:36.974,archive/2026-03-10/standard_csv/raw_bytes_20260310_124639.csv,3,58.717769622802734
3,normal,3,1,1,22,22,45,1.000000,2026-03-10T12:46:49.475,2026-03-10T12:46:49.476,2026-03-10T12:46:50.092,616.0,2026-03-10T12:47:00.093,2026-03-10T12:47:00.850,757.0,2026-03-10T12:47:10.850,2026-03-10T12:47:10.850,2026-03-10T12:47:11.358,508.0,2026-03-10T12:47:21.358,2026-03-10T12:48:11.358,2026-03-10T12:48:11.358,10.0,10.0,10.0,10.0,50.0,3,83.89384460449219,2026-03-10T12:47:33.858,archive/2026-03-10/standard_csv/raw_bytes_20260310_124736.csv,85.44017791748047,2026-03-10T12:47:46.359,archive/2026-03-10/standard_csv/raw_bytes_20260310_124748.csv,85.27889251708984,2026-03-10T12:47:58.858,archive/2026-03-10/standard_csv/raw_bytes_20260310_124801.csv,3,84.8709716796875
4,normal,4,1,1,30,30,60,1.000000,2026-03-10T12:48:11.359,2026-03-10T12:48:11.359,2026-03-10T12:48:11.918,559.0,2026-03-10T12:48:21.918,2026-03-10T12:48:22.450,532.0,2026-03-10T12:48:32.450,2026-03-10T12:48:32.451,2026-03-10T12:48:32.952,501.0,2026-03-10T12:48:42.952,2026-03-10T12:49:32.952,2026-03-10T12:49:32.952,10.0,10.0,10.0,10.0,50.0,3,111.48664093017578,2026-03-10T12:48:55.452,archive/2026-03-10/standard_csv/raw_bytes_20260310_124857.csv,114.42362213134766,2026-03-10T12:49:07.953,archive/2026-03-10/standard_csv/raw_bytes_20260310_124910.csv,114.56793212890625,2026-03-10T12:49:20.452,archive/2026-03-10/standard_csv/raw_bytes_20260310_124922.csv,3,113.49273173014323
5,normal,5,1,1,40,40,80,1.000000,2026-03-10T12:49:32.953,2026-03-10T12:49:32.954,2026-03-10T12:49:33.874,920.0,2026-03-10T12:49:43.875,2026-03-10T12:49:44.514,639.0,2026-03-10T12:49:54.514,2026-03-10T12:49:54.515,2026-03-10T12:49:55.077,562.0,2026-03-10T12:50:05.078,2026-03-10T12:50:55.078,2026-03-10T12:50:55.078,10.0,10.0,10.0,10.0,50.0,3,147.9640655517578,2026-03-10T12:50:17.578,archive/2026-03-10/standard_csv/raw_bytes_20260310_125019.csv,152.6161651611328,2026-03-10T12:50:30.078,archive/2026-03-10/standard_csv/raw_bytes_20260310_125032.csv,152.48760986328125,2026-03-10T12:50:42.578,archive/2026-03-10/standard_csv/raw_bytes_20260310_125044.csv,3,151.02261352539062
6,normal,6,1,1,50,50,100,1.000000,2026-03-10T12:50:55.079,2026-03-10T12:50:55.079,2026-03-10T12:50:55.789,710.0,2026-03-10T12:51:05.791,2026-03-10T12:51:06.849,1058.0,2026-03-10T12:51:16.849,2026-03-10T12:51:16.849,2026-03-10T12:51:17.535,686.0,2026-03-10T12:51:27.536,2026-03-10T12:52:17.536,2026-03-10T12:52:17.536,10.0,10.0,10.0,10.0,50.0,3,182.21290588378906,2026-03-10T12:51:40.036,archive/2026-03-10/standard_csv/raw_bytes_20260310_125142.csv,189.80380249023438,2026-03-10T12:51:52.536,archive/2026-03-10/standard_csv/raw_bytes_20260310_125154.csv,189.3599853515625,2026-03-10T12:52:05.036,archive/2026-03-10/standard_csv/raw_bytes_20260310_125207.csv,3,187.1255645751953
7,normal,7,3,1,8,2,10,4.000000,2026-03-10T12:52:17.537,2026-03-10T12:52:17.537,2026-03-10T12:52:18.058,521.0,2026-03-10T12:52:28.059,2026-03-10T12:52:28.800,741.0,2026-03-10T12:52:38.800,2026-03-10T12:52:38.801,2026-03-10T12:52:39.752,951.0,2026-03-10T12:52:49.752,2026-03-10T12:53:39.752,2026-03-10T12:53:39.753,10.0,10.0,10.0,10.0,50.0,3,21.342693328857422,2026-03-10T12:53:02.252,archive/2026-03-10/standard_csv/raw_bytes_20260310_125304.csv,21.299606323242188,2026-03-10T12:53:14.752,archive/2026-03-10/standard_csv/raw_bytes_20260310_125316.csv,21.30202293395996,2026-03-10T12:53:27.252,archive/2026-03-10/standard_csv/raw_bytes_20260310_125329.csv,3,21.31477419535319
8,normal,8,3,1,22,8,30,2.750000,2026-03-10T12:53:39.754,2026-03-10T12:53:39.754,2026-03-10T12:53:40.852,1098.0,2026-03-10T12:53:50.852,2026-03-10T12:53:51.371,519.0,2026-03-10T12:54:01.371,2026-03-10T12:54:01.372,2026-03-10T12:54:01.896,524.0,2026-03-10T12:54:11.897,2026-03-10T12:55:01.898,2026-03-10T12:55:01.898,10.0,10.0,10.0,10.0,50.0,3,67.96756744384766,2026-03-10T12:54:24.398,archive/2026-03-10/standard_csv/raw_bytes_20260310_125426.csv,68.40872192382812,2026-03-10T12:54:36.897,archive/2026-03-10/standard_csv/raw_bytes_20260310_125439.csv,68.46151733398438,2026-03-10T12:54:49.397,archive/2026-03-10/standard_csv/raw_bytes_20260310_125451.csv,3,68.27926890055339
9,normal,9,3,1,34,11,45,3.090909,2026-03-10T12:55:01.899,2026-03-10T12:55:01.899,2026-03-10T12:55:02.643,744.0,2026-03-10T12:55:12.644,2026-03-10T12:55:13.211,567.0,2026-03-10T12:55:23.212,2026-03-10T12:55:23.212,2026-03-10T12:55:24.068,856.0,2026-03-10T12:55:34.068,2026-03-10T12:56:24.069,2026-03-10T12:56:24.069,10.0,10.0,10.0,10.0,50.0,3,99.59347534179688,2026-03-10T12:55:46.569,archive/2026-03-10/standard_csv/raw_bytes_20260310_125548.csv,101.94722747802734,2026-03-10T12:55:59.069,archive/2026-03-10/standard_csv/raw_bytes_20260310_125601.csv,101.99862670898438,2026-03-10T12:56:11.569,archive/2026-03-10/standard_csv/raw_bytes_20260310_125613.csv,3,101.17977650960286
10,normal,10,3,1,45,15,60,3.000000,2026-03-10T12:56:24.070,2026-03-10T12:56:24.070,2026-03-10T12:56:25.302,1232.0,2026-03-10T12:56:35.302,2026-03-10T12:56:36.337,1035.0,2026-03-10T12:56:46.338,2026-03-10T12:56:46.341,2026-03-10T12:56:46.963,622.0,2026-03-10T12:56:56.963,2026-03-10T12:57:46.963,2026-03-10T12:57:46.963,10.0,10.0,10.0,10.0,50.0,3,131.0930633544922,2026-03-10T12:57:09.464,archive/2026-03-10/standard_csv/raw_bytes_20260310_125711.csv,135.19827270507812,2026-03-10T12:57:21.963,archive/2026-03-10/standard_csv/raw_bytes_20260310_125724.csv,135.64456176757812,2026-03-10T12:57:34.463,archive/2026-03-10/standard_csv/raw_bytes_20260310_125736.csv,3,133.97863260904947
