segment_id,pwm_r,pwm_b,rb_ratio_pwm,total_pwm,PPFD_spec_mean,sensor_window_count,window_source,matched_marker_index,marker_end_sensor_time,steady_start_sensor_time,steady_end_sensor_time
1,5,5,1.000000,10,20.605365753173828,5,marker,1,2026-03-10 13:48:08.344,2026-03-10 13:48:28.330,2026-03-10 13:49:08.307
2,15,15,1.000000,30,52.285996754964195,5,marker,2,2026-03-10 13:49:28.294,2026-03-10 13:49:48.292,2026-03-10 13:50:28.262
3,22,22,1.000000,45,75.88735961914062,5,marker,3,2026-03-10 13:50:48.252,2026-03-10 13:51:08.238,2026-03-10 13:51:48.213
4,30,30,1.000000,60,102.61514790852864,5,dark_run,4,2026-03-10 13:51:58.259,2026-03-10 13:52:28.193,2026-03-10 13:53:08.168
5,40,40,1.000000,80,135.6025136311849,5,marker,5,2026-03-10 13:53:38.199,2026-03-10 13:53:58.197,2026-03-10 13:54:38.179
6,50,50,1.000000,100,167.8510284423828,5,marker,6,2026-03-10 13:54:58.145,2026-03-10 13:55:18.193,2026-03-10 13:55:58.190
7,8,2,4.000000,10,19.271352132161457,5,marker,7,2026-03-10 13:56:18.092,2026-03-10 13:56:38.178,2026-03-10 13:57:18.136
8,22,8,2.750000,30,61.48813501993815,5,marker,8,2026-03-10 13:57:48.121,2026-03-10 13:57:58.077,2026-03-10 13:58:38.052
9,34,11,3.090909,45,90.9716313680013,5,marker,9,2026-03-10 13:59:08.045,2026-03-10 13:59:28.101,2026-03-10 14:00:08.049
10,45,15,3.000000,60,120.80552164713542,5,marker,10,2026-03-10 14:00:28.080,2026-03-10 14:00:48.006,2026-03-10 14:01:27.995
11,60,20,3.000000,80,159.35145060221353,5,marker,11,2026-03-10 14:01:48.030,2026-03-10 14:02:08.033,2026-03-10 14:02:48.023
12,75,25,3.000000,100,198.0655975341797,5,marker,12,2026-03-10 14:03:17.937,2026-03-10 14:03:37.936,2026-03-10 14:04:17.918
13,8,2,4.000000,10,19.256840387980144,5,marker,13,2026-03-10 14:04:37.998,2026-03-10 14:04:57.928,2026-03-10 14:05:37.900
14,25,5,5.000000,30,65.24749247233073,5,marker,14,2026-03-10 14:05:57.948,2026-03-10 14:06:17.977,2026-03-10 14:06:57.941
15,38,8,4.750000,45,97.07225545247395,5,marker,15,2026-03-10 14:07:17.860,2026-03-10 14:07:37.933,2026-03-10 14:08:17.927
16,50,10,5.000000,60,126.5931879679362,5,marker,16,2026-03-10 14:08:47.853,2026-03-10 14:09:07.916,2026-03-10 14:09:47.841
17,67,13,5.153846,80,169.49994405110678,5,marker,17,2026-03-10 14:10:07.820,2026-03-10 14:10:27.867,2026-03-10 14:11:07.844
18,83,17,4.882353,100,206.9359588623047,5,marker,18,2026-03-10 14:11:27.861,2026-03-10 14:11:47.848,2026-03-10 14:12:27.807
19,9,1,9.000000,10,21.503087997436523,5,marker,19,2026-03-10 14:12:47.885,2026-03-10 14:13:07.833,2026-03-10 14:13:47.838
20,26,4,6.500000,30,66.54226430257161,5,dark_run,20,2026-03-10 14:13:57.807,2026-03-10 14:14:27.782,2026-03-10 14:15:07.804
21,39,6,6.500000,45,97.81028493245442,5,marker,21,2026-03-10 14:15:37.857,2026-03-10 14:15:57.816,2026-03-10 14:16:37.812
22,52,8,6.500000,60,129.13082377115884,5,marker,22,2026-03-10 14:16:57.840,2026-03-10 14:17:17.856,2026-03-10 14:17:57.785
23,70,10,7.000000,80,171.04191080729166,5,marker,23,2026-03-10 14:18:17.781,2026-03-10 14:18:37.780,2026-03-10 14:19:17.752
24,88,12,7.333333,100,215.71680704752603,5,marker,24,2026-03-10 14:19:47.788,2026-03-10 14:20:07.774,2026-03-10 14:20:47.770
25,10,0,inf,10,23.677663803100586,5,marker,25,2026-03-10 14:21:07.712,2026-03-10 14:21:27.768,2026-03-10 14:22:07.777
26,30,0,inf,30,69.06576538085938,5,marker,26,2026-03-10 14:22:27.714,2026-03-10 14:22:47.672,2026-03-10 14:23:27.658
27,45,0,inf,45,103.1153335571289,5,marker,27,2026-03-10 14:23:47.711,2026-03-10 14:24:07.740,2026-03-10 14:24:47.693
28,60,0,inf,60,136.61578877766928,5,marker_interpolated,28,2026-03-10 14:25:07.664,2026-03-10 14:25:27.666,2026-03-10 14:26:07.665
29,80,0,inf,80,181.0427500406901,5,marker,29,2026-03-10 14:26:37.620,2026-03-10 14:26:57.667,2026-03-10 14:27:37.679
30,100,0,inf,100,222.08594767252603,1,marker_interpolated,30,2026-03-10 14:27:37.679,2026-03-10 14:27:37.679,2026-03-10 14:27:37.679
