segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,1,5,5,10,1.000000,2026-03-10T13:46:27.781,2026-03-10T13:46:27.781,2026-03-10T13:46:28.268,487.0,2026-03-10T13:46:38.270,2026-03-10T13:46:39.083,813.0,2026-03-10T13:46:49.084,2026-03-10T13:46:49.084,2026-03-10T13:46:49.732,648.0,2026-03-10T13:46:59.733,2026-03-10T13:47:49.733,2026-03-10T13:47:49.733,10.0,10.0,10.0,10.0,50.0,3,20.722841262817383,2026-03-10T13:47:12.233,archive/2026-03-10/standard_csv/raw_bytes_20260310_134714.csv,20.562885284423828,2026-03-10T13:47:24.733,archive/2026-03-10/standard_csv/raw_bytes_20260310_134726.csv,20.530370712280273,2026-03-10T13:47:37.233,archive/2026-03-10/standard_csv/raw_bytes_20260310_134739.csv,3,20.605365753173828
2,normal,2,1,1,15,15,30,1.000000,2026-03-10T13:47:49.734,2026-03-10T13:47:49.735,2026-03-10T13:47:50.247,512.0,2026-03-10T13:48:00.248,2026-03-10T13:48:00.787,539.0,2026-03-10T13:48:10.787,2026-03-10T13:48:10.788,2026-03-10T13:48:11.290,502.0,2026-03-10T13:48:21.290,2026-03-10T13:49:11.291,2026-03-10T13:49:11.291,10.0,10.0,10.0,10.0,50.0,3,52.181358337402344,2026-03-10T13:48:33.791,archive/2026-03-10/standard_csv/raw_bytes_20260310_134835.csv,52.37824630737305,2026-03-10T13:48:46.291,archive/2026-03-10/standard_csv/raw_bytes_20260310_134848.csv,52.29838562011719,2026-03-10T13:48:58.791,archive/2026-03-10/standard_csv/raw_bytes_20260310_134900.csv,3,52.285996754964195
3,normal,3,1,1,22,22,45,1.000000,2026-03-10T13:49:11.292,2026-03-10T13:49:11.292,2026-03-10T13:49:12.170,878.0,2026-03-10T13:49:22.171,2026-03-10T13:49:22.872,701.0,2026-03-10T13:49:32.872,2026-03-10T13:49:32.873,2026-03-10T13:49:33.527,654.0,2026-03-10T13:49:43.527,2026-03-10T13:50:33.527,2026-03-10T13:50:33.527,10.0,10.0,10.0,10.0,50.0,3,75.06590270996094,2026-03-10T13:49:56.027,archive/2026-03-10/standard_csv/raw_bytes_20260310_134958.csv,76.41758728027344,2026-03-10T13:50:08.527,archive/2026-03-10/standard_csv/raw_bytes_20260310_135010.csv,76.1785888671875,2026-03-10T13:50:21.027,archive/2026-03-10/standard_csv/raw_bytes_20260310_135023.csv,3,75.88735961914062
4,normal,4,1,1,30,30,60,1.000000,2026-03-10T13:50:33.528,2026-03-10T13:50:33.529,2026-03-10T13:50:34.122,593.0,2026-03-10T13:50:44.124,2026-03-10T13:50:44.912,788.0,2026-03-10T13:50:54.912,2026-03-10T13:50:54.912,2026-03-10T13:50:55.837,925.0,2026-03-10T13:51:05.838,2026-03-10T13:51:55.838,2026-03-10T13:51:55.838,10.0,10.0,10.0,10.0,50.0,3,101.14461517333984,2026-03-10T13:51:18.338,archive/2026-03-10/standard_csv/raw_bytes_20260310_135120.csv,103.41262817382812,2026-03-10T13:51:30.838,archive/2026-03-10/standard_csv/raw_bytes_20260310_135132.csv,103.28820037841797,2026-03-10T13:51:43.338,archive/2026-03-10/standard_csv/raw_bytes_20260310_135145.csv,3,102.61514790852864
5,normal,5,1,1,40,40,80,1.000000,2026-03-10T13:51:55.839,2026-03-10T13:51:55.839,2026-03-10T13:51:56.531,692.0,2026-03-10T13:52:06.532,2026-03-10T13:52:07.451,919.0,2026-03-10T13:52:17.452,2026-03-10T13:52:17.452,2026-03-10T13:52:18.441,989.0,2026-03-10T13:52:28.442,2026-03-10T13:53:18.442,2026-03-10T13:53:18.442,10.0,10.0,10.0,10.0,50.0,3,132.89500427246094,2026-03-10T13:52:40.942,archive/2026-03-10/standard_csv/raw_bytes_20260310_135243.csv,136.99703979492188,2026-03-10T13:52:53.442,archive/2026-03-10/standard_csv/raw_bytes_20260310_135255.csv,136.91549682617188,2026-03-10T13:53:05.942,archive/2026-03-10/standard_csv/raw_bytes_20260310_135308.csv,3,135.6025136311849
6,normal,6,1,1,50,50,100,1.000000,2026-03-10T13:53:18.443,2026-03-10T13:53:18.444,2026-03-10T13:53:19.152,708.0,2026-03-10T13:53:29.153,2026-03-10T13:53:30.189,1036.0,2026-03-10T13:53:40.189,2026-03-10T13:53:40.190,2026-03-10T13:53:41.058,868.0,2026-03-10T13:53:51.058,2026-03-10T13:54:41.058,2026-03-10T13:54:41.058,10.0,10.0,10.0,10.0,50.0,3,170.15814208984375,2026-03-10T13:54:03.558,archive/2026-03-10/standard_csv/raw_bytes_20260310_135405.csv,163.30691528320312,2026-03-10T13:54:16.058,archive/2026-03-10/standard_csv/raw_bytes_20260310_135418.csv,170.08802795410156,2026-03-10T13:54:28.558,archive/2026-03-10/standard_csv/raw_bytes_20260310_135430.csv,3,167.8510284423828
7,normal,7,3,1,8,2,10,4.000000,2026-03-10T13:54:41.059,2026-03-10T13:54:41.060,2026-03-10T13:54:41.881,821.0,2026-03-10T13:54:51.882,2026-03-10T13:54:53.265,1383.0,2026-03-10T13:55:03.266,2026-03-10T13:55:03.266,2026-03-10T13:55:04.001,735.0,2026-03-10T13:55:14.002,2026-03-10T13:56:04.002,2026-03-10T13:56:04.002,10.0,10.0,10.0,10.0,50.0,3,19.306211471557617,2026-03-10T13:55:26.502,archive/2026-03-10/standard_csv/raw_bytes_20260310_135528.csv,19.248159408569336,2026-03-10T13:55:39.002,archive/2026-03-10/standard_csv/raw_bytes_20260310_135541.csv,19.259685516357422,2026-03-10T13:55:51.502,archive/2026-03-10/standard_csv/raw_bytes_20260310_135553.csv,3,19.271352132161457
8,normal,8,3,1,22,8,30,2.750000,2026-03-10T13:56:04.003,2026-03-10T13:56:04.003,2026-03-10T13:56:05.147,1144.0,2026-03-10T13:56:15.148,2026-03-10T13:56:16.206,1058.0,2026-03-10T13:56:26.207,2026-03-10T13:56:26.208,2026-03-10T13:56:26.751,543.0,2026-03-10T13:56:36.751,2026-03-10T13:57:26.751,2026-03-10T13:57:26.751,10.0,10.0,10.0,10.0,50.0,3,61.20927047729492,2026-03-10T13:56:49.251,archive/2026-03-10/standard_csv/raw_bytes_20260310_135651.csv,61.64887237548828,2026-03-10T13:57:01.751,archive/2026-03-10/standard_csv/raw_bytes_20260310_135703.csv,61.60626220703125,2026-03-10T13:57:14.251,archive/2026-03-10/standard_csv/raw_bytes_20260310_135716.csv,3,61.48813501993815
9,normal,9,3,1,34,11,45,3.090909,2026-03-10T13:57:26.751,2026-03-10T13:57:26.752,2026-03-10T13:57:27.693,941.0,2026-03-10T13:57:37.694,2026-03-10T13:57:38.329,635.0,2026-03-10T13:57:48.329,2026-03-10T13:57:48.330,2026-03-10T13:57:49.301,971.0,2026-03-10T13:57:59.301,2026-03-10T13:58:49.301,2026-03-10T13:58:49.301,10.0,10.0,10.0,10.0,50.0,3,89.68659973144531,2026-03-10T13:58:11.801,archive/2026-03-10/standard_csv/raw_bytes_20260310_135813.csv,91.62051391601562,2026-03-10T13:58:24.302,archive/2026-03-10/standard_csv/raw_bytes_20260310_135826.csv,91.60778045654297,2026-03-10T13:58:36.802,archive/2026-03-10/standard_csv/raw_bytes_20260310_135838.csv,3,90.9716313680013
10,normal,10,3,1,45,15,60,3.000000,2026-03-10T13:58:49.303,2026-03-10T13:58:49.303,2026-03-10T13:58:49.939,636.0,2026-03-10T13:58:59.940,2026-03-10T13:59:00.860,920.0,2026-03-10T13:59:10.860,2026-03-10T13:59:10.861,2026-03-10T13:59:11.593,732.0,2026-03-10T13:59:21.593,2026-03-10T14:00:11.594,2026-03-10T14:00:11.594,10.0,10.0,10.0,10.0,50.0,3,118.71240997314453,2026-03-10T13:59:34.093,archive/2026-03-10/standard_csv/raw_bytes_20260310_135936.csv,121.71610260009766,2026-03-10T13:59:46.594,archive/2026-03-10/standard_csv/raw_bytes_20260310_135948.csv,121.98805236816406,2026-03-10T13:59:59.094,archive/2026-03-10/standard_csv/raw_bytes_20260310_140001.csv,3,120.80552164713542
11,normal,11,3,1,60,20,80,3.000000,2026-03-10T14:00:11.595,2026-03-10T14:00:11.596,2026-03-10T14:00:12.125,529.0,2026-03-10T14:00:22.126,2026-03-10T14:00:23.041,915.0,2026-03-10T14:00:33.041,2026-03-10T14:00:33.042,2026-03-10T14:00:33.976,934.0,2026-03-10T14:00:43.976,2026-03-10T14:01:33.976,2026-03-10T14:01:33.976,10.0,10.0,10.0,10.0,50.0,3,155.45608520507812,2026-03-10T14:00:56.477,archive/2026-03-10/standard_csv/raw_bytes_20260310_140058.csv,161.48561096191406,2026-03-10T14:01:08.977,archive/2026-03-10/standard_csv/raw_bytes_20260310_140111.csv,161.11265563964844,2026-03-10T14:01:21.477,archive/2026-03-10/standard_csv/raw_bytes_20260310_140123.csv,3,159.35145060221353
12,normal,12,3,1,75,25,100,3.000000,2026-03-10T14:01:33.978,2026-03-10T14:01:33.978,2026-03-10T14:01:34.815,837.0,2026-03-10T14:01:44.816,2026-03-10T14:01:45.577,761.0,2026-03-10T14:01:55.577,2026-03-10T14:01:55.578,2026-03-10T14:01:56.892,1314.0,2026-03-10T14:02:06.893,2026-03-10T14:02:56.894,2026-03-10T14:02:56.894,10.0,10.0,10.0,10.0,50.0,3,191.0232391357422,2026-03-10T14:02:19.393,archive/2026-03-10/standard_csv/raw_bytes_20260310_140221.csv,201.9032440185547,2026-03-10T14:02:31.894,archive/2026-03-10/standard_csv/raw_bytes_20260310_140234.csv,201.2703094482422,2026-03-10T14:02:44.394,archive/2026-03-10/standard_csv/raw_bytes_20260310_140246.csv,3,198.0655975341797
13,normal,13,5,1,8,2,10,4.000000,2026-03-10T14:02:56.895,2026-03-10T14:02:56.895,2026-03-10T14:02:57.642,747.0,2026-03-10T14:03:07.643,2026-03-10T14:03:08.712,1069.0,2026-03-10T14:03:18.712,2026-03-10T14:03:18.712,2026-03-10T14:03:19.311,599.0,2026-03-10T14:03:29.311,2026-03-10T14:04:19.311,2026-03-10T14:04:19.311,10.0,10.0,10.0,10.0,50.0,3,19.297195434570312,2026-03-10T14:03:41.812,archive/2026-03-10/standard_csv/raw_bytes_20260310_140343.csv,19.238401412963867,2026-03-10T14:03:54.311,archive/2026-03-10/standard_csv/raw_bytes_20260310_140356.csv,19.23492431640625,2026-03-10T14:04:06.812,archive/2026-03-10/standard_csv/raw_bytes_20260310_140408.csv,3,19.256840387980144
14,normal,14,5,1,25,5,30,5.000000,2026-03-10T14:04:19.313,2026-03-10T14:04:19.313,2026-03-10T14:04:20.033,720.0,2026-03-10T14:04:30.034,2026-03-10T14:04:30.868,834.0,2026-03-10T14:04:40.869,2026-03-10T14:04:40.870,2026-03-10T14:04:41.632,762.0,2026-03-10T14:04:51.632,2026-03-10T14:05:41.633,2026-03-10T14:05:41.633,10.0,10.0,10.0,10.0,50.0,3,64.91338348388672,2026-03-10T14:05:04.132,archive/2026-03-10/standard_csv/raw_bytes_20260310_140506.csv,65.47157287597656,2026-03-10T14:05:16.632,archive/2026-03-10/standard_csv/raw_bytes_20260310_140518.csv,65.3575210571289,2026-03-10T14:05:29.133,archive/2026-03-10/standard_csv/raw_bytes_20260310_140531.csv,3,65.24749247233073
15,normal,15,5,1,38,8,45,4.750000,2026-03-10T14:05:41.634,2026-03-10T14:05:41.634,2026-03-10T14:05:42.460,826.0,2026-03-10T14:05:52.461,2026-03-10T14:05:53.724,1263.0,2026-03-10T14:06:03.724,2026-03-10T14:06:03.725,2026-03-10T14:06:04.578,853.0,2026-03-10T14:06:14.578,2026-03-10T14:07:04.578,2026-03-10T14:07:04.578,10.0,10.0,10.0,10.0,50.0,3,95.54310607910156,2026-03-10T14:06:27.078,archive/2026-03-10/standard_csv/raw_bytes_20260310_140629.csv,97.8636474609375,2026-03-10T14:06:39.578,archive/2026-03-10/standard_csv/raw_bytes_20260310_140641.csv,97.81001281738281,2026-03-10T14:06:52.079,archive/2026-03-10/standard_csv/raw_bytes_20260310_140654.csv,3,97.07225545247395
16,normal,16,5,1,50,10,60,5.000000,2026-03-10T14:07:04.579,2026-03-10T14:07:04.580,2026-03-10T14:07:05.451,871.0,2026-03-10T14:07:15.451,2026-03-10T14:07:16.144,693.0,2026-03-10T14:07:26.145,2026-03-10T14:07:26.145,2026-03-10T14:07:26.964,819.0,2026-03-10T14:07:36.964,2026-03-10T14:08:26.964,2026-03-10T14:08:26.964,10.0,10.0,10.0,10.0,50.0,3,123.5351791381836,2026-03-10T14:07:49.464,archive/2026-03-10/standard_csv/raw_bytes_20260310_140751.csv,128.16522216796875,2026-03-10T14:08:01.964,archive/2026-03-10/standard_csv/raw_bytes_20260310_140804.csv,128.07916259765625,2026-03-10T14:08:14.464,archive/2026-03-10/standard_csv/raw_bytes_20260310_140816.csv,3,126.5931879679362
