# Start @ 2026-03-10 13:46:24 - run=20260310_134620_h1_pR-0310
id,timestamp,device_id,update_type,temperature,humidity,a1_raw,vcap_raw,co2_ppm,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time
1,2026-03-10 13:46:24.369,L_6vSQ==,COMPACT,26.50,78.80,0.015,4.724,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
2,2026-03-10 13:46:24.369,L_6vSQ==,COMPACT,26.41,78.72,0.014,4.712,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
3,2026-03-10 13:46:24.370,L_6vSQ==,COMPACT,26.50,78.78,0.014,4.717,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
4,2026-03-10 13:46:24.370,L_6vSQ==,COMPACT,26.31,78.73,0.013,4.713,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
5,2026-03-10 13:46:24.370,L_6vSQ==,COMPACT,26.25,78.89,0.014,4.708,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
6,2026-03-10 13:46:24.370,L_6vSQ==,COMPACT,26.25,78.93,0.013,4.703,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
7,2026-03-10 13:46:24.371,L_6vSQ==,COMPACT,26.37,79.07,0.011,4.694,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
8,2026-03-10 13:46:24.371,L_6vSQ==,COMPACT,26.37,79.06,0.015,4.689,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
9,2026-03-10 13:46:24.371,L_6vSQ==,COMPACT,26.37,79.02,0.014,4.687,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
10,2026-03-10 13:46:28.412,L_6vSQ==,COMPACT,26.37,78.89,0.014,4.678,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
11,2026-03-10 13:46:38.326,L_6vSQ==,COMPACT,26.31,78.74,0.013,4.689,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
12,2026-03-10 13:46:48.358,L_6vSQ==,COMPACT,26.36,78.98,0.926,4.685,,54.00,1328.00,666.00,33.00,1227.00,16.00,28.00,25.00,42.00,50.00,1,10
13,2026-03-10 13:46:58.400,L_6vSQ==,COMPACT,26.33,78.85,0.831,4.681,,10.00,109.00,67.00,8.00,284.00,14.00,10.00,10.00,158.00,188.00,1,10
14,2026-03-10 13:47:08.330,L_6vSQ==,COMPACT,26.28,78.86,0.756,4.689,,10.00,109.00,67.00,8.00,283.00,14.00,10.00,10.00,159.00,188.00,1,10
15,2026-03-10 13:47:18.362,L_6vSQ==,COMPACT,26.44,78.93,0.737,4.672,,10.00,109.00,67.00,8.00,283.00,14.00,10.00,10.00,159.00,188.00,1,10
16,2026-03-10 13:47:28.284,L_6vSQ==,COMPACT,26.25,78.86,0.736,4.678,,10.00,109.00,67.00,8.00,283.00,14.00,10.00,10.00,159.00,188.00,1,10
17,2026-03-10 13:47:38.317,L_6vSQ==,COMPACT,26.26,78.86,0.802,4.665,,10.00,109.00,67.00,8.00,284.00,14.00,10.00,10.00,159.00,188.00,1,10
18,2026-03-10 13:47:48.360,L_6vSQ==,COMPACT,26.26,78.87,0.751,4.676,,10.00,109.00,67.00,8.00,283.00,14.00,10.00,10.00,159.00,187.00,1,10
# SEGMENT @ 2026-03-10 13:47:58.296 segment_id=1 pwm_r=5 pwm_b=5 rb_ratio_pwm=1.000000 PPFD_spec_mean=20.605365753173828 ppfd_red_mean=12.568584760030111 ppfd_blue_mean=8.01134443283081
19,2026-03-10 13:47:58.296,L_6vSQ==,COMPACT,26.28,78.82,0.017,4.666,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
20,2026-03-10 13:48:08.344,L_6vSQ==,COMPACT,26.31,78.98,0.899,4.683,,54.00,1329.00,666.00,33.00,1227.00,16.00,28.00,25.00,42.00,50.00,1,10
21,2026-03-10 13:48:18.285,L_6vSQ==,COMPACT,26.30,78.92,0.919,4.679,,26.00,251.00,150.00,20.00,727.00,37.00,26.00,27.00,431.00,516.00,1,10
22,2026-03-10 13:48:28.330,L_6vSQ==,COMPACT,26.26,79.08,0.925,4.688,,26.00,251.00,150.00,20.00,727.00,37.00,26.00,27.00,431.00,517.00,1,10
23,2026-03-10 13:48:38.272,L_6vSQ==,COMPACT,26.25,78.93,0.926,4.685,,26.00,251.00,150.00,20.00,727.00,37.00,26.00,27.00,431.00,517.00,1,10
24,2026-03-10 13:48:48.323,L_6vSQ==,COMPACT,26.25,79.02,0.927,4.692,,26.00,251.00,150.00,20.00,727.00,37.00,26.00,27.00,431.00,517.00,1,10
