segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,1,5,5,10,1.000000,2026-03-10T15:04:52.292,2026-03-10T15:04:52.293,2026-03-10T15:04:52.826,533.0,2026-03-10T15:05:02.827,2026-03-10T15:05:03.340,513.0,2026-03-10T15:05:13.340,2026-03-10T15:05:13.341,2026-03-10T15:05:13.838,497.0,2026-03-10T15:05:23.838,2026-03-10T15:06:13.839,2026-03-10T15:06:13.839,10.0,10.0,10.0,10.0,50.0,3,14.096271514892578,2026-03-10T15:05:36.339,archive/2026-03-10/standard_csv/raw_bytes_20260310_150538.csv,14.013821601867676,2026-03-10T15:05:48.839,archive/2026-03-10/standard_csv/raw_bytes_20260310_150550.csv,14.002001762390137,2026-03-10T15:06:01.339,archive/2026-03-10/standard_csv/raw_bytes_20260310_150603.csv,3,14.037364959716797
2,normal,2,1,1,15,15,30,1.000000,2026-03-10T15:06:13.840,2026-03-10T15:06:13.840,2026-03-10T15:06:14.329,489.0,2026-03-10T15:06:24.330,2026-03-10T15:06:25.081,751.0,2026-03-10T15:06:35.081,2026-03-10T15:06:35.081,2026-03-10T15:06:35.770,689.0,2026-03-10T15:06:45.771,2026-03-10T15:07:35.772,2026-03-10T15:07:35.772,10.0,10.0,10.0,10.0,50.0,3,35.79576873779297,2026-03-10T15:06:58.271,archive/2026-03-10/standard_csv/raw_bytes_20260310_150700.csv,35.701080322265625,2026-03-10T15:07:10.771,archive/2026-03-10/standard_csv/raw_bytes_20260310_150712.csv,35.76390838623047,2026-03-10T15:07:23.271,archive/2026-03-10/standard_csv/raw_bytes_20260310_150725.csv,3,35.75358581542969
3,normal,3,1,1,22,22,45,1.000000,2026-03-10T15:07:35.773,2026-03-10T15:07:35.773,2026-03-10T15:07:36.327,554.0,2026-03-10T15:07:46.328,2026-03-10T15:07:47.066,738.0,2026-03-10T15:07:57.066,2026-03-10T15:07:57.067,2026-03-10T15:07:57.999,932.0,2026-03-10T15:08:07.999,2026-03-10T15:08:58.000,2026-03-10T15:08:58.000,10.0,10.0,10.0,10.0,50.0,3,50.95573425292969,2026-03-10T15:08:20.499,archive/2026-03-10/standard_csv/raw_bytes_20260310_150822.csv,51.339637756347656,2026-03-10T15:08:32.999,archive/2026-03-10/standard_csv/raw_bytes_20260310_150835.csv,51.24920654296875,2026-03-10T15:08:45.499,archive/2026-03-10/standard_csv/raw_bytes_20260310_150847.csv,3,51.18152618408203
4,normal,4,1,1,30,30,60,1.000000,2026-03-10T15:08:58.001,2026-03-10T15:08:58.002,2026-03-10T15:08:58.707,705.0,2026-03-10T15:09:08.708,2026-03-10T15:09:09.263,555.0,2026-03-10T15:09:19.264,2026-03-10T15:09:19.264,2026-03-10T15:09:19.865,601.0,2026-03-10T15:09:29.865,2026-03-10T15:10:19.866,2026-03-10T15:10:19.866,10.0,10.0,10.0,10.0,50.0,3,67.84384155273438,2026-03-10T15:09:42.366,archive/2026-03-10/standard_csv/raw_bytes_20260310_150944.csv,69.56672668457031,2026-03-10T15:09:54.866,archive/2026-03-10/standard_csv/raw_bytes_20260310_150957.csv,68.6178970336914,2026-03-10T15:10:07.366,archive/2026-03-10/standard_csv/raw_bytes_20260310_151009.csv,3,68.67615509033203
5,normal,5,1,1,40,40,80,1.000000,2026-03-10T15:10:19.867,2026-03-10T15:10:19.867,2026-03-10T15:10:20.361,494.0,2026-03-10T15:10:30.363,2026-03-10T15:10:30.911,548.0,2026-03-10T15:10:40.911,2026-03-10T15:10:40.912,2026-03-10T15:10:41.592,680.0,2026-03-10T15:10:51.592,2026-03-10T15:11:41.593,2026-03-10T15:11:41.593,10.0,10.0,10.0,10.0,50.0,3,89.42142486572266,2026-03-10T15:11:04.093,archive/2026-03-10/standard_csv/raw_bytes_20260310_151106.csv,90.86141204833984,2026-03-10T15:11:16.593,archive/2026-03-10/standard_csv/raw_bytes_20260310_151118.csv,90.99026489257812,2026-03-10T15:11:29.093,archive/2026-03-10/standard_csv/raw_bytes_20260310_151131.csv,3,90.4243672688802
6,normal,6,1,1,50,50,100,1.000000,2026-03-10T15:11:41.594,2026-03-10T15:11:41.595,2026-03-10T15:11:42.422,827.0,2026-03-10T15:11:52.423,2026-03-10T15:11:53.382,959.0,2026-03-10T15:12:03.382,2026-03-10T15:12:03.383,2026-03-10T15:12:04.568,1185.0,2026-03-10T15:12:14.568,2026-03-10T15:13:04.568,2026-03-10T15:13:04.568,10.0,10.0,10.0,10.0,50.0,3,110.79094696044922,2026-03-10T15:12:27.069,archive/2026-03-10/standard_csv/raw_bytes_20260310_151229.csv,113.3071060180664,2026-03-10T15:12:39.568,archive/2026-03-10/standard_csv/raw_bytes_20260310_151241.csv,113.32746887207031,2026-03-10T15:12:52.068,archive/2026-03-10/standard_csv/raw_bytes_20260310_151254.csv,3,112.47517395019531
7,normal,7,3,1,8,2,10,4.000000,2026-03-10T15:13:04.569,2026-03-10T15:13:04.570,2026-03-10T15:13:05.218,648.0,2026-03-10T15:13:15.219,2026-03-10T15:13:16.227,1008.0,2026-03-10T15:13:26.227,2026-03-10T15:13:26.228,2026-03-10T15:13:26.750,522.0,2026-03-10T15:13:36.750,2026-03-10T15:14:26.750,2026-03-10T15:14:26.750,10.0,10.0,10.0,10.0,50.0,3,12.504867553710938,2026-03-10T15:13:49.250,archive/2026-03-10/standard_csv/raw_bytes_20260310_151351.csv,12.491586685180664,2026-03-10T15:14:01.750,archive/2026-03-10/standard_csv/raw_bytes_20260310_151403.csv,12.519018173217773,2026-03-10T15:14:14.250,archive/2026-03-10/standard_csv/raw_bytes_20260310_151416.csv,3,12.505157470703125
8,normal,8,3,1,22,8,30,2.750000,2026-03-10T15:14:26.751,2026-03-10T15:14:26.752,2026-03-10T15:14:27.332,580.0,2026-03-10T15:14:37.332,2026-03-10T15:14:37.931,599.0,2026-03-10T15:14:47.931,2026-03-10T15:14:47.932,2026-03-10T15:14:48.419,487.0,2026-03-10T15:14:58.419,2026-03-10T15:15:48.419,2026-03-10T15:15:48.419,10.0,10.0,10.0,10.0,50.0,3,40.85639953613281,2026-03-10T15:15:10.920,archive/2026-03-10/standard_csv/raw_bytes_20260310_151513.csv,40.870479583740234,2026-03-10T15:15:23.419,archive/2026-03-10/standard_csv/raw_bytes_20260310_151525.csv,40.79971694946289,2026-03-10T15:15:35.920,archive/2026-03-10/standard_csv/raw_bytes_20260310_151538.csv,3,40.84219868977865
9,normal,9,3,1,34,11,45,3.090909,2026-03-10T15:15:48.421,2026-03-10T15:15:48.421,2026-03-10T15:15:49.139,718.0,2026-03-10T15:15:59.140,2026-03-10T15:15:59.958,818.0,2026-03-10T15:16:09.958,2026-03-10T15:16:09.959,2026-03-10T15:16:10.936,977.0,2026-03-10T15:16:20.936,2026-03-10T15:17:10.936,2026-03-10T15:17:10.936,10.0,10.0,10.0,10.0,50.0,3,59.661258697509766,2026-03-10T15:16:33.436,archive/2026-03-10/standard_csv/raw_bytes_20260310_151635.csv,60.46358871459961,2026-03-10T15:16:45.936,archive/2026-03-10/standard_csv/raw_bytes_20260310_151648.csv,60.4804573059082,2026-03-10T15:16:58.436,archive/2026-03-10/standard_csv/raw_bytes_20260310_151700.csv,3,60.201768239339195
10,normal,10,3,1,45,15,60,3.000000,2026-03-10T15:17:10.937,2026-03-10T15:17:10.938,2026-03-10T15:17:11.630,692.0,2026-03-10T15:17:21.631,2026-03-10T15:17:22.487,856.0,2026-03-10T15:17:32.487,2026-03-10T15:17:32.488,2026-03-10T15:17:33.206,718.0,2026-03-10T15:17:43.206,2026-03-10T15:18:33.207,2026-03-10T15:18:33.207,10.0,10.0,10.0,10.0,50.0,3,78.53884887695312,2026-03-10T15:17:55.706,archive/2026-03-10/standard_csv/raw_bytes_20260310_151757.csv,78.42632293701172,2026-03-10T15:18:08.206,archive/2026-03-10/standard_csv/raw_bytes_20260310_151810.csv,79.83780670166016,2026-03-10T15:18:20.706,archive/2026-03-10/standard_csv/raw_bytes_20260310_151822.csv,3,78.934326171875
