segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,1,5,5,10,1.000000,2026-03-11T13:50:55.652,2026-03-11T13:50:55.652,2026-03-11T13:50:56.814,1162.0,2026-03-11T13:51:06.815,2026-03-11T13:51:07.785,970.0,2026-03-11T13:51:17.786,2026-03-11T13:51:17.786,2026-03-11T13:51:20.726,2940.0,2026-03-11T13:51:30.727,2026-03-11T13:52:20.727,2026-03-11T13:52:20.727,10.0,10.0,10.0,10.0,50.0,3,15.231672286987305,2026-03-11T13:51:43.227,archive/2026-03-11/standard_csv/raw_bytes_20260311_135145.csv,15.12916088104248,2026-03-11T13:51:55.728,archive/2026-03-11/standard_csv/raw_bytes_20260311_135157.csv,15.10756778717041,2026-03-11T13:52:08.228,archive/2026-03-11/standard_csv/raw_bytes_20260311_135210.csv,3,15.156133651733398
2,normal,2,1,1,15,15,30,1.000000,2026-03-11T13:52:20.728,2026-03-11T13:52:20.729,2026-03-11T13:52:21.608,879.0,2026-03-11T13:52:31.609,2026-03-11T13:52:32.185,576.0,2026-03-11T13:52:42.185,2026-03-11T13:52:42.185,2026-03-11T13:52:42.750,565.0,2026-03-11T13:52:52.751,2026-03-11T13:53:42.751,2026-03-11T13:53:42.751,10.0,10.0,10.0,10.0,50.0,3,38.692264556884766,2026-03-11T13:53:05.252,archive/2026-03-11/standard_csv/raw_bytes_20260311_135307.csv,38.630558013916016,2026-03-11T13:53:17.751,archive/2026-03-11/standard_csv/raw_bytes_20260311_135319.csv,38.71195602416992,2026-03-11T13:53:30.252,archive/2026-03-11/standard_csv/raw_bytes_20260311_135332.csv,3,38.6782595316569
3,normal,3,1,1,22,22,45,1.000000,2026-03-11T13:53:42.752,2026-03-11T13:53:42.753,2026-03-11T13:53:43.766,1012.9999999999999,2026-03-11T13:53:53.767,2026-03-11T13:53:54.538,771.0,2026-03-11T13:54:04.539,2026-03-11T13:54:04.540,2026-03-11T13:54:05.504,964.0,2026-03-11T13:54:15.505,2026-03-11T13:55:05.505,2026-03-11T13:55:05.505,10.0,10.0,10.0,10.0,50.0,3,54.211280822753906,2026-03-11T13:54:28.005,archive/2026-03-11/standard_csv/raw_bytes_20260311_135430.csv,,2026-03-11T13:54:40.505,,,2026-03-11T13:54:53.005,,1,54.211280822753906
4,normal,4,1,1,30,30,60,1.000000,2026-03-11T13:55:05.506,2026-03-11T13:55:05.507,2026-03-11T13:55:06.710,1203.0,2026-03-11T13:55:16.711,2026-03-11T13:55:17.958,1247.0,2026-03-11T13:55:27.958,2026-03-11T13:55:27.959,2026-03-11T13:55:28.932,973.0,2026-03-11T13:55:38.932,2026-03-11T13:56:28.933,2026-03-11T13:56:28.933,10.0,10.0,10.0,10.0,50.0,3,,2026-03-11T13:55:51.433,,,2026-03-11T13:56:03.933,,74.45913696289062,2026-03-11T13:56:16.432,archive/2026-03-11/standard_csv/raw_bytes_20260311_135618.csv,1,74.45913696289062
5,normal,5,1,1,40,40,80,1.000000,2026-03-11T13:56:28.934,2026-03-11T13:56:28.934,2026-03-11T13:56:29.848,914.0,2026-03-11T13:56:39.850,2026-03-11T13:56:40.373,523.0,2026-03-11T13:56:50.374,2026-03-11T13:56:50.375,2026-03-11T13:56:51.203,828.0,2026-03-11T13:57:01.203,2026-03-11T13:57:51.203,2026-03-11T13:57:51.203,10.0,10.0,10.0,10.0,50.0,3,96.79281616210938,2026-03-11T13:57:13.704,archive/2026-03-11/standard_csv/raw_bytes_20260311_135717.csv,98.91104125976562,2026-03-11T13:57:26.203,archive/2026-03-11/standard_csv/raw_bytes_20260311_135728.csv,98.72039031982422,2026-03-11T13:57:38.704,archive/2026-03-11/standard_csv/raw_bytes_20260311_135740.csv,3,98.14141591389973
6,normal,6,1,1,50,50,100,1.000000,2026-03-11T13:57:51.204,2026-03-11T13:57:51.205,2026-03-11T13:57:51.882,677.0,2026-03-11T13:58:01.883,2026-03-11T13:58:02.663,780.0,2026-03-11T13:58:12.663,2026-03-11T13:58:12.664,2026-03-11T13:58:13.306,642.0,2026-03-11T13:58:23.306,2026-03-11T13:59:13.306,2026-03-11T13:59:13.306,10.0,10.0,10.0,10.0,50.0,3,119.17735290527344,2026-03-11T13:58:35.807,archive/2026-03-11/standard_csv/raw_bytes_20260311_135837.csv,,2026-03-11T13:58:48.306,,122.18489074707031,2026-03-11T13:59:00.807,archive/2026-03-11/standard_csv/raw_bytes_20260311_135902.csv,2,120.68112182617188
7,normal,7,3,1,8,2,10,4.000000,2026-03-11T13:59:13.307,2026-03-11T13:59:13.308,2026-03-11T13:59:13.958,650.0,2026-03-11T13:59:23.958,2026-03-11T13:59:24.505,547.0,2026-03-11T13:59:34.505,2026-03-11T13:59:34.505,2026-03-11T13:59:35.022,517.0,2026-03-11T13:59:45.022,2026-03-11T14:00:35.023,2026-03-11T14:00:35.023,10.0,10.0,10.0,10.0,50.0,3,13.85477352142334,2026-03-11T13:59:57.523,archive/2026-03-11/standard_csv/raw_bytes_20260311_140001.csv,,2026-03-11T14:00:10.023,,,2026-03-11T14:00:22.523,,1,13.85477352142334
8,normal,8,3,1,22,8,30,2.750000,2026-03-11T14:00:35.024,2026-03-11T14:00:35.024,2026-03-11T14:00:35.754,730.0,2026-03-11T14:00:45.755,2026-03-11T14:00:46.891,1136.0,2026-03-11T14:00:56.892,2026-03-11T14:00:56.892,2026-03-11T14:01:00.377,3485.0,2026-03-11T14:01:10.378,2026-03-11T14:02:00.378,2026-03-11T14:02:00.378,10.0,10.0,10.0,10.0,50.0,3,,2026-03-11T14:01:22.878,,,2026-03-11T14:01:35.378,,43.884124755859375,2026-03-11T14:01:47.878,archive/2026-03-11/standard_csv/raw_bytes_20260311_140150.csv,1,43.884124755859375
9,normal,9,3,1,34,11,45,3.090909,2026-03-11T14:02:00.379,2026-03-11T14:02:00.380,2026-03-11T14:02:01.548,1168.0,2026-03-11T14:02:11.549,2026-03-11T14:02:12.551,1002.0,2026-03-11T14:02:22.551,2026-03-11T14:02:22.552,2026-03-11T14:02:23.562,1010.0,2026-03-11T14:02:33.562,2026-03-11T14:03:23.563,2026-03-11T14:03:23.563,10.0,10.0,10.0,10.0,50.0,3,,2026-03-11T14:02:46.063,,66.74739074707031,2026-03-11T14:02:58.563,archive/2026-03-11/standard_csv/raw_bytes_20260311_140301.csv,,2026-03-11T14:03:11.062,,1,66.74739074707031
10,normal,10,3,1,45,15,60,3.000000,2026-03-11T14:03:23.564,2026-03-11T14:03:23.564,2026-03-11T14:03:24.320,756.0,2026-03-11T14:03:34.321,2026-03-11T14:03:35.450,1129.0,2026-03-11T14:03:45.450,2026-03-11T14:03:45.451,2026-03-11T14:03:46.521,1070.0,2026-03-11T14:03:56.521,2026-03-11T14:04:46.521,2026-03-11T14:04:46.521,10.0,10.0,10.0,10.0,50.0,3,,2026-03-11T14:04:09.021,,88.0921859741211,2026-03-11T14:04:21.521,archive/2026-03-11/standard_csv/raw_bytes_20260311_140423.csv,,2026-03-11T14:04:34.021,,1,88.0921859741211
11,normal,11,3,1,60,20,80,3.000000,2026-03-11T14:04:46.521,2026-03-11T14:04:46.522,2026-03-11T14:04:47.542,1020.0,2026-03-11T14:04:57.542,2026-03-11T14:04:58.821,1279.0,2026-03-11T14:05:08.821,2026-03-11T14:05:08.821,2026-03-11T14:05:09.575,754.0,2026-03-11T14:05:19.576,2026-03-11T14:06:09.576,2026-03-11T14:06:09.576,10.0,10.0,10.0,10.0,50.0,3,113.5445785522461,2026-03-11T14:05:32.076,archive/2026-03-11/standard_csv/raw_bytes_20260311_140534.csv,116.71259307861328,2026-03-11T14:05:44.576,archive/2026-03-11/standard_csv/raw_bytes_20260311_140546.csv,116.5056381225586,2026-03-11T14:05:57.076,archive/2026-03-11/standard_csv/raw_bytes_20260311_140559.csv,3,115.58760325113933
12,normal,12,3,1,75,25,100,3.000000,2026-03-11T14:06:09.577,2026-03-11T14:06:09.577,2026-03-11T14:06:10.694,1117.0,2026-03-11T14:06:20.695,2026-03-11T14:06:21.548,853.0,2026-03-11T14:06:31.549,2026-03-11T14:06:31.550,2026-03-11T14:06:32.093,543.0,2026-03-11T14:06:42.094,2026-03-11T14:07:32.095,2026-03-11T14:07:32.095,10.0,10.0,10.0,10.0,50.0,3,,2026-03-11T14:06:54.595,,,2026-03-11T14:07:07.094,,,2026-03-11T14:07:19.594,,0,
13,normal,13,5,1,8,2,10,4.000000,2026-03-11T14:07:32.096,2026-03-11T14:07:32.096,2026-03-11T14:07:32.905,809.0,2026-03-11T14:07:42.906,2026-03-11T14:07:43.563,657.0,2026-03-11T14:07:53.563,2026-03-11T14:07:53.564,2026-03-11T14:07:54.127,563.0,2026-03-11T14:08:04.127,2026-03-11T14:08:54.128,2026-03-11T14:08:54.128,10.0,10.0,10.0,10.0,50.0,3,,2026-03-11T14:08:16.627,,,2026-03-11T14:08:29.127,,,2026-03-11T14:08:41.627,,0,
14,normal,14,5,1,25,5,30,5.000000,2026-03-11T14:08:54.129,2026-03-11T14:08:54.129,2026-03-11T14:08:54.626,497.0,2026-03-11T14:09:04.626,2026-03-11T14:09:05.145,519.0,2026-03-11T14:09:15.145,2026-03-11T14:09:15.146,2026-03-11T14:09:15.927,781.0,2026-03-11T14:09:25.928,2026-03-11T14:10:15.928,2026-03-11T14:10:15.928,10.0,10.0,10.0,10.0,50.0,3,,2026-03-11T14:09:38.428,,,2026-03-11T14:09:50.928,,,2026-03-11T14:10:03.428,,0,
15,normal,15,5,1,38,8,45,4.750000,2026-03-11T14:10:15.929,2026-03-11T14:10:15.930,2026-03-11T14:10:16.930,1000.0,2026-03-11T14:10:26.931,2026-03-11T14:10:28.136,1205.0,2026-03-11T14:10:38.136,2026-03-11T14:10:38.137,2026-03-11T14:10:39.192,1055.0,2026-03-11T14:10:49.192,2026-03-11T14:11:39.192,2026-03-11T14:11:39.192,10.0,10.0,10.0,10.0,50.0,3,,2026-03-11T14:11:01.692,,,2026-03-11T14:11:14.192,,71.01041412353516,2026-03-11T14:11:26.693,archive/2026-03-11/standard_csv/raw_bytes_20260311_141128.csv,1,71.01041412353516
16,normal,16,5,1,50,10,60,5.000000,2026-03-11T14:11:39.194,2026-03-11T14:11:39.194,2026-03-11T14:11:40.849,1655.0,2026-03-11T14:11:50.850,2026-03-11T14:11:51.450,600.0,2026-03-11T14:12:01.450,2026-03-11T14:12:01.451,2026-03-11T14:12:02.147,696.0,2026-03-11T14:12:12.148,2026-03-11T14:13:02.148,2026-03-11T14:13:02.148,10.0,10.0,10.0,10.0,50.0,3,89.89797973632812,2026-03-11T14:12:24.648,archive/2026-03-11/standard_csv/raw_bytes_20260311_141226.csv,91.85884857177734,2026-03-11T14:12:37.149,archive/2026-03-11/standard_csv/raw_bytes_20260311_141241.csv,91.73240661621094,2026-03-11T14:12:49.648,archive/2026-03-11/standard_csv/raw_bytes_20260311_141251.csv,3,91.16307830810547
17,normal,17,5,1,67,13,80,5.153846,2026-03-11T14:13:02.149,2026-03-11T14:13:02.150,2026-03-11T14:13:03.221,1071.0,2026-03-11T14:13:13.221,2026-03-11T14:13:13.934,713.0,2026-03-11T14:13:23.934,2026-03-11T14:13:23.935,2026-03-11T14:13:24.988,1053.0,2026-03-11T14:13:34.988,2026-03-11T14:14:24.988,2026-03-11T14:14:24.988,10.0,10.0,10.0,10.0,50.0,3,,2026-03-11T14:13:47.489,,,2026-03-11T14:13:59.988,,,2026-03-11T14:14:12.488,,0,
18,normal,18,5,1,83,17,100,4.882353,2026-03-11T14:14:24.989,2026-03-11T14:14:24.990,2026-03-11T14:14:25.706,716.0,2026-03-11T14:14:35.707,2026-03-11T14:14:36.926,1219.0,2026-03-11T14:14:46.926,2026-03-11T14:14:46.927,2026-03-11T14:14:48.287,1360.0,2026-03-11T14:14:58.287,2026-03-11T14:15:48.287,2026-03-11T14:15:48.287,10.0,10.0,10.0,10.0,50.0,3,,2026-03-11T14:15:10.788,,,2026-03-11T14:15:23.288,,151.71075439453125,2026-03-11T14:15:35.787,archive/2026-03-11/standard_csv/raw_bytes_20260311_141540.csv,1,151.71075439453125
