Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/01/16 16:31
PAR(mW/cm²),0.9028290510177612
PPFD(umol/㎡/s),49.74953842163086
PPFD-UV(umol/㎡/s),1.5126161088119261e-05
PPFD-B(umol/㎡/s),0.002175268717110157
PPFD-G(umol/㎡/s),0.011820618063211441
PPFD-R(umol/㎡/s),49.735538482666016
PPFD-FR(umol/㎡/s),0.056374937295913696
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),111.48309326171875
Erb Ratio,15140.9140625
YPFD(umol/m²/s),46.2265739440918
Ech-A(mW/cm²),0.04405380040407181
Ech-B(mW/cm²),0.010580756701529026
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),446.25189208984375
Candle E(fc),41.47322463989258
CCT(K),1001.0
Duv,0.3403553068637848
x,0.7241072654724121
y,0.27569472789764404
u,0.5959580540657043
v,0.3403553068637848
u’,0.5959580540657043
v’,0.5105329751968384
SDCM,100.0
Ra,3.6977462768554688
R1,-10.304778099060059
R2,67.39452362060547
R3,27.98674774169922
R4,-30.03304672241211
R5,-0.6421309113502502
R6,88.94776916503906
R7,-13.767115592956543
R8,-100.0
R9,-100.0
R10,60.675968170166016
R11,-19.6916561126709
R12,89.1026611328125
R13,14.248775482177734
R14,56.716896057128906
R15,-58.137935638427734
Ee(mW/cm²),0.9028290510177612
S/P,0.02057054452598095
Dominant(nm),647.0
Purity(%),99.9435043334961
Half width(nm),17.7996826171875
Peak(nm),663.9613037109375
Center(nm),661.9144897460938
Centroid(nm),659.9000244140625
R ratio(%),99.96717834472656
G ratio(%),0.026732835918664932
B ratio(%),0.006086474750190973
Integrat.Time(ms),8.0
Peak Signal,54124.0
Dark Signal,3552.0
Compensate level,2530.0
StartTestWave,380
EndTestWave,780
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.004523722920566797
401,0.023109981790184975
402,0.04469461366534233
403,0.12215835601091385
404,0.04469732940196991
405,0.00808679684996605
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.007964296266436577
432,0.05648905411362648
433,0.015851270407438278
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.06589961051940918
473,0.09293975681066513
474,0.04767681658267975
475,0.015412909910082817
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.016019314527511597
495,0.028691131621599197
496,0.00125490955542773
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.004825426731258631
517,0.01505600567907095
518,0.003878864226862788
519,0.07144354283809662
520,0.0835263654589653
521,0.020132124423980713
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.010641312226653099
533,0.006063675042241812
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.003294911002740264
541,0.019904788583517075
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.015430614352226257
551,0.021288877353072166
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.004792235791683197
562,0.05090194195508957
563,0.07345237582921982
564,0.10867109149694443
565,0.1181785836815834
566,0.10458136349916458
567,0.07454917579889297
568,0.07216346263885498
569,0.05745888128876686
570,0.04732280969619751
571,0.027539048343896866
572,0.007680014707148075
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.004658502526581287
581,0.01721200719475746
582,0.03683580830693245
583,0.036085087805986404
584,0.05167339742183685
585,0.049800384789705276
586,0.05155503749847412
587,0.02588285692036152
588,0.04850440472364426
589,0.06354838609695435
590,0.09633101522922516
591,0.1354493349790573
592,0.16628029942512512
593,0.12405716627836227
594,0.053622156381607056
595,0.07635815441608429
596,0.04629040136933327
597,0.01580723561346531
598,0.10567791759967804
599,0.1391453891992569
600,0.08430109918117523
601,0.14124475419521332
602,0.2678057551383972
603,0.3817369341850281
604,0.5431761741638184
605,0.7419291734695435
606,0.9462087154388428
607,1.0519647598266602
608,1.0664886236190796
609,1.165850281715393
610,1.3326122760772705
611,1.5022424459457397
612,1.76908278465271
613,2.0643327236175537
614,2.403231382369995
615,2.7521162033081055
616,3.082219123840332
617,3.512700319290161
618,3.9988322257995605
619,4.5996599197387695
620,5.2940874099731445
621,6.050141334533691
622,6.825394630432129
623,7.719370365142822
624,8.735533714294434
625,9.914355278015137
626,11.238805770874023
627,12.725069046020508
628,14.35284423828125
629,16.136198043823242
630,17.7906436920166
631,19.579896926879883
632,21.92153549194336
633,24.584508895874023
634,27.49383544921875
635,30.599916458129883
636,34.12807083129883
637,38.19095993041992
638,42.72293472290039
639,47.747642517089844
640,53.53561019897461
641,60.02852249145508
642,67.2606201171875
643,75.2662582397461
644,84.23796844482422
645,92.52164459228516
646,101.64893341064453
647,113.86151123046875
648,127.29943084716797
649,141.85951232910156
650,157.57142639160156
651,174.13897705078125
652,191.7717742919922
653,210.28880310058594
654,230.0114288330078
655,250.90280151367188
656,273.22210693359375
657,297.62518310546875
658,324.3921203613281
659,346.4284973144531
660,368.3023986816406
661,392.5618591308594
662,411.5331726074219
663,422.7471923828125
664,425.1114807128906
665,413.2200622558594
666,390.14794921875
667,359.18475341796875
668,320.0140380859375
669,277.6541748046875
670,237.82260131835938
671,207.26597595214844
672,178.5048370361328
673,147.87586975097656
674,121.59868621826172
675,99.62815856933594
676,81.27017974853516
677,66.09673309326172
678,53.708091735839844
679,43.753414154052734
680,35.65500259399414
681,28.944271087646484
682,23.337261199951172
683,19.39026641845703
684,16.062870025634766
685,12.72329330444336
686,10.131837844848633
687,8.120231628417969
688,6.558988571166992
689,5.345493316650391
690,4.359314441680908
691,3.520432472229004
692,2.8287761211395264
693,2.2251553535461426
694,1.795280933380127
695,1.4015812873840332
696,1.0918424129486084
697,0.9645382761955261
698,0.9203989505767822
699,0.8450874090194702
700,0.7875381708145142
701,0.6556115746498108
702,0.4967758059501648
703,0.40232178568840027
704,0.36222660541534424
705,0.3467690348625183
706,0.3148254454135895
707,0.26039865612983704
708,0.17440560460090637
709,0.15634077787399292
710,0.16633298993110657
711,0.21397387981414795
712,0.24323616921901703
713,0.28077635169029236
714,0.2810298502445221
715,0.190204456448555
716,0.08940693736076355
717,0.04764127731323242
718,0.0
719,0.0
720,0.01848318986594677
721,0.07829862833023071
722,0.06736678630113602
723,0.04763755947351456
724,0.0568992905318737
725,0.04100413993000984
726,0.0026697765570133924
727,0.042624495923519135
728,0.1375780552625656
729,0.19017773866653442
730,0.1623038947582245
731,0.09032097458839417
732,0.04701867327094078
733,0.029070695862174034
734,0.04902602359652519
735,0.10056343674659729
736,0.09635923057794571
737,0.010138977319002151
738,0.08623708784580231
739,0.10374783724546432
740,0.05161665752530098
741,0.10346540808677673
742,0.2413984090089798
743,0.2980928421020508
744,0.2982824742794037
745,0.288766473531723
746,0.20536038279533386
747,0.16172493994235992
748,0.05682405084371567
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.03469677269458771
756,0.1308717429637909
757,0.10517681390047073
758,0.009664923883974552
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.014286606572568417
765,0.052716635167598724
766,0.20288051664829254
767,0.29357898235321045
768,0.24780601263046265
769,0.18911254405975342
770,0.02095688320696354
771,0.0
772,0.0
773,0.0
774,0.0
775,0.048471253365278244
776,0.08694365620613098
777,0.0
778,0.0
779,0.0
780,0.0
