segment_id,pwm_r,pwm_b,rb_ratio_pwm,total_pwm,PPFD_spec_mean,sensor_window_count,window_source,matched_marker_index,marker_end_sensor_time,steady_start_sensor_time,steady_end_sensor_time
1,5,5,1.000000,10,,5,marker,1,2026-03-11 14:28:41.889,2026-03-11 14:29:01.845,2026-03-11 14:29:41.827
2,15,15,1.000000,30,,5,marker,2,2026-03-11 14:30:01.821,2026-03-11 14:30:21.796,2026-03-11 14:31:11.831
3,22,22,1.000000,45,,5,marker,3,2026-03-11 14:31:31.766,2026-03-11 14:31:51.846,2026-03-11 14:32:31.738
4,30,30,1.000000,60,74.59346771240234,5,marker,4,2026-03-11 14:32:51.802,2026-03-11 14:33:11.721,2026-03-11 14:33:51.712
5,40,40,1.000000,80,,5,marker,5,2026-03-11 14:34:11.776,2026-03-11 14:34:31.739,2026-03-11 14:35:11.692
6,50,50,1.000000,100,122.14425277709961,5,dark_run,6,2026-03-11 14:35:31.751,2026-03-11 14:36:01.756,2026-03-11 14:36:41.668
7,8,2,4.000000,10,13.829249382019043,5,marker,7,2026-03-11 14:37:01.760,2026-03-11 14:37:21.680,2026-03-11 14:38:01.679
8,22,8,2.750000,30,43.61389923095703,5,marker,8,2026-03-11 14:38:21.715,2026-03-11 14:38:41.720,2026-03-11 14:39:21.712
9,34,11,3.090909,45,,5,marker,9,2026-03-11 14:39:51.664,2026-03-11 14:40:01.697,2026-03-11 14:40:41.692
10,45,15,3.000000,60,87.9194564819336,5,marker,10,2026-03-11 14:41:11.669,2026-03-11 14:41:31.616,2026-03-11 14:42:11.593
11,60,20,3.000000,80,116.6123161315918,5,marker,11,2026-03-11 14:42:31.568,2026-03-11 14:42:51.653,2026-03-11 14:43:31.622
12,75,25,3.000000,100,139.8229522705078,5,marker,12,2026-03-11 14:44:01.559,2026-03-11 14:44:21.517,2026-03-11 14:45:01.579
13,8,2,4.000000,10,13.841318130493164,5,marker,13,2026-03-11 14:45:21.564,2026-03-11 14:45:41.541,2026-03-11 14:46:21.552
14,25,5,5.000000,30,46.871517181396484,5,dark_run,14,2026-03-11 14:46:31.489,2026-03-11 14:47:01.533,2026-03-11 14:47:41.478
15,38,8,4.750000,45,70.66949208577473,5,marker,15,2026-03-11 14:48:11.489,2026-03-11 14:48:31.458,2026-03-11 14:49:11.497
16,50,10,5.000000,60,91.04909006754558,5,marker,16,2026-03-11 14:49:31.472,2026-03-11 14:49:51.451,2026-03-11 14:50:31.449
17,67,13,5.153846,80,121.82591501871745,5,marker_interpolated,17,2026-03-11 14:50:51.441,2026-03-11 14:51:11.398,2026-03-11 14:51:51.428
18,83,17,4.882353,100,150.46353658040366,5,marker,18,2026-03-11 14:52:21.457,2026-03-11 14:52:41.445,2026-03-11 14:53:21.367
19,9,1,9.000000,10,15.402743339538574,5,marker,19,2026-03-11 14:53:41.442,2026-03-11 14:54:01.431,2026-03-11 14:54:41.366
20,26,4,6.500000,30,47.863913218180336,5,marker,20,2026-03-11 14:55:11.385,2026-03-11 14:55:31.388,2026-03-11 14:56:11.346
21,39,6,6.500000,45,70.72846984863281,5,marker,21,2026-03-11 14:56:31.312,2026-03-11 14:56:51.311,2026-03-11 14:57:31.313
22,52,8,6.500000,60,92.7816390991211,5,marker,22,2026-03-11 14:57:51.278,2026-03-11 14:58:11.251,2026-03-11 14:58:51.300
23,70,10,7.000000,80,124.12914530436198,5,marker,23,2026-03-11 14:59:21.220,2026-03-11 14:59:41.282,2026-03-11 15:00:21.235
24,88,12,7.333333,100,155.9071299235026,5,marker,24,2026-03-11 15:00:41.194,2026-03-11 15:01:01.229,2026-03-11 15:01:41.160
25,10,0,inf,10,17.062113444010418,5,marker,25,2026-03-11 15:02:01.130,2026-03-11 15:02:21.120,2026-03-11 15:03:01.115
26,30,0,inf,30,49.71999994913737,5,marker,26,2026-03-11 15:03:31.131,2026-03-11 15:03:51.089,2026-03-11 15:04:31.129
27,45,0,inf,45,74.4442876180013,5,marker,27,2026-03-11 15:04:51.084,2026-03-11 15:05:11.074,2026-03-11 15:05:51.028
28,60,0,inf,60,99.00576273600261,5,marker,28,2026-03-11 15:06:21.073,2026-03-11 15:06:41.071,2026-03-11 15:07:21.044
29,80,0,inf,80,131.15484619140625,5,marker,29,2026-03-11 15:07:41.039,2026-03-11 15:08:01.038,2026-03-11 15:08:41.004
30,100,0,inf,100,160.88929748535156,1,marker_interpolated,30,2026-03-11 15:08:41.004,2026-03-11 15:08:41.004,2026-03-11 15:08:41.004
