# Start @ 2026-03-11 14:26:56 - run=20260311_142653_h1_pL+y-0311
id,timestamp,device_id,update_type,temperature,humidity,a1_raw,vcap_raw,co2_ppm,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time
1,2026-03-11 14:26:56.859,L_6vSQ==,COMPACT,26.37,76.02,0.004,3.648,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
2,2026-03-11 14:26:56.859,L_6vSQ==,COMPACT,26.37,76.05,0.003,3.649,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
3,2026-03-11 14:26:56.860,L_6vSQ==,COMPACT,26.47,76.00,0.003,3.637,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
4,2026-03-11 14:26:56.860,L_6vSQ==,COMPACT,26.50,76.08,0.001,3.628,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
5,2026-03-11 14:26:56.860,L_6vSQ==,COMPACT,26.50,76.00,0.004,3.629,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
6,2026-03-11 14:26:56.860,L_6vSQ==,COMPACT,26.37,75.99,0.003,3.627,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
7,2026-03-11 14:26:56.861,L_6vSQ==,COMPACT,26.50,76.24,0.002,3.617,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
8,2026-03-11 14:26:56.861,L_6vSQ==,COMPACT,26.50,76.24,0.002,3.619,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
9,2026-03-11 14:26:56.861,L_6vSQ==,COMPACT,26.37,76.17,0.002,3.617,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
10,2026-03-11 14:26:56.862,L_6vSQ==,COMPACT,26.47,76.16,0.003,3.606,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
11,2026-03-11 14:26:56.862,L_6vSQ==,COMPACT,26.37,76.29,0.003,3.602,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
12,2026-03-11 14:26:56.862,L_6vSQ==,COMPACT,26.50,76.32,0.003,3.596,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
13,2026-03-11 14:27:01.934,L_6vSQ==,COMPACT,26.38,76.14,0.004,3.599,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
14,2026-03-11 14:27:11.860,L_6vSQ==,COMPACT,26.50,76.26,0.001,3.595,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
15,2026-03-11 14:27:21.891,L_6vSQ==,COMPACT,26.31,76.24,1.406,3.585,,43.00,1048.00,528.00,26.00,944.00,12.00,23.00,20.00,33.00,40.00,1,10
16,2026-03-11 14:27:31.822,L_6vSQ==,COMPACT,26.39,76.26,0.766,3.580,,8.00,89.00,55.00,6.00,226.00,11.00,8.00,8.00,132.00,156.00,1,10
17,2026-03-11 14:27:41.905,L_6vSQ==,COMPACT,26.50,76.32,0.716,3.589,,8.00,89.00,55.00,6.00,226.00,11.00,8.00,8.00,132.00,156.00,1,10
18,2026-03-11 14:27:51.850,L_6vSQ==,COMPACT,26.37,76.31,0.701,3.578,,8.00,89.00,55.00,6.00,226.00,11.00,8.00,8.00,132.00,156.00,1,10
19,2026-03-11 14:28:01.910,L_6vSQ==,COMPACT,26.31,76.32,0.701,3.578,,8.00,89.00,55.00,6.00,226.00,11.00,8.00,8.00,132.00,156.00,1,10
20,2026-03-11 14:28:11.821,L_6vSQ==,COMPACT,26.50,76.39,0.693,3.575,,8.00,89.00,55.00,6.00,226.00,11.00,8.00,8.00,132.00,156.00,1,10
21,2026-03-11 14:28:21.859,L_6vSQ==,COMPACT,26.25,76.26,0.684,3.568,,8.00,89.00,55.00,6.00,226.00,11.00,8.00,8.00,132.00,156.00,1,10
# SEGMENT @ 2026-03-11 14:28:31.870 segment_id=1 pwm_r=5 pwm_b=5 rb_ratio_pwm=1.000000 PPFD_spec_mean=None ppfd_red_mean=None ppfd_blue_mean=None
22,2026-03-11 14:28:31.870,L_6vSQ==,COMPACT,26.50,76.33,0.003,3.565,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
23,2026-03-11 14:28:41.889,L_6vSQ==,COMPACT,26.37,76.29,0.893,3.578,,43.00,1048.00,528.00,27.00,944.00,12.00,23.00,20.00,33.00,40.00,1,10
24,2026-03-11 14:28:51.814,L_6vSQ==,COMPACT,26.37,76.36,0.886,3.578,,21.00,202.00,121.00,16.00,576.00,29.00,22.00,22.00,357.00,428.00,1,10
25,2026-03-11 14:29:01.845,L_6vSQ==,COMPACT,26.31,76.38,0.881,3.583,,21.00,203.00,121.00,16.00,576.00,29.00,22.00,22.00,357.00,428.00,1,10
26,2026-03-11 14:29:11.873,L_6vSQ==,COMPACT,26.50,76.30,0.984,3.578,,21.00,203.00,121.00,16.00,576.00,29.00,22.00,22.00,357.00,429.00,1,10
27,2026-03-11 14:29:21.823,L_6vSQ==,COMPACT,26.30,76.31,0.907,3.577,,21.00,203.00,121.00,16.00,576.00,29.00,22.00,22.00,357.00,429.00,1,10
28,2026-03-11 14:29:31.880,L_6vSQ==,COMPACT,26.50,76.39,0.890,3.579,,21.00,203.00,121.00,16.00,576.00,29.00,22.00,22.00,357.00,429.00,1,10
29,2026-03-11 14:29:41.827,L_6vSQ==,COMPACT,26.31,76.27,0.883,3.582,,21.00,203.00,121.00,16.00,576.00,29.00,22.00,22.00,357.00,429.00,1,10
# SEGMENT @ 2026-03-11 14:29:51.885 segment_id=2 pwm_r=15 pwm_b=15 rb_ratio_pwm=1.000000 PPFD_spec_mean=None ppfd_red_mean=None ppfd_blue_mean=None
30,2026-03-11 14:29:51.885,L_6vSQ==,COMPACT,26.31,76.31,0.006,3.582,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,10
