Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/01/16 18:16
PAR(mW/cm²),0.7424782514572144
PPFD(umol/㎡/s),38.842166900634766
PPFD-UV(umol/㎡/s),0.0003551267145667225
PPFD-B(umol/㎡/s),4.5817551612854
PPFD-G(umol/㎡/s),0.04797035828232765
PPFD-R(umol/㎡/s),34.212440490722656
PPFD-FR(umol/㎡/s),0.07385053485631943
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),110.22882843017578
Erb Ratio,5.163573265075684
YPFD(umol/m²/s),35.110923767089844
Ech-A(mW/cm²),0.03360266238451004
Ech-B(mW/cm²),0.010951617732644081
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),352.3775634765625
Candle E(fc),32.748844146728516
CCT(K),1168.4654541015625
Duv,-0.1551562249660492
x,0.3782135844230652
y,0.12753280997276306
u,0.4008658528327942
v,0.20275665819644928
u’,0.4008658528327942
v’,0.3041349947452545
SDCM,100.0
Ra,-58.13691711425781
R1,-78.91963958740234
R2,-100.0
R3,-100.0
R4,56.48794174194336
R5,-100.0
R6,-100.0
R7,-79.0686264038086
R8,36.40498352050781
R9,-100.0
R10,-100.0
R11,64.12586975097656
R12,-100.0
R13,-100.0
R14,-74.4776382446289
R15,-96.33433532714844
Ee(mW/cm²),0.7408837080001831
S/P,3.0578815937042236
Dominant(nm),542.0
Purity(%),50.27042770385742
Half width(nm),17.7996826171875
Peak(nm),662.93408203125
Center(nm),661.9144897460938
Centroid(nm),627.0
R ratio(%),83.68316650390625
G ratio(%),0.24550555646419525
B ratio(%),16.07132911682129
Integrat.Time(ms),11.0
Peak Signal,51452.0
Dark Signal,2862.0
Compensate level,2520.0
StartTestWave,380
EndTestWave,780
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.01382894441485405
387,0.07515806704759598
388,0.01142448466271162
389,0.009320583194494247
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0014947379240766168
411,0.027369098737835884
412,0.08015106618404388
413,0.1397504061460495
414,0.13354623317718506
415,0.009510832838714123
416,0.0
417,0.06486012041568756
418,0.12161955237388611
419,0.2986002266407013
420,0.4444229304790497
421,0.4545157253742218
422,0.38734784722328186
423,0.3737514913082123
424,0.37905317544937134
425,0.4221724271774292
426,0.538272500038147
427,0.6828439831733704
428,0.887998640537262
429,1.1709485054016113
430,1.5006331205368042
431,1.8657251596450806
432,2.302767753601074
433,2.797935962677002
434,3.287532329559326
435,3.8679568767547607
436,4.690043926239014
437,5.6645894050598145
438,6.745855331420898
439,8.080443382263184
440,9.690254211425781
441,11.581474304199219
442,13.837596893310547
443,16.545534133911133
444,19.70816421508789
445,23.273120880126953
446,27.316936492919922
447,31.709604263305664
448,36.36253356933594
449,41.000667572021484
450,45.49345397949219
451,49.452335357666016
452,52.72337341308594
453,54.77338790893555
454,55.87635803222656
455,56.18937301635742
456,55.48549270629883
457,53.854942321777344
458,51.35049057006836
459,48.09296417236328
460,44.30874252319336
461,40.130008697509766
462,35.885215759277344
463,31.649505615234375
464,27.810556411743164
465,24.505529403686523
466,21.798294067382812
467,19.533666610717773
468,17.35240936279297
469,15.48865032196045
470,14.01037883758545
471,12.584992408752441
472,11.314990043640137
473,10.16418743133545
474,9.06051254272461
475,8.02900218963623
476,7.0887956619262695
477,6.2504353523254395
478,5.462747097015381
479,4.7696075439453125
480,4.162016868591309
481,3.5768494606018066
482,3.0645601749420166
483,2.7158193588256836
484,2.402108669281006
485,2.134566068649292
486,1.9332466125488281
487,1.6741126775741577
488,1.3941893577575684
489,1.15632164478302
490,0.9676325917243958
491,0.8458228707313538
492,0.7925814390182495
493,0.7706465721130371
494,0.7814834117889404
495,0.756624698638916
496,0.7226130366325378
497,0.6668843626976013
498,0.5711685419082642
499,0.4938805103302002
500,0.43590208888053894
501,0.3466690480709076
502,0.2695739269256592
503,0.24930208921432495
504,0.2034914493560791
505,0.16261173784732819
506,0.130515918135643
507,0.11178281903266907
508,0.0810360237956047
509,0.06709890067577362
510,0.061947669833898544
511,0.08715934306383133
512,0.12219475209712982
513,0.12545734643936157
514,0.07914677262306213
515,0.09360886365175247
516,0.08253052830696106
517,0.03272783011198044
518,0.005886760540306568
519,0.06630963087081909
520,0.05624645948410034
521,0.0793943852186203
522,0.11790395528078079
523,0.1439923793077469
524,0.09574409574270248
525,0.09616391360759735
526,0.06807392090559006
527,0.04919147863984108
528,0.06254537403583527
529,0.055574603378772736
530,0.07450907677412033
531,0.09113802015781403
532,0.07642462849617004
533,0.04290911927819252
534,0.08366601914167404
535,0.06850895285606384
536,0.05565248802304268
537,0.09518557786941528
538,0.13004378974437714
539,0.10393046587705612
540,0.08045278489589691
541,0.07042673975229263
542,0.044885244220495224
543,0.025452133268117905
544,0.007117215543985367
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.050442904233932495
553,0.14812898635864258
554,0.18588685989379883
555,0.18709364533424377
556,0.16094163060188293
557,0.146722212433815
558,0.12833264470100403
559,0.1471986025571823
560,0.16689758002758026
561,0.15470200777053833
562,0.10580110549926758
563,0.07226786762475967
564,0.0911838561296463
565,0.11254846304655075
566,0.1065501719713211
567,0.12771740555763245
568,0.1563052535057068
569,0.1396789401769638
570,0.11993425339460373
571,0.14962513744831085
572,0.17576590180397034
573,0.15201354026794434
574,0.15068423748016357
575,0.18246828019618988
576,0.18148276209831238
577,0.16954663395881653
578,0.18433095514774323
579,0.1841834932565689
580,0.1432611644268036
581,0.14575976133346558
582,0.1540430635213852
583,0.159599170088768
584,0.18081091344356537
585,0.19990582764148712
586,0.18537086248397827
587,0.15837526321411133
588,0.10883373022079468
589,0.08067874610424042
590,0.08535967767238617
591,0.07590838521718979
592,0.06035042181611061
593,0.0640813484787941
594,0.07380439341068268
595,0.08417970687150955
596,0.07325883954763412
597,0.060715168714523315
598,0.033163297921419144
599,0.0029369639232754707
600,0.0
601,0.0
602,0.03445987030863762
603,0.16965369880199432
604,0.25039932131767273
605,0.2630462646484375
606,0.3487754166126251
607,0.49707329273223877
608,0.5635186433792114
609,0.686394453048706
610,0.8929024934768677
611,1.0698586702346802
612,1.1975435018539429
613,1.34633207321167
614,1.5596305131912231
615,1.80452561378479
616,2.047389030456543
617,2.3623695373535156
618,2.674429178237915
619,3.00015926361084
620,3.373185396194458
621,3.803281545639038
622,4.270188808441162
623,4.84878396987915
624,5.467596054077148
625,6.164543151855469
626,6.951166152954102
627,7.82081413269043
628,8.829858779907227
629,10.020654678344727
630,11.140508651733398
631,12.403663635253906
632,13.991086959838867
633,15.802241325378418
634,17.776050567626953
635,20.074373245239258
636,22.616409301757812
637,25.45890998840332
638,28.592430114746094
639,32.08418655395508
640,35.82604217529297
641,40.06756591796875
642,44.93956756591797
643,50.41518020629883
644,56.54874038696289
645,62.32365417480469
646,68.68717193603516
647,77.16846466064453
648,86.49560546875
649,96.59098052978516
650,107.36663818359375
651,119.00353240966797
652,131.2976531982422
653,144.48440551757812
654,158.75584411621094
655,174.19122314453125
656,191.01547241210938
657,209.52322387695312
658,229.159912109375
659,245.6229705810547
660,261.4209899902344
661,278.09423828125
662,290.2028503417969
663,295.8748779296875
664,294.1281433105469
665,284.0789794921875
666,266.63299560546875
667,243.81527709960938
668,217.5885009765625
669,189.7063446044922
670,162.5411376953125
671,141.65135192871094
672,122.39706420898438
673,101.49488067626953
674,83.60919952392578
675,68.38143157958984
676,55.683677673339844
677,45.26876449584961
678,36.53515625
679,29.356382369995117
680,23.5172176361084
681,18.726545333862305
682,14.890660285949707
683,12.301915168762207
684,10.224442481994629
685,8.118892669677734
686,6.508382320404053
687,5.20168924331665
688,4.185344219207764
689,3.302734613418579
690,2.6868200302124023
691,2.1767191886901855
692,1.7578825950622559
693,1.4196536540985107
694,1.2562466859817505
695,1.117827296257019
696,0.9542414546012878
697,0.7945485711097717
698,0.695703387260437
699,0.6495522856712341
700,0.5391625761985779
701,0.48930275440216064
702,0.5047211050987244
703,0.4197325110435486
704,0.3118288218975067
705,0.28787511587142944
706,0.2646630108356476
707,0.20645152032375336
708,0.22565405070781708
709,0.34310463070869446
710,0.3441268801689148
711,0.31851208209991455
712,0.24871759116649628
713,0.17375856637954712
714,0.05642874166369438
715,0.0
716,0.0
717,0.0
718,0.0
719,0.021093742921948433
720,0.1149856448173523
721,0.26741063594818115
722,0.3515772223472595
723,0.3899897038936615
724,0.3777638375759125
725,0.26431697607040405
726,0.11044055968523026
727,0.0013003841741010547
728,0.0
729,0.0
730,0.0378786139190197
731,0.12706293165683746
732,0.13456246256828308
733,0.16335444152355194
734,0.1840689778327942
735,0.15273968875408173
736,0.04173479601740837
737,0.018100224435329437
738,0.03113459423184395
739,0.000673518399707973
740,0.0
741,0.0
742,0.0
743,0.0
744,0.017363840714097023
745,0.10979460924863815
746,0.21437165141105652
747,0.2718283534049988
748,0.27599531412124634
749,0.22521305084228516
750,0.21386414766311646
751,0.16697783768177032
752,0.15702097117900848
753,0.2274090200662613
754,0.24700969457626343
755,0.1558225303888321
756,0.1354631930589676
757,0.22334714233875275
758,0.2489802986383438
759,0.08957501500844955
760,0.13581109046936035
761,0.22091208398342133
762,0.1572587937116623
763,0.11352107673883438
764,0.24273885786533356
765,0.3558802902698517
766,0.2850032150745392
767,0.24061620235443115
768,0.15796247124671936
769,0.03823956102132797
770,0.0
771,0.0
772,0.03135624900460243
773,0.042554862797260284
774,0.053330183029174805
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.022757627069950104
