segment_id,pwm_r,pwm_b,rb_ratio_pwm,total_pwm,PPFD_spec_mean,sensor_window_count,window_source,matched_marker_index,marker_end_sensor_time,steady_start_sensor_time,steady_end_sensor_time
1,5,5,1.000000,10,12.950100262959799,5,dark_run,1,2026-03-11 16:29:10.793,2026-03-11 16:29:10.793,2026-03-11 16:29:10.794
2,15,15,1.000000,30,32.896104176839195,5,marker,2,2026-03-11 16:29:30.487,2026-03-11 16:29:50.422,2026-03-11 16:30:30.434
3,22,22,1.000000,45,47.0933723449707,5,dark_run,3,2026-03-11 16:30:50.394,2026-03-11 16:31:10.368,2026-03-11 16:31:50.397
4,30,30,1.000000,60,62.60351308186849,5,marker,4,2026-03-11 16:32:20.417,2026-03-11 16:32:40.415,2026-03-11 16:33:20.377
5,40,40,1.000000,80,83.16260274251302,5,marker,5,2026-03-11 16:33:40.386,2026-03-11 16:34:00.318,2026-03-11 16:34:40.323
6,50,50,1.000000,100,103.18712107340495,5,marker,6,2026-03-11 16:35:10.288,2026-03-11 16:35:20.306,2026-03-11 16:36:00.317
7,8,2,4.000000,10,11.649990717569986,5,marker,7,2026-03-11 16:36:30.346,2026-03-11 16:36:50.258,2026-03-11 16:37:30.314
8,22,8,2.750000,30,37.606215159098305,5,marker,8,2026-03-11 16:37:50.230,2026-03-11 16:38:10.279,2026-03-11 16:38:50.235
9,34,11,3.090909,45,55.394022623697914,5,marker,9,2026-03-11 16:39:20.218,2026-03-11 16:39:30.275,2026-03-11 16:40:10.177
10,45,15,3.000000,60,73.12699381510417,5,marker,10,2026-03-11 16:40:40.181,2026-03-11 16:41:00.226,2026-03-11 16:41:40.198
11,60,20,3.000000,80,95.91919708251953,4,marker,11,2026-03-11 16:42:00.143,2026-03-11 16:42:30.185,2026-03-11 16:43:00.202
12,75,25,3.000000,100,119.96435038248698,5,marker,12,2026-03-11 16:43:30.129,2026-03-11 16:43:50.081,2026-03-11 16:44:30.094
13,8,2,4.000000,10,11.630820274353027,5,marker,13,2026-03-11 16:44:50.105,2026-03-11 16:45:10.135,2026-03-11 16:45:50.094
14,25,5,5.000000,30,38.827807108561196,5,dark_run,14,2026-03-11 16:46:00.115,2026-03-11 16:46:40.025,2026-03-11 16:47:20.070
15,38,8,4.750000,45,59.032674153645836,5,marker,15,2026-03-11 16:47:40.004,2026-03-11 16:48:00.054,2026-03-11 16:48:40.035
16,50,10,5.000000,60,76.66671752929688,5,marker,16,2026-03-11 16:49:00.061,2026-03-11 16:49:19.966,2026-03-11 16:50:00.015
17,67,13,5.153846,80,100.6995137532552,5,marker,17,2026-03-11 16:50:19.942,2026-03-11 16:50:40.001,2026-03-11 16:51:19.968
18,83,17,4.882353,100,125.05180358886719,5,marker,18,2026-03-11 16:51:49.985,2026-03-11 16:52:09.906,2026-03-11 16:52:49.907
19,9,1,9.000000,10,12.84856096903483,5,marker_interpolated,19,2026-03-11 16:53:09.958,2026-03-11 16:53:29.902,2026-03-11 16:54:09.881
20,26,4,6.500000,30,39.33047358194987,5,marker,20,2026-03-11 16:54:39.851,2026-03-11 16:54:59.895,2026-03-11 16:55:39.862
21,39,6,6.500000,45,58.91172536214193,5,marker,21,2026-03-11 16:55:59.904,2026-03-11 16:56:19.838,2026-03-11 16:56:59.790
22,52,8,6.500000,60,78.01700846354167,5,marker,22,2026-03-11 16:57:29.876,2026-03-11 16:57:39.785,2026-03-11 16:58:19.842
23,70,10,7.000000,80,103.20366923014323,5,marker,23,2026-03-11 16:58:49.749,2026-03-11 16:59:09.830,2026-03-11 16:59:49.784
24,88,12,7.333333,100,129.42631022135416,5,marker,24,2026-03-11 17:00:09.808,2026-03-11 17:00:29.800,2026-03-11 17:01:09.788
25,10,0,inf,10,14.186221758524576,5,marker,25,2026-03-11 17:01:29.732,2026-03-11 17:01:49.713,2026-03-11 17:02:29.689
26,30,0,inf,30,41.118456522623696,5,marker,26,2026-03-11 17:02:59.714,2026-03-11 17:03:19.699,2026-03-11 17:03:59.638
27,45,0,inf,45,61.816412607828774,5,marker,27,2026-03-11 17:04:19.626,2026-03-11 17:04:39.655,2026-03-11 17:05:19.626
28,60,0,inf,60,81.63702138264973,5,marker,28,2026-03-11 17:05:49.634,2026-03-11 17:05:59.655,2026-03-11 17:06:39.598
29,80,0,inf,80,108.82022349039714,5,marker,29,2026-03-11 17:07:09.588,2026-03-11 17:07:29.663,2026-03-11 17:08:09.592
30,100,0,inf,100,131.77865600585938,5,marker,30,2026-03-11 17:08:39.543,2026-03-11 17:08:49.561,2026-03-11 17:09:29.595
