segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_2,ppfd_2_time,spec_file_2,ppfd_3,ppfd_3_time,spec_file_3,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,1,5,5,10,1.000000,2026-03-11T16:29:16.923,2026-03-11T16:29:16.924,2026-03-11T16:29:17.761,837.0,2026-03-11T16:29:27.762,2026-03-11T16:29:28.311,549.0,2026-03-11T16:29:38.312,2026-03-11T16:29:38.312,2026-03-11T16:29:38.890,578.0,2026-03-11T16:29:48.890,2026-03-11T16:30:38.890,2026-03-11T16:30:38.890,10.0,10.0,10.0,10.0,50.0,3,12.950899124145508,2026-03-11T16:30:01.390,archive/2026-03-11/standard_csv/raw_bytes_20260311_163003.csv,12.953386306762695,2026-03-11T16:30:13.890,archive/2026-03-11/standard_csv/raw_bytes_20260311_163016.csv,12.946015357971191,2026-03-11T16:30:26.390,archive/2026-03-11/standard_csv/raw_bytes_20260311_163028.csv,3,12.950100262959799
2,normal,2,1,1,15,15,30,1.000000,2026-03-11T16:30:38.891,2026-03-11T16:30:38.892,2026-03-11T16:30:40.057,1165.0,2026-03-11T16:30:50.058,2026-03-11T16:30:51.289,1231.0,2026-03-11T16:31:01.289,2026-03-11T16:31:01.289,2026-03-11T16:31:01.899,610.0,2026-03-11T16:31:11.899,2026-03-11T16:32:01.899,2026-03-11T16:32:01.899,10.0,10.0,10.0,10.0,50.0,3,32.91304016113281,2026-03-11T16:31:24.399,archive/2026-03-11/standard_csv/raw_bytes_20260311_163126.csv,32.86751937866211,2026-03-11T16:31:36.899,archive/2026-03-11/standard_csv/raw_bytes_20260311_163139.csv,32.907752990722656,2026-03-11T16:31:49.399,archive/2026-03-11/standard_csv/raw_bytes_20260311_163151.csv,3,32.896104176839195
3,normal,3,1,1,22,22,45,1.000000,2026-03-11T16:32:01.900,2026-03-11T16:32:01.901,2026-03-11T16:32:02.866,965.0,2026-03-11T16:32:12.867,2026-03-11T16:32:13.818,951.0,2026-03-11T16:32:23.818,2026-03-11T16:32:23.819,2026-03-11T16:32:24.779,960.0,2026-03-11T16:32:34.779,2026-03-11T16:33:24.779,2026-03-11T16:33:24.779,10.0,10.0,10.0,10.0,50.0,3,46.977210998535156,2026-03-11T16:32:47.279,archive/2026-03-11/standard_csv/raw_bytes_20260311_163249.csv,47.1569938659668,2026-03-11T16:32:59.779,archive/2026-03-11/standard_csv/raw_bytes_20260311_163301.csv,47.145912170410156,2026-03-11T16:33:12.279,archive/2026-03-11/standard_csv/raw_bytes_20260311_163314.csv,3,47.0933723449707
4,normal,4,1,1,30,30,60,1.000000,2026-03-11T16:33:24.780,2026-03-11T16:33:24.781,2026-03-11T16:33:25.808,1027.0,2026-03-11T16:33:35.809,2026-03-11T16:33:36.890,1081.0,2026-03-11T16:33:46.891,2026-03-11T16:33:46.891,2026-03-11T16:33:47.924,1033.0,2026-03-11T16:33:57.924,2026-03-11T16:34:47.924,2026-03-11T16:34:47.924,10.0,10.0,10.0,10.0,50.0,3,62.17976379394531,2026-03-11T16:34:10.424,archive/2026-03-11/standard_csv/raw_bytes_20260311_163412.csv,62.73165512084961,2026-03-11T16:34:22.924,archive/2026-03-11/standard_csv/raw_bytes_20260311_163425.csv,62.89912033081055,2026-03-11T16:34:35.424,archive/2026-03-11/standard_csv/raw_bytes_20260311_163437.csv,3,62.60351308186849
5,normal,5,1,1,40,40,80,1.000000,2026-03-11T16:34:47.925,2026-03-11T16:34:47.926,2026-03-11T16:34:48.888,962.0,2026-03-11T16:34:58.889,2026-03-11T16:35:00.014,1125.0,2026-03-11T16:35:10.014,2026-03-11T16:35:10.015,2026-03-11T16:35:11.024,1008.9999999999999,2026-03-11T16:35:21.024,2026-03-11T16:36:11.024,2026-03-11T16:36:11.024,10.0,10.0,10.0,10.0,50.0,3,82.30477142333984,2026-03-11T16:35:33.524,archive/2026-03-11/standard_csv/raw_bytes_20260311_163535.csv,83.52860260009766,2026-03-11T16:35:46.024,archive/2026-03-11/standard_csv/raw_bytes_20260311_163548.csv,83.65443420410156,2026-03-11T16:35:58.524,archive/2026-03-11/standard_csv/raw_bytes_20260311_163600.csv,3,83.16260274251302
6,normal,6,1,1,50,50,100,1.000000,2026-03-11T16:36:11.025,2026-03-11T16:36:11.026,2026-03-11T16:36:12.110,1084.0,2026-03-11T16:36:22.111,2026-03-11T16:36:23.388,1277.0,2026-03-11T16:36:33.388,2026-03-11T16:36:33.388,2026-03-11T16:36:34.382,994.0,2026-03-11T16:36:44.382,2026-03-11T16:37:34.382,2026-03-11T16:37:34.382,10.0,10.0,10.0,10.0,50.0,3,101.70092010498047,2026-03-11T16:36:56.882,archive/2026-03-11/standard_csv/raw_bytes_20260311_163659.csv,103.87471008300781,2026-03-11T16:37:09.382,archive/2026-03-11/standard_csv/raw_bytes_20260311_163711.csv,103.98573303222656,2026-03-11T16:37:21.882,archive/2026-03-11/standard_csv/raw_bytes_20260311_163724.csv,3,103.18712107340495
7,normal,7,3,1,8,2,10,4.000000,2026-03-11T16:37:34.384,2026-03-11T16:37:34.384,2026-03-11T16:37:35.458,1074.0,2026-03-11T16:37:45.459,2026-03-11T16:37:47.041,1582.0,2026-03-11T16:37:57.041,2026-03-11T16:37:57.042,2026-03-11T16:37:58.613,1571.0,2026-03-11T16:38:08.613,2026-03-11T16:38:58.613,2026-03-11T16:38:58.613,10.0,10.0,10.0,10.0,50.0,3,11.652291297912598,2026-03-11T16:38:21.113,archive/2026-03-11/standard_csv/raw_bytes_20260311_163823.csv,11.651083946228027,2026-03-11T16:38:33.613,archive/2026-03-11/standard_csv/raw_bytes_20260311_163835.csv,11.646596908569336,2026-03-11T16:38:46.113,archive/2026-03-11/standard_csv/raw_bytes_20260311_163848.csv,3,11.649990717569986
8,normal,8,3,1,22,8,30,2.750000,2026-03-11T16:38:58.614,2026-03-11T16:38:58.614,2026-03-11T16:38:59.885,1271.0,2026-03-11T16:39:09.885,2026-03-11T16:39:11.047,1162.0,2026-03-11T16:39:21.048,2026-03-11T16:39:21.048,2026-03-11T16:39:21.838,790.0,2026-03-11T16:39:31.839,2026-03-11T16:40:21.839,2026-03-11T16:40:21.839,10.0,10.0,10.0,10.0,50.0,3,37.71215057373047,2026-03-11T16:39:44.339,archive/2026-03-11/standard_csv/raw_bytes_20260311_163946.csv,37.563026428222656,2026-03-11T16:39:56.839,archive/2026-03-11/standard_csv/raw_bytes_20260311_163958.csv,37.5434684753418,2026-03-11T16:40:09.339,archive/2026-03-11/standard_csv/raw_bytes_20260311_164011.csv,3,37.606215159098305
9,normal,9,3,1,34,11,45,3.090909,2026-03-11T16:40:21.840,2026-03-11T16:40:21.841,2026-03-11T16:40:22.920,1079.0,2026-03-11T16:40:32.921,2026-03-11T16:40:34.041,1120.0,2026-03-11T16:40:44.041,2026-03-11T16:40:44.041,2026-03-11T16:40:45.092,1051.0,2026-03-11T16:40:55.092,2026-03-11T16:41:45.092,2026-03-11T16:41:45.092,10.0,10.0,10.0,10.0,50.0,3,54.965972900390625,2026-03-11T16:41:07.592,archive/2026-03-11/standard_csv/raw_bytes_20260311_164109.csv,55.69307327270508,2026-03-11T16:41:20.092,archive/2026-03-11/standard_csv/raw_bytes_20260311_164122.csv,55.52302169799805,2026-03-11T16:41:32.592,archive/2026-03-11/standard_csv/raw_bytes_20260311_164134.csv,3,55.394022623697914
10,normal,10,3,1,45,15,60,3.000000,2026-03-11T16:41:45.094,2026-03-11T16:41:45.094,2026-03-11T16:41:46.227,1133.0,2026-03-11T16:41:56.228,2026-03-11T16:41:57.381,1153.0,2026-03-11T16:42:07.381,2026-03-11T16:42:07.382,2026-03-11T16:42:08.644,1262.0,2026-03-11T16:42:18.644,2026-03-11T16:43:08.644,2026-03-11T16:43:08.644,10.0,10.0,10.0,10.0,50.0,3,72.27689361572266,2026-03-11T16:42:31.144,archive/2026-03-11/standard_csv/raw_bytes_20260311_164233.csv,73.46977996826172,2026-03-11T16:42:43.644,archive/2026-03-11/standard_csv/raw_bytes_20260311_164245.csv,73.63430786132812,2026-03-11T16:42:56.144,archive/2026-03-11/standard_csv/raw_bytes_20260311_164258.csv,3,73.12699381510417
