# Start @ 2026-03-19 12:21:04 - run=20260319_122059_h3_pC-0319
id,timestamp,device_id,update_type,temperature,humidity,a1_raw,vcap_raw,co2_ppm,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time
1,2026-03-19 12:21:04.699,L_6vSQ==,COMPACT,29.87,65.19,0.457,4.721,,2.00,3.00,4.00,5.00,36.00,22.00,6.00,7.00,9.00,10.00,1,10
2,2026-03-19 12:21:14.653,L_6vSQ==,COMPACT,29.75,65.47,0.454,4.725,,2.00,3.00,4.00,6.00,38.00,23.00,6.00,7.00,9.00,11.00,1,10
3,2026-03-19 12:21:24.707,L_6vSQ==,COMPACT,29.87,65.66,1.069,4.735,,100.00,2341.00,1206.00,67.00,2191.00,53.00,58.00,53.00,85.00,101.00,1,10
4,2026-03-19 12:21:44.702,L_6vSQ==,COMPACT,29.81,66.02,0.849,4.739,,19.00,198.00,126.00,19.00,517.00,46.00,24.00,24.00,258.00,343.00,1,10
5,2026-03-19 12:22:04.694,L_6vSQ==,COMPACT,29.75,66.10,0.848,4.716,,19.00,198.00,126.00,19.00,515.00,45.00,23.00,24.00,258.00,342.00,1,10
6,2026-03-19 12:22:24.680,L_6vSQ==,COMPACT,29.72,65.65,0.841,4.726,,20.00,199.00,127.00,20.00,524.00,51.00,24.00,25.00,260.00,344.00,1,10
# SEGMENT @ 2026-03-19 12:23:14.698 segment_id=1 pwm_r=5 pwm_b=5 rb_ratio_pwm=1.000000 PPFD_spec_mean=34.46630732218424 ppfd_red_mean=20.150484085083008 ppfd_blue_mean=13.968571980794271
7,2026-03-19 12:23:14.698,L_6vSQ==,COMPACT,29.69,65.98,1.042,4.735,,48.00,452.00,278.00,41.00,1285.00,88.00,52.00,53.00,705.00,945.00,1,10
8,2026-03-19 12:23:34.686,L_6vSQ==,COMPACT,29.50,65.81,1.036,4.720,,46.00,450.00,274.00,35.00,1249.00,64.00,46.00,46.00,698.00,935.00,1,10
9,2026-03-19 12:23:44.629,L_6vSQ==,COMPACT,29.61,65.80,1.037,4.718,,46.00,450.00,273.00,35.00,1249.00,64.00,46.00,46.00,698.00,934.00,1,10
# SEGMENT @ 2026-03-19 12:23:54.670 segment_id=2 pwm_r=15 pwm_b=15 rb_ratio_pwm=1.000000 PPFD_spec_mean=87.66743469238281 ppfd_red_mean=56.30208969116211 ppfd_blue_mean=31.15402348836263
10,2026-03-19 12:23:54.670,L_6vSQ==,COMPACT,29.63,65.97,0.213,4.710,,0.00,3.00,2.00,0.00,13.00,1.00,0.00,0.00,7.00,11.00,1,10
11,2026-03-19 12:24:04.613,L_6vSQ==,COMPACT,29.52,65.81,1.069,4.717,,94.00,2269.00,1166.00,59.00,2098.00,28.00,52.00,45.00,82.00,100.00,1,10
12,2026-03-19 12:24:24.593,L_6vSQ==,COMPACT,29.50,65.97,1.124,4.733,,66.00,626.00,375.00,50.00,1777.00,92.00,66.00,67.00,1007.00,1351.00,1,10
13,2026-03-19 12:24:34.638,L_6vSQ==,COMPACT,29.50,66.03,1.125,4.734,,66.00,625.00,375.00,50.00,1777.00,92.00,66.00,66.00,1007.00,1350.00,1,10
14,2026-03-19 12:24:54.616,L_6vSQ==,COMPACT,29.51,66.03,1.123,4.733,,66.00,626.00,374.00,50.00,1777.00,92.00,66.00,67.00,1008.00,1350.00,1,10
# SEGMENT @ 2026-03-19 12:25:24.647 segment_id=3 pwm_r=22 pwm_b=22 rb_ratio_pwm=1.000000 PPFD_spec_mean=124.09054819742839 ppfd_red_mean=81.17663828531902 ppfd_blue_mean=42.774617513020836
15,2026-03-19 12:25:24.647,L_6vSQ==,COMPACT,29.38,66.22,0.212,4.736,,0.00,3.00,2.00,0.00,13.00,1.00,0.00,0.00,7.00,11.00,1,10
16,2026-03-19 12:25:44.630,L_6vSQ==,COMPACT,29.26,66.22,1.208,4.731,,89.00,828.00,490.00,70.00,2395.00,136.00,92.00,93.00,1365.00,1829.00,1,10
17,2026-03-19 12:26:14.565,L_6vSQ==,COMPACT,29.29,66.49,1.206,4.744,,91.00,830.00,492.00,73.00,2417.00,150.00,96.00,98.00,1369.00,1835.00,1,10
18,2026-03-19 12:26:24.611,L_6vSQ==,COMPACT,29.27,66.86,1.213,4.742,,91.00,830.00,492.00,74.00,2420.00,152.00,96.00,98.00,1370.00,1835.00,1,10
