id,timestamp,device_id,update_type,temperature,humidity,a1_raw,vcap_raw,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time,PPFD,led_status
816,2025-09-15 07:01:03.738,L_6vSQ==,PACKET_DATA,18.69,61.11,0.021,2.966,160.0,839.0,444.0,126.0,3865.0,281.0,161.0,181.0,3223.0,4660.0,1,90,300,1
818,2025-09-15 07:02:34.391,L_6vSQ==,PACKET_DATA,19.19,60.3,0.021,2.966,161.0,842.0,445.0,126.0,3867.0,281.0,161.0,181.0,3211.0,4675.0,1,90,300,1
820,2025-09-15 07:04:04.993,L_6vSQ==,PACKET_DATA,19.5,59.21,0.021,2.966,161.0,845.0,447.0,126.0,3872.0,281.0,161.0,181.0,3204.0,4695.0,1,90,300,1
822,2025-09-15 07:05:35.532,L_6vSQ==,PACKET_DATA,19.74,58.47,1.408,3.0,161.0,847.0,448.0,127.0,3878.0,281.0,162.0,181.0,3199.0,4715.0,1,90,300,1
824,2025-09-15 07:07:06.155,L_6vSQ==,PACKET_DATA,19.97,57.89,1.408,3.77,160.0,834.0,442.0,126.0,3848.0,280.0,161.0,180.0,3171.0,4697.0,1,90,300,1
826,2025-09-15 07:08:36.780,L_6vSQ==,PACKET_DATA,20.19,56.92,1.405,4.077,160.0,834.0,443.0,126.0,3852.0,280.0,161.0,180.0,3169.0,4715.0,1,90,300,1
828,2025-09-15 07:10:07.336,L_6vSQ==,PACKET_DATA,20.5,56.06,1.405,4.077,160.0,837.0,444.0,126.0,3859.0,280.0,161.0,181.0,3168.0,4731.0,1,90,300,1
830,2025-09-15 07:11:37.990,L_6vSQ==,PACKET_DATA,20.62,55.28,1.405,4.077,160.0,831.0,441.0,126.0,3846.0,280.0,161.0,180.0,3152.0,4724.0,1,90,300,1
832,2025-09-15 07:13:08.627,L_6vSQ==,PACKET_DATA,20.88,54.62,1.423,4.577,162.0,852.0,451.0,127.0,3897.0,283.0,163.0,182.0,3182.0,4784.0,1,90,300,1
834,2025-09-15 07:14:39.219,L_6vSQ==,PACKET_DATA,21.01,54.24,1.429,4.703,162.0,853.0,452.0,128.0,3901.0,283.0,163.0,182.0,3180.0,4794.0,1,90,300,1
837,2025-09-15 07:17:40.424,L_6vSQ==,PACKET_DATA,21.38,53.47,1.423,4.703,163.0,853.0,452.0,128.0,3902.0,283.0,163.0,182.0,3175.0,4810.0,1,90,300,1
839,2025-09-15 07:19:11.044,L_6vSQ==,PACKET_DATA,21.5,53.18,1.412,4.703,163.0,854.0,453.0,128.0,3906.0,283.0,163.0,182.0,3173.0,4816.0,1,90,300,1
841,2025-09-15 07:20:41.587,L_6vSQ==,PACKET_DATA,21.69,52.66,1.412,4.708,163.0,854.0,453.0,128.0,3908.0,283.0,164.0,182.0,3171.0,4821.0,1,90,300,1
843,2025-09-15 07:22:12.219,L_6vSQ==,PACKET_DATA,21.94,52.21,1.423,4.708,161.0,839.0,446.0,127.0,3873.0,281.0,162.0,181.0,3145.0,4787.0,1,90,300,1
845,2025-09-15 07:23:42.844,L_6vSQ==,PACKET_DATA,21.99,51.83,1.44,4.707,163.0,855.0,453.0,128.0,3910.0,284.0,164.0,182.0,3169.0,4831.0,1,90,300,1
847,2025-09-15 07:25:13.472,L_6vSQ==,PACKET_DATA,22.22,51.54,1.412,4.707,163.0,854.0,454.0,128.0,3911.0,284.0,164.0,182.0,3167.0,4835.0,1,90,300,1
849,2025-09-15 07:26:43.995,L_6vSQ==,PACKET_DATA,22.25,51.38,1.412,4.705,163.0,855.0,454.0,128.0,3912.0,284.0,164.0,182.0,3166.0,4838.0,1,90,300,1
851,2025-09-15 07:28:14.648,L_6vSQ==,PACKET_DATA,22.25,51.28,1.423,4.705,163.0,855.0,454.0,128.0,3913.0,284.0,164.0,182.0,3165.0,4842.0,1,90,300,1
853,2025-09-15 07:29:45.274,L_6vSQ==,PACKET_DATA,22.49,50.99,1.44,4.707,163.0,855.0,454.0,128.0,3914.0,284.0,164.0,182.0,3164.0,4846.0,1,90,300,1
855,2025-09-15 07:31:15.812,L_6vSQ==,PACKET_DATA,22.49,50.93,1.451,4.707,162.0,842.0,448.0,127.0,3881.0,282.0,163.0,181.0,3141.0,4814.0,1,90,300,1
857,2025-09-15 07:32:46.502,L_6vSQ==,PACKET_DATA,22.49,50.6,1.449,4.707,163.0,855.0,454.0,128.0,3914.0,284.0,164.0,182.0,3162.0,4851.0,1,90,300,1
859,2025-09-15 07:34:17.047,L_6vSQ==,PACKET_DATA,22.49,50.49,1.444,4.707,163.0,855.0,454.0,128.0,3915.0,284.0,164.0,182.0,3161.0,4853.0,1,90,300,1
861,2025-09-15 07:35:47.689,L_6vSQ==,PACKET_DATA,22.52,50.33,1.444,4.708,163.0,855.0,454.0,128.0,3915.0,284.0,164.0,182.0,3160.0,4854.0,1,90,300,1
863,2025-09-15 07:37:18.328,L_6vSQ==,PACKET_DATA,22.56,50.31,1.444,4.708,163.0,855.0,454.0,128.0,3914.0,284.0,164.0,183.0,3160.0,4855.0,1,90,300,1
865,2025-09-15 07:38:48.860,L_6vSQ==,PACKET_DATA,22.74,49.93,1.436,4.71,163.0,855.0,454.0,128.0,3917.0,284.0,164.0,182.0,3160.0,4859.0,1,90,300,1
867,2025-09-15 07:40:19.506,L_6vSQ==,PACKET_DATA,22.69,50.0,1.436,4.71,163.0,855.0,454.0,128.0,3917.0,284.0,164.0,182.0,3158.0,4862.0,1,90,300,1
869,2025-09-15 07:41:50.049,L_6vSQ==,PACKET_DATA,22.88,50.01,1.423,4.706,163.0,855.0,454.0,128.0,3917.0,284.0,164.0,183.0,3158.0,4863.0,1,90,300,1
871,2025-09-15 07:43:20.730,L_6vSQ==,PACKET_DATA,22.63,49.91,1.436,4.708,163.0,855.0,454.0,128.0,3918.0,284.0,164.0,183.0,3157.0,4865.0,1,90,300,1
873,2025-09-15 07:44:51.271,L_6vSQ==,PACKET_DATA,23.0,49.75,1.436,4.708,163.0,855.0,455.0,128.0,3918.0,284.0,164.0,183.0,3157.0,4866.0,1,90,300,1
875,2025-09-15 07:46:21.934,L_6vSQ==,PACKET_DATA,22.74,49.78,1.451,4.71,163.0,855.0,455.0,128.0,3918.0,284.0,164.0,183.0,3156.0,4868.0,1,90,300,1
877,2025-09-15 07:47:52.491,L_6vSQ==,PACKET_DATA,22.94,49.48,1.422,4.71,161.0,836.0,446.0,127.0,3873.0,281.0,163.0,181.0,3126.0,4819.0,1,90,300,1
879,2025-09-15 07:49:23.107,L_6vSQ==,PACKET_DATA,23.0,49.77,1.422,4.707,163.0,855.0,455.0,128.0,3919.0,284.0,164.0,183.0,3156.0,4871.0,1,90,300,1
