id,timestamp,device_id,update_type,temperature,humidity,a1_raw,vcap_raw,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time,PPFD,led_status
4281,2025-09-17 07:01:09.553,T6ncwg==,PACKET_DATA,22.6,70.14,0.026,2.962,158.0,860.0,437.0,131.0,4097.0,303.0,165.0,187.0,3334.0,4483.0,1,90,300,1
4283,2025-09-17 07:02:40.221,T6ncwg==,PACKET_DATA,22.97,69.53,0.026,2.977,159.0,876.0,444.0,132.0,4130.0,305.0,167.0,188.0,3345.0,4527.0,1,90,300,1
4285,2025-09-17 07:04:10.869,T6ncwg==,PACKET_DATA,23.22,68.72,0.026,2.977,159.0,878.0,445.0,132.0,4137.0,305.0,167.0,188.0,3338.0,4544.0,1,90,300,1
4287,2025-09-17 07:05:41.396,T6ncwg==,PACKET_DATA,23.59,67.85,0.026,2.977,160.0,880.0,446.0,133.0,4142.0,306.0,167.0,189.0,3333.0,4565.0,1,90,300,1
4289,2025-09-17 07:07:12.055,T6ncwg==,PACKET_DATA,23.96,66.49,1.457,3.387,160.0,882.0,447.0,133.0,4149.0,306.0,168.0,189.0,3328.0,4583.0,1,90,300,1
4291,2025-09-17 07:08:42.626,T6ncwg==,PACKET_DATA,24.09,65.68,1.459,4.043,160.0,883.0,448.0,133.0,4153.0,306.0,168.0,189.0,3325.0,4595.0,1,90,300,1
4293,2025-09-17 07:10:13.271,T6ncwg==,PACKET_DATA,24.34,64.8,1.457,4.32,160.0,884.0,448.0,133.0,4155.0,307.0,168.0,189.0,3321.0,4610.0,1,90,300,1
4295,2025-09-17 07:11:43.909,T6ncwg==,PACKET_DATA,24.59,63.93,1.457,4.32,159.0,869.0,442.0,132.0,4122.0,304.0,167.0,188.0,3293.0,4583.0,1,90,300,1
4297,2025-09-17 07:13:14.473,T6ncwg==,PACKET_DATA,24.81,63.36,1.457,4.32,161.0,885.0,449.0,133.0,4163.0,307.0,169.0,189.0,3314.0,4631.0,1,90,300,1
4299,2025-09-17 07:14:45.117,T6ncwg==,PACKET_DATA,25.07,62.87,1.461,4.617,161.0,886.0,450.0,133.0,4166.0,307.0,169.0,189.0,3312.0,4640.0,1,90,300,1
4301,2025-09-17 07:16:15.742,T6ncwg==,PACKET_DATA,25.27,62.16,1.461,4.62,161.0,887.0,450.0,134.0,4168.0,307.0,169.0,189.0,3310.0,4648.0,1,90,300,1
4303,2025-09-17 07:17:46.354,T6ncwg==,PACKET_DATA,25.29,61.63,1.484,4.622,161.0,887.0,450.0,134.0,4168.0,307.0,169.0,189.0,3308.0,4655.0,1,90,300,1
4305,2025-09-17 07:19:16.888,T6ncwg==,PACKET_DATA,25.44,61.41,1.455,4.622,161.0,887.0,450.0,134.0,4171.0,307.0,169.0,189.0,3306.0,4662.0,1,90,300,1
4307,2025-09-17 07:20:47.551,T6ncwg==,PACKET_DATA,25.7,61.04,1.45,4.617,161.0,888.0,451.0,134.0,4173.0,308.0,169.0,189.0,3304.0,4666.0,1,90,300,1
4309,2025-09-17 07:22:18.101,T6ncwg==,PACKET_DATA,25.7,60.67,1.45,4.622,161.0,888.0,451.0,134.0,4174.0,308.0,170.0,189.0,3302.0,4671.0,1,90,300,1
4311,2025-09-17 07:23:48.769,T6ncwg==,PACKET_DATA,25.94,60.33,1.455,4.622,161.0,888.0,451.0,134.0,4175.0,308.0,170.0,189.0,3301.0,4676.0,1,90,300,1
4313,2025-09-17 07:25:19.348,T6ncwg==,PACKET_DATA,25.89,60.13,1.45,4.622,161.0,888.0,451.0,134.0,4175.0,308.0,170.0,189.0,3300.0,4679.0,1,90,300,1
4315,2025-09-17 07:26:49.998,T6ncwg==,PACKET_DATA,26.07,59.84,1.44,4.617,161.0,889.0,452.0,134.0,4177.0,308.0,170.0,189.0,3299.0,4684.0,1,90,300,1
4317,2025-09-17 07:28:20.651,T6ncwg==,PACKET_DATA,26.2,59.56,1.44,4.617,161.0,889.0,452.0,134.0,4178.0,308.0,170.0,190.0,3298.0,4686.0,1,90,300,1
4319,2025-09-17 07:29:51.203,T6ncwg==,PACKET_DATA,26.32,59.23,1.443,4.622,161.0,889.0,452.0,134.0,4178.0,308.0,170.0,189.0,3297.0,4687.0,1,90,300,1
4321,2025-09-17 07:31:21.859,T6ncwg==,PACKET_DATA,26.35,58.7,1.443,4.627,161.0,889.0,452.0,134.0,4179.0,308.0,170.0,190.0,3296.0,4693.0,1,90,300,1
4323,2025-09-17 07:32:52.415,T6ncwg==,PACKET_DATA,26.33,58.79,1.45,4.622,161.0,889.0,452.0,134.0,4180.0,308.0,170.0,189.0,3294.0,4694.0,1,90,300,1
4325,2025-09-17 07:34:23.069,T6ncwg==,PACKET_DATA,26.61,58.66,1.441,4.622,161.0,889.0,452.0,134.0,4179.0,308.0,170.0,190.0,3294.0,4697.0,1,90,300,1
4327,2025-09-17 07:35:53.699,T6ncwg==,PACKET_DATA,26.57,58.3,1.438,4.613,161.0,889.0,452.0,134.0,4180.0,308.0,170.0,190.0,3293.0,4697.0,1,90,300,1
4329,2025-09-17 07:37:24.260,T6ncwg==,PACKET_DATA,26.7,58.1,1.441,4.622,161.0,889.0,452.0,134.0,4181.0,308.0,170.0,189.0,3293.0,4699.0,1,90,300,1
4331,2025-09-17 07:38:54.918,T6ncwg==,PACKET_DATA,26.7,58.06,1.45,4.622,161.0,889.0,452.0,134.0,4182.0,308.0,170.0,190.0,3292.0,4701.0,1,90,300,1
4333,2025-09-17 07:40:25.471,T6ncwg==,PACKET_DATA,26.7,57.93,1.441,4.618,161.0,889.0,453.0,134.0,4183.0,308.0,170.0,190.0,3292.0,4703.0,1,90,300,1
4335,2025-09-17 07:41:56.077,T6ncwg==,PACKET_DATA,26.87,57.78,1.434,4.618,161.0,889.0,453.0,134.0,4182.0,308.0,170.0,190.0,3288.0,4706.0,1,90,300,1
4337,2025-09-17 07:43:26.743,T6ncwg==,PACKET_DATA,26.87,57.73,1.434,4.614,162.0,889.0,453.0,134.0,4181.0,308.0,170.0,190.0,3290.0,4707.0,1,90,300,1
4339,2025-09-17 07:44:57.352,T6ncwg==,PACKET_DATA,26.81,57.5,1.434,4.618,162.0,889.0,453.0,134.0,4183.0,308.0,170.0,190.0,3289.0,4710.0,1,90,300,1
4341,2025-09-17 07:46:27.979,T6ncwg==,PACKET_DATA,26.91,57.33,1.441,4.625,162.0,889.0,453.0,134.0,4183.0,308.0,170.0,190.0,3288.0,4708.0,1,90,300,1
4343,2025-09-17 07:47:58.529,T6ncwg==,PACKET_DATA,26.87,57.26,1.434,4.622,162.0,889.0,453.0,134.0,4183.0,308.0,170.0,190.0,3289.0,4712.0,1,90,300,1
4345,2025-09-17 07:49:29.188,T6ncwg==,PACKET_DATA,27.05,57.07,1.434,4.622,161.0,889.0,453.0,134.0,4184.0,308.0,170.0,190.0,3286.0,4713.0,1,90,300,1
4347,2025-09-17 07:50:59.775,T6ncwg==,PACKET_DATA,27.06,57.01,1.433,4.622,162.0,889.0,453.0,134.0,4184.0,308.0,170.0,190.0,3288.0,4715.0,1,90,300,1
4349,2025-09-17 07:52:30.331,T6ncwg==,PACKET_DATA,27.12,56.86,1.434,4.622,162.0,889.0,453.0,134.0,4184.0,308.0,170.0,190.0,3287.0,4716.0,1,90,300,1
4351,2025-09-17 07:54:01.025,T6ncwg==,PACKET_DATA,27.04,56.97,1.437,4.622,162.0,889.0,453.0,134.0,4185.0,308.0,170.0,190.0,3287.0,4716.0,1,90,300,1
4353,2025-09-17 07:55:31.605,T6ncwg==,PACKET_DATA,27.18,56.83,1.487,4.619,162.0,890.0,453.0,134.0,4184.0,308.0,170.0,190.0,3286.0,4718.0,1,90,300,1
4355,2025-09-17 07:57:02.248,T6ncwg==,PACKET_DATA,27.25,56.68,1.487,4.619,162.0,889.0,453.0,134.0,4186.0,308.0,170.0,190.0,3284.0,4719.0,1,90,300,1
4357,2025-09-17 07:58:32.783,T6ncwg==,PACKET_DATA,27.31,56.61,1.487,4.619,162.0,890.0,453.0,134.0,4186.0,308.0,170.0,189.0,3277.0,4707.0,1,90,300,1
4359,2025-09-17 08:00:03.384,T6ncwg==,PACKET_DATA,27.31,56.63,1.487,4.62,162.0,889.0,453.0,134.0,4186.0,308.0,170.0,190.0,3286.0,4721.0,1,90,300,1
4361,2025-09-17 08:01:34.024,T6ncwg==,PACKET_DATA,27.3,56.51,1.49,4.62,162.0,889.0,453.0,134.0,4185.0,308.0,170.0,190.0,3285.0,4722.0,1,90,300,1
4363,2025-09-17 08:03:04.633,T6ncwg==,PACKET_DATA,27.25,56.4,1.487,4.623,162.0,889.0,453.0,134.0,4185.0,308.0,170.0,190.0,3283.0,4722.0,1,90,300,1
4365,2025-09-17 08:04:35.261,T6ncwg==,PACKET_DATA,27.34,56.45,1.478,4.623,162.0,889.0,453.0,134.0,4186.0,308.0,171.0,190.0,3284.0,4723.0,1,90,300,1
4367,2025-09-17 08:06:05.873,T6ncwg==,PACKET_DATA,27.38,56.37,1.456,4.622,162.0,889.0,453.0,134.0,4185.0,308.0,170.0,190.0,3284.0,4724.0,1,90,300,1
4369,2025-09-17 08:07:36.497,T6ncwg==,PACKET_DATA,27.56,56.45,1.478,4.623,162.0,889.0,453.0,134.0,4185.0,308.0,170.0,190.0,3282.0,4722.0,1,90,300,1
