PPFD,CO2,T,R:B,Pn_avg,count
0.0,400.0,18.0,0.5,-0.36630557603334346,2
50.0,400.0,18.0,0.5,2.358583912400394,2
100.0,400.0,18.0,0.5,4.7605556353731675,2
200.0,400.0,18.0,0.5,8.185064715518482,2
300.0,400.0,18.0,0.5,10.323851141053042,2
400.0,400.0,18.0,0.5,11.377823829224976,2
500.0,400.0,18.0,0.5,11.901988798620879,2
600.0,400.0,18.0,0.5,11.930440252456837,2
800.0,400.0,18.0,0.5,12.15185541059649,2
1000.0,400.0,18.0,0.5,12.279137526600902,2
0.0,400.0,18.0,0.75,-0.3359371396463974,2
50.0,400.0,18.0,0.75,2.5236986335765925,2
100.0,400.0,18.0,0.75,5.00684197142173,2
200.0,400.0,18.0,0.75,8.860992703079589,2
300.0,400.0,18.0,0.75,10.957655853483015,2
400.0,400.0,18.0,0.75,11.886196018916761,2
500.0,400.0,18.0,0.75,12.201201223921682,2
600.0,400.0,18.0,0.75,12.288056441954222,2
800.0,400.0,18.0,0.75,12.1232615656662,2
1000.0,400.0,18.0,0.75,12.128374398366576,2
0.0,400.0,18.0,0.83,-0.1570931794282039,4
50.0,400.0,18.0,0.83,2.4626752904847096,4
100.0,400.0,18.0,0.83,5.182440907231337,4
200.0,400.0,18.0,0.83,9.473567396096437,4
300.0,400.0,18.0,0.83,11.902223824732342,4
400.0,400.0,18.0,0.83,12.976402538589179,4
500.0,400.0,18.0,0.83,13.372901803333416,4
600.0,400.0,18.0,0.83,13.387686686437693,4
800.0,400.0,18.0,0.83,13.45715875554526,4
1000.0,400.0,18.0,0.83,13.517697490801236,4
0.0,400.0,18.0,0.88,-0.3908403078982683,1
50.0,400.0,18.0,0.88,2.7457223886551025,1
100.0,400.0,18.0,0.88,5.489340735297457,1
200.0,400.0,18.0,0.88,9.826462916779256,1
300.0,400.0,18.0,0.88,12.525622659737008,1
400.0,400.0,18.0,0.88,13.78051926400646,1
500.0,400.0,18.0,0.88,14.268663430643306,1
600.0,400.0,18.0,0.88,14.266819896840513,1
800.0,400.0,18.0,0.88,14.444142045878658,1
1000.0,400.0,18.0,0.88,14.673914822436842,1
0.0,400.0,18.0,1.0,-0.1671794666229371,1
50.0,400.0,18.0,1.0,2.7504097937874237,1
100.0,400.0,18.0,1.0,5.185999256463793,1
200.0,400.0,18.0,1.0,8.751299384361703,1
300.0,400.0,18.0,1.0,10.758488951224086,1
