R:B,PPFD,R_PWM,B_PWM,R_POWER,B_POWER,R_VOLTAGE,B_VOLTAGE,R_CURRENT,B_CURRENT,R_ON,B_ON,R_TEMP_C,B_TEMP_C,R_ERROR,B_ERROR
1:1,100.0,9.0,15.0,6.7,13.5,244.5,246.2,0.067,0.082,True,True,65.5,62.5,,
1:1,200.0,17.0,33.0,12.1,24.9,244.7,246.5,0.105,0.122,True,True,65.6,62.4,,
1:1,300.0,26.0,51.0,19.3,36.6,244.5,246.2,0.102,0.164,True,True,65.7,62.7,,
1:1,400.0,34.0,68.0,24.5,47.6,244.1,245.8,0.121,0.206,True,True,65.7,62.7,,
1:1,500.0,43.0,87.0,30.7,59.9,243.9,245.7,0.143,0.254,True,True,65.6,62.5,,
3:1,52.0,4.0,6.0,4.2,7.4,244.7,246.4,0.049,0.062,True,True,65.7,63.0,,
3:1,100.0,13.0,6.0,10.7,7.4,244.6,246.3,0.072,0.061,True,True,65.8,62.7,,
3:1,200.0,26.0,14.0,19.2,13.2,244.5,246.3,0.102,0.081,True,True,65.7,63.1,,
3:1,300.0,39.0,21.0,28.1,17.3,244.3,246.0,0.133,0.095,True,True,65.7,63.1,,
3:1,400.0,54.0,28.0,38.6,21.6,244.2,245.8,0.173,0.11,True,True,65.7,63.2,,
3:1,500.0,68.0,42.0,48.5,30.7,244.1,246.0,0.211,0.143,True,True,65.7,62.5,,
3:1,600.0,82.0,44.0,58.6,31.9,244.1,245.6,0.25,0.147,True,True,65.7,63.2,,
5:1,100.0,12.0,9.0,10.3,9.7,244.3,246.2,0.071,0.07,True,True,65.7,63.6,,
5:1,200.0,30.0,10.0,21.9,10.4,244.7,246.4,0.111,0.073,True,True,65.7,63.6,,
5:1,300.0,43.0,14.0,30.9,13.1,244.8,246.6,0.143,0.081,True,True,65.6,63.8,,
5:1,400.0,59.0,19.0,42.2,16.1,244.6,246.2,0.186,0.092,True,True,65.9,63.2,,
5:1,500.0,73.0,26.0,52.0,20.3,244.5,246.3,0.224,0.106,True,True,65.9,63.2,,
5:1,600.0,89.0,31.0,63.4,23.6,244.7,246.4,0.268,0.117,True,True,66.3,63.8,,
7:1,200.0,20.0,5.0,15.4,6.8,245.0,246.8,0.089,0.06,True,True,66.4,63.7,,
7:1,300.0,45.0,10.0,32.3,10.4,244.9,246.7,0.148,0.072,True,True,65.9,63.9,,
7:1,400.0,55.0,12.0,39.4,10.4,244.7,246.5,0.175,0.093,True,True,65.9,62.4,,
7:1,500.0,77.0,18.0,54.9,14.3,244.6,246.3,0.235,0.121,True,True,65.7,63.8,,
7:1,600.0,91.0,20.0,64.8,16.7,244.7,246.5,0.274,0.094,True,True,66.5,63.8,,
r1,200.0,35.0,0.0,25.3,0.0,245.1,246.8,0.123,0.0,True,False,65.9,63.8,,
r1,400.0,71.0,0.0,50.5,0.0,245.0,246.6,0.218,0.0,True,False,65.7,63.7,,
r1,550.0,100.0,0.0,69.6,0.0,244.8,246.7,0.293,0.0,True,False,65.9,63.7,,
r1,53.0,9.0,0.0,8.0,0.0,244.9,246.9,0.063,0.0,True,False,65.7,63.6,,
