PPFD,R_PWM,B_PWM,Total_PWM
0,0.3,0.0,0.3
10,1.15,0.0,1.15
20,2.0,0.68,2.68
30,2.85,2.47,5.32
40,3.7,4.26,7.96
50,4.55,6.05,10.6
60,5.4,7.84,13.24
70,6.25,9.63,15.88
80,7.1,11.42,18.52
90,7.95,13.21,21.16
100,8.8,15.0,23.8
110,9.65,16.79,26.44
120,10.5,18.58,29.08
130,11.35,20.37,31.72
140,12.2,22.16,34.36
150,13.05,23.95,37.0
160,13.9,25.74,39.64
170,14.75,27.53,42.28
180,15.6,29.32,44.92
190,16.45,31.11,47.56
200,17.3,32.9,50.2
210,18.15,34.69,52.84
220,19.0,36.48,55.48
230,19.85,38.27,58.12
240,20.7,40.06,60.76
250,21.55,41.85,63.4
260,22.4,43.64,66.04
270,23.25,45.43,68.68
280,24.1,47.22,71.32
290,24.95,49.01,73.96
300,25.8,50.8,76.6
310,26.65,52.59,79.24
320,27.5,54.38,81.88
330,28.35,56.17,84.52
340,29.2,57.96,87.16
350,30.05,59.75,89.8
360,30.9,61.54,92.44
370,31.75,63.33,95.08
380,32.6,65.12,97.72
390,33.45,66.91,100.36
400,34.3,68.7,103.0
410,35.15,70.49,105.64
420,36.0,72.28,108.28
430,36.85,74.07,110.92
440,37.7,75.86,113.56
450,38.55,77.65,116.2
460,39.4,79.44,118.84
470,40.25,81.23,121.48
480,41.1,83.02,124.12
490,41.95,84.81,126.76
500,42.8,86.6,129.4
510,43.65,88.39,132.04
520,44.5,90.18,134.68
530,45.35,91.97,137.32
540,46.2,93.76,139.96
550,47.05,95.55,142.6
560,47.9,97.34,145.24
570,48.75,99.13,147.88
580,49.6,100.0,149.6
590,50.45,100.0,150.45
600,51.3,100.0,151.3
