id,timestamp,device_id,update_type,temperature,humidity,a1_raw,vcap_raw,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time,PPFD,led_status
9037,2025-09-23 07:00:42.791,L_6vSQ==,PACKET_DATA,17.5,54.15,0.015,2.981,258.0,1356.0,700.0,202.0,6129.0,444.0,257.0,291.0,5127.0,7483.0,1,90,500,1
9039,2025-09-23 07:02:13.456,L_6vSQ==,PACKET_DATA,17.88,53.41,0.016,2.989,258.0,1359.0,702.0,202.0,6108.0,442.0,257.0,289.0,5072.0,7499.0,1,90,500,1
9041,2025-09-23 07:03:44.041,L_6vSQ==,PACKET_DATA,18.56,51.63,0.016,2.989,258.0,1363.0,703.0,202.0,6111.0,442.0,257.0,289.0,5044.0,7539.0,1,90,500,1
9043,2025-09-23 07:05:14.703,L_6vSQ==,PACKET_DATA,18.94,50.73,0.016,2.989,259.0,1366.0,705.0,202.0,6117.0,442.0,258.0,289.0,5024.0,7580.0,1,90,500,1
9045,2025-09-23 07:06:45.292,L_6vSQ==,PACKET_DATA,19.5,49.22,1.629,3.825,259.0,1368.0,706.0,202.0,6124.0,443.0,259.0,289.0,5007.0,7619.0,1,90,500,1
9047,2025-09-23 07:08:15.813,L_6vSQ==,PACKET_DATA,19.74,47.94,1.629,4.706,258.0,1356.0,701.0,202.0,6098.0,441.0,259.0,289.0,4979.0,7634.0,1,90,500,1
9049,2025-09-23 07:09:46.510,L_6vSQ==,PACKET_DATA,20.25,47.18,1.631,4.695,260.0,1371.0,709.0,203.0,6136.0,444.0,260.0,290.0,4978.0,7684.0,1,90,500,1
9051,2025-09-23 07:11:17.069,L_6vSQ==,PACKET_DATA,20.62,46.27,1.631,4.695,260.0,1372.0,709.0,203.0,6141.0,444.0,260.0,290.0,4969.0,7711.0,1,90,500,1
9053,2025-09-23 07:12:47.646,L_6vSQ==,PACKET_DATA,20.94,45.46,1.631,4.695,259.0,1359.0,704.0,202.0,6111.0,442.0,259.0,288.0,4937.0,7700.0,1,90,500,1
9055,2025-09-23 07:14:18.234,L_6vSQ==,PACKET_DATA,21.25,44.66,1.706,4.71,260.0,1374.0,711.0,203.0,6147.0,444.0,261.0,290.0,4949.0,7754.0,1,90,500,1
9057,2025-09-23 07:15:48.904,L_6vSQ==,PACKET_DATA,21.5,43.93,1.706,4.71,261.0,1375.0,712.0,204.0,6152.0,445.0,261.0,290.0,4941.0,7774.0,1,90,500,1
9059,2025-09-23 07:17:19.445,L_6vSQ==,PACKET_DATA,21.51,43.58,1.615,4.705,261.0,1375.0,712.0,204.0,6156.0,445.0,262.0,290.0,4937.0,7790.0,1,90,500,1
9061,2025-09-23 07:18:50.085,L_6vSQ==,PACKET_DATA,22.0,42.98,1.615,4.705,261.0,1376.0,713.0,204.0,6158.0,445.0,262.0,290.0,4931.0,7806.0,1,90,500,1
9063,2025-09-23 07:20:20.745,L_6vSQ==,PACKET_DATA,22.06,42.48,1.613,4.703,261.0,1376.0,713.0,204.0,6160.0,445.0,262.0,290.0,4926.0,7817.0,1,90,500,1
