id,timestamp,device_id,update_type,temperature,humidity,a1_raw,vcap_raw,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time,PPFD,led_status
5581,2025-09-21 07:01:37.387,T6ncwg==,PACKET_DATA,19.38,53.31,0.025,2.959,112.0,679.0,339.0,93.0,2894.0,211.0,115.0,131.0,2346.0,3020.0,1,90,400,1
5583,2025-09-21 07:03:08.042,T6ncwg==,PACKET_DATA,19.75,52.79,0.025,2.972,112.0,682.0,340.0,93.0,2901.0,212.0,115.0,131.0,2345.0,3032.0,1,90,400,1
5585,2025-09-21 07:04:38.577,T6ncwg==,PACKET_DATA,20.11,52.11,0.025,2.972,112.0,684.0,341.0,93.0,2906.0,212.0,116.0,131.0,2343.0,3043.0,1,90,400,1
5587,2025-09-21 07:06:09.285,T6ncwg==,PACKET_DATA,20.14,51.73,0.025,2.972,112.0,685.0,342.0,93.0,2911.0,212.0,116.0,131.0,2343.0,3054.0,1,90,400,1
5589,2025-09-21 07:07:39.810,T6ncwg==,PACKET_DATA,20.46,51.21,1.349,3.226,113.0,687.0,342.0,93.0,2915.0,212.0,116.0,131.0,2342.0,3063.0,1,90,400,1
5591,2025-09-21 07:09:10.461,T6ncwg==,PACKET_DATA,20.62,50.54,1.35,3.678,113.0,688.0,343.0,94.0,2919.0,213.0,116.0,132.0,2341.0,3073.0,1,90,400,1
5593,2025-09-21 07:10:41.047,T6ncwg==,PACKET_DATA,20.87,50.13,1.35,3.898,113.0,688.0,343.0,94.0,2922.0,213.0,117.0,132.0,2341.0,3078.0,1,90,400,1
5595,2025-09-21 07:12:11.650,T6ncwg==,PACKET_DATA,21.11,49.75,1.35,3.898,113.0,689.0,344.0,94.0,2923.0,213.0,117.0,132.0,2340.0,3086.0,1,90,400,1
5597,2025-09-21 07:13:42.295,T6ncwg==,PACKET_DATA,21.11,49.2,1.349,3.898,113.0,690.0,344.0,94.0,2925.0,213.0,117.0,132.0,2339.0,3091.0,1,90,400,1
5599,2025-09-21 07:15:12.919,T6ncwg==,PACKET_DATA,21.33,48.78,1.349,4.256,113.0,690.0,344.0,94.0,2927.0,213.0,117.0,132.0,2337.0,3096.0,1,90,400,1
5601,2025-09-21 07:16:43.555,T6ncwg==,PACKET_DATA,21.35,48.51,1.349,4.581,113.0,691.0,345.0,94.0,2929.0,213.0,117.0,132.0,2337.0,3098.0,1,90,400,1
5603,2025-09-21 07:18:14.072,T6ncwg==,PACKET_DATA,21.55,48.02,1.341,4.607,113.0,691.0,345.0,94.0,2930.0,213.0,117.0,132.0,2336.0,3104.0,1,90,400,1
5605,2025-09-21 07:19:44.690,T6ncwg==,PACKET_DATA,21.6,47.84,1.341,4.607,113.0,691.0,345.0,94.0,2931.0,213.0,117.0,132.0,2335.0,3107.0,1,90,400,1
5607,2025-09-21 07:21:15.325,T6ncwg==,PACKET_DATA,21.86,47.57,1.339,4.607,113.0,692.0,345.0,94.0,2932.0,213.0,117.0,132.0,2335.0,3110.0,1,90,400,1
5609,2025-09-21 07:22:45.934,T6ncwg==,PACKET_DATA,21.86,47.49,1.341,4.61,113.0,692.0,345.0,94.0,2933.0,214.0,117.0,132.0,2334.0,3111.0,1,90,400,1
5611,2025-09-21 07:24:16.539,T6ncwg==,PACKET_DATA,21.98,47.25,1.341,4.62,113.0,692.0,346.0,94.0,2933.0,214.0,117.0,132.0,2333.0,3115.0,1,90,400,1
5613,2025-09-21 07:25:47.189,T6ncwg==,PACKET_DATA,21.91,46.99,1.341,4.623,113.0,692.0,346.0,94.0,2933.0,214.0,117.0,132.0,2333.0,3117.0,1,90,400,1
5615,2025-09-21 07:27:17.817,T6ncwg==,PACKET_DATA,22.05,46.97,1.341,4.61,214.0,1176.0,587.0,177.0,5518.0,408.0,223.0,252.0,4440.0,6070.0,1,90,400,1
5617,2025-09-21 07:28:48.447,T6ncwg==,PACKET_DATA,22.41,46.45,1.341,4.61,213.0,1176.0,587.0,176.0,5501.0,406.0,223.0,251.0,4409.0,6064.0,1,90,400,1
5619,2025-09-21 07:30:19.054,T6ncwg==,PACKET_DATA,22.85,45.85,1.342,4.61,213.0,1176.0,587.0,176.0,5499.0,406.0,223.0,251.0,4397.0,6080.0,1,90,400,1
5621,2025-09-21 07:31:49.674,T6ncwg==,PACKET_DATA,22.85,45.25,1.583,4.616,213.0,1176.0,587.0,176.0,5497.0,406.0,223.0,250.0,4386.0,6092.0,1,90,400,1
5623,2025-09-21 07:33:20.254,T6ncwg==,PACKET_DATA,23.09,44.78,1.595,4.621,213.0,1176.0,588.0,176.0,5497.0,406.0,223.0,250.0,4378.0,6104.0,1,90,400,1
5625,2025-09-21 07:34:50.881,T6ncwg==,PACKET_DATA,23.33,44.4,1.595,4.619,213.0,1176.0,588.0,176.0,5499.0,406.0,224.0,250.0,4371.0,6112.0,1,90,400,1
5627,2025-09-21 07:36:21.521,T6ncwg==,PACKET_DATA,23.47,43.88,1.577,4.619,213.0,1176.0,588.0,176.0,5497.0,406.0,224.0,250.0,4365.0,6126.0,1,90,400,1
5629,2025-09-21 07:37:52.038,T6ncwg==,PACKET_DATA,23.62,43.77,1.589,4.619,213.0,1177.0,588.0,176.0,5500.0,406.0,224.0,250.0,4360.0,6136.0,1,90,400,1
5631,2025-09-21 07:39:22.674,T6ncwg==,PACKET_DATA,23.96,43.38,1.589,4.62,213.0,1177.0,588.0,176.0,5502.0,406.0,224.0,250.0,4354.0,6144.0,1,90,400,1
5633,2025-09-21 07:40:53.312,T6ncwg==,PACKET_DATA,23.94,43.15,1.572,4.62,213.0,1177.0,588.0,176.0,5503.0,406.0,224.0,250.0,4352.0,6152.0,1,90,400,1
5635,2025-09-21 07:42:23.953,T6ncwg==,PACKET_DATA,24.08,42.81,1.572,4.619,213.0,1177.0,589.0,177.0,5504.0,406.0,224.0,250.0,4346.0,6160.0,1,90,400,1
5637,2025-09-21 07:43:54.505,T6ncwg==,PACKET_DATA,24.22,42.56,1.572,4.617,213.0,1176.0,589.0,177.0,5504.0,406.0,224.0,250.0,4347.0,6166.0,1,90,400,1
5639,2025-09-21 07:45:25.129,T6ncwg==,PACKET_DATA,24.22,42.31,1.574,4.619,213.0,1177.0,589.0,177.0,5503.0,406.0,224.0,250.0,4344.0,6172.0,1,90,400,1
5641,2025-09-21 07:46:55.726,T6ncwg==,PACKET_DATA,24.45,42.18,1.577,4.619,214.0,1177.0,589.0,177.0,5506.0,406.0,224.0,250.0,4341.0,6177.0,1,90,400,1
5643,2025-09-21 07:48:26.386,T6ncwg==,PACKET_DATA,24.34,41.94,1.614,4.615,214.0,1176.0,589.0,177.0,5504.0,406.0,225.0,250.0,4339.0,6180.0,1,90,400,1
5645,2025-09-21 07:49:56.930,T6ncwg==,PACKET_DATA,24.45,41.7,1.614,4.615,214.0,1177.0,589.0,177.0,5507.0,406.0,224.0,250.0,4337.0,6185.0,1,90,400,1
5647,2025-09-21 07:51:27.566,T6ncwg==,PACKET_DATA,24.77,41.53,1.585,4.614,214.0,1177.0,589.0,177.0,5508.0,406.0,225.0,250.0,4336.0,6188.0,1,90,400,1
5649,2025-09-21 07:52:58.160,T6ncwg==,PACKET_DATA,24.83,41.44,1.585,4.614,214.0,1176.0,589.0,177.0,5508.0,406.0,225.0,250.0,4331.0,6193.0,1,90,400,1
