entity_id,state,last_changed
sensor.greenpi_arduino_nano_roomtemp_temperature,24.46,2025-11-02T09:00:00.000000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,24.99,2025-11-02T09:00:57.022000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,25.99,2025-11-02T09:02:37.106000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,26.73,2025-11-02T09:04:17.188000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,27.32,2025-11-02T09:05:57.277000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,27.73,2025-11-02T09:07:37.367000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,28.06,2025-11-02T09:09:17.456000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,28.36,2025-11-02T09:10:57.541000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,28.61,2025-11-02T09:12:37.617000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,28.85,2025-11-02T09:14:17.697000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,29.03,2025-11-02T09:15:57.786000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,29.2,2025-11-02T09:17:37.886000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,29.36,2025-11-02T09:19:17.935000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,29.48,2025-11-02T09:20:58.017000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,29.62,2025-11-02T09:22:38.111000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,29.7,2025-11-02T09:24:18.206000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,29.86,2025-11-02T09:25:58.319000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,29.96,2025-11-02T09:27:38.397000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.02,2025-11-02T09:29:18.522000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.11,2025-11-02T09:30:58.590000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.19,2025-11-02T09:32:38.692000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.27,2025-11-02T09:34:18.765000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.34,2025-11-02T09:35:58.856000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.42,2025-11-02T09:37:38.942000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.43,2025-11-02T09:39:19.104000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.49,2025-11-02T09:40:59.119000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.52,2025-11-02T09:42:39.237000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.61,2025-11-02T09:44:19.369000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.67,2025-11-02T09:45:59.382000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.69,2025-11-02T09:47:39.476000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.76,2025-11-02T09:49:19.599000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.78,2025-11-02T09:50:59.680000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.82,2025-11-02T09:52:39.771000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.87,2025-11-02T09:54:19.863000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.91,2025-11-02T09:55:59.945000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.94,2025-11-02T09:57:40.038000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,30.98,2025-11-02T09:59:20.121000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.02,2025-11-02T10:01:00.220000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.06,2025-11-02T10:02:40.311000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.09,2025-11-02T10:04:20.407000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.11,2025-11-02T10:06:00.500000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.16,2025-11-02T10:07:40.580000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.2,2025-11-02T10:09:20.677000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.25,2025-11-02T10:11:00.729000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.27,2025-11-02T10:12:40.809000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.31,2025-11-02T10:14:20.961000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.36,2025-11-02T10:17:41.106000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.39,2025-11-02T10:19:21.198000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.49,2025-11-02T10:21:01.320000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.51,2025-11-02T10:24:21.490000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.53,2025-11-02T10:26:01.588000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.55,2025-11-02T10:27:41.673000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.61,2025-11-02T10:29:21.791000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.62,2025-11-02T10:31:01.842000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.68,2025-11-02T10:32:41.933000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.7,2025-11-02T10:34:22.029000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.75,2025-11-02T10:37:42.182000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,31.79,2025-11-02T10:39:22.324000Z
