id,timestamp,device_id,update_type,temperature,humidity,a1_raw,vcap_raw,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time,PPFD,led_status
3849,2025-09-20 07:02:19.791,T6ncwg==,PACKET_DATA,21.11,67.96,0.023,2.947,112.0,679.0,340.0,93.0,2898.0,211.0,116.0,131.0,2328.0,3058.0,1,90,200,1
3851,2025-09-20 07:03:50.401,T6ncwg==,PACKET_DATA,21.48,67.4,0.023,2.947,112.0,682.0,341.0,93.0,2904.0,211.0,116.0,131.0,2326.0,3071.0,1,90,200,1
3853,2025-09-20 07:05:20.996,T6ncwg==,PACKET_DATA,21.86,66.66,0.024,2.959,112.0,684.0,342.0,93.0,2909.0,212.0,116.0,131.0,2326.0,3082.0,1,90,200,1
3855,2025-09-20 07:06:51.612,T6ncwg==,PACKET_DATA,21.91,65.88,1.335,3.209,113.0,685.0,343.0,94.0,2914.0,212.0,117.0,131.0,2326.0,3092.0,1,90,200,1
3857,2025-09-20 07:08:22.224,T6ncwg==,PACKET_DATA,22.22,65.1,1.332,3.449,113.0,687.0,344.0,94.0,2918.0,212.0,117.0,131.0,2324.0,3101.0,1,90,200,1
3859,2025-09-20 07:09:52.847,T6ncwg==,PACKET_DATA,22.47,64.49,1.332,3.449,113.0,687.0,344.0,94.0,2921.0,212.0,117.0,131.0,2323.0,3109.0,1,90,200,1
3861,2025-09-20 07:11:23.387,T6ncwg==,PACKET_DATA,22.47,63.94,1.332,3.449,113.0,688.0,345.0,94.0,2924.0,213.0,117.0,131.0,2322.0,3115.0,1,90,200,1
3863,2025-09-20 07:12:54.047,T6ncwg==,PACKET_DATA,22.85,63.34,1.332,3.843,113.0,689.0,345.0,94.0,2926.0,213.0,117.0,132.0,2320.0,3121.0,1,90,200,1
3865,2025-09-20 07:14:24.704,T6ncwg==,PACKET_DATA,22.91,62.93,1.332,4.198,113.0,689.0,346.0,94.0,2928.0,213.0,117.0,132.0,2320.0,3127.0,1,90,200,1
3867,2025-09-20 07:15:55.311,T6ncwg==,PACKET_DATA,23.09,62.39,1.332,4.359,113.0,690.0,346.0,94.0,2930.0,213.0,117.0,132.0,2319.0,3130.0,1,90,200,1
3869,2025-09-20 07:17:25.868,T6ncwg==,PACKET_DATA,23.12,61.99,1.328,4.359,113.0,690.0,346.0,94.0,2930.0,213.0,117.0,132.0,2318.0,3135.0,1,90,200,1
3871,2025-09-20 07:18:56.485,T6ncwg==,PACKET_DATA,23.22,61.63,1.328,4.359,113.0,691.0,346.0,94.0,2931.0,213.0,118.0,132.0,2318.0,3139.0,1,90,200,1
3873,2025-09-20 07:20:27.105,T6ncwg==,PACKET_DATA,23.4,61.36,1.328,4.623,113.0,691.0,347.0,94.0,2933.0,213.0,118.0,132.0,2317.0,3140.0,1,90,200,1
3875,2025-09-20 07:21:57.713,T6ncwg==,PACKET_DATA,23.46,61.05,1.328,4.623,114.0,691.0,347.0,94.0,2934.0,213.0,118.0,132.0,2316.0,3145.0,1,90,200,1
3877,2025-09-20 07:23:28.341,T6ncwg==,PACKET_DATA,23.59,60.85,1.326,4.622,113.0,691.0,347.0,94.0,2935.0,213.0,118.0,132.0,2316.0,3148.0,1,90,200,1
3879,2025-09-20 07:24:58.948,T6ncwg==,PACKET_DATA,23.83,60.54,1.326,4.622,114.0,691.0,347.0,94.0,2935.0,213.0,118.0,132.0,2315.0,3150.0,1,90,200,1
3881,2025-09-20 07:26:29.500,T6ncwg==,PACKET_DATA,23.73,60.42,1.326,4.622,113.0,690.0,347.0,94.0,2933.0,213.0,118.0,132.0,2315.0,3152.0,1,90,200,1
3883,2025-09-20 07:28:00.118,T6ncwg==,PACKET_DATA,23.78,60.01,1.326,4.622,114.0,692.0,347.0,94.0,2937.0,213.0,118.0,132.0,2314.0,3155.0,1,90,200,1
3885,2025-09-20 07:29:30.808,T6ncwg==,PACKET_DATA,23.9,59.79,1.326,4.622,114.0,692.0,347.0,94.0,2938.0,213.0,118.0,132.0,2313.0,3156.0,1,90,200,1
3887,2025-09-20 07:31:01.383,T6ncwg==,PACKET_DATA,23.83,59.6,1.324,4.625,114.0,692.0,347.0,94.0,2938.0,213.0,118.0,132.0,2313.0,3158.0,1,90,200,1
3889,2025-09-20 07:32:31.998,T6ncwg==,PACKET_DATA,24.22,59.39,1.322,4.625,114.0,692.0,348.0,95.0,2939.0,214.0,118.0,132.0,2313.0,3160.0,1,90,200,1
3891,2025-09-20 07:34:02.576,T6ncwg==,PACKET_DATA,23.97,59.24,1.322,4.625,114.0,692.0,348.0,94.0,2938.0,214.0,118.0,132.0,2312.0,3160.0,1,90,200,1
3893,2025-09-20 07:35:33.203,T6ncwg==,PACKET_DATA,24.05,59.04,1.322,4.627,114.0,692.0,348.0,95.0,2939.0,214.0,118.0,132.0,2312.0,3163.0,1,90,200,1
3895,2025-09-20 07:37:03.861,T6ncwg==,PACKET_DATA,24.12,58.89,1.322,4.628,114.0,692.0,348.0,95.0,2939.0,214.0,118.0,132.0,2311.0,3163.0,1,90,200,1
3897,2025-09-20 07:38:34.445,T6ncwg==,PACKET_DATA,24.22,58.79,1.319,4.627,114.0,692.0,348.0,94.0,2939.0,214.0,118.0,132.0,2311.0,3164.0,1,90,200,1
3899,2025-09-20 07:40:05.080,T6ncwg==,PACKET_DATA,24.34,58.68,1.319,4.626,114.0,692.0,348.0,94.0,2940.0,214.0,118.0,132.0,2311.0,3165.0,1,90,200,1
3901,2025-09-20 07:41:35.661,T6ncwg==,PACKET_DATA,24.45,58.48,1.318,4.619,114.0,692.0,348.0,95.0,2941.0,214.0,118.0,132.0,2311.0,3167.0,1,90,200,1
3903,2025-09-20 07:43:06.225,T6ncwg==,PACKET_DATA,24.39,58.35,1.318,4.619,114.0,692.0,348.0,95.0,2940.0,214.0,118.0,132.0,2310.0,3167.0,1,90,200,1
3905,2025-09-20 07:44:36.870,T6ncwg==,PACKET_DATA,24.45,58.22,1.319,4.626,114.0,692.0,348.0,95.0,2940.0,214.0,118.0,132.0,2310.0,3169.0,1,90,200,1
3907,2025-09-20 07:46:07.489,T6ncwg==,PACKET_DATA,24.39,58.12,1.318,4.627,114.0,692.0,348.0,95.0,2941.0,214.0,118.0,132.0,2310.0,3170.0,1,90,200,1
3909,2025-09-20 07:47:38.053,T6ncwg==,PACKET_DATA,24.59,57.98,1.317,4.623,114.0,692.0,348.0,95.0,2941.0,214.0,118.0,132.0,2310.0,3171.0,1,90,200,1
3911,2025-09-20 07:49:08.766,T6ncwg==,PACKET_DATA,24.57,57.93,1.316,4.62,114.0,692.0,348.0,95.0,2942.0,214.0,118.0,132.0,2310.0,3171.0,1,90,200,1
3913,2025-09-20 07:50:39.370,T6ncwg==,PACKET_DATA,24.59,57.86,1.317,4.623,114.0,692.0,348.0,95.0,2942.0,214.0,118.0,132.0,2309.0,3172.0,1,90,200,1
3915,2025-09-20 07:52:09.985,T6ncwg==,PACKET_DATA,24.45,57.63,1.317,4.623,114.0,692.0,348.0,95.0,2942.0,214.0,118.0,132.0,2309.0,3172.0,1,90,200,1
3917,2025-09-20 07:53:40.599,T6ncwg==,PACKET_DATA,24.6,57.51,1.317,4.627,114.0,692.0,348.0,95.0,2942.0,214.0,118.0,132.0,2308.0,3172.0,1,90,200,1
3919,2025-09-20 07:55:11.110,T6ncwg==,PACKET_DATA,24.59,57.65,1.317,4.622,114.0,692.0,348.0,95.0,2942.0,214.0,118.0,132.0,2309.0,3174.0,1,90,200,1
3921,2025-09-20 07:56:41.762,T6ncwg==,PACKET_DATA,24.71,57.53,1.317,4.622,114.0,692.0,348.0,95.0,2942.0,214.0,118.0,132.0,2308.0,3174.0,1,90,200,1
3923,2025-09-20 07:58:12.379,T6ncwg==,PACKET_DATA,24.6,57.35,1.317,4.623,114.0,692.0,348.0,95.0,2942.0,214.0,118.0,132.0,2308.0,3175.0,1,90,200,1
3925,2025-09-20 07:59:43.016,T6ncwg==,PACKET_DATA,24.71,57.34,1.317,4.623,114.0,692.0,348.0,95.0,2943.0,214.0,118.0,132.0,2308.0,3176.0,1,90,200,1
3927,2025-09-20 08:01:13.634,T6ncwg==,PACKET_DATA,24.82,57.28,1.317,4.623,114.0,692.0,348.0,95.0,2941.0,214.0,118.0,132.0,2308.0,3175.0,1,90,200,1
