Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/03/07 00:34
PAR(mW/cm²),0.44071340560913086
PPFD(umol/㎡/s),22.522573471069336
PPFD-UV(umol/㎡/s),0.0
PPFD-B(umol/㎡/s),1.811722755432129
PPFD-G(umol/㎡/s),0.07306751608848572
PPFD-R(umol/㎡/s),20.63778305053711
PPFD-FR(umol/㎡/s),0.0020376138854771852
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),27.90542984008789
Erb Ratio,8.448619842529297
YPFD(umol/m²/s),21.70322036743164
Ech-A(mW/cm²),0.007146335206925869
Ech-B(mW/cm²),0.004098833538591862
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),807.1035766601562
Candle E(fc),75.00962829589844
CCT(K),1001.0
Duv,0.3163983225822449
x,0.6009833216667175
y,0.25821053981781006
u,0.4909433126449585
v,0.3163983225822449
u’,0.4909433126449585
v’,0.4745974838733673
SDCM,100.0
Ra,6.4046311378479
R1,66.14429473876953
R2,53.12185287475586
R3,-40.17637634277344
R4,3.1830990314483643
R5,87.3265609741211
R6,-30.281169891357422
R7,-32.4617805480957
R8,-55.61942672729492
R9,-100.0
R10,-5.871066570281982
R11,35.042747497558594
R12,-100.0
R13,92.5606918334961
R14,27.411170959472656
R15,18.573795318603516
Ee(mW/cm²),0.44071340560913086
S/P,0.6687910556793213
Dominant(nm),699.0999755859375
Purity(%),81.35002899169922
Half width(nm),17.69342041015625
Peak(nm),630.8472900390625
Center(nm),629.4932861328125
Centroid(nm),611.4000244140625
R ratio(%),89.19893646240234
G ratio(%),0.4837815463542938
B ratio(%),10.31728458404541
Integrat.Time(ms),18.0
Peak Signal,57070.0
Dark Signal,2395.0
Compensate level,2510.0
StartTestWave,380
EndTestWave,780
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.005819309037178755
406,0.006667593028396368
407,0.02452121488749981
408,0.040495339781045914
409,0.005425218027085066
410,0.0
411,0.0
412,0.0
413,0.005602407269179821
414,0.029687318950891495
415,0.005505800247192383
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.007715022657066584
426,0.0512712337076664
427,0.04171614348888397
428,0.003549028653651476
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.04583350569009781
437,0.09947767853736877
438,0.1898348182439804
439,0.32386651635169983
440,0.48656588792800903
441,0.6348579525947571
442,0.835131049156189
443,1.0822426080703735
444,1.3769711256027222
445,1.7163876295089722
446,2.1784563064575195
447,2.695305109024048
448,3.278986692428589
449,3.9668540954589844
450,4.6963396072387695
451,5.469401836395264
452,6.375659942626953
453,7.33009672164917
454,8.376970291137695
455,9.63908576965332
456,11.048912048339844
457,12.562440872192383
458,14.165422439575195
459,15.799524307250977
460,17.391551971435547
461,18.80031967163086
462,19.90211296081543
463,20.596830368041992
464,20.889123916625977
465,20.718318939208984
466,20.198509216308594
467,19.4156551361084
468,18.274011611938477
469,16.895408630371094
470,15.611651420593262
471,14.258109092712402
472,12.901837348937988
473,11.7010498046875
474,10.645891189575195
475,9.69980525970459
476,8.927980422973633
477,8.282233238220215
478,7.678668022155762
479,7.126394748687744
480,6.558834552764893
481,5.960629463195801
482,5.366185188293457
483,4.750718116760254
484,4.127345085144043
485,3.5506763458251953
486,3.0497214794158936
487,2.614586114883423
488,2.257802963256836
489,1.941803216934204
490,1.687888741493225
491,1.4726330041885376
492,1.286471962928772
493,1.115033507347107
494,0.9689115881919861
495,0.8477001190185547
496,0.7402187585830688
497,0.6409590840339661
498,0.5373196601867676
499,0.4524793028831482
500,0.3653113543987274
501,0.2707473635673523
502,0.21837353706359863
503,0.1985407918691635
504,0.15813499689102173
505,0.12666432559490204
506,0.11795564740896225
507,0.09456660598516464
508,0.08123181760311127
509,0.08907956629991531
510,0.12075546383857727
511,0.15172697603702545
512,0.14431588351726532
513,0.12195559591054916
514,0.09850972890853882
515,0.06650610268115997
516,0.028619585558772087
517,0.008847745135426521
518,0.004571555182337761
519,0.005821289028972387
520,0.001374857616610825
521,0.004473946988582611
522,0.013553793542087078
523,0.013579847291111946
524,0.027715332806110382
525,0.044450584799051285
526,0.060862015932798386
527,0.05949544161558151
528,0.042270004749298096
529,0.016018569469451904
530,0.0
531,0.0
532,0.0
533,0.002112386515364051
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0017036818899214268
564,0.0015669169370085
565,0.0
566,0.005156845785677433
567,0.02689429372549057
568,0.017748365178704262
569,0.007759870961308479
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0046864827163517475
588,0.030038829892873764
589,0.06909535825252533
590,0.1079137921333313
591,0.13357824087142944
592,0.17630989849567413
593,0.23086656630039215
594,0.3532100319862366
595,0.5624331831932068
596,0.902698278427124
597,1.3811051845550537
598,2.006016731262207
599,2.7943503856658936
600,3.7705116271972656
601,4.94382905960083
602,6.352295398712158
603,8.010660171508789
604,9.909130096435547
605,12.081717491149902
606,14.51518440246582
607,17.291576385498047
608,20.37019920349121
609,23.775949478149414
610,27.505346298217773
611,31.690505981445312
612,36.314632415771484
613,40.491432189941406
614,45.00404739379883
615,50.905513763427734
616,57.36031723022461
617,64.24175262451172
618,71.79475402832031
619,80.00770568847656
620,88.96688842773438
621,98.62368774414062
622,109.07533264160156
623,120.32483673095703
624,132.26205444335938
625,144.783447265625
626,157.32533264160156
627,169.213134765625
628,179.39749145507812
629,186.88058471679688
630,190.99038696289062
631,191.80014038085938
632,187.98843383789062
633,179.52783203125
634,167.15040588378906
635,151.78759765625
636,135.00054931640625
637,117.86046600341797
638,101.31961822509766
639,85.87210083007812
640,72.05313873291016
641,59.9297981262207
642,49.50753402709961
643,40.69589614868164
644,33.42853546142578
645,28.333019256591797
646,23.95925521850586
647,19.59266471862793
648,15.990912437438965
649,12.987628936767578
650,10.458196640014648
651,8.3860445022583
652,6.7092742919921875
653,5.336158275604248
654,4.198326110839844
655,3.3059778213500977
656,2.6498725414276123
657,2.1119918823242188
658,1.703220248222351
659,1.4404176473617554
660,1.2340099811553955
661,0.9892094731330872
662,0.774679958820343
663,0.5935049057006836
664,0.4503878951072693
665,0.3340492844581604
666,0.24043160676956177
667,0.18752442300319672
668,0.13773393630981445
669,0.09029601514339447
670,0.06443846225738525
671,0.03745930641889572
672,0.00321997981518507
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.008079798892140388
692,0.04714634642004967
693,0.0876835286617279
694,0.08921501785516739
695,0.07267601788043976
696,0.04351523146033287
697,0.03381933644413948
698,0.0013235588558018208
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.002813139231875539
711,0.005473283585160971
712,0.03834492713212967
713,0.04580863565206528
714,0.030217856168746948
715,0.004556718282401562
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0017681316239759326
734,0.0
735,0.004905326291918755
736,0.009411072358489037
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.00029034423641860485
748,0.012297824025154114
749,0.010927760973572731
750,0.006123565137386322
751,0.0018141909968107939
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0009770155884325504
758,0.0008258291054517031
759,0.02343682572245598
760,0.05335484445095062
761,0.06536169350147247
762,0.0070868744514882565
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0036774768959730864
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
